# lat,lng,id,name,building_type,type,url,page_type
# san_mauro_torinese -- Tutti
45.107417,7.758364,ov_asl_4_san_mauro_torinese_45.1074_7.7584,Asl 4 San Mauro Torinese,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/asl_4_san_mauro_torinese_45.1074_7.7584.json,custom
45.092247,7.748985,ov_la_luna_e_i_falo_45.0922_7.7490,La Luna e I Falo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/la_luna_e_i_falo_45.0922_7.7490.json,custom
45.092092,7.749333,ov_sapori_della_pizza_45.0921_7.7493,Sapori della pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/sapori_della_pizza_45.0921_7.7493.json,custom
45.097855,7.759369,ov_casa_cantoniera_45.0979_7.7594,Casa Cantoniera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/casa_cantoniera_45.0979_7.7594.json,custom
45.088900,7.786900,ov_burger_king_45.0889_7.7869,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/burger_king_45.0889_7.7869.json,custom
45.101646,7.764797,ov_pomodoro___basilico_45.1016_7.7648,Pomodoro & Basilico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/pomodoro_basilico_45.1016_7.7648.json,custom
45.102504,7.766102,ov_la_casarola_45.1025_7.7661,La Casarola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/la_casarola_45.1025_7.7661.json,custom
45.103190,7.766050,ov_tavernacolo_san_mauro_torinese_45.1032_7.7660,Tavernacolo San Mauro Torinese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/tavernacolo_san_mauro_torinese_45.1032_7.7660.json,custom
45.103631,7.766584,ov_locanda_odilon_45.1036_7.7666,Locanda Odilon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/locanda_odilon_45.1036_7.7666.json,custom
45.103660,7.766450,ov_seapizza_torino_45.1037_7.7664,Seapizza Torino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/seapizza_torino_45.1037_7.7664.json,custom
45.103637,7.766475,ov_la_casina_45.1036_7.7665,La Casina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/la_casina_45.1036_7.7665.json,custom
45.107594,7.767397,ov_come_a_casa_45.1076_7.7674,Come a Casa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/come_a_casa_45.1076_7.7674.json,custom
45.114372,7.781294,ov_pizzeria_gi__45.1144_7.7813,Pizzeria Giò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/pizzeria_gi_45.1144_7.7813.json,custom
45.113273,7.780338,ov_il_patio_pizzeria_osteria_albergo_di_cap_45.1133_7.7803,Il Patio Pizzeria Osteria Albergo Di Capra Barbara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/il_patio_pizzeria_osteria_albergo_di_cap_45.1133_7.7803.json,custom
45.109008,7.775469,ov_il_quadrifoglio_45.1090_7.7755,Il Quadrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/il_quadrifoglio_45.1090_7.7755.json,custom
45.109010,7.770101,ov_l_h_club_house_45.1090_7.7701,L'H Club House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/lh_club_house_45.1090_7.7701.json,custom
45.100943,7.764545,osm_girarrosti_s__rita_45.1009_7.7645,Girarrosti S. Rita,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/girarrosti_s_rita_45.1009_7.7645.json,custom
45.103160,7.754501,osm_matsuri_45.1032_7.7545,Matsuri,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/matsuri_45.1032_7.7545.json,custom
45.102897,7.754487,osm_pizzeria_roma_81_di_ceravolo_fabiana_45.1029_7.7545,Pizzeria Roma 81 di Ceravolo Fabiana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/pizzeria_roma_81_di_ceravolo_fabiana_45.1029_7.7545.json,custom
45.102465,7.765856,osm_la_casarola_45.1025_7.7659,La Casarola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/la_casarola_45.1025_7.7659.json,custom
45.092293,7.749068,osm_la_luna_e_i_fal__45.0923_7.7491,La Luna e I Falò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/la_luna_e_i_fal_45.0923_7.7491.json,custom
45.092082,7.749489,osm_i_sapori_della_pizza_45.0921_7.7495,I Sapori Della Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/i_sapori_della_pizza_45.0921_7.7495.json,custom
45.108759,7.760871,ov_stella_del_mulino_45.1088_7.7609,Stella DEL Mulino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/stella_del_mulino_45.1088_7.7609.json,custom
45.100225,7.763578,ov_caffetteria_san_mauro_45.1002_7.7636,caffetteria san mauro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/caffetteria_san_mauro_45.1002_7.7636.json,custom
45.102921,7.760420,ov_caff__del_porto_45.1029_7.7604,Caffè Del Porto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/caff_del_porto_45.1029_7.7604.json,custom
45.103276,7.760060,ov_aperitivo_al_mochino__caffetteria_mochin_45.1033_7.7601,Aperitivo al mochino (caffetteria mochino) Val.tro snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/aperitivo_al_mochino_caffetteria_mochino_45.1033_7.7601.json,custom
45.103039,7.755195,ov_la_meridiana_45.1030_7.7552,La Meridiana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/la_meridiana_45.1030_7.7552.json,custom
45.107389,7.751140,ov_centro_comm_le_il_portale_45.1074_7.7511,Centro Comm.le Il Portale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/centro_commle_il_portale_45.1074_7.7511.json,custom
45.106690,7.756580,ov_mo_cafe_45.1067_7.7566,Mo Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/mo_cafe_45.1067_7.7566.json,custom
45.110142,7.747229,ov_la_baita_45.1101_7.7472,La Baita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/la_baita_45.1101_7.7472.json,custom
45.091853,7.748515,ov_derry_pub_45.0919_7.7485,Derry Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/derry_pub_45.0919_7.7485.json,custom
45.092161,7.749574,ov_garden_lounge_pub_45.0922_7.7496,Garden Lounge Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/garden_lounge_pub_45.0922_7.7496.json,custom
45.092898,7.751307,ov_bar_serena_45.0929_7.7513,Bar Serena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/bar_serena_45.0929_7.7513.json,custom
45.101866,7.764990,ov_caffetteria_sul_po_45.1019_7.7650,Caffetteria sul Po,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/caffetteria_sul_po_45.1019_7.7650.json,custom
45.102500,7.766206,ov_aperivino_45.1025_7.7662,AperiVino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/aperivino_45.1025_7.7662.json,custom
45.117224,7.794017,ov_bugin_turin_food_gin_45.1172_7.7940,BUGIN Turin Food Gin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/bugin_turin_food_gin_45.1172_7.7940.json,custom
45.103226,7.755046,osm_khami_45.1032_7.7550,Khami,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/khami_45.1032_7.7550.json,custom
45.110626,7.742080,ov_palazzetto_dello_sport_45.1106_7.7421,Palazzetto dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/palazzetto_dello_sport_45.1106_7.7421.json,custom
45.108709,7.742667,ov_farmacia_pragranda_sas_del_dottor_picco__45.1087_7.7427,Farmacia Pragranda Sas del Dottor Picco Andrea e C.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/farmacia_pragranda_sas_del_dottor_picco__45.1087_7.7427.json,custom
45.109418,7.747484,ov_a_r__judo_club_san_mauro_torinese_45.1094_7.7475,A.R. Judo Club San Mauro Torinese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/ar_judo_club_san_mauro_torinese_45.1094_7.7475.json,custom
45.109452,7.747568,ov_ferrero_fitness_area_45.1095_7.7476,Ferrero Fitness Area,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/ferrero_fitness_area_45.1095_7.7476.json,custom
45.117039,7.739160,ov_feedback___studio_di_chinesiologia_45.1170_7.7392,FEEDBACK - Studio di Chinesiologia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/feedback_-_studio_di_chinesiologia_45.1170_7.7392.json,custom
45.091364,7.746870,ov_to_dance_s_s_d__45.0914_7.7469,TO.Dance S.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/todance_ssd_45.0914_7.7469.json,custom
45.097733,7.760247,ov_palestra_sport_life_45.0977_7.7602,Palestra Sport Life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/palestra_sport_life_45.0977_7.7602.json,custom
45.116723,7.784080,ov_la_valletta_riding_club_45.1167_7.7841,La Valletta Riding Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/la_valletta_riding_club_45.1167_7.7841.json,custom
45.106768,7.755491,ov_ludoteca_albero_amico_45.1068_7.7555,Ludoteca Albero Amico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/ludoteca_albero_amico_45.1068_7.7555.json,custom
45.105560,7.769779,osm_ufficio_postale_poste_italiane_45.1056_7.7698,Ufficio Postale Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/ufficio_postale_poste_italiane_45.1056_7.7698.json,custom
45.101460,7.758650,ov_piccola_biblioteca_45.1015_7.7587,Piccola Biblioteca,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/piccola_biblioteca_45.1015_7.7587.json,custom
45.105657,7.770247,ov_biblioteca_civica_germana_bocca_45.1057_7.7702,Biblioteca Civica Germana Bocca,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/san_mauro_torinese/pages/biblioteca_civica_germana_bocca_45.1057_7.7702.json,custom
