# lat,lng,id,name,building_type,type,url,page_type
# breno -- Tutti
45.956229,10.305327,ov_asl_local_health_vallecamonica_sebino_45.9562_10.3053,ASL Local Health Vallecamonica Sebino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/asl_local_health_vallecamonica_sebino_45.9562_10.3053.json,custom
45.954859,10.301096,osm_domenighini_salumeria_45.9549_10.3011,Domenighini Salumeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/domenighini_salumeria_45.9549_10.3011.json,custom
45.932438,10.457322,osm_locanda_gaver_45.9324_10.4573,Locanda Gaver,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/locanda_gaver_45.9324_10.4573.json,custom
45.963977,10.315679,ov_bistr__le_coccinelle_45.9640_10.3157,Bistrò Le Coccinelle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/bistr_le_coccinelle_45.9640_10.3157.json,custom
45.950574,10.273052,ov_chicca_cafe_45.9506_10.2731,Chicca Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/chicca_cafe_45.9506_10.2731.json,custom
45.956008,10.299757,ov_che_botep_45.9560_10.2998,Che Botep,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/che_botep_45.9560_10.2998.json,custom
45.953895,10.298407,ov_bar_vittoriatre_45.9539_10.2984,Bar Vittoriatre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/bar_vittoriatre_45.9539_10.2984.json,custom
45.953622,10.297258,ov_molly_malone_s_45.9536_10.2973,Molly Malone's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/molly_malones_45.9536_10.2973.json,custom
45.953840,10.296730,ov_crimson_dragon_inn_45.9538_10.2967,Crimson Dragon Inn,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/crimson_dragon_inn_45.9538_10.2967.json,custom
45.954052,10.297513,ov_bar_platano_45.9541_10.2975,Bar platano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/bar_platano_45.9541_10.2975.json,custom
45.954859,10.300725,ov_magazzino_36_45.9549_10.3007,Magazzino 36,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/magazzino_36_45.9549_10.3007.json,custom
45.955141,10.301179,ov_l_osteria_45.9551_10.3012,L'Osteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/losteria_45.9551_10.3012.json,custom
45.956018,10.301162,ov_caffetteria_nuovo_bar_breno_45.9560_10.3012,Caffetteria NUOVO BAR BRENO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/caffetteria_nuovo_bar_breno_45.9560_10.3012.json,custom
45.957395,10.302671,ov_roxy_bar_di_ciobanu_claudia_45.9574_10.3027,Roxy bar di ciobanu claudia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/roxy_bar_di_ciobanu_claudia_45.9574_10.3027.json,custom
45.958745,10.308792,ov_arche_social_food_45.9587_10.3088,Arche social food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/arche_social_food_45.9587_10.3088.json,custom
45.957811,10.302090,ov_roxi_bar_45.9578_10.3021,Roxi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/roxi_bar_45.9578_10.3021.json,custom
45.955764,10.300045,osm_unione_45.9558_10.3000,Unione,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/unione_45.9558_10.3000.json,custom
45.956257,10.300299,osm_giangusto_45.9563_10.3003,GianGusto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/giangusto_45.9563_10.3003.json,custom
45.956560,10.300569,osm_bar_liberty_45.9566_10.3006,Bar Liberty,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/bar_liberty_45.9566_10.3006.json,custom
45.955990,10.301176,osm_bar_la_busa_45.9560_10.3012,Bar La Busa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/bar_la_busa_45.9560_10.3012.json,custom
45.955495,10.301755,osm_bar_del_duomo_45.9555_10.3018,Bar Del Duomo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/bar_del_duomo_45.9555_10.3018.json,custom
45.966157,10.317243,osm_upupa_coffee_wine_restaurant_45.9662_10.3172,Upupa coffee wine restaurant,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/upupa_coffee_wine_restaurant_45.9662_10.3172.json,custom
45.957822,10.298920,ov_scuola_alpinismo_giando_breno_45.9578_10.2989,Scuola alpinismo Giando Breno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/scuola_alpinismo_giando_breno_45.9578_10.2989.json,custom
45.955019,10.301735,ov_a_s_d__arcieri_del_castello_di_breno_45.9550_10.3017,A.S.D. Arcieri del Castello di Breno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/asd_arcieri_del_castello_di_breno_45.9550_10.3017.json,custom
45.956852,10.302686,ov_asd_circolo_ippico_la_genziana_45.9569_10.3027,ASD Circolo Ippico La Genziana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/asd_circolo_ippico_la_genziana_45.9569_10.3027.json,custom
45.958210,10.304920,ov_studio_olistico_zen_45.9582_10.3049,Studio olistico ZEN,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/studio_olistico_zen_45.9582_10.3049.json,custom
45.963058,10.310644,ov_athletic_center_45.9631_10.3106,Athletic center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/athletic_center_45.9631_10.3106.json,custom
45.955613,10.297931,ov_castello_di_breno_45.9556_10.2979,Castello di Breno,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/castello_di_breno_45.9556_10.2979.json,custom
45.954755,10.302159,ov_museo_camuno_45.9548_10.3022,Museo Camuno,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/museo_camuno_45.9548_10.3022.json,custom
45.954253,10.298144,osm_poste_italiane_45.9543_10.2981,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/poste_italiane_45.9543_10.2981.json,custom
46.002804,10.344595,ov_il_leggio___societ__cooperativa_sociale_46.0028_10.3446,Il Leggio - Società Cooperativa Sociale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/il_leggio_-_societ_cooperativa_sociale_46.0028_10.3446.json,custom
45.955368,10.301593,ov_biblioteca_sotelo_45.9554_10.3016,Biblioteca Sotelo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/breno/pages/biblioteca_sotelo_45.9554_10.3016.json,custom
