# lat,lng,id,name,building_type,type,url,page_type
# fonte_nuova -- Tutti
41.993176,12.613351,ov_nomentana_hospital_41.9932_12.6134,Nomentana Hospital,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/nomentana_hospital_41.9932_12.6134.json,custom
41.979782,12.654049,ov_l_altro_locale_41.9798_12.6540,L'Altro Locale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/laltro_locale_41.9798_12.6540.json,custom
41.978760,12.645053,ov_cibum_41.9788_12.6451,Cibum,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/cibum_41.9788_12.6451.json,custom
42.002098,12.626250,ov_9cento_caffe_42.0021_12.6263,9Cento Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/9cento_caffe_42.0021_12.6263.json,custom
41.999050,12.626050,ov_caf_cgn___fonte_nuova_41.9990_12.6260,CAF CGN - Fonte Nuova,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/caf_cgn_-_fonte_nuova_41.9990_12.6260.json,custom
41.998240,12.625160,ov_cadillac_cafe_41.9982_12.6252,Cadillac CAFE,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/cadillac_cafe_41.9982_12.6252.json,custom
41.998645,12.624740,ov_bar_crystal_41.9986_12.6247,Bar Crystal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/bar_crystal_41.9986_12.6247.json,custom
41.998185,12.621982,ov_bar_gabrielino_41.9982_12.6220,Bar Gabrielino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/bar_gabrielino_41.9982_12.6220.json,custom
41.997228,12.619926,ov_il_capriccio_41.9972_12.6199,Il capriccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/il_capriccio_41.9972_12.6199.json,custom
41.991686,12.618930,ov_il_ciao_bar_41.9917_12.6189,Il Ciao Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/il_ciao_bar_41.9917_12.6189.json,custom
41.991273,12.616996,ov_bar_paradise_41.9913_12.6170,Bar paradise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/bar_paradise_41.9913_12.6170.json,custom
41.991496,12.616640,ov_sister_s_bar_41.9915_12.6166,Sister'S Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/sisters_bar_41.9915_12.6166.json,custom
41.991608,12.616220,ov_airone_lunch_bar_41.9916_12.6162,Airone Lunch Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/airone_lunch_bar_41.9916_12.6162.json,custom
41.994712,12.621862,ov_de_blasis_41.9947_12.6219,De Blasis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/de_blasis_41.9947_12.6219.json,custom
41.995340,12.618884,ov_mind_the_flow_41.9953_12.6189,Mind The Flow,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/mind_the_flow_41.9953_12.6189.json,custom
41.994549,12.618906,ov_pausa_caffe_41.9945_12.6189,Pausa Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/pausa_caffe_41.9945_12.6189.json,custom
41.995593,12.617483,ov_caffe_one_41.9956_12.6175,Caffe One,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/caffe_one_41.9956_12.6175.json,custom
41.996030,12.614927,ov_rossi_bar_41.9960_12.6149,Rossi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/rossi_bar_41.9960_12.6149.json,custom
41.983560,12.652047,ov_serra_cafe_41.9836_12.6520,Serra Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/serra_cafe_41.9836_12.6520.json,custom
41.983699,12.652007,ov_cuv_e_champagneria_41.9837_12.6520,Cuvée Champagneria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/cuve_champagneria_41.9837_12.6520.json,custom
41.989058,12.660461,ov_diamond_cafe_santalucia_41.9891_12.6605,Diamond cafe Santalucia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/diamond_cafe_santalucia_41.9891_12.6605.json,custom
41.995414,12.665848,ov_bar_new_tiffany_41.9954_12.6658,Bar New Tiffany,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/bar_new_tiffany_41.9954_12.6658.json,custom
41.996330,12.666280,ov_art_cafe__41.9963_12.6663,ART CAFE',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/art_cafe_41.9963_12.6663.json,custom
42.000042,12.629038,ov_esplosioni_di_zucchero_42.0000_12.6290,Esplosioni di Zucchero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/esplosioni_di_zucchero_42.0000_12.6290.json,custom
42.000689,12.631738,ov_bar_max_el_42.0007_12.6317,Bar Max-El,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/bar_max-el_42.0007_12.6317.json,custom
42.007661,12.635424,ov_dg_caf__42.0077_12.6354,DG CAFÉ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/dg_caf_42.0077_12.6354.json,custom
42.014074,12.637456,ov_xii_apostoli_42.0141_12.6375,XII Apostoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/xii_apostoli_42.0141_12.6375.json,custom
42.001366,12.668074,ov_la_fonte_caffe_42.0014_12.6681,La Fonte Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/la_fonte_caffe_42.0014_12.6681.json,custom
41.980590,12.655392,ov_lucky_bar_41.9806_12.6554,Lucky Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/lucky_bar_41.9806_12.6554.json,custom
41.975434,12.646861,ov_caffe_horus_41.9754_12.6469,Caffe Horus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/caffe_horus_41.9754_12.6469.json,custom
41.991654,12.618931,osm_il_ciao_41.9917_12.6189,Il Ciao,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/il_ciao_41.9917_12.6189.json,custom
42.001422,12.612069,ov_centro_yoga_madhu_vistara_42.0014_12.6121,Centro Yoga Madhu Vistara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/centro_yoga_madhu_vistara_42.0014_12.6121.json,custom
42.002872,12.623469,ov_wellbeat_42.0029_12.6235,WellBeat,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/wellbeat_42.0029_12.6235.json,custom
42.002540,12.624100,ov_tclub_fitness_center_42.0025_12.6241,TClub fitness center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/tclub_fitness_center_42.0025_12.6241.json,custom
41.998452,12.627029,ov_asd_roma_tamburello_mmxx_41.9985_12.6270,ASD Roma Tamburello MMXX,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/asd_roma_tamburello_mmxx_41.9985_12.6270.json,custom
41.996302,12.617048,ov_dance___art_41.9963_12.6170,Dance & Art,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/dance_art_41.9963_12.6170.json,custom
41.993916,12.620883,ov_studio_pilates_e_gyrotonic_fonte_nuova_41.9939_12.6209,Studio Pilates e Gyrotonic Fonte Nuova,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/studio_pilates_e_gyrotonic_fonte_nuova_41.9939_12.6209.json,custom
41.994169,12.621682,ov_danza_piu_41.9942_12.6217,Danza Piu,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/danza_piu_41.9942_12.6217.json,custom
41.995595,12.619075,ov_palestra_indian_41.9956_12.6191,Palestra Indian,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/palestra_indian_41.9956_12.6191.json,custom
41.988630,12.635807,ov_associazione_ippica_fonte_nuova_41.9886_12.6358,Associazione Ippica Fonte Nuova,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/associazione_ippica_fonte_nuova_41.9886_12.6358.json,custom
41.983465,12.653211,ov_asd_fonte_del_benessere_41.9835_12.6532,ASD Fonte del Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/asd_fonte_del_benessere_41.9835_12.6532.json,custom
41.981720,12.656316,ov_dance_studio_academy_41.9817_12.6563,Dance Studio Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/dance_studio_academy_41.9817_12.6563.json,custom
41.981670,12.656310,ov_rytmic_41.9817_12.6563,Rytmic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/rytmic_41.9817_12.6563.json,custom
41.986563,12.657525,ov_over_climb_41.9866_12.6575,Over Climb,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/over_climb_41.9866_12.6575.json,custom
41.999115,12.629650,ov_danzando____41.9991_12.6296,DanzAndo...,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/danzando_41.9991_12.6296.json,custom
42.014986,12.634229,ov_sab_fonte_nuova_basket_42.0150_12.6342,SAB Fonte Nuova Basket,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/sab_fonte_nuova_basket_42.0150_12.6342.json,custom
