# lat,lng,id,name,building_type,type,url,page_type
# San Giovanni la Punta -- Tutti
37.587635,15.102552,ov_arc_medical_group_clinica_dentale_e_poli_37.5876_15.1026,Arc Medical Group Clinica Dentale e Poliambulatorio Chirurgi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/arc_medical_group_clinica_dentale_e_poli_37.5876_15.1026.json,custom
37.561536,15.089314,ov_pizzeria_tosto_37.5615_15.0893,Pizzeria Tosto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_tosto_37.5615_15.0893.json,custom
37.565317,15.089966,ov_al_bocconcino_37.5653_15.0900,Al Bocconcino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/al_bocconcino_37.5653_15.0900.json,custom
37.565746,15.089908,ov_pizzeria_sale_e_pepe_37.5657_15.0899,Pizzeria Sale e Pepe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_sale_e_pepe_37.5657_15.0899.json,custom
37.566472,15.089867,ov_la_diavola_37.5665_15.0899,La Diavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/la_diavola_37.5665_15.0899.json,custom
37.569125,15.098443,ov_mcdonald_s_37.5691_15.0984,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/mcdonalds_37.5691_15.0984.json,custom
37.572500,15.086620,ov_tun____fisheria_sicula_37.5725_15.0866,Tunà - Fisheria Sicula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/tun_-_fisheria_sicula_37.5725_15.0866.json,custom
37.572568,15.086636,ov_senza_spine_37.5726_15.0866,Senza spine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/senza_spine_37.5726_15.0866.json,custom
37.573087,15.086979,ov_pizzeria_della_regione_37.5731_15.0870,Pizzeria della regione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_della_regione_37.5731_15.0870.json,custom
37.574619,15.090791,ov_giardino_di_bacco_37.5746_15.0908,Giardino di Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/giardino_di_bacco_37.5746_15.0908.json,custom
37.576908,15.094556,ov_alessio_pizzeria_37.5769_15.0946,Alessio Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/alessio_pizzeria_37.5769_15.0946.json,custom
37.577074,15.092101,ov_pizzeria_roma_37.5771_15.0921,Pizzeria Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_roma_37.5771_15.0921.json,custom
37.577075,15.089059,ov_m_ller_pizzeria_gourmet_37.5771_15.0891,Müller Pizzeria Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/mller_pizzeria_gourmet_37.5771_15.0891.json,custom
37.577143,15.087752,ov_pieroburger_37.5771_15.0878,Pieroburger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pieroburger_37.5771_15.0878.json,custom
37.577270,15.095160,ov_pizzeria_sale_e_pepe_ex_al_vicoletto_37.5773_15.0952,Pizzeria Sale e Pepe ex Al Vicoletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_sale_e_pepe_ex_al_vicoletto_37.5773_15.0952.json,custom
37.577307,15.095146,ov_pizzeria_la_rosa_37.5773_15.0951,Pizzeria La Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_la_rosa_37.5773_15.0951.json,custom
37.577630,15.093830,ov_pizzeria_al_13___a_37.5776_15.0938,Pizzeria Al 13 / A,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_al_13_a_37.5776_15.0938.json,custom
37.578694,15.095671,ov_pizzeria_manganelli_37.5787_15.0957,Pizzeria Manganelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_manganelli_37.5787_15.0957.json,custom
37.579090,15.095736,ov_gastronomia_girarrosto_longo_37.5791_15.0957,Gastronomia girarrosto longo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/gastronomia_girarrosto_longo_37.5791_15.0957.json,custom
37.580311,15.095889,ov_pizzeria_francone_37.5803_15.0959,Pizzeria Francone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_francone_37.5803_15.0959.json,custom
37.580990,15.090478,ov_la_capricciosa_37.5810_15.0905,La Capricciosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/la_capricciosa_37.5810_15.0905.json,custom
37.581858,15.092795,ov_girarrosto_san_giuseppe_37.5819_15.0928,Girarrosto San Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/girarrosto_san_giuseppe_37.5819_15.0928.json,custom
37.582360,15.092460,ov_panificio_semolino_37.5824_15.0925,Panificio Semolino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/panificio_semolino_37.5824_15.0925.json,custom
37.583026,15.093372,ov_cibus_37.5830_15.0934,Cibus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/cibus_37.5830_15.0934.json,custom
37.583181,15.093547,ov_pronto_pizza____e_37.5832_15.0935,Pronto Pizza ...E,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pronto_pizza_e_37.5832_15.0935.json,custom
37.583830,15.095440,ov_la_cirras_pinseria_originale_37.5838_15.0954,La Cirras pinseria originale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/la_cirras_pinseria_originale_37.5838_15.0954.json,custom
37.583845,15.096589,ov_rucola_e_grana_37.5838_15.0966,Rucola e Grana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/rucola_e_grana_37.5838_15.0966.json,custom
37.583916,15.095649,ov_fratelli_dell_acqua_srl_37.5839_15.0956,Fratelli Dell'acqua SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/fratelli_dellacqua_srl_37.5839_15.0956.json,custom
37.584081,15.103398,ov_sushi_nikko_37.5841_15.1034,Sushi Nikko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/sushi_nikko_37.5841_15.1034.json,custom
37.583811,15.103326,ov_mcdonald_s_37.5838_15.1033,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/mcdonalds_37.5838_15.1033.json,custom
37.583651,15.103603,ov_fratelli_la_bufala_37.5837_15.1036,Fratelli La Bufala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/fratelli_la_bufala_37.5837_15.1036.json,custom
37.585020,15.103268,ov_kfc_37.5850_15.1033,KFC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/kfc_37.5850_15.1033.json,custom
37.584973,15.104581,ov_bac__37.5850_15.1046,Bacù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bac_37.5850_15.1046.json,custom
37.584926,15.104687,ov_burg_officina_della_carne_37.5849_15.1047,Burg Officina Della carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/burg_officina_della_carne_37.5849_15.1047.json,custom
37.584846,15.104810,ov_zangaloro_meat_factory_37.5848_15.1048,Zangaloro Meat Factory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/zangaloro_meat_factory_37.5848_15.1048.json,custom
37.584453,15.105104,ov_old_wild_west_catania_i_portali_37.5845_15.1051,Old Wild West Catania I Portali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/old_wild_west_catania_i_portali_37.5845_15.1051.json,custom
37.584713,15.096169,ov_pizzeria_mondo_pizza_di_mario_grillo_37.5847_15.0962,Pizzeria Mondo Pizza di Mario Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_mondo_pizza_di_mario_grillo_37.5847_15.0962.json,custom
37.590742,15.101692,ov_rossopomodoro_catania_37.5907_15.1017,Rossopomodoro Catania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/rossopomodoro_catania_37.5907_15.1017.json,custom
37.581585,15.086020,ov_parisi_37.5816_15.0860,Parisi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/parisi_37.5816_15.0860.json,custom
37.571910,15.086531,ov_bar_maugeri_37.5719_15.0865,Bar Maugeri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bar_maugeri_37.5719_15.0865.json,custom
37.561315,15.089569,ov_non_solo_caffe_37.5613_15.0896,Non Solo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/non_solo_caffe_37.5613_15.0896.json,custom
37.563086,15.089808,ov_cookie_club_37.5631_15.0898,Cookie Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/cookie_club_37.5631_15.0898.json,custom
37.564308,15.089749,ov_bar_trappeto_37.5643_15.0897,Bar Trappeto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bar_trappeto_37.5643_15.0897.json,custom
37.564177,15.090731,ov_chioscobar_domusbet_37.5642_15.0907,ChioscoBar DomusBet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/chioscobar_domusbet_37.5642_15.0907.json,custom
37.564465,15.089776,ov_mariposa_bar_trappeto_37.5645_15.0898,Mariposa Bar Trappeto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/mariposa_bar_trappeto_37.5645_15.0898.json,custom
37.565229,15.089958,ov_caff__midani___cialde___capsule_37.5652_15.0900,Caffè Midani - Cialde & Capsule,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/caff_midani_-_cialde_capsule_37.5652_15.0900.json,custom
37.574598,15.102840,ov_pocket_caffe_37.5746_15.1028,Pocket Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pocket_caffe_37.5746_15.1028.json,custom
37.575210,15.087857,ov_rifugio_citelli_etna_nord_1741_metri_s_l_37.5752_15.0879,Rifugio Citelli Etna Nord 1741 Metri S.L.M.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/rifugio_citelli_etna_nord_1741_metri_slm_37.5752_15.0879.json,custom
37.575400,15.088344,ov_gran_caff__agor__37.5754_15.0883,Gran Caffè Agorà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/gran_caff_agor_37.5754_15.0883.json,custom
37.576164,15.097791,ov_enoteca_antiche_tradizioni_37.5762_15.0978,Enoteca Antiche Tradizioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/enoteca_antiche_tradizioni_37.5762_15.0978.json,custom
37.576651,15.088835,ov_new_bar_spina_37.5767_15.0888,New Bar Spina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/new_bar_spina_37.5767_15.0888.json,custom
37.577371,15.095055,ov_bar_centrale_srl_37.5774_15.0951,Bar Centrale Srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bar_centrale_srl_37.5774_15.0951.json,custom
37.577754,15.093321,ov_leonardo_caffe_37.5778_15.0933,Leonardo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/leonardo_caffe_37.5778_15.0933.json,custom
37.578331,15.095178,ov_freeborn_pub_37.5783_15.0952,Freeborn Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/freeborn_pub_37.5783_15.0952.json,custom
37.578742,15.094828,ov_moonshiners_pub_37.5787_15.0948,Moonshiners Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/moonshiners_pub_37.5787_15.0948.json,custom
37.579182,15.095604,ov_amplifon_piazza_principe_manganelli__san_37.5792_15.0956,"Amplifon Piazza Principe Manganelli, San Giovanni La Punta",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/amplifon_piazza_principe_manganelli_san__37.5792_15.0956.json,custom
37.579733,15.093963,ov_bertolo_caf_37.5797_15.0940,Bertolo Caf,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bertolo_caf_37.5797_15.0940.json,custom
37.581344,15.090724,ov_bar_santa_lucia_37.5813_15.0907,Bar Santa Lucia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bar_santa_lucia_37.5813_15.0907.json,custom
37.583022,15.093371,ov_bar_ventura_37.5830_15.0934,Bar ventura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bar_ventura_37.5830_15.0934.json,custom
37.583519,15.103348,ov_enjoy_pub_37.5835_15.1033,Enjoy Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/enjoy_pub_37.5835_15.1033.json,custom
37.583392,15.092392,ov_caff__crema_di_lanza_antonino_37.5834_15.0924,Caffè Crema Di Lanza Antonino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/caff_crema_di_lanza_antonino_37.5834_15.0924.json,custom
37.583528,15.094520,ov_enoteca_perbacco_37.5835_15.0945,Enoteca Perbacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/enoteca_perbacco_37.5835_15.0945.json,custom
37.583623,15.096148,ov_chiosco_bar_michelino_37.5836_15.0961,Chiosco Bar Michelino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/chiosco_bar_michelino_37.5836_15.0961.json,custom
37.583640,15.103458,ov_bus_cafe_37.5836_15.1035,Bus Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bus_cafe_37.5836_15.1035.json,custom
37.583597,15.103396,ov_enjoy_fish_37.5836_15.1034,ENJOY FISH,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/enjoy_fish_37.5836_15.1034.json,custom
37.584846,15.104538,ov_pasticceria_reale_by_poket_caff__37.5848_15.1045,Pasticceria Reale by Poket Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pasticceria_reale_by_poket_caff_37.5848_15.1045.json,custom
37.587092,15.101540,ov_zaga_lounge_bar_37.5871_15.1015,Zaga Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/zaga_lounge_bar_37.5871_15.1015.json,custom
37.587402,15.102999,ov_siqulo_coffee_house_37.5874_15.1030,siQulo coffee house,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/siqulo_coffee_house_37.5874_15.1030.json,custom
37.583379,15.103323,osm_enjoy_pub_37.5834_15.1033,ENJOY PUB,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/enjoy_pub_37.5834_15.1033.json,custom
37.591726,15.084042,ov_rose_ranch_maneggio_37.5917_15.0840,Rose ranch maneggio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/rose_ranch_maneggio_37.5917_15.0840.json,custom
37.576328,15.086359,ov_bodyfight___new_body_fight__palestra_37.5763_15.0864,BODYFIGHT - New Body Fight- Palestra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/bodyfight_-_new_body_fight-_palestra_37.5763_15.0864.json,custom
37.559835,15.089625,ov_mimmergo_diving_school_37.5598_15.0896,Mimmergo Diving School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/mimmergo_diving_school_37.5598_15.0896.json,custom
37.568371,15.087367,ov_daniela_libra_pilates_academy_37.5684_15.0874,Daniela Libra Pilates Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/daniela_libra_pilates_academy_37.5684_15.0874.json,custom
37.572565,15.089321,ov_armonia_danza_e_studio_37.5726_15.0893,Armonia Danza e Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/armonia_danza_e_studio_37.5726_15.0893.json,custom
37.573314,15.100122,ov_purnima_centro_yoga_37.5733_15.1001,Purnima Centro Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/purnima_centro_yoga_37.5733_15.1001.json,custom
37.573840,15.106090,ov_new_fitness_37.5738_15.1061,New Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/new_fitness_37.5738_15.1061.json,custom
37.574278,15.091851,ov_selleria_sciacca_37.5743_15.0919,Selleria Sciacca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/selleria_sciacca_37.5743_15.0919.json,custom
37.574270,15.092486,ov_blacksoul_fitness_37.5743_15.0925,BlackSoul Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/blacksoul_fitness_37.5743_15.0925.json,custom
37.575790,15.097017,ov_escuela_de_baile_cubach__37.5758_15.0970,Escuela De Baile Cubaché,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/escuela_de_baile_cubach_37.5758_15.0970.json,custom
37.576632,15.109654,ov_a_s_d__jamming_palestre_37.5766_15.1097,A.S.D. Jamming Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/asd_jamming_palestre_37.5766_15.1097.json,custom
37.579254,15.090061,ov_cubanito_dance_37.5793_15.0901,Cubanito Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/cubanito_dance_37.5793_15.0901.json,custom
37.583140,15.093739,ov_alpha_fitness_a_s_d_37.5831_15.0937,Alpha Fitness a.s.d,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/alpha_fitness_asd_37.5831_15.0937.json,custom
37.583214,15.093685,ov_aim_art_in_motion_37.5832_15.0937,AIM Art In Motion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/aim_art_in_motion_37.5832_15.0937.json,custom
37.583508,15.093923,ov_abbiamo_37.5835_15.0939,Abbiamo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/abbiamo_37.5835_15.0939.json,custom
37.584063,15.103347,ov_frenz_37.5841_15.1033,FRENZ,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/frenz_37.5841_15.1033.json,custom
37.585014,15.105087,ov_q_fun_laser_game_i_portali_37.5850_15.1051,Q Fun Laser Game I Portali,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/q_fun_laser_game_i_portali_37.5850_15.1051.json,custom
37.587185,15.103878,ov_fitactive_catania_le_zagare_37.5872_15.1039,FitActive Catania Le Zagare,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/fitactive_catania_le_zagare_37.5872_15.1039.json,custom
37.591963,15.077150,ov_museo_la_contea_del_caravaggio_37.5920_15.0772,Museo La Contea Del Caravaggio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/museo_la_contea_del_caravaggio_37.5920_15.0772.json,custom
