# lat,lng,id,name,building_type,type,url,page_type
# assemini -- Tutti
39.287262,9.013933,ov_progetto_crescere_39.2873_9.0139,Progetto Crescere,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/progetto_crescere_39.2873_9.0139.json,custom
39.287891,9.009684,ov_smart_barristorantepizzeria_39.2879_9.0097,Smart Barristorantepizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/smart_barristorantepizzeria_39.2879_9.0097.json,custom
39.284506,9.009811,ov_lo_squisito_assemini_39.2845_9.0098,Lo Squisito Assemini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/lo_squisito_assemini_39.2845_9.0098.json,custom
39.284357,9.009669,ov_bun_bun___custom_burger_39.2844_9.0097,Bun Bun - Custom Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/bun_bun_-_custom_burger_39.2844_9.0097.json,custom
39.286112,9.006539,ov_pastificio_nonna_claudia_39.2861_9.0065,Pastificio Nonna Claudia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pastificio_nonna_claudia_39.2861_9.0065.json,custom
39.284142,9.010730,ov_malloci_bar_pizzeria___grill_39.2841_9.0107,Malloci Bar Pizzeria & Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/malloci_bar_pizzeria_grill_39.2841_9.0107.json,custom
39.284598,9.011432,ov_bacco_39.2846_9.0114,Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/bacco_39.2846_9.0114.json,custom
39.282590,9.000220,ov_imperium_assemini_39.2826_9.0002,Imperium Assemini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/imperium_assemini_39.2826_9.0002.json,custom
39.286617,9.005874,ov_su_stampu_pizzeria_assemini_39.2866_9.0059,Su Stampu Pizzeria Assemini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/su_stampu_pizzeria_assemini_39.2866_9.0059.json,custom
39.287549,9.006054,ov_fast_food_coccode_39.2875_9.0061,Fast Food Coccode,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/fast_food_coccode_39.2875_9.0061.json,custom
39.287230,9.002915,ov_la_schiacciata_39.2872_9.0029,La Schiacciata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/la_schiacciata_39.2872_9.0029.json,custom
39.289743,8.997753,ov_piazza_san_pietro_39.2897_8.9978,Piazza San Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/piazza_san_pietro_39.2897_8.9978.json,custom
39.280528,9.019633,ov_lo_squisito_39.2805_9.0196,Lo Squisito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/lo_squisito_39.2805_9.0196.json,custom
39.281138,9.018111,ov_i_love_cozzeria_39.2811_9.0181,I Love Cozzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/i_love_cozzeria_39.2811_9.0181.json,custom
39.283514,9.014435,ov_mia_pokeria_39.2835_9.0144,Mia Pokeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/mia_pokeria_39.2835_9.0144.json,custom
39.279296,9.021687,ov_da_pablo_39.2793_9.0217,Da Pablo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/da_pablo_39.2793_9.0217.json,custom
39.285903,9.044664,ov_ristorante_agriturismo_riu_sa_murta_39.2859_9.0447,Ristorante Agriturismo Riu Sa Murta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/ristorante_agriturismo_riu_sa_murta_39.2859_9.0447.json,custom
39.212427,8.945963,ov_agriturismo_s__lucia_39.2124_8.9460,Agriturismo S. Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/agriturismo_s_lucia_39.2124_8.9460.json,custom
39.223456,9.124975,ov_la_bottega_dei_sapori_39.2235_9.1250,La Bottega dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/la_bottega_dei_sapori_39.2235_9.1250.json,custom
39.282879,9.013284,osm_pizzeria_buonasera_39.2829_9.0133,Pizzeria Buonasera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_buonasera_39.2829_9.0133.json,custom
39.287298,9.005116,osm_orion___pizza_experience_39.2873_9.0051,Orion - Pizza Experience,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/orion_-_pizza_experience_39.2873_9.0051.json,custom
39.286597,9.005808,osm_pizzeria_su_stampu_39.2866_9.0058,Pizzeria Su Stampu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_su_stampu_39.2866_9.0058.json,custom
39.290387,9.000490,osm_pizzeria_giorin_39.2904_9.0005,Pizzeria Giorin,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_giorin_39.2904_9.0005.json,custom
39.295381,9.012115,osm_agriturismo_is_scalas_39.2954_9.0121,Agriturismo Is Scalas,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/agriturismo_is_scalas_39.2954_9.0121.json,custom
39.290881,9.013714,ov_cafe_miro_39.2909_9.0137,Cafe Miro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/cafe_miro_39.2909_9.0137.json,custom
39.298988,8.995830,ov_bar_mosa_39.2990_8.9958,Bar MoSa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/bar_mosa_39.2990_8.9958.json,custom
39.292290,8.995890,ov_pasticceria_barjolly_1966_39.2923_8.9959,Pasticceria barjolly 1966,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pasticceria_barjolly_1966_39.2923_8.9959.json,custom
39.292197,8.995280,ov_new_bar_mexico_assemini_di_simone_mameli_39.2922_8.9953,New Bar Mexico Assemini di Simone Mameli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/new_bar_mexico_assemini_di_simone_mameli_39.2922_8.9953.json,custom
39.293130,8.994760,ov_dan_cocktail_bar_39.2931_8.9948,Dan cocktail bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/dan_cocktail_bar_39.2931_8.9948.json,custom
39.292920,8.993830,ov_gato_gordo_snack_bar_caffetteria_39.2929_8.9938,Gato Gordo Snack Bar Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/gato_gordo_snack_bar_caffetteria_39.2929_8.9938.json,custom
39.291566,8.997552,ov_il_caff__degli_abbracci_39.2916_8.9976,Il Caffè degli Abbracci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/il_caff_degli_abbracci_39.2916_8.9976.json,custom
39.290731,8.999297,ov_pasticceria_pizzeria_mignon_39.2907_8.9993,Pasticceria Pizzeria Mignon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pasticceria_pizzeria_mignon_39.2907_8.9993.json,custom
39.290547,8.999719,ov_caffetteria_2005_da_corrado_39.2905_8.9997,Caffetteria 2005 Da Corrado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/caffetteria_2005_da_corrado_39.2905_8.9997.json,custom
39.295083,9.003191,ov_white_mage_39.2951_9.0032,White Mage,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/white_mage_39.2951_9.0032.json,custom
39.295411,9.004129,ov_daluef_39.2954_9.0041,Daluef,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/daluef_39.2954_9.0041.json,custom
39.292473,9.009357,ov_cafe_lumiere_39.2925_9.0094,Cafe Lumiere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/cafe_lumiere_39.2925_9.0094.json,custom
39.290100,9.012510,ov_dulcis_assemini_39.2901_9.0125,Dulcis Assemini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/dulcis_assemini_39.2901_9.0125.json,custom
39.289182,9.011476,ov_al_t_bar_di_deidda_rosalba_39.2892_9.0115,Al T bar di Deidda Rosalba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/al_t_bar_di_deidda_rosalba_39.2892_9.0115.json,custom
39.290180,9.011490,ov_the_first_bar__ricevitoria__floris_tedde_39.2902_9.0115,"The first bar ,ricevitoria, Floris Tedde",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/the_first_bar_ricevitoria_floris_tedde_39.2902_9.0115.json,custom
39.289909,9.007056,ov_cafe_terre_cotte_39.2899_9.0071,Cafe Terre Cotte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/cafe_terre_cotte_39.2899_9.0071.json,custom
39.290105,9.007000,ov_il_tempio_39.2901_9.0070,Il tempio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/il_tempio_39.2901_9.0070.json,custom
39.286941,9.006572,ov_b__one_di_spina_39.2869_9.0066,B. One di Spina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/b_one_di_spina_39.2869_9.0066.json,custom
39.287911,9.008247,ov_esse_caffe_39.2879_9.0082,Esse Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/esse_caffe_39.2879_9.0082.json,custom
39.287437,9.009258,ov_five_sister_39.2874_9.0093,Five Sister,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/five_sister_39.2874_9.0093.json,custom
39.284965,9.008841,ov_caf__del_carmine_39.2850_9.0088,Cafè del Carmine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/caf_del_carmine_39.2850_9.0088.json,custom
39.285042,9.008250,ov_il_massimo_del_caffe_39.2850_9.0083,Il Massimo Del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/il_massimo_del_caffe_39.2850_9.0083.json,custom
39.285338,9.007822,ov_teaspoon_di_marta_atzeni_39.2853_9.0078,Teaspoon Di Marta Atzeni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/teaspoon_di_marta_atzeni_39.2853_9.0078.json,custom
39.285490,9.006874,ov_phoenix_pub_39.2855_9.0069,Phoenix Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/phoenix_pub_39.2855_9.0069.json,custom
39.285050,9.006460,ov_sala_biliardo___il_filotto_39.2850_9.0065,Sala biliardo - Il Filotto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/sala_biliardo_-_il_filotto_39.2850_9.0065.json,custom
39.283042,9.012803,ov_antique_caf__lounge_bar_39.2830_9.0128,Antique Cafè Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/antique_caf_lounge_bar_39.2830_9.0128.json,custom
39.286198,9.006419,ov_caf__renoir_39.2862_9.0064,Cafè Renoir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/caf_renoir_39.2862_9.0064.json,custom
39.287021,9.006069,ov_plus_caffe_bar___shop_assemini_39.2870_9.0061,Plus Caffe Bar & Shop Assemini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/plus_caffe_bar_shop_assemini_39.2870_9.0061.json,custom
39.289811,9.001200,ov_gasthaus_39.2898_9.0012,Gasthaus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/gasthaus_39.2898_9.0012.json,custom
39.289205,8.997589,ov_elos_cafe_39.2892_8.9976,Elos Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/elos_cafe_39.2892_8.9976.json,custom
39.283974,9.018447,ov_ichnos_cafe_39.2840_9.0184,Ichnos cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/ichnos_cafe_39.2840_9.0184.json,custom
39.283143,9.000234,osm_gaud__39.2831_9.0002,Gaudì,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/gaud_39.2831_9.0002.json,custom
39.280131,9.020305,osm_scream_coffe_and_drink_39.2801_9.0203,Scream Coffe and Drink,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/scream_coffe_and_drink_39.2801_9.0203.json,custom
39.287281,9.005157,osm_orion_lounge_bar_39.2873_9.0052,Orion Lounge Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/orion_lounge_bar_39.2873_9.0052.json,custom
39.286198,9.006419,osm_bar_caf__renoir_39.2862_9.0064,Bar Café Renoir,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/bar_caf_renoir_39.2862_9.0064.json,custom
39.286204,9.006376,osm_murphy_s_pub_39.2862_9.0064,MURPHY'S PUB,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/murphys_pub_39.2862_9.0064.json,custom
39.281160,9.020781,osm_ta_bonu_relax___lounge_39.2812_9.0208,Ta bonu Relax & Lounge,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/ta_bonu_relax_lounge_39.2812_9.0208.json,custom
39.283007,9.012901,osm_antique_caf__39.2830_9.0129,Antique Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/antique_caf_39.2830_9.0129.json,custom
39.297239,9.001057,osm_tizian_bar_caffetteria_39.2972_9.0011,Tizian Bar Caffetteria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/tizian_bar_caffetteria_39.2972_9.0011.json,custom
39.298669,8.995788,osm_disigius_39.2987_8.9958,Disigius,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/disigius_39.2987_8.9958.json,custom
39.297636,8.994729,osm_la_palma_bar_39.2976_8.9947,La Palma Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/la_palma_bar_39.2976_8.9947.json,custom
39.291403,9.013887,ov_team_kgb_gym_39.2914_9.0139,Team Kgb Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/team_kgb_gym_39.2914_9.0139.json,custom
39.298817,8.998392,ov_vivir_danzando_ssd_39.2988_8.9984,Vivir Danzando SSD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/vivir_danzando_ssd_39.2988_8.9984.json,custom
39.300318,8.996372,ov_is_molentis_39.3003_8.9964,Is Molentis,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/is_molentis_39.3003_8.9964.json,custom
39.300260,8.993740,ov_suspension_training_studios_39.3003_8.9937,Suspension training studios,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/suspension_training_studios_39.3003_8.9937.json,custom
39.293010,9.000218,ov_areafit_39.2930_9.0002,Areafit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/areafit_39.2930_9.0002.json,custom
39.292984,8.999893,ov_graziella_atzori_ginnastica_finalizzata__39.2930_8.9999,Graziella Atzori Ginnastica finalizzata alla salute e al fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/graziella_atzori_ginnastica_finalizzata__39.2930_8.9999.json,custom
39.294352,9.001570,ov_military_gym_garage_39.2944_9.0016,Military Gym Garage,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/military_gym_garage_39.2944_9.0016.json,custom
39.293637,9.002694,ov_giochi_e_party_39.2936_9.0027,Giochi e Party,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/giochi_e_party_39.2936_9.0027.json,custom
39.293009,9.005568,ov_emoxion_romyfit_39.2930_9.0056,Emoxion romyfit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/emoxion_romyfit_39.2930_9.0056.json,custom
39.295986,9.003663,ov_martin_s_latin_club_39.2960_9.0037,Martin's Latin Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/martins_latin_club_39.2960_9.0037.json,custom
39.295882,9.003832,ov_my_cocoon_39.2959_9.0038,My Cocoon,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/my_cocoon_39.2959_9.0038.json,custom
39.296611,9.005083,ov_palestra_rael_assemini_39.2966_9.0051,Palestra Rael Assemini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/palestra_rael_assemini_39.2966_9.0051.json,custom
