# lat,lng,id,name,building_type,type,url,page_type
# nichelino -- Tutti
44.994816,7.651064,ov_grfisio___massofisioterapia___nutrizione_44.9948_7.6511,GRFisio - Massofisioterapia & Nutrizione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/grfisio_-_massofisioterapia_nutrizione_44.9948_7.6511.json,custom
44.990000,7.620000,ov_mcdonald_s_44.9900_7.6200,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/mcdonalds_44.9900_7.6200.json,custom
44.988264,7.621728,ov_erbavoglio_lab_ristorante_44.9883_7.6217,Erbavoglio Lab Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/erbavoglio_lab_ristorante_44.9883_7.6217.json,custom
44.986737,7.620966,ov_old_wild_west_44.9867_7.6210,Old Wild West,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/old_wild_west_44.9867_7.6210.json,custom
44.984354,7.622254,ov_roadhouse_restaurant_44.9844_7.6223,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/roadhouse_restaurant_44.9844_7.6223.json,custom
44.984364,7.622114,ov_billy_tacos_44.9844_7.6221,Billy Tacos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/billy_tacos_44.9844_7.6221.json,custom
44.984856,7.621396,ov_mcdonald_s_44.9849_7.6214,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/mcdonalds_44.9849_7.6214.json,custom
44.985840,7.619230,ov_machapok__44.9858_7.6192,MACHAPOKÉ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/machapok_44.9858_7.6192.json,custom
44.985840,7.619230,ov_pizzikotto___pizzeria___lifferia_44.9858_7.6192,Pizzikotto - Pizzeria & Lifferia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pizzikotto_-_pizzeria_lifferia_44.9858_7.6192.json,custom
44.985639,7.619752,ov_vinovo_mondojuve_44.9856_7.6198,Vinovo Mondojuve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/vinovo_mondojuve_44.9856_7.6198.json,custom
44.984359,7.631322,ov_roadhouse_restaurant_44.9844_7.6313,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/roadhouse_restaurant_44.9844_7.6313.json,custom
44.983686,7.633429,ov_pasticceria_listi_44.9837_7.6334,Pasticceria listi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pasticceria_listi_44.9837_7.6334.json,custom
44.982263,7.620051,ov_old_wild_west___vinovo_mondojuve_44.9823_7.6201,Old Wild West - Vinovo Mondojuve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/old_wild_west_-_vinovo_mondojuve_44.9823_7.6201.json,custom
44.981098,7.634868,ov_selfie_food_44.9811_7.6349,Selfie Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/selfie_food_44.9811_7.6349.json,custom
44.974530,7.628940,ov_bar_ristoro_pizzeria_mauro___staff_44.9745_7.6289,Bar-Ristoro-Pizzeria Mauro & Staff,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/bar-ristoro-pizzeria_mauro_staff_44.9745_7.6289.json,custom
45.002148,7.659842,ov_pizzeria_fratelli_pupillo_45.0021_7.6598,Pizzeria Fratelli Pupillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pizzeria_fratelli_pupillo_45.0021_7.6598.json,custom
44.990625,7.659220,ov_il_pergolato_44.9906_7.6592,Il Pergolato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/il_pergolato_44.9906_7.6592.json,custom
44.981519,7.644507,ov_autogrill_44.9815_7.6445,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/autogrill_44.9815_7.6445.json,custom
44.985223,7.649616,ov_fattoria_didattica_il_giardino_dei_sapor_44.9852_7.6496,Fattoria Didattica Il Giardino dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/fattoria_didattica_il_giardino_dei_sapor_44.9852_7.6496.json,custom
44.991935,7.643174,ov_pegaso_44.9919_7.6432,Pegaso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pegaso_44.9919_7.6432.json,custom
44.993153,7.644407,ov_il_mangione_44.9932_7.6444,Il Mangione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/il_mangione_44.9932_7.6444.json,custom
44.992632,7.644113,ov_istanbul_44.9926_7.6441,Istanbul,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/istanbul_44.9926_7.6441.json,custom
44.993502,7.645153,ov_brasserie_la_griglia_44.9935_7.6452,Brasserie La Griglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/brasserie_la_griglia_44.9935_7.6452.json,custom
44.994009,7.645299,ov_sos_pizza_and_pasta_44.9940_7.6453,SOS Pizza and Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/sos_pizza_and_pasta_44.9940_7.6453.json,custom
44.992137,7.646975,ov_allabocciofila_risto_bistr__44.9921_7.6470,Allabocciofila Risto&Bistrò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/allabocciofila_ristobistr_44.9921_7.6470.json,custom
44.994295,7.648696,ov_mizzica___trattoria_siciliana___pizzeria_44.9943_7.6487,MIZZICA - Trattoria siciliana & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/mizzica_-_trattoria_siciliana_pizzeria_44.9943_7.6487.json,custom
44.988650,7.655780,ov_home_restaurant_profumi_in_cucina_44.9886_7.6558,Home Restaurant Profumi in cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/home_restaurant_profumi_in_cucina_44.9886_7.6558.json,custom
44.992569,7.654822,ov_pizzeria_giusti_44.9926_7.6548,Pizzeria Giusti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pizzeria_giusti_44.9926_7.6548.json,custom
44.993189,7.655450,ov_diecimila48_44.9932_7.6555,Diecimila48,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/diecimila48_44.9932_7.6555.json,custom
44.993424,7.655250,ov_il_chiodo_fisso_44.9934_7.6552,Il Chiodo Fisso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/il_chiodo_fisso_44.9934_7.6552.json,custom
44.992659,7.654575,ov_il_chiacchierone_44.9927_7.6546,Il Chiacchierone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/il_chiacchierone_44.9927_7.6546.json,custom
44.998687,7.654039,ov_da_zio_44.9987_7.6540,Da Zio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/da_zio_44.9987_7.6540.json,custom
45.001982,7.655310,ov_xia_sushi_45.0020_7.6553,Xia Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/xia_sushi_45.0020_7.6553.json,custom
45.001877,7.655309,ov_ristorante_cinese_corona_di_giada_45.0019_7.6553,Ristorante Cinese Corona Di Giada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/ristorante_cinese_corona_di_giada_45.0019_7.6553.json,custom
45.001283,7.654565,ov_le_tre_chiavi_45.0013_7.6546,Le Tre Chiavi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/le_tre_chiavi_45.0013_7.6546.json,custom
45.001280,7.654569,ov_ristorante_i_tre_scalini_45.0013_7.6546,Ristorante I Tre Scalini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/ristorante_i_tre_scalini_45.0013_7.6546.json,custom
45.002198,7.654862,ov_l_arepa_45.0022_7.6549,L'Arepa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/larepa_45.0022_7.6549.json,custom
45.002402,7.653984,ov_pizzeria_willy_2_0_45.0024_7.6540,Pizzeria Willy 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pizzeria_willy_20_45.0024_7.6540.json,custom
45.001895,7.652940,ov_mole_poke_nichelino_45.0019_7.6529,Mole Poke Nichelino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/mole_poke_nichelino_45.0019_7.6529.json,custom
45.000441,7.653839,ov_ristorante_pasta_doc_45.0004_7.6538,Ristorante Pasta Doc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/ristorante_pasta_doc_45.0004_7.6538.json,custom
45.000083,7.653136,ov_ma_che_pizza_45.0001_7.6531,Ma Che Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/ma_che_pizza_45.0001_7.6531.json,custom
44.999402,7.652421,ov_peretti_alimentari_44.9994_7.6524,Peretti Alimentari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/peretti_alimentari_44.9994_7.6524.json,custom
44.999753,7.652874,ov_amata_s_pizza_44.9998_7.6529,Amata's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/amatas_pizza_44.9998_7.6529.json,custom
45.002133,7.651592,ov_viaggio_pizza_and_co_45.0021_7.6516,Viaggio Pizza and Co,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/viaggio_pizza_and_co_45.0021_7.6516.json,custom
45.001971,7.650379,ov_il_turacciolo_trattoria_45.0020_7.6504,Il Turacciolo Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/il_turacciolo_trattoria_45.0020_7.6504.json,custom
44.996890,7.649406,ov_girarrosti_santa_rita_44.9969_7.6494,Girarrosti Santa Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/girarrosti_santa_rita_44.9969_7.6494.json,custom
44.994892,7.648432,ov_montersino_44.9949_7.6484,Montersino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/montersino_44.9949_7.6484.json,custom
44.996274,7.648741,ov_pasticceria_torino_di_forcina_franco_44.9963_7.6487,Pasticceria Torino di Forcina Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pasticceria_torino_di_forcina_franco_44.9963_7.6487.json,custom
44.998674,7.643265,ov_ristorante_balubino_44.9987_7.6433,Ristorante Balubino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/ristorante_balubino_44.9987_7.6433.json,custom
44.999389,7.643596,ov_teddy_s_hot_chick_rosticceria_44.9994_7.6436,Teddy's Hot Chick Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/teddys_hot_chick_rosticceria_44.9994_7.6436.json,custom
45.003980,7.646250,ov_officine_italiane_2_0_45.0040_7.6463,Officine Italiane 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/officine_italiane_20_45.0040_7.6463.json,custom
45.002828,7.651131,ov_sant_andrea_45.0028_7.6511,Sant'Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/santandrea_45.0028_7.6511.json,custom
45.002789,7.655758,ov_la_bottega_del_pasticcere_45.0028_7.6558,La Bottega del Pasticcere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/la_bottega_del_pasticcere_45.0028_7.6558.json,custom
45.005032,7.656515,ov_chapeau_pizza_kebab_45.0050_7.6565,Chapeau Pizza Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/chapeau_pizza_kebab_45.0050_7.6565.json,custom
45.005508,7.656779,ov_l_appetito_45.0055_7.6568,L'Appetito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/lappetito_45.0055_7.6568.json,custom
45.004342,7.660989,ov_mario_s_house_45.0043_7.6610,Mario's House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/marios_house_45.0043_7.6610.json,custom
45.005066,7.658549,ov_made_in_sicily_45.0051_7.6585,Made in Sicily,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/made_in_sicily_45.0051_7.6585.json,custom
45.004766,7.658366,ov_il_16_latino_45.0048_7.6584,Il 16 Latino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/il_16_latino_45.0048_7.6584.json,custom
45.004883,7.658308,ov_pizzeria_new_moon_45.0049_7.6583,Pizzeria New Moon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pizzeria_new_moon_45.0049_7.6583.json,custom
45.004099,7.662222,ov_ristorante_la_nuova_dionisio_45.0041_7.6622,Ristorante La Nuova Dionisio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/ristorante_la_nuova_dionisio_45.0041_7.6622.json,custom
44.994959,7.646697,osm_cento88_44.9950_7.6467,Cento88,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/cento88_44.9950_7.6467.json,custom
45.006117,7.622739,ov_befed_nichelino_45.0061_7.6227,BEFED Nichelino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/befed_nichelino_45.0061_7.6227.json,custom
45.005581,7.622255,ov_tipyk_45.0056_7.6223,Tipyk,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/tipyk_45.0056_7.6223.json,custom
45.005472,7.628719,ov_sina_bar_45.0055_7.6287,Sina Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/sina_bar_45.0055_7.6287.json,custom
45.001817,7.642455,ov_caff__rodari_45.0018_7.6425,Caffè Rodari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/caff_rodari_45.0018_7.6425.json,custom
45.001641,7.638226,ov_clarinetto_caffe_45.0016_7.6382,Clarinetto Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/clarinetto_caffe_45.0016_7.6382.json,custom
45.001223,7.633176,ov_caffetteria_delle_alpi_45.0012_7.6332,Caffetteria delle Alpi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/caffetteria_delle_alpi_45.0012_7.6332.json,custom
44.997843,7.606887,ov_caff__villa_reale_44.9978_7.6069,Caffè Villa Reale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/caff_villa_reale_44.9978_7.6069.json,custom
44.998694,7.640715,ov_il_caff__quotidiano_44.9987_7.6407,Il Caffè Quotidiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/il_caff_quotidiano_44.9987_7.6407.json,custom
44.995620,7.635100,ov_nichelino_zona_coop_44.9956_7.6351,Nichelino Zona Coop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/nichelino_zona_coop_44.9956_7.6351.json,custom
44.995112,7.636770,ov_bar_edicola_isaedo_44.9951_7.6368,Bar edicola Isaedo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/bar_edicola_isaedo_44.9951_7.6368.json,custom
44.994083,7.637261,ov_bar_castello_di_yuri_e__tatiana_44.9941_7.6373,Bar Castello di Yuri e  Tatiana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/bar_castello_di_yuri_e_tatiana_44.9941_7.6373.json,custom
44.990659,7.641612,ov_caffe_torino_44.9907_7.6416,Caffe Torino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/caffe_torino_44.9907_7.6416.json,custom
44.988323,7.624633,ov_bar_golosia_44.9883_7.6246,Bar Golosia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/bar_golosia_44.9883_7.6246.json,custom
44.983393,7.620645,ov_c_house_44.9834_7.6206,C House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/c_house_44.9834_7.6206.json,custom
44.982148,7.620267,ov_sushiko_nichelino_44.9821_7.6203,Sushiko Nichelino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/sushiko_nichelino_44.9821_7.6203.json,custom
44.980010,7.627860,ov_pit_stop_caf__44.9800_7.6279,Pit Stop Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/pit_stop_caf_44.9800_7.6279.json,custom
44.988502,7.643008,ov_caffe_oltrestazione_44.9885_7.6430,Caffe Oltrestazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/caffe_oltrestazione_44.9885_7.6430.json,custom
44.994013,7.645803,ov_bar_rikaroka_44.9940_7.6458,Bar Rikaroka,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/bar_rikaroka_44.9940_7.6458.json,custom
44.990914,7.655019,ov_bar_kennedy_44.9909_7.6550,Bar Kennedy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/bar_kennedy_44.9909_7.6550.json,custom
44.992647,7.654681,ov_palma_caff___da_gianni_e_monica__44.9926_7.6547,Palma Caffè (Da Gianni e Monica),RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/palma_caff_da_gianni_e_monica_44.9926_7.6547.json,custom
44.995584,7.651777,ov_white_corner_44.9956_7.6518,White Corner,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/white_corner_44.9956_7.6518.json,custom
45.001335,7.654924,ov_plaza_cafe_45.0013_7.6549,Plaza Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/plaza_cafe_45.0013_7.6549.json,custom
45.002009,7.653808,ov_bar_palace_45.0020_7.6538,Bar Palace,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/bar_palace_45.0020_7.6538.json,custom
45.001920,7.652900,ov_golden_bar_45.0019_7.6529,Golden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/golden_bar_45.0019_7.6529.json,custom
45.000435,7.653823,ov_cafe_artisti_45.0004_7.6538,Cafe Artisti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nichelino/pages/cafe_artisti_45.0004_7.6538.json,custom
