# lat,lng,id,name,building_type,type,url,page_type
# santa_flavia -- Tutti
38.088655,13.539508,ov_franco_il_pescatore_porticello_38.0887_13.5395,Franco il Pescatore Porticello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/franco_il_pescatore_porticello_38.0887_13.5395.json,custom
38.088678,13.539778,ov_scaru_ristorantino_38.0887_13.5398,Scaru Ristorantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/scaru_ristorantino_38.0887_13.5398.json,custom
38.088750,13.539378,ov_nordes_38.0887_13.5394,Nordes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/nordes_38.0887_13.5394.json,custom
38.088725,13.539232,ov_santa_flavia_palermo_38.0887_13.5392,santa Flavia palermo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/santa_flavia_palermo_38.0887_13.5392.json,custom
38.088666,13.539207,ov_trattoria_francu_u_piscaturi_38.0887_13.5392,Trattoria Francu U Piscaturi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/trattoria_francu_u_piscaturi_38.0887_13.5392.json,custom
38.088547,13.537518,ov_busnaghi_38.0885_13.5375,Busnaghi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/busnaghi_38.0885_13.5375.json,custom
38.088959,13.537871,ov_le_delizie_38.0890_13.5379,Le Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/le_delizie_38.0890_13.5379.json,custom
38.089470,13.538050,ov_merak_porticello_38.0895_13.5381,Merak Porticello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/merak_porticello_38.0895_13.5381.json,custom
38.090703,13.533950,ov_antica_solunto_38.0907_13.5340,Antica Solunto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/antica_solunto_38.0907_13.5340.json,custom
38.091186,13.539521,ov_la_strummula_restaurant_38.0912_13.5395,La Strummula Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/la_strummula_restaurant_38.0912_13.5395.json,custom
38.092176,13.540432,ov_al_faro_verde_38.0922_13.5404,Al faro verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/al_faro_verde_38.0922_13.5404.json,custom
