# lat,lng,id,name,building_type,type,url,page_type
# Bagnolo in Piano -- Tutti
44.758697,10.670799,ov_health_medispa_poliambulatorio_privato_44.7587_10.6708,Health Medispa Poliambulatorio Privato,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/health_medispa_poliambulatorio_privato_44.7587_10.6708.json,custom
44.753800,10.671820,ov_reggiana_gourmet_srl_44.7538_10.6718,Reggiana Gourmet SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/reggiana_gourmet_srl_44.7538_10.6718.json,custom
44.781188,10.677011,ov_la_pieve_44.7812_10.6770,La Pieve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/la_pieve_44.7812_10.6770.json,custom
44.757751,10.668458,ov_bar_giza_44.7578_10.6685,Bar Giza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/bar_giza_44.7578_10.6685.json,custom
44.768004,10.666165,ov_bar_caf__amil__44.7680_10.6662,Bar Cafè Amilì,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/bar_caf_amil_44.7680_10.6662.json,custom
44.762732,10.673694,ov_paco_cafe_44.7627_10.6737,Paco Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/paco_cafe_44.7627_10.6737.json,custom
44.762802,10.673692,ov_bar_pasticceria_ai_portici_44.7628_10.6737,Bar Pasticceria Ai Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/bar_pasticceria_ai_portici_44.7628_10.6737.json,custom
44.763317,10.674002,ov_bar_soave_44.7633_10.6740,Bar Soave,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/bar_soave_44.7633_10.6740.json,custom
44.761490,10.673365,ov_cafe_ole_44.7615_10.6734,Cafe Ole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/cafe_ole_44.7615_10.6734.json,custom
44.759292,10.671163,ov_bar_pasticceria_la_perla_44.7593_10.6712,Bar Pasticceria La Perla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/bar_pasticceria_la_perla_44.7593_10.6712.json,custom
44.759680,10.670000,ov_bar_focaccia__e_caff__44.7597_10.6700,Bar Focaccia  E Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/bar_focaccia_e_caff_44.7597_10.6700.json,custom
44.759193,10.670222,ov_sound_cafe_44.7592_10.6702,Sound Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/sound_cafe_44.7592_10.6702.json,custom
44.758674,10.670456,ov_bar_rito_caffe_44.7587_10.6705,Bar Rito Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/bar_rito_caffe_44.7587_10.6705.json,custom
44.760330,10.681890,ov_labadiabarpizzeria_44.7603_10.6819,Labadiabarpizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/labadiabarpizzeria_44.7603_10.6819.json,custom
44.769589,10.668653,ov_zuccagialla_44.7696_10.6687,Zuccagialla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/zuccagialla_44.7696_10.6687.json,custom
44.765535,10.671931,ov_palestra_nuova_di_bagnolo_44.7655_10.6719,Palestra Nuova di Bagnolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/palestra_nuova_di_bagnolo_44.7655_10.6719.json,custom
44.771597,10.675766,ov_danza_viva_44.7716_10.6758,Danza Viva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/danza_viva_44.7716_10.6758.json,custom
44.759198,10.670228,ov_gruppo_amatori_macchine_agricole_d_epoca_44.7592_10.6702,Gruppo Amatori Macchine Agricole d'Epoca,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/gruppo_amatori_macchine_agricole_depoca_44.7592_10.6702.json,custom
44.764013,10.672030,ov_biblioteca_comunale_di_bagnolo_in_piano_44.7640_10.6720,Biblioteca Comunale di Bagnolo in Piano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/biblioteca_comunale_di_bagnolo_in_piano_44.7640_10.6720.json,custom
