# lat,lng,id,name,building_type,type,url,page_type
# Vigonovo -- Tutti
45.385622,12.008372,ov_studio_medico_specialistico_chirurgia_ca_45.3856_12.0084,Studio medico specialistico chirurgia cariovascolare,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/studio_medico_specialistico_chirurgia_ca_45.3856_12.0084.json,custom
45.393531,12.021058,ov_tappa_fissa_trattoria_hotel_45.3935_12.0211,Tappa Fissa Trattoria Hotel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/tappa_fissa_trattoria_hotel_45.3935_12.0211.json,custom
45.394714,12.019235,ov_trattoria_da_paola_45.3947_12.0192,Trattoria da Paola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/trattoria_da_paola_45.3947_12.0192.json,custom
45.392152,12.019960,ov_pizzeria_il_girasole_galta_45.3922_12.0200,Pizzeria Il Girasole Galta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/pizzeria_il_girasole_galta_45.3922_12.0200.json,custom
45.407980,12.003020,ov_i_tre_compari_45.4080_12.0030,I tre compari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/i_tre_compari_45.4080_12.0030.json,custom
45.405839,11.998287,ov_pizzeria_ristorante_ermes_45.4058_11.9983,pizzeria ristorante Ermes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/pizzeria_ristorante_ermes_45.4058_11.9983.json,custom
45.387234,12.007948,osm_ghias_kebab_45.3872_12.0079,Ghias Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/ghias_kebab_45.3872_12.0079.json,custom
45.387855,12.005619,osm_pizzeria_girasole_45.3879_12.0056,Pizzeria Girasole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/pizzeria_girasole_45.3879_12.0056.json,custom
45.386220,12.006872,osm_mulan_sushi_vigonovo_45.3862_12.0069,Mulan Sushi Vigonovo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/mulan_sushi_vigonovo_45.3862_12.0069.json,custom
45.405612,11.998214,osm_pizzeria_ermes_45.4056_11.9982,Pizzeria Ermes,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/pizzeria_ermes_45.4056_11.9982.json,custom
45.371078,12.014498,ov_charly_brown_pub_45.3711_12.0145,Charly Brown Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/charly_brown_pub_45.3711_12.0145.json,custom
45.385690,12.007115,ov_le_logge_di_cristian_di_bella_45.3857_12.0071,Le Logge Di Cristian Di Bella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/le_logge_di_cristian_di_bella_45.3857_12.0071.json,custom
45.386405,12.007624,ov_cafe_le_premier_45.3864_12.0076,Cafe le Premier,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/cafe_le_premier_45.3864_12.0076.json,custom
45.396212,11.983899,ov_bar_birillo_45.3962_11.9839,Bar Birillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/bar_birillo_45.3962_11.9839.json,custom
45.396170,11.981166,ov_ekidna_wine_bar_45.3962_11.9812,Ekidna Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/ekidna_wine_bar_45.3962_11.9812.json,custom
45.396906,11.981331,ov_patronato_di_tombelle_45.3969_11.9813,Patronato di Tombelle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/patronato_di_tombelle_45.3969_11.9813.json,custom
45.394477,12.020656,ov_tasting_lover_45.3945_12.0207,Tasting Lover,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/tasting_lover_45.3945_12.0207.json,custom
45.391593,12.021800,ov_al_castello_45.3916_12.0218,Al Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/al_castello_45.3916_12.0218.json,custom
45.392660,12.020264,ov_pasticceria_veneziana_45.3927_12.0203,Pasticceria Veneziana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/pasticceria_veneziana_45.3927_12.0203.json,custom
45.385705,12.007051,osm_le_logge_45.3857_12.0071,Le Logge,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/le_logge_45.3857_12.0071.json,custom
45.387044,12.007728,osm_gazebo_snack_bar_45.3870_12.0077,Gazebo Snack Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/gazebo_snack_bar_45.3870_12.0077.json,custom
45.385271,12.008337,osm_verso_45.3853_12.0083,Verso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/verso_45.3853_12.0083.json,custom
45.387892,12.005535,ov_spinning_club_beba_45.3879_12.0055,Spinning Club Beba,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/spinning_club_beba_45.3879_12.0055.json,custom
45.388050,12.009710,ov_centro_ricreativo_argentovivo_45.3880_12.0097,Centro Ricreativo ArgentoVivo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/centro_ricreativo_argentovivo_45.3880_12.0097.json,custom
45.389778,12.001912,ov_new_body_evolution_45.3898_12.0019,New Body Evolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/new_body_evolution_45.3898_12.0019.json,custom
45.389715,12.002119,ov_drop_the_beat_dance_academy_45.3897_12.0021,Drop the Beat Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/drop_the_beat_dance_academy_45.3897_12.0021.json,custom
45.389181,12.003286,ov_academy_fitness_evolution_45.3892_12.0033,Academy Fitness Evolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/academy_fitness_evolution_45.3892_12.0033.json,custom
45.395922,11.992871,ov_dance_sky_land_45.3959_11.9929,Dance Sky land,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/dance_sky_land_45.3959_11.9929.json,custom
45.397879,11.985900,ov_spirale_aurea_45.3979_11.9859,Spirale Aurea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/spirale_aurea_45.3979_11.9859.json,custom
45.393002,11.994198,ov_asd_arcadia_horse_club_45.3930_11.9942,ASD Arcadia Horse Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/asd_arcadia_horse_club_45.3930_11.9942.json,custom
45.391730,12.021860,ov_palestra_di_galta_45.3917_12.0219,Palestra di Galta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/palestra_di_galta_45.3917_12.0219.json,custom
45.401995,11.997717,ov_centro_ippico_le_palme_45.4020_11.9977,Centro Ippico Le Palme,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/centro_ippico_le_palme_45.4020_11.9977.json,custom
45.385329,12.007712,ov_biblioteca_comunale_di_vigonovo_45.3853_12.0077,Biblioteca Comunale di Vigonovo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonovo/pages/biblioteca_comunale_di_vigonovo_45.3853_12.0077.json,custom
