# lat,lng,id,name,building_type,type,url,page_type
# Rubano -- Tutti
45.414600,11.828334,ov_configliacchi_45.4146_11.8283,Configliacchi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/configliacchi_45.4146_11.8283.json,custom
45.429766,11.795285,ov_da_zio_toto_45.4298_11.7953,Da Zio Toto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/da_zio_toto_45.4298_11.7953.json,custom
45.430236,11.794584,ov_albaretto_45.4302_11.7946,Albaretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/albaretto_45.4302_11.7946.json,custom
45.430708,11.793889,ov_pizzeria_pinsa_me_45.4307_11.7939,Pizzeria Pinsa me,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/pizzeria_pinsa_me_45.4307_11.7939.json,custom
45.431302,11.778458,ov_mcdonald_s_45.4313_11.7785,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/mcdonalds_45.4313_11.7785.json,custom
45.416385,11.825159,ov_poke_sun_rice_45.4164_11.8252,Poke Sun Rice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/poke_sun_rice_45.4164_11.8252.json,custom
45.416686,11.825250,ov_dispensa_emilia_le_brentelle_45.4167_11.8252,Dispensa Emilia Le Brentelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/dispensa_emilia_le_brentelle_45.4167_11.8252.json,custom
45.395303,11.825322,ov_la_mulata_45.3953_11.8253,La Mulata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/la_mulata_45.3953_11.8253.json,custom
45.400160,11.876140,ov_befuel_45.4002_11.8761,BeFuel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/befuel_45.4002_11.8761.json,custom
45.408177,11.892497,ov_pinny___street_food_lab_45.4082_11.8925,PINNY - Street Food Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/pinny_-_street_food_lab_45.4082_11.8925.json,custom
45.426919,11.789735,osm_hotel_el_rustego_45.4269_11.7897,Hotel El Rustego,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/hotel_el_rustego_45.4269_11.7897.json,custom
45.420778,11.816667,osm_le_torri_45.4208_11.8167,Le Torri,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/le_torri_45.4208_11.8167.json,custom
45.430635,11.793818,osm_pinsa_me_45.4306_11.7938,Pinsa me,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/pinsa_me_45.4306_11.7938.json,custom
45.435907,11.790137,osm_l_osteria_al_parco_dai_salvarza_45.4359_11.7901,L'Osteria al Parco dai Salvarza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/losteria_al_parco_dai_salvarza_45.4359_11.7901.json,custom
45.429733,11.795081,osm_da_zio_tot__45.4297_11.7951,Da Zio Totò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/da_zio_tot_45.4297_11.7951.json,custom
45.426902,11.788409,osm_buona_forchetta_da_farooq_45.4269_11.7884,Buona Forchetta da Farooq,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/buona_forchetta_da_farooq_45.4269_11.7884.json,custom
45.442046,11.794728,ov_vineria_dai_luciferi_45.4420_11.7947,Vineria Dai Luciferi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/vineria_dai_luciferi_45.4420_11.7947.json,custom
45.418608,11.824187,ov_infinito_caff__di_giorgia_45.4186_11.8242,Infinito caffè di Giorgia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/infinito_caff_di_giorgia_45.4186_11.8242.json,custom
45.419000,11.823315,ov_bar_mulino_45.4190_11.8233,Bar Mulino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_mulino_45.4190_11.8233.json,custom
45.421141,11.813845,ov_bar_adili_45.4211_11.8138,Bar Adili,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_adili_45.4211_11.8138.json,custom
45.421357,11.810892,ov_bar_agor__45.4214_11.8109,Bar Agorà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_agor_45.4214_11.8109.json,custom
45.420684,11.814466,ov_bar_thomas_45.4207_11.8145,Bar Thomas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_thomas_45.4207_11.8145.json,custom
45.420245,11.818851,ov_gala_di_galiazzo_alessandra_lanaro_maria_45.4202_11.8189,Gala di Galiazzo Alessandra Lanaro Maria Luisa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/gala_di_galiazzo_alessandra_lanaro_maria_45.4202_11.8189.json,custom
45.421355,11.808661,ov_bar_sport_zi_padova_45.4214_11.8087,Bar Sport ZI Padova,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_sport_zi_padova_45.4214_11.8087.json,custom
45.421571,11.812365,ov_bar_domino_45.4216_11.8124,Bar Domino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_domino_45.4216_11.8124.json,custom
45.421895,11.817844,ov_bar_punto_e_a_capo_45.4219_11.8178,Bar Punto E A Capo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_punto_e_a_capo_45.4219_11.8178.json,custom
45.422559,11.817926,ov_oasi_cafe_45.4226_11.8179,Oasi Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/oasi_cafe_45.4226_11.8179.json,custom
45.423720,11.812620,ov_nomber_one_45.4237_11.8126,Nomber One,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/nomber_one_45.4237_11.8126.json,custom
45.425269,11.789242,ov_bar_k_45.4253_11.7892,BAR K,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_k_45.4253_11.7892.json,custom
45.427581,11.783653,ov_bar_tabaccheria_centrale_45.4276_11.7837,Bar Tabaccheria Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/bar_tabaccheria_centrale_45.4276_11.7837.json,custom
45.427005,11.787140,ov_pasticceria_zole_45.4270_11.7871,Pasticceria Zole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/pasticceria_zole_45.4270_11.7871.json,custom
45.413648,11.788094,ov_race_cafe_45.4136_11.7881,Race Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/race_cafe_45.4136_11.7881.json,custom
45.417448,11.824640,ov_la_piadineria_45.4174_11.8246,La Piadineria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/la_piadineria_45.4174_11.8246.json,custom
45.426878,11.788685,osm_caff__civico_26_45.4269_11.7887,Caffè Civico 26,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/caff_civico_26_45.4269_11.7887.json,custom
45.421529,11.806626,osm_blues_brothers_caf__45.4215_11.8066,Blues Brothers Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/blues_brothers_caf_45.4215_11.8066.json,custom
45.430312,11.794628,osm_albaretto_45.4303_11.7946,Albaretto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/albaretto_45.4303_11.7946.json,custom
45.429773,11.794824,osm_snack_bar_zoletto_45.4298_11.7948,Snack bar Zoletto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/snack_bar_zoletto_45.4298_11.7948.json,custom
45.430761,11.797081,ov_fit_point_45.4308_11.7971,Fit Point,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/fit_point_45.4308_11.7971.json,custom
45.427644,11.809767,ov_sports_complex_via_c__borromeo_45.4276_11.8098,Sports Complex Via C. Borromeo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/sports_complex_via_c_borromeo_45.4276_11.8098.json,custom
45.428399,11.809405,ov_palestra_comunale_borromeo_eagles_asd_45.4284_11.8094,Palestra Comunale Borromeo EAGLES ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/palestra_comunale_borromeo_eagles_asd_45.4284_11.8094.json,custom
45.427226,11.825179,ov_eagles_fitness_45.4272_11.8252,Eagles Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/eagles_fitness_45.4272_11.8252.json,custom
45.419072,11.814197,ov_summit_training_club_sarmeola_45.4191_11.8142,Summit Training Club Sarmeola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/summit_training_club_sarmeola_45.4191_11.8142.json,custom
45.419382,11.804629,ov_padova_biliardi_asdr_45.4194_11.8046,Padova Biliardi Asdr,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/padova_biliardi_asdr_45.4194_11.8046.json,custom
45.418241,11.795754,ov_scarpette_rosse_asd_45.4182_11.7958,Scarpette Rosse Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/scarpette_rosse_asd_45.4182_11.7958.json,custom
45.420901,11.797695,ov_dance_queen_45.4209_11.7977,Dance Queen,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/dance_queen_45.4209_11.7977.json,custom
45.421144,11.797135,ov_elmac_ii_s_r_l_45.4211_11.7971,ELMAC II S.r.l,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/elmac_ii_srl_45.4211_11.7971.json,custom
45.423175,11.798133,ov_spazio_enjoy_45.4232_11.7981,Spazio Enjoy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/spazio_enjoy_45.4232_11.7981.json,custom
45.422980,11.787262,ov_asd_grossbox_45.4230_11.7873,ASD Grossbox,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/asd_grossbox_45.4230_11.7873.json,custom
45.420821,11.794197,ov_box_ragnarok_45.4208_11.7942,Box Ragnarok,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/box_ragnarok_45.4208_11.7942.json,custom
45.425332,11.794091,ov_big_bowling_45.4253_11.7941,Big Bowling,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/big_bowling_45.4253_11.7941.json,custom
45.428161,11.791379,ov_palestra_di_rubano_45.4282_11.7914,Palestra di Rubano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/palestra_di_rubano_45.4282_11.7914.json,custom
45.430552,11.794886,ov_flash_gym_45.4306_11.7949,Flash Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/flash_gym_45.4306_11.7949.json,custom
45.417570,11.793570,ov_hells_angels_mc_padova_italy_45.4176_11.7936,Hells Angels MC Padova Italy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/hells_angels_mc_padova_italy_45.4176_11.7936.json,custom
45.423050,11.818830,ov_biblioteca_pubblica_di_rubano_45.4231_11.8188,Biblioteca pubblica di Rubano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubano/pages/biblioteca_pubblica_di_rubano_45.4231_11.8188.json,custom
