# lat,lng,id,name,building_type,type,url,page_type
# mozzecane -- Tutti
45.298953,10.809210,ov_poliambulatorio_postumia_45.2990_10.8092,Poliambulatorio Postumia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/poliambulatorio_postumia_45.2990_10.8092.json,custom
45.309915,10.817758,osm_pizza_al_taglio_doppio_zero_45.3099_10.8178,Pizza al taglio Doppio Zero,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/pizza_al_taglio_doppio_zero_45.3099_10.8178.json,custom
45.305129,10.844389,osm_corte_scaligera_45.3051_10.8444,Corte Scaligera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/corte_scaligera_45.3051_10.8444.json,custom
45.308001,10.816329,osm_pizzeria_da_leo_45.3080_10.8163,Pizzeria da Leo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/pizzeria_da_leo_45.3080_10.8163.json,custom
45.310577,10.818258,ov_garage_cafe_45.3106_10.8183,Garage Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/garage_cafe_45.3106_10.8183.json,custom
45.308783,10.817071,ov_cafe_divino_45.3088_10.8171,Cafe Divino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/cafe_divino_45.3088_10.8171.json,custom
45.308749,10.816963,osm_caf__divino_45.3087_10.8170,Cafè Divino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/caf_divino_45.3087_10.8170.json,custom
45.310595,10.818266,osm_garage_caf__45.3106_10.8183,Garage Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/garage_caf_45.3106_10.8183.json,custom
45.306742,10.816686,osm_maracajbo_45.3067_10.8167,Maracajbo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/maracajbo_45.3067_10.8167.json,custom
45.307060,10.815968,osm_bar_paninoteca_marilyn_45.3071_10.8160,Bar Paninoteca Marilyn,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/bar_paninoteca_marilyn_45.3071_10.8160.json,custom
45.309778,10.817362,osm_pasticceria_giacon_corrado_45.3098_10.8174,Pasticceria Giacon Corrado,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/pasticceria_giacon_corrado_45.3098_10.8174.json,custom
45.309280,10.816010,ov_adesso_tutto_pesa_la_met__45.3093_10.8160,Adesso tutto pesa la metà,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/adesso_tutto_pesa_la_met_45.3093_10.8160.json,custom
45.298793,10.809475,ov_sipario_d_arte_45.2988_10.8095,Sipario d'Arte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/sipario_darte_45.2988_10.8095.json,custom
45.306700,10.816941,osm_ufficio_postale_mozzecane_45.3067_10.8169,Ufficio postale Mozzecane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/ufficio_postale_mozzecane_45.3067_10.8169.json,custom
45.306181,10.815771,ov_biblioteca_comunale_galileo_galilei___co_45.3062_10.8158,Biblioteca Comunale Galileo Galilei - Comune di Mozzecane - ,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/biblioteca_comunale_galileo_galilei_-_co_45.3062_10.8158.json,custom
