# lat,lng,id,name,building_type,type,url,page_type
# Spezzano Albanese -- Tutti
39.670007,16.310200,ov_ambulatorio_veterinario_dr__giovanni_rin_39.6700_16.3102,Ambulatorio Veterinario Dr .giovanni Rinaldi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/ambulatorio_veterinario_dr_giovanni_rina_39.6700_16.3102.json,custom
39.669230,16.308572,ov_top_game_club_39.6692_16.3086,Top game club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/top_game_club_39.6692_16.3086.json,custom
39.669882,16.310988,ov_aleph_pub_39.6699_16.3110,Aleph Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/aleph_pub_39.6699_16.3110.json,custom
39.670476,16.310884,ov_gran_caffe_pangaro_39.6705_16.3109,Gran Caffe Pangaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/gran_caffe_pangaro_39.6705_16.3109.json,custom
39.670290,16.304470,ov_circolo_la_resurrezione_39.6703_16.3045,Circolo La Resurrezione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/circolo_la_resurrezione_39.6703_16.3045.json,custom
39.668125,16.305646,ov_eden_cafe_pub_39.6681_16.3056,eden_cafe_pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/edencafepub_39.6681_16.3056.json,custom
39.667204,16.306619,ov_blu_ice_39.6672_16.3066,Blu Ice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/blu_ice_39.6672_16.3066.json,custom
39.666090,16.307320,ov_sara_bar_39.6661_16.3073,SARA BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/sara_bar_39.6661_16.3073.json,custom
39.664879,16.307886,ov_motta_cafe_pasticceria_gelateria_lounge__39.6649_16.3079,Motta Cafe Pasticceria Gelateria Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/motta_cafe_pasticceria_gelateria_lounge__39.6649_16.3079.json,custom
39.666527,16.310574,ov_bar_caffettiera_al_solito_posto_39.6665_16.3106,Bar Caffettiera Al Solito Posto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/bar_caffettiera_al_solito_posto_39.6665_16.3106.json,custom
39.665672,16.311276,ov_eden_caf__39.6657_16.3113,Eden Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/eden_caf_39.6657_16.3113.json,custom
39.662790,16.307700,ov_bar_due_d_39.6628_16.3077,Bar Due D,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/bar_due_d_39.6628_16.3077.json,custom
39.687874,16.287515,osm_bar_hotel_san_francesco_39.6879_16.2875,Bar Hotel San Francesco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/bar_hotel_san_francesco_39.6879_16.2875.json,custom
39.668655,16.308441,ov_asd_centro_danza_giselle_39.6687_16.3084,ASD Centro Danza Giselle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/asd_centro_danza_giselle_39.6687_16.3084.json,custom
39.670832,16.309297,ov_centro_studi_danza_etoile_39.6708_16.3093,Centro Studi Danza Etoile,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/centro_studi_danza_etoile_39.6708_16.3093.json,custom
39.669829,16.304933,ov_open_sport_sas_39.6698_16.3049,Open Sport Sas,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/open_sport_sas_39.6698_16.3049.json,custom
39.669898,16.304946,ov_ad_fitness_39.6699_16.3049,AD Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/ad_fitness_39.6699_16.3049.json,custom
39.664116,16.310212,ov_energy_fitness_club_39.6641_16.3102,Energy Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/energy_fitness_club_39.6641_16.3102.json,custom
39.707877,16.320358,ov_poligono_di_tiro_marino___scorza_di_mari_39.7079_16.3204,Poligono di tiro Marino & Scorza di Marino Giuseppe & Scorza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/poligono_di_tiro_marino_scorza_di_marino_39.7079_16.3204.json,custom
