# lat,lng,id,name,building_type,type,url,page_type
# tavagnacco -- Tutti
46.114144,13.215751,ov_salus_alpe_adria_s_r_l__46.1141_13.2158,Salus Alpe Adria s.r.l.,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/salus_alpe_adria_srl_46.1141_13.2158.json,custom
46.098923,13.229537,ov_pizzikotto_tavagnacco_46.0989_13.2295,Pizzikotto Tavagnacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/pizzikotto_tavagnacco_46.0989_13.2295.json,custom
46.101922,13.229978,ov_doppio_malto_udine_46.1019_13.2300,Doppio Malto Udine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/doppio_malto_udine_46.1019_13.2300.json,custom
46.098458,13.231074,ov_roadhouse_restaurant_46.0985_13.2311,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/roadhouse_restaurant_46.0985_13.2311.json,custom
46.098431,13.231161,ov_roadhouse_restaurant_46.0984_13.2312,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/roadhouse_restaurant_46.0984_13.2312.json,custom
46.109163,13.235252,ov_fiambi_46.1092_13.2353,FiamBi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/fiambi_46.1092_13.2353.json,custom
46.109135,13.235212,ov_bar_trattoria_da_evelina_46.1091_13.2352,Bar Trattoria da Evelina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_trattoria_da_evelina_46.1091_13.2352.json,custom
46.111567,13.234892,ov_pizze_e_delizie_46.1116_13.2349,Pizze e Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/pizze_e_delizie_46.1116_13.2349.json,custom
46.114394,13.234718,ov_share_pizzeria_contemporanea_46.1144_13.2347,Share pizzeria contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/share_pizzeria_contemporanea_46.1144_13.2347.json,custom
46.114957,13.234784,ov_loggia_1989_46.1150_13.2348,Loggia 1989,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/loggia_1989_46.1150_13.2348.json,custom
46.111552,13.234854,osm_pizze_delizie_46.1116_13.2349,Pizze&Delizie,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/pizzedelizie_46.1116_13.2349.json,custom
46.109894,13.228527,osm_il_melograno_46.1099_13.2285,Il Melograno,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/il_melograno_46.1099_13.2285.json,custom
46.109135,13.235212,osm_trattoria_da_evelina___flamb__46.1091_13.2352,Trattoria da Evelina / Flambì,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/trattoria_da_evelina_flamb_46.1091_13.2352.json,custom
46.105382,13.229681,osm_prunus_sushi_contemporary_restaurant_46.1054_13.2297,Prunus Sushi Contemporary restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/prunus_sushi_contemporary_restaurant_46.1054_13.2297.json,custom
46.098778,13.229725,osm_pizzikotto_46.0988_13.2297,Pizzikotto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/pizzikotto_46.0988_13.2297.json,custom
46.107038,13.235085,osm_ai_campi_46.1070_13.2351,Ai Campi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ai_campi_46.1070_13.2351.json,custom
46.008602,13.184564,ov_bar_caffetteria_fanta_stick_46.0086_13.1846,Bar caffetteria Fanta.Stick,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_caffetteria_fantastick_46.0086_13.1846.json,custom
46.091919,13.195780,ov_bartolini_46.0919_13.1958,Bartolini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bartolini_46.0919_13.1958.json,custom
46.091064,13.200050,ov_bar_penna_bianca_46.0911_13.2000,Bar Penna Bianca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_penna_bianca_46.0911_13.2000.json,custom
46.090693,13.207750,ov_frascje_dal_popper_46.0907_13.2077,Frascje dal Popper,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/frascje_dal_popper_46.0907_13.2077.json,custom
46.101833,13.213827,ov_bar_al_cavallino_46.1018_13.2138,Bar Al Cavallino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_al_cavallino_46.1018_13.2138.json,custom
46.102641,13.212908,ov_bar_nuovo_46.1026_13.2129,Bar Nuovo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_nuovo_46.1026_13.2129.json,custom
46.101701,13.211706,ov_caff__alla_piazzetta_46.1017_13.2117,Caffè Alla Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/caff_alla_piazzetta_46.1017_13.2117.json,custom
46.103475,13.212317,ov_alexti_46.1035_13.2123,Alexti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/alexti_46.1035_13.2123.json,custom
46.103130,13.212608,ov_caff__centrale_feletto_umberto_46.1031_13.2126,Caffè Centrale Feletto Umberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/caff_centrale_feletto_umberto_46.1031_13.2126.json,custom
46.115596,13.210346,ov_just_bar_46.1156_13.2103,Just Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/just_bar_46.1156_13.2103.json,custom
46.126152,13.208881,ov_gira_vota_e_furr_a_di_sofia_randone_46.1262_13.2089,GIRA VOTA E FURRÌA di Sofia Randone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/gira_vota_e_furra_di_sofia_randone_46.1262_13.2089.json,custom
46.127487,13.214637,ov_bar_al_tram_46.1275_13.2146,Bar Al Tram,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_al_tram_46.1275_13.2146.json,custom
46.129548,13.222844,ov_ortotosto_agriturismo_di_agricoop_aspara_46.1295_13.2228,Ortotosto Agriturismo di Agricoop Asparagi Tavagnacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ortotosto_agriturismo_di_agricoop_aspara_46.1295_13.2228.json,custom
46.108298,13.228176,ov_bar_gelateria_da_rina_46.1083_13.2282,Bar Gelateria da Rina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_gelateria_da_rina_46.1083_13.2282.json,custom
46.104253,13.228219,ov_morenita_locale_caribeno_46.1043_13.2282,Morenita Locale Caribeno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/morenita_locale_caribeno_46.1043_13.2282.json,custom
46.118038,13.217335,ov_kv_bar_46.1180_13.2173,KV Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/kv_bar_46.1180_13.2173.json,custom
46.108454,13.219468,ov_roadhouse_blu_s_46.1085_13.2195,RoadHouse Blu's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/roadhouse_blus_46.1085_13.2195.json,custom
46.106973,13.220395,ov_news_bar_46.1070_13.2204,News Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/news_bar_46.1070_13.2204.json,custom
46.100272,13.215475,ov_adoro_caffe_46.1003_13.2155,Adoro Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/adoro_caffe_46.1003_13.2155.json,custom
46.099971,13.215712,ov_espri_46.1000_13.2157,Espri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/espri_46.1000_13.2157.json,custom
46.115390,13.235531,ov_bar_agli_amici_46.1154_13.2355,Bar agli Amici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_agli_amici_46.1154_13.2355.json,custom
46.114217,13.234578,osm_bar_al_centro_46.1142_13.2346,Bar al Centro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_al_centro_46.1142_13.2346.json,custom
46.101799,13.213855,osm_al_cavallino_46.1018_13.2139,Al Cavallino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/al_cavallino_46.1018_13.2139.json,custom
46.107906,13.228094,osm_bar_di_buchigne_46.1079_13.2281,BAR DI BUCHIGNE,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/bar_di_buchigne_46.1079_13.2281.json,custom
46.113482,13.234790,osm_fanta_stick_46.1135_13.2348,Fanta Stick,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/fanta_stick_46.1135_13.2348.json,custom
46.091410,13.200160,ov_govinda_yoga_shala_46.0914_13.2002,Govinda Yoga Shala,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/govinda_yoga_shala_46.0914_13.2002.json,custom
46.127908,13.223711,ov_fitup_tavagnacco_46.1279_13.2237,FitUP Tavagnacco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/fitup_tavagnacco_46.1279_13.2237.json,custom
46.115513,13.232882,ov_eliteindance_scuola_di_ballo_e_danza_spo_46.1155_13.2329,eliteindance Scuola di Ballo e Danza Sportiva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/eliteindance_scuola_di_ballo_e_danza_spo_46.1155_13.2329.json,custom
46.104549,13.229955,ov_l__accademia_dello_yoga___power_yoga_ita_46.1045_13.2300,L’ Accademia dello Yoga - Power Yoga Italy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/l_accademia_dello_yoga_-_power_yoga_ital_46.1045_13.2300.json,custom
46.109106,13.225844,ov_shaktimove_studio_yoga_46.1091_13.2258,Shaktimove Studio Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/shaktimove_studio_yoga_46.1091_13.2258.json,custom
46.106045,13.222018,ov_digiu_fitness_club_46.1060_13.2220,Digiu Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/digiu_fitness_club_46.1060_13.2220.json,custom
46.095964,13.215985,ov_all_in_dancing_feletto_umberto_46.0960_13.2160,All-in Dancing Feletto Umberto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/all-in_dancing_feletto_umberto_46.0960_13.2160.json,custom
46.095931,13.215449,ov_balla_snella_feletto_umberto_46.0959_13.2154,Balla&Snella Feletto Umberto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/ballasnella_feletto_umberto_46.0959_13.2154.json,custom
46.095849,13.215770,ov_funny_center_46.0958_13.2158,Funny Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/funny_center_46.0958_13.2158.json,custom
46.100545,13.230334,ov_danza_estelar_a_s_d__46.1005_13.2303,Danza Estelar A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/danza_estelar_asd_46.1005_13.2303.json,custom
46.099954,13.215488,osm_poste_italiane_feletto_umberto_46.1000_13.2155,Poste Italiane Feletto Umberto,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/poste_italiane_feletto_umberto_46.1000_13.2155.json,custom
46.109195,13.234500,osm_poste_italiane_46.1092_13.2345,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/tavagnacco/pages/poste_italiane_46.1092_13.2345.json,custom
