# lat,lng,id,name,building_type,type,url,page_type
# bronte -- Tutti
37.789115,14.835674,ov_ospedale_castiglione_prestianni_37.7891_14.8357,Ospedale Castiglione Prestianni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/ospedale_castiglione_prestianni_37.7891_14.8357.json,custom
37.800694,14.812880,ov_belvedere_bronte_37.8007_14.8129,Belvedere Bronte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/belvedere_bronte_37.8007_14.8129.json,custom
37.782975,14.830442,ov_agua_loca___bronte_37.7830_14.8304,Agua Loca - Bronte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/agua_loca_-_bronte_37.7830_14.8304.json,custom
37.783729,14.831390,ov_al_99_37.7837_14.8314,Al 99,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/al_99_37.7837_14.8314.json,custom
37.784170,14.837274,ov_pizzeria_europa_bronte_37.7842_14.8373,Pizzeria Europa Bronte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/pizzeria_europa_bronte_37.7842_14.8373.json,custom
37.784129,14.827690,ov_etna_garden_bronte_37.7841_14.8277,Etna Garden Bronte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/etna_garden_bronte_37.7841_14.8277.json,custom
37.784549,14.832035,ov_fastuq_osteria_37.7845_14.8320,Fastuq Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/fastuq_osteria_37.7845_14.8320.json,custom
37.786067,14.831078,ov_bona_bone_37.7861_14.8311,Bona Bone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/bona_bone_37.7861_14.8311.json,custom
37.785977,14.832176,ov_gennarino_s_bistro_37.7860_14.8322,Gennarino's Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/gennarinos_bistro_37.7860_14.8322.json,custom
37.786155,14.832843,ov_trattoria_conti_37.7862_14.8328,Trattoria Conti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/trattoria_conti_37.7862_14.8328.json,custom
37.786244,14.832448,ov_pepe_rosa_37.7862_14.8324,Pepe Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/pepe_rosa_37.7862_14.8324.json,custom
37.786631,14.832602,ov_la_creperia_37.7866_14.8326,La Creperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/la_creperia_37.7866_14.8326.json,custom
37.786580,14.833101,ov_tipici___food_pistacchio_37.7866_14.8331,Tipici & Food Pistacchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/tipici_food_pistacchio_37.7866_14.8331.json,custom
37.786556,14.833757,ov_protosteria_37.7866_14.8338,Protosteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/protosteria_37.7866_14.8338.json,custom
37.790258,14.830914,ov_pizzeria_ciclope_bronte_37.7903_14.8309,Pizzeria Ciclope Bronte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/pizzeria_ciclope_bronte_37.7903_14.8309.json,custom
37.790827,14.835302,ov_pizza_time_37.7908_14.8353,Pizza Time,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/pizza_time_37.7908_14.8353.json,custom
37.791281,14.842478,ov_street_food_catenese_37.7913_14.8425,Street Food Catenese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/street_food_catenese_37.7913_14.8425.json,custom
37.790698,14.840096,ov_caraci_sicily_food_37.7907_14.8401,Caraci Sicily Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/caraci_sicily_food_37.7907_14.8401.json,custom
37.788642,14.833823,ov_80_fame_bistrot_37.7886_14.8338,80 Fame Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/80_fame_bistrot_37.7886_14.8338.json,custom
37.788648,14.840623,ov_space_pizza_37.7886_14.8406,Space Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/space_pizza_37.7886_14.8406.json,custom
37.767537,14.788928,ov_feudo_marullo_37.7675_14.7889,Feudo Marullo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/feudo_marullo_37.7675_14.7889.json,custom
37.781872,14.831812,ov_nebrodi_food_37.7819_14.8318,Nebrodi Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/nebrodi_food_37.7819_14.8318.json,custom
37.780900,14.839500,ov_la_rustica_ristorante_pizzeria_37.7809_14.8395,La rustica ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/la_rustica_ristorante_pizzeria_37.7809_14.8395.json,custom
37.782466,14.825504,ov_catering_srl_bronte_37.7825_14.8255,Catering srl Bronte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/catering_srl_bronte_37.7825_14.8255.json,custom
37.835167,14.796993,ov_bar_tabacchi_truscello_37.8352_14.7970,Bar Tabacchi Truscello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/bar_tabacchi_truscello_37.8352_14.7970.json,custom
37.793234,14.823368,ov_zito_bar_f_lli_cimbali_37.7932_14.8234,Zito Bar F.lli Cimbali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/zito_bar_flli_cimbali_37.7932_14.8234.json,custom
37.782998,14.825908,ov_bar_collina_verde_37.7830_14.8259,Bar Collina Verde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/bar_collina_verde_37.7830_14.8259.json,custom
37.783707,14.826442,ov_life_caff__37.7837_14.8264,Life Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/life_caff_37.7837_14.8264.json,custom
37.783325,14.830416,ov_cordialbar___pasticceria_storica_di_bron_37.7833_14.8304,Cordialbar - Pasticceria storica di Bronte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/cordialbar_-_pasticceria_storica_di_bron_37.7833_14.8304.json,custom
37.785155,14.831059,ov_la_birreria_al_catoio_37.7852_14.8311,La Birreria al Catoio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/la_birreria_al_catoio_37.7852_14.8311.json,custom
37.785916,14.828112,ov_caffe_galaxy_37.7859_14.8281,Caffe Galaxy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/caffe_galaxy_37.7859_14.8281.json,custom
37.786013,14.831134,ov_drinkeria_lounge_bar_37.7860_14.8311,DRINKERIA Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/drinkeria_lounge_bar_37.7860_14.8311.json,custom
37.787294,14.833998,ov_sport_bar_37.7873_14.8340,Sport Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/sport_bar_37.7873_14.8340.json,custom
37.787109,14.833749,ov_piazza_nicola_spedalieri_bronte_37.7871_14.8337,Piazza Nicola Spedalieri Bronte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/piazza_nicola_spedalieri_bronte_37.7871_14.8337.json,custom
37.786314,14.832891,ov_dolcideliziebronte_37.7863_14.8329,Dolcideliziebronte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/dolcideliziebronte_37.7863_14.8329.json,custom
37.786619,14.832802,ov_bar_conti_gallenti_37.7866_14.8328,Bar Conti Gallenti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/bar_conti_gallenti_37.7866_14.8328.json,custom
37.791573,14.842646,ov_bar_giuseppe_di_vincenzo_37.7916_14.8426,Bar Giuseppe Di Vincenzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/bar_giuseppe_di_vincenzo_37.7916_14.8426.json,custom
37.791829,14.844121,ov_caffe_caprice_37.7918_14.8441,Caffe Caprice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/caffe_caprice_37.7918_14.8441.json,custom
37.787769,14.833768,ov_murphy_s_irish_pub___co__37.7878_14.8338,Murphy's Irish Pub & Co.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/murphys_irish_pub_co_37.7878_14.8338.json,custom
37.782200,14.840800,ov_bar_la_sciara___bronte_37.7822_14.8408,Bar La Sciara - Bronte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/bar_la_sciara_-_bronte_37.7822_14.8408.json,custom
37.782410,14.835068,ov_bar_il_tartufo_37.7824_14.8351,Bar Il Tartufo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/bar_il_tartufo_37.7824_14.8351.json,custom
37.781981,14.834785,ov_caf__champagne_37.7820_14.8348,Café Champagne,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/caf_champagne_37.7820_14.8348.json,custom
37.782864,14.826080,ov_palestra_new_body_37.7829_14.8261,Palestra New Body,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/palestra_new_body_37.7829_14.8261.json,custom
37.784980,14.840854,ov_alle_cordate_dell_etna_37.7850_14.8409,Alle Cordate dell'Etna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/alle_cordate_delletna_37.7850_14.8409.json,custom
37.784680,14.836743,ov_paso_latino_37.7847_14.8367,Paso Latino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/paso_latino_37.7847_14.8367.json,custom
37.785768,14.828301,ov_il_tempio_del_fitness_bronte_37.7858_14.8283,Il Tempio Del Fitness Bronte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/il_tempio_del_fitness_bronte_37.7858_14.8283.json,custom
37.787324,14.825912,ov_centro_sportivo_brontese_37.7873_14.8259,Centro Sportivo Brontese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/centro_sportivo_brontese_37.7873_14.8259.json,custom
37.790080,14.830900,ov_centro_equestre_valle_dell_etna_37.7901_14.8309,Centro equestre Valle dell’Etna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/centro_equestre_valle_delletna_37.7901_14.8309.json,custom
37.790004,14.836675,ov_palestra_e_scuola_di_danza_energym_37.7900_14.8367,Palestra e scuola di danza Energym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/palestra_e_scuola_di_danza_energym_37.7900_14.8367.json,custom
37.791715,14.844033,ov_centro_professionale_danza_koreos_37.7917_14.8440,Centro Professionale Danza Koreos,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/centro_professionale_danza_koreos_37.7917_14.8440.json,custom
37.789260,14.831560,ov_longroup_aquila_bronte_volley_37.7893_14.8316,Longroup Aquila Bronte Volley,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/longroup_aquila_bronte_volley_37.7893_14.8316.json,custom
37.521735,15.081169,ov_castello_di_nelson_maniace_37.5217_15.0812,Castello Di Nelson Maniace,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/castello_di_nelson_maniace_37.5217_15.0812.json,custom
37.803489,14.807083,ov_museo_del_carretto_siciliano_gullotti_37.8035_14.8071,Museo Del Carretto Siciliano Gullotti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/museo_del_carretto_siciliano_gullotti_37.8035_14.8071.json,custom
37.787820,14.832198,ov_presepi_a_bronte_37.7878_14.8322,Presepi A Bronte,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/presepi_a_bronte_37.7878_14.8322.json,custom
