# lat,lng,id,name,building_type,type,url,page_type
# Porto Tolle -- Tutti
44.950729,12.328360,ov_centro_medico_delta_44.9507_12.3284,Centro Medico Delta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/centro_medico_delta_44.9507_12.3284.json,custom
44.898096,12.450376,ov_cooperativa_fra_pescatori_dell_adriatico_44.8981_12.4504,Cooperativa fra Pescatori dell'Adriatico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/cooperativa_fra_pescatori_delladriatico_44.8981_12.4504.json,custom
44.898369,12.452317,ov_bar_trattoria_pizzeria_da_annalisa_44.8984_12.4523,Bar Trattoria Pizzeria da Annalisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_trattoria_pizzeria_da_annalisa_44.8984_12.4523.json,custom
44.898338,12.454362,ov_pizza___sfizzi_44.8983_12.4544,Pizza & Sfizzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/pizza_sfizzi_44.8983_12.4544.json,custom
44.860102,12.463614,ov_ristorante_rifugio_barricata_44.8601_12.4636,Ristorante Rifugio Barricata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_rifugio_barricata_44.8601_12.4636.json,custom
44.873857,12.461707,ov_ristorante_rifugio_barricata_44.8739_12.4617,Ristorante Rifugio Barricata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_rifugio_barricata_44.8739_12.4617.json,custom
44.872641,12.463167,ov_ristorante_albergo_da_renata_44.8726_12.4632,Ristorante Albergo da Renata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_albergo_da_renata_44.8726_12.4632.json,custom
44.871477,12.462962,ov_locanda_da_renata_44.8715_12.4630,Locanda da Renata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/locanda_da_renata_44.8715_12.4630.json,custom
44.884234,12.462658,ov_ittiturismo_al_fritulin_44.8842_12.4627,Ittiturismo Al Fritulin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ittiturismo_al_fritulin_44.8842_12.4627.json,custom
44.851219,12.468492,ov_ristobeach_baraonda_44.8512_12.4685,RistoBeach Baraonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristobeach_baraonda_44.8512_12.4685.json,custom
44.846677,12.463122,ov_cressente_44.8467_12.4631,Cressente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/cressente_44.8467_12.4631.json,custom
44.847044,12.464467,ov_ristorante_la_sacca_44.8470_12.4645,Ristorante La Sacca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_la_sacca_44.8470_12.4645.json,custom
44.844274,12.463433,ov_ristorante_rifugio_barricata_44.8443_12.4634,Ristorante Rifugio Barricata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_rifugio_barricata_44.8443_12.4634.json,custom
44.930576,12.487999,osm_ristorante_canarin_44.9306_12.4880,Ristorante Canarin,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ristorante_canarin_44.9306_12.4880.json,custom
44.872603,12.463082,osm_da_renata_ristorante___locanda_44.8726_12.4631,Da Renata Ristorante & Locanda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/da_renata_ristorante_locanda_44.8726_12.4631.json,custom
44.948601,12.309008,osm_il_covo_44.9486_12.3090,Il Covo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/il_covo_44.9486_12.3090.json,custom
44.936529,12.441956,ov_insomnia_caffe_44.9365_12.4420,Insomnia Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/insomnia_caffe_44.9365_12.4420.json,custom
44.958366,12.422959,ov_botega_da_gino_44.9584_12.4230,Botega da Gino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/botega_da_gino_44.9584_12.4230.json,custom
44.954290,12.411610,ov_carlitos_bar_44.9543_12.4116,Carlitos Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/carlitos_bar_44.9543_12.4116.json,custom
44.954262,12.412665,ov_bar_liberty_44.9543_12.4127,Bar Liberty,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_liberty_44.9543_12.4127.json,custom
44.948852,12.325708,ov_london_caf__44.9489_12.3257,London Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/london_caf_44.9489_12.3257.json,custom
44.949856,12.321569,ov_big_bar_44.9499_12.3216,big bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/big_bar_44.9499_12.3216.json,custom
44.951542,12.334609,ov_bar_centrale_44.9515_12.3346,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_centrale_44.9515_12.3346.json,custom
44.951302,12.334943,ov_kiwi_caffe_44.9513_12.3349,Kiwi Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/kiwi_caffe_44.9513_12.3349.json,custom
44.951861,12.334962,ov_cordial_caff__44.9519_12.3350,Cordial CAFFÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/cordial_caff_44.9519_12.3350.json,custom
44.945472,12.332644,ov_ok_bar_44.9455_12.3326,OK Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ok_bar_44.9455_12.3326.json,custom
44.899205,12.453671,ov_bar_da_neno_44.8992_12.4537,Bar da Neno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_da_neno_44.8992_12.4537.json,custom
44.869160,12.463840,ov_mama_s_central_caf__44.8692_12.4638,Mama's Central Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/mamas_central_caf_44.8692_12.4638.json,custom
44.892036,12.460042,ov_royal_sound_cafe_44.8920_12.4600,Royal Sound Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/royal_sound_cafe_44.8920_12.4600.json,custom
44.850488,12.468102,ov_soleluna_spiaggia_barricata__porto_tolle_44.8505_12.4681,SOLELUNA Spiaggia Barricata -Porto Tolle-,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/soleluna_spiaggia_barricata_-porto_tolle_44.8505_12.4681.json,custom
44.846252,12.461720,ov_soravento_44.8463_12.4617,Soravento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/soravento_44.8463_12.4617.json,custom
44.846060,12.463150,ov_il_porticciolo_44.8461_12.4632,Il porticciolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/il_porticciolo_44.8461_12.4632.json,custom
44.849437,12.467425,ov_bagno_celeste_44.8494_12.4674,Bagno Celeste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bagno_celeste_44.8494_12.4674.json,custom
44.839039,12.376792,osm_roxy_bar_44.8390_12.3768,Roxy Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/roxy_bar_44.8390_12.3768.json,custom
44.958392,12.422928,osm_bottega_da_gino_44.9584_12.4229,Bottega da Gino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bottega_da_gino_44.9584_12.4229.json,custom
44.951873,12.334901,osm_bar_cordial_44.9519_12.3349,Bar Cordial,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bar_cordial_44.9519_12.3349.json,custom
45.338958,11.231209,ov_us_albaronco_2024_asd_45.3390_11.2312,US Albaronco 2024 ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/us_albaronco_2024_asd_45.3390_11.2312.json,custom
44.947109,12.322740,ov_il_cigno___scuola_di_danza_44.9471_12.3227,Il Cigno _ Scuola di Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/il_cigno_scuola_di_danza_44.9471_12.3227.json,custom
44.951620,12.335440,ov_centro_sportivo_ronco_all_adige_44.9516_12.3354,Centro Sportivo Ronco all'Adige,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/centro_sportivo_ronco_alladige_44.9516_12.3354.json,custom
44.944211,12.335949,ov_palazzetto_dello_sport_luigi_milani_44.9442_12.3359,Palazzetto dello Sport Luigi Milani,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/palazzetto_dello_sport_luigi_milani_44.9442_12.3359.json,custom
44.846408,12.457836,ov_ranch_del_mare_44.8464_12.4578,Ranch del Mare,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/ranch_del_mare_44.8464_12.4578.json,custom
44.846193,12.462525,ov_bully_diving___barricata_44.8462_12.4625,Bully Diving - Barricata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/bully_diving_-_barricata_44.8462_12.4625.json,custom
44.949300,12.331951,ov_biblioteca_comunale_di_porto_tolle_44.9493_12.3320,Biblioteca Comunale di Porto Tolle,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/porto_tolle/pages/biblioteca_comunale_di_porto_tolle_44.9493_12.3320.json,custom
