# lat,lng,id,name,building_type,type,url,page_type
# botricello -- Tutti
38.919869,16.853113,ov_la_piovra_di_franco_foglia_38.9199_16.8531,La Piovra di Franco Foglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/la_piovra_di_franco_foglia_38.9199_16.8531.json,custom
38.922017,16.850804,ov_ristorante_pizzeria_maglio_38.9220_16.8508,Ristorante Pizzeria Maglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/ristorante_pizzeria_maglio_38.9220_16.8508.json,custom
38.930633,16.839263,ov_wanderlust_38.9306_16.8393,Wanderlust,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/wanderlust_38.9306_16.8393.json,custom
38.921955,16.862734,ov_poseidon_beach_38.9220_16.8627,Poseidon Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/poseidon_beach_38.9220_16.8627.json,custom
38.923600,16.861570,ov_lido_della_polizia_copanello_38.9236_16.8616,Lido della Polizia Copanello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/lido_della_polizia_copanello_38.9236_16.8616.json,custom
38.936206,16.861093,ov_royal_bar_puccio_38.9362_16.8611,Royal Bar Puccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/royal_bar_puccio_38.9362_16.8611.json,custom
38.936308,16.861391,ov_bar_pasticceria_gelateria_maiolo_maria_38.9363_16.8614,Bar Pasticceria Gelateria Maiolo Maria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/bar_pasticceria_gelateria_maiolo_maria_38.9363_16.8614.json,custom
38.935663,16.856688,ov_il_goccetto_38.9357_16.8567,Il goccetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/il_goccetto_38.9357_16.8567.json,custom
38.935030,16.856550,ov_alexmascaro17_38.9350_16.8565,AlexMascaro17,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/alexmascaro17_38.9350_16.8565.json,custom
38.935275,16.857335,ov_hope_caf__38.9353_16.8573,Hope cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/hope_caf_38.9353_16.8573.json,custom
38.935720,16.858250,ov_standby_38.9357_16.8583,Standby,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/standby_38.9357_16.8583.json,custom
38.935912,16.858810,ov_tiffy_s_cafe_yogurteria_gelateria_creper_38.9359_16.8588,Tiffy's Cafe Yogurteria Gelateria Creperia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/tiffys_cafe_yogurteria_gelateria_creperi_38.9359_16.8588.json,custom
38.934416,16.854936,ov_harry_s_bar__pasticceria_gelateria_38.9344_16.8549,Harry's Bar  Pasticceria-Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/harrys_bar_pasticceria-gelateria_38.9344_16.8549.json,custom
38.934250,16.853713,ov_bar_2001_38.9342_16.8537,Bar 2001,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/bar_2001_38.9342_16.8537.json,custom
38.931034,16.839652,ov_hope_caf__38.9310_16.8397,Hope Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/hope_caf_38.9310_16.8397.json,custom
38.935960,16.859733,ov_biblioteca_comunale_botricello_38.9360_16.8597,Biblioteca Comunale Botricello,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/biblioteca_comunale_botricello_38.9360_16.8597.json,custom
