# lat,lng,id,name,building_type,type,url,page_type
# Soliera -- Tutti
44.891181,11.101260,ov_molinari_salute_44.8912_11.1013,Molinari Salute,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/molinari_salute_44.8912_11.1013.json,custom
44.725020,10.912003,ov_poldocafe_44.7250_10.9120,Poldocafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/poldocafe_44.7250_10.9120.json,custom
44.738400,10.924987,ov_merlo_44.7384_10.9250,Merlo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/merlo_44.7384_10.9250.json,custom
44.738501,10.924980,ov_bar_roma__76_44.7385_10.9250,Bar Roma '76,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/bar_roma_76_44.7385_10.9250.json,custom
44.738374,10.924494,ov_amarcode_cafe_44.7384_10.9245,Amarcode Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/amarcode_cafe_44.7384_10.9245.json,custom
44.738850,10.924209,ov_bar_tavola_calda_meridiana_cafe_44.7388_10.9242,Bar Tavola Calda Meridiana Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/bar_tavola_calda_meridiana_cafe_44.7388_10.9242.json,custom
44.736825,10.926085,ov_bar_pasticceria_marzia_44.7368_10.9261,Bar Pasticceria Marzia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/bar_pasticceria_marzia_44.7368_10.9261.json,custom
44.732349,10.923834,ov_bar_mariela_44.7323_10.9238,Bar Mariela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/bar_mariela_44.7323_10.9238.json,custom
44.734050,10.922590,ov_bar_mariela_2_0_44.7341_10.9226,Bar Mariela 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/bar_mariela_20_44.7341_10.9226.json,custom
44.728726,10.911882,ov_soltana_soliera_44.7287_10.9119,Soltana Soliera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/soltana_soliera_44.7287_10.9119.json,custom
44.735787,10.917932,ov_bar_romano_44.7358_10.9179,Bar Romano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/bar_romano_44.7358_10.9179.json,custom
44.747531,10.915184,ov_bar_piro_44.7475_10.9152,BAR PIRO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/bar_piro_44.7475_10.9152.json,custom
44.760312,10.925274,ov_gyrasolee_bar_pasticceria_poke_44.7603_10.9253,Gyrasolee Bar Pasticceria Poke,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/gyrasolee_bar_pasticceria_poke_44.7603_10.9253.json,custom
44.759961,10.924845,ov_il_covo_di_bacco_44.7600_10.9248,Il covo di Bacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/il_covo_di_bacco_44.7600_10.9248.json,custom
44.760091,10.926453,ov_new_bar_del_centro_44.7601_10.9265,New Bar del Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/new_bar_del_centro_44.7601_10.9265.json,custom
44.760870,10.923408,ov_caffetteria_yuki_44.7609_10.9234,Caffetteria Yuki,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/caffetteria_yuki_44.7609_10.9234.json,custom
44.766573,10.924290,ov_pastaro_di_limidi_44.7666_10.9243,Pastaro di Limidi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/pastaro_di_limidi_44.7666_10.9243.json,custom
44.764158,10.922635,ov_in_cafe_44.7642_10.9226,In Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/in_cafe_44.7642_10.9226.json,custom
44.763004,10.926409,ov_caffe__vero_amore_44.7630_10.9264,Caffe' vero amore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/caffe_vero_amore_44.7630_10.9264.json,custom
44.748401,10.975925,ov_bar_ristorante_rascal_44.7484_10.9759,Bar Ristorante Rascal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/bar_ristorante_rascal_44.7484_10.9759.json,custom
44.759857,10.982640,ov_albergo_silvan_44.7599_10.9826,Albergo Silvan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/albergo_silvan_44.7599_10.9826.json,custom
44.736510,10.923330,ov_ginnastica_dinamica_militare_soliera_44.7365_10.9233,Ginnastica Dinamica Militare Soliera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/ginnastica_dinamica_militare_soliera_44.7365_10.9233.json,custom
44.735071,10.930232,ov_palestra_i_cento_passi_44.7351_10.9302,Palestra I Cento Passi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/palestra_i_cento_passi_44.7351_10.9302.json,custom
44.732368,10.924226,ov_palestra_comunale_loschi_44.7324_10.9242,Palestra Comunale Loschi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/palestra_comunale_loschi_44.7324_10.9242.json,custom
44.732327,10.924018,ov_soliera_biliardi_44.7323_10.9240,Soliera Biliardi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/soliera_biliardi_44.7323_10.9240.json,custom
44.732655,10.924830,ov_solieravolley150_44.7327_10.9248,Solieravolley150,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/solieravolley150_44.7327_10.9248.json,custom
44.730088,10.912710,ov_newclub_elite_44.7301_10.9127,NewClub Elite,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/newclub_elite_44.7301_10.9127.json,custom
44.741357,10.916512,ov_rebel_gym_pool_44.7414_10.9165,Rebel Gym&Pool,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/rebel_gympool_44.7414_10.9165.json,custom
44.741498,10.916622,ov_acquafitness_miami_srl_44.7415_10.9166,Acquafitness Miami Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/acquafitness_miami_srl_44.7415_10.9166.json,custom
44.740253,10.918030,ov_palestra_fit_planet_44.7403_10.9180,Palestra Fit Planet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/palestra_fit_planet_44.7403_10.9180.json,custom
44.764647,10.921295,ov_post_fit_44.7646_10.9213,Post-Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/post-fit_44.7646_10.9213.json,custom
44.758616,10.974725,ov_centro_ippico_la_nuova_corte_44.7586_10.9747,Centro ippico La Nuova Corte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/centro_ippico_la_nuova_corte_44.7586_10.9747.json,custom
44.738810,10.963557,ov_campo_di_tiro_san_bartolomeo_44.7388_10.9636,Campo di Tiro San Bartolomeo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/campo_di_tiro_san_bartolomeo_44.7388_10.9636.json,custom
44.738221,10.924716,ov_biblioteca_campori_44.7382_10.9247,Biblioteca Campori,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/biblioteca_campori_44.7382_10.9247.json,custom
44.739592,10.924994,ov_il_mulino_soliera_44.7396_10.9250,Il Mulino Soliera,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/soliera/pages/il_mulino_soliera_44.7396_10.9250.json,custom
