# lat,lng,id,name,building_type,type,url,page_type
# Colorno -- Tutti
44.933429,10.376082,ov_ospedale_di_colorno_44.9334_10.3761,Ospedale Di Colorno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/ospedale_di_colorno_44.9334_10.3761.json,custom
44.928510,10.381649,ov_birreria_da_fio_44.9285_10.3816,Birreria da Fio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/birreria_da_fio_44.9285_10.3816.json,custom
44.930218,10.375034,ov_local_96_wine_bar_44.9302_10.3750,Local 96 Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/local_96_wine_bar_44.9302_10.3750.json,custom
44.929438,10.375390,ov_vintage_bar_44.9294_10.3754,Vintage Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/vintage_bar_44.9294_10.3754.json,custom
44.929780,10.376025,ov_gran_caff__piras_44.9298_10.3760,Gran Caffè Piras,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/gran_caff_piras_44.9298_10.3760.json,custom
44.929919,10.375509,ov_bar_sport_colorno_44.9299_10.3755,Bar Sport Colorno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/bar_sport_colorno_44.9299_10.3755.json,custom
44.929593,10.373811,ov_i_soliti_44.9296_10.3738,I Soliti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/i_soliti_44.9296_10.3738.json,custom
44.927261,10.374261,ov_snack_bar_gorlani_44.9273_10.3743,Snack Bar Gorlani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/snack_bar_gorlani_44.9273_10.3743.json,custom
44.923047,10.372143,ov_terzo_tempo_bar_44.9230_10.3721,Terzo Tempo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/terzo_tempo_bar_44.9230_10.3721.json,custom
44.921867,10.371120,ov_bar4mori_44.9219_10.3711,Bar4mori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/bar4mori_44.9219_10.3711.json,custom
44.917749,10.367240,ov_cosse_bar_e_tabaccheria_44.9177_10.3672,Cosse Bar e Tabaccheria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/cosse_bar_e_tabaccheria_44.9177_10.3672.json,custom
44.909780,10.262908,ov_scuola_di_ballo_chang__44.9098_10.2629,Scuola di ballo Changò,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/scuola_di_ballo_chang_44.9098_10.2629.json,custom
44.930443,10.350063,ov_studiolab61_44.9304_10.3501,Studiolab61,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/studiolab61_44.9304_10.3501.json,custom
44.934502,10.359986,ov_circolo_ippico_gli_argini_44.9345_10.3600,Circolo Ippico Gli Argini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/circolo_ippico_gli_argini_44.9345_10.3600.json,custom
44.920678,10.368381,ov_palestra_enzo_ferrari_44.9207_10.3684,Palestra Enzo Ferrari,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/palestra_enzo_ferrari_44.9207_10.3684.json,custom
44.929781,10.376049,ov_reggia_di_colorno_44.9298_10.3760,Reggia di Colorno,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/reggia_di_colorno_44.9298_10.3760.json,custom
44.927637,10.374927,ov_museo_mupac_colorno_44.9276_10.3749,Museo Mupac Colorno,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/museo_mupac_colorno_44.9276_10.3749.json,custom
44.923543,10.374196,osm_poste_italiane_44.9235_10.3742,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/poste_italiane_44.9235_10.3742.json,custom
44.930142,10.376598,osm_biblioteca_comunale_g__lombardi_44.9301_10.3766,Biblioteca comunale G. Lombardi,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/colorno/pages/biblioteca_comunale_g_lombardi_44.9301_10.3766.json,custom
