# lat,lng,id,name,building_type,type,url,page_type
# Piano di Sorrento -- Tutti
40.633590,14.413440,ov_teg__hotellerie_40.6336_14.4134,Tegò Hotellerie,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/teg_hotellerie_40.6336_14.4134.json,custom
40.640488,14.406573,ov_retr__bottega_da_giacomino_40.6405_14.4066,Retró Bottega da Giacomino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/retr_bottega_da_giacomino_40.6405_14.4066.json,custom
40.640420,14.406496,ov_gusto_40.6404_14.4065,Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/gusto_40.6404_14.4065.json,custom
40.641542,14.405424,ov_don_peppe_ristorante_40.6415_14.4054,Don Peppe Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/don_peppe_ristorante_40.6415_14.4054.json,custom
40.639822,14.403029,ov_acquapazza___sorrento_40.6398_14.4030,AcquapazzA - Sorrento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/acquapazza_-_sorrento_40.6398_14.4030.json,custom
40.639140,14.402192,ov_fracatell__lido_40.6391_14.4022,Fracatell'-Lido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/fracatell-lido_40.6391_14.4022.json,custom
40.638768,14.403041,ov_koral_40.6388_14.4030,Koral,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/koral_40.6388_14.4030.json,custom
40.639096,14.403754,ov_anima_e_pizza_40.6391_14.4038,Anima e Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/anima_e_pizza_40.6391_14.4038.json,custom
40.639543,14.401915,ov_antico_bagno_nettuno_40.6395_14.4019,Antico Bagno Nettuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/antico_bagno_nettuno_40.6395_14.4019.json,custom
40.630322,14.402888,ov_donna_filomena_osteria_40.6303_14.4029,Donna Filomena Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/donna_filomena_osteria_40.6303_14.4029.json,custom
40.632124,14.407840,ov_ittica_del_sole_srl_40.6321_14.4078,Ittica Del Sole Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/ittica_del_sole_srl_40.6321_14.4078.json,custom
40.632920,14.408080,ov_agriturismo_galatea_40.6329_14.4081,Agriturismo Galatea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/agriturismo_galatea_40.6329_14.4081.json,custom
40.631849,14.408425,ov_artigiani_scotto_40.6318_14.4084,Artigiani Scotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/artigiani_scotto_40.6318_14.4084.json,custom
40.630099,14.407924,ov_il_ghiottone_40.6301_14.4079,Il Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/il_ghiottone_40.6301_14.4079.json,custom
40.629267,14.409499,ov_osteria_estoria_40.6293_14.4095,Osteria Estoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/osteria_estoria_40.6293_14.4095.json,custom
40.631348,14.409465,ov_lenzi_truffle_bar_40.6313_14.4095,Lenzi Truffle Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/lenzi_truffle_bar_40.6313_14.4095.json,custom
40.632413,14.409897,ov_pizzeria_49_40.6324_14.4099,Pizzeria 49,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/pizzeria_49_40.6324_14.4099.json,custom
40.631519,14.410818,ov_blu_garden_pizzeria_40.6315_14.4108,Blu Garden Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/blu_garden_pizzeria_40.6315_14.4108.json,custom
40.633017,14.410550,ov_re_pizza_40.6330_14.4105,Re Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/re_pizza_40.6330_14.4105.json,custom
40.633039,14.410580,ov_da_giovanni_o__faticone_40.6330_14.4106,Da Giovanni o’ Faticone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/da_giovanni_o_faticone_40.6330_14.4106.json,custom
40.632716,14.410954,ov_rouge_vino__taglieri_40.6327_14.4110,Rouge Vino& Taglieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/rouge_vino_taglieri_40.6327_14.4110.json,custom
40.632764,14.410925,ov_le_tre_arcate_40.6328_14.4109,Le Tre Arcate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/le_tre_arcate_40.6328_14.4109.json,custom
40.632408,14.411484,ov_osteria_arcadia_40.6324_14.4115,Osteria Arcadia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/osteria_arcadia_40.6324_14.4115.json,custom
40.632920,14.411699,ov_osteria_palazzo_maresca_40.6329_14.4117,Osteria Palazzo Maresca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/osteria_palazzo_maresca_40.6329_14.4117.json,custom
40.633080,14.416660,ov_ristorante_pizzeria_bandiera_gialla_40.6331_14.4167,Ristorante-Pizzeria Bandiera Gialla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/ristorante-pizzeria_bandiera_gialla_40.6331_14.4167.json,custom
40.616015,14.416222,ov_ristorante_pizzeria_la_rosa_40.6160_14.4162,Ristorante Pizzeria La Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/ristorante_pizzeria_la_rosa_40.6160_14.4162.json,custom
40.615273,14.419386,ov_agriturismo_piccolo_paradiso_40.6153_14.4194,Agriturismo Piccolo Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/agriturismo_piccolo_paradiso_40.6153_14.4194.json,custom
40.621100,14.421320,ov_silenzio_cantatore_40.6211_14.4213,Silenzio Cantatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/silenzio_cantatore_40.6211_14.4213.json,custom
40.630830,14.421069,ov_garden_cafiero_pia_40.6308_14.4211,Garden Cafiero Pia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/garden_cafiero_pia_40.6308_14.4211.json,custom
40.619270,14.424912,ov_ristorante_e_pizzeria_zio_sam_40.6193_14.4249,Ristorante e Pizzeria ZIO SAM,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/ristorante_e_pizzeria_zio_sam_40.6193_14.4249.json,custom
40.617580,14.427890,ov_quercus_40.6176_14.4279,Quercus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/quercus_40.6176_14.4279.json,custom
40.616731,14.429440,ov_il_montano_bar_restaurant___shop_40.6167_14.4294,Il Montano Bar Restaurant & Shop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/il_montano_bar_restaurant_shop_40.6167_14.4294.json,custom
40.619200,14.425024,osm_zio_sam_pizzeria_ristorante_40.6192_14.4250,Zio Sam Pizzeria Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/zio_sam_pizzeria_ristorante_40.6192_14.4250.json,custom
40.614028,14.419679,osm_piccolo_paradiso_40.6140_14.4197,Piccolo Paradiso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/piccolo_paradiso_40.6140_14.4197.json,custom
40.639083,14.403804,osm_anima_e_pizza_pizzeria_rosticceria_40.6391_14.4038,Anima e Pizza pizzeria-rosticceria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/anima_e_pizza_pizzeria-rosticceria_40.6391_14.4038.json,custom
40.620530,14.430150,osm_agriturismo_antico_casale_40.6205_14.4302,Agriturismo Antico Casale,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/agriturismo_antico_casale_40.6205_14.4302.json,custom
40.631533,14.410818,osm_blue_garden_40.6315_14.4108,Blue Garden,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/blue_garden_40.6315_14.4108.json,custom
40.632608,14.418601,osm_pizza_express_40.6326_14.4186,Pizza Express,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/pizza_express_40.6326_14.4186.json,custom
40.633213,14.409261,osm_fili_a_italian_kebab_40.6332_14.4093,Fili'A Italian Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/filia_italian_kebab_40.6332_14.4093.json,custom
40.633628,14.414336,ov_white_bar_40.6336_14.4143,White Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/white_bar_40.6336_14.4143.json,custom
40.633639,14.413887,ov_raro_caffe_40.6336_14.4139,Raro Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/raro_caffe_40.6336_14.4139.json,custom
40.634171,14.411583,ov_pausacaff__piano_40.6342_14.4116,PausaCaffè Piano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/pausacaff_piano_40.6342_14.4116.json,custom
40.635370,14.411804,ov_bar_tabacchi_bagnulo_40.6354_14.4118,Bar Tabacchi Bagnulo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/bar_tabacchi_bagnulo_40.6354_14.4118.json,custom
40.633165,14.410922,ov_book_cafe_40.6332_14.4109,Book Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/book_cafe_40.6332_14.4109.json,custom
40.638861,14.403129,ov_bar_tramonto_rosso_40.6389_14.4031,Bar Tramonto Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/bar_tramonto_rosso_40.6389_14.4031.json,custom
40.637343,14.401894,ov_la_serra_sunset_bar_40.6373_14.4019,La Serra Sunset Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/la_serra_sunset_bar_40.6373_14.4019.json,custom
40.636931,14.401947,ov_pub_capitan_joseph_40.6369_14.4019,Pub Capitan Joseph,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/pub_capitan_joseph_40.6369_14.4019.json,custom
40.631134,14.408468,ov_sisters_40.6311_14.4085,Sisters,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/sisters_40.6311_14.4085.json,custom
40.631913,14.408058,ov_cafiero_caf__40.6319_14.4081,Cafiero Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/cafiero_caf_40.6319_14.4081.json,custom
40.631868,14.408454,ov_mamilu_cafe_40.6319_14.4085,Mamilu Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/mamilu_cafe_40.6319_14.4085.json,custom
40.631338,14.409199,ov_il_bufalotto_del_bar_liana_40.6313_14.4092,Il Bufalotto del Bar Liana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/il_bufalotto_del_bar_liana_40.6313_14.4092.json,custom
40.631394,14.409075,ov_my_bar_piano_di_sorrento_40.6314_14.4091,MY BAR Piano di Sorrento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/my_bar_piano_di_sorrento_40.6314_14.4091.json,custom
40.632209,14.409151,ov_rosticceria_bar_liana_di_esposito_andrea_40.6322_14.4092,Rosticceria Bar Liana Di Esposito Andrea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/rosticceria_bar_liana_di_esposito_andrea_40.6322_14.4092.json,custom
40.632085,14.409963,ov_kitchen_lab_40.6321_14.4100,Kitchen lab,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/kitchen_lab_40.6321_14.4100.json,custom
40.632249,14.410124,ov_pasticceria_bar_il_portico_40.6322_14.4101,Pasticceria/Bar Il Portico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/pasticceriabar_il_portico_40.6322_14.4101.json,custom
40.632095,14.410448,ov_bar_antico_caffe_40.6321_14.4104,Bar Antico Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/bar_antico_caffe_40.6321_14.4104.json,custom
40.631913,14.410593,ov_bar_la_scala_40.6319_14.4106,Bar La Scala,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/bar_la_scala_40.6319_14.4106.json,custom
40.632663,14.410984,ov_mood_69_40.6327_14.4110,MOOD 69,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/mood_69_40.6327_14.4110.json,custom
40.632734,14.411359,ov_caffe_marianiello_40.6327_14.4114,Caffe Marianiello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/caffe_marianiello_40.6327_14.4114.json,custom
40.628807,14.411380,ov_il_chiosco_40.6288_14.4114,Il Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/il_chiosco_40.6288_14.4114.json,custom
40.632634,14.411686,ov_centosedicicafe_el_chiringuito_piano_di__40.6326_14.4117,Centosedicicafe-El Chiringuito Piano Di Sorrento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/centosedicicafe-el_chiringuito_piano_di__40.6326_14.4117.json,custom
40.632866,14.412171,ov_risto_pub_la_tienda_de_asados_40.6329_14.4122,Risto Pub La Tienda De Asados,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/risto_pub_la_tienda_de_asados_40.6329_14.4122.json,custom
40.633013,14.412810,ov_ema_21_40.6330_14.4128,Ema 21,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/ema_21_40.6330_14.4128.json,custom
40.631448,14.419522,ov_blossoms_pub_birreria_pizzeria_40.6314_14.4195,Blossoms Pub Birreria Pizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/blossoms_pub_birreria_pizzeria_40.6314_14.4195.json,custom
40.623612,14.423785,ov_bar_lena_40.6236_14.4238,Bar Lena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/bar_lena_40.6236_14.4238.json,custom
40.617747,14.427213,ov_san_pietro_hotel___bar_40.6177_14.4272,San Pietro Hotel & Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/san_pietro_hotel_bar_40.6177_14.4272.json,custom
40.623601,14.423685,osm_lena_40.6236_14.4237,Lena,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/lena_40.6236_14.4237.json,custom
40.632714,14.411376,osm_antico_caf__marianiello_40.6327_14.4114,Antico Cafè Marianiello,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/antico_caf_marianiello_40.6327_14.4114.json,custom
40.632770,14.410210,osm_bar_e_area_giochi_coperta_parco_san_mich_40.6328_14.4102,Bar e area giochi coperta Parco San Michele,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/bar_e_area_giochi_coperta_parco_san_mich_40.6328_14.4102.json,custom
40.631374,14.409180,osm_mybar_40.6314_14.4092,myBar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/mybar_40.6314_14.4092.json,custom
40.631640,14.409978,osm_la_dolce_vita_40.6316_14.4100,La Dolce Vita,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/la_dolce_vita_40.6316_14.4100.json,custom
40.631320,14.419405,osm_blossoms_40.6313_14.4194,Blossoms,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/blossoms_40.6313_14.4194.json,custom
40.632983,14.412793,osm_em__40.6330_14.4128,Emà,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/em_40.6330_14.4128.json,custom
40.633666,14.413850,osm_raro_40.6337_14.4139,Raro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/raro_40.6337_14.4139.json,custom
40.616809,14.429468,osm_il_montano_40.6168_14.4295,Il Montano,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/il_montano_40.6168_14.4295.json,custom
40.633973,14.415387,ov_palestra_palagio_40.6340_14.4154,Palestra Palagio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/palestra_palagio_40.6340_14.4154.json,custom
40.635081,14.405148,ov_campetto_delle_rose_40.6351_14.4051,Campetto Delle Rose,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/campetto_delle_rose_40.6351_14.4051.json,custom
40.631821,14.409034,ov_asd_dance_studio_40.6318_14.4090,Asd Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/asd_dance_studio_40.6318_14.4090.json,custom
40.628033,14.409605,ov_oratorio_di_mortora_40.6280_14.4096,Oratorio di Mortora,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/oratorio_di_mortora_40.6280_14.4096.json,custom
40.631369,14.409162,ov_openclub_piano_di_sorrento_40.6314_14.4092,Openclub Piano di Sorrento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/openclub_piano_di_sorrento_40.6314_14.4092.json,custom
40.632180,14.409140,ov_academy_musical___danza_40.6322_14.4091,Academy Musical & Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/academy_musical_danza_40.6322_14.4091.json,custom
40.631967,14.415453,ov_m_a_pilates_40.6320_14.4155,M.A Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/ma_pilates_40.6320_14.4155.json,custom
40.613655,14.419507,ov_centro_ippico_sorrento_equitazione_asd_40.6137_14.4195,Centro Ippico Sorrento Equitazione Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/centro_ippico_sorrento_equitazione_asd_40.6137_14.4195.json,custom
40.631995,14.421307,ov_palestra_futura_40.6320_14.4213,Palestra Futura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/palestra_futura_40.6320_14.4213.json,custom
40.631376,14.409149,osm_open_club_palestre_40.6314_14.4091,Open Club Palestre,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/open_club_palestre_40.6314_14.4091.json,custom
40.637957,14.402147,ov_museo_archeologico_georges_vallet_40.6380_14.4021,Museo Archeologico Georges Vallet,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/museo_archeologico_georges_vallet_40.6380_14.4021.json,custom
40.632871,14.407917,osm_poste_italiane_40.6329_14.4079,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/poste_italiane_40.6329_14.4079.json,custom
40.632728,14.408364,ov_biblioteca_comunale_di_piano_di_sorrento_40.6327_14.4084,Biblioteca Comunale Di Piano Di Sorrento,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/biblioteca_comunale_di_piano_di_sorrento_40.6327_14.4084.json,custom
40.632175,14.410595,osm_mondadori_point_40.6322_14.4106,Mondadori Point,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piano_di_sorrento/pages/mondadori_point_40.6322_14.4106.json,custom
