# lat,lng,id,name,building_type,type,url,page_type
# luserna_san_giovanni -- Tutti
44.813332,7.248526,ov_valpe_medica_44.8133_7.2485,Valpe Medica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/valpe_medica_44.8133_7.2485.json,custom
44.810001,7.242528,ov_circolo_ricreativo_paolo_vasario_44.8100_7.2425,Circolo Ricreativo Paolo Vasario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/circolo_ricreativo_paolo_vasario_44.8100_7.2425.json,custom
44.808067,7.243684,ov_locanda_dell_antica_lucerna_44.8081_7.2437,Locanda dell'Antica Lucerna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/locanda_dellantica_lucerna_44.8081_7.2437.json,custom
44.808386,7.243897,ov_i_topi_44.8084_7.2439,I Topi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/i_topi_44.8084_7.2439.json,custom
44.813111,7.251183,ov_la_ghironda_44.8131_7.2512,La Ghironda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/la_ghironda_44.8131_7.2512.json,custom
44.814847,7.255265,ov_la_maisonette_homerestaurant_44.8148_7.2553,La Maisonette homerestaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/la_maisonette_homerestaurant_44.8148_7.2553.json,custom
44.818890,7.256676,osm_l_fujot_44.8189_7.2567,L'Fujot,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/lfujot_44.8189_7.2567.json,custom
44.816428,7.240003,osm_al_solito_posto_44.8164_7.2400,Al Solito Posto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/al_solito_posto_44.8164_7.2400.json,custom
44.815391,7.224308,ov_blancio_pub_pizza_grill_44.8154_7.2243,Blancio pub pizza grill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/blancio_pub_pizza_grill_44.8154_7.2243.json,custom
44.814659,7.243461,ov_gastronomia_enoteca_sapori_e_tradizioni_44.8147_7.2435,Gastronomia Enoteca Sapori e Tradizioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/gastronomia_enoteca_sapori_e_tradizioni_44.8147_7.2435.json,custom
44.815544,7.245268,ov_enoteca_tredicigradi_44.8155_7.2453,Enoteca Tredicigradi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/enoteca_tredicigradi_44.8155_7.2453.json,custom
44.814066,7.245386,ov_agriturismo_catalin_44.8141_7.2454,Agriturismo Catalin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/agriturismo_catalin_44.8141_7.2454.json,custom
44.813659,7.246947,ov_caff__del_corso_44.8137_7.2469,Caffè del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/caff_del_corso_44.8137_7.2469.json,custom
44.808560,7.245170,ov_la_cascina___alimentari_caffetteria_44.8086_7.2452,La Cascina - Alimentari Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/la_cascina_-_alimentari_caffetteria_44.8086_7.2452.json,custom
44.809005,7.244221,ov_cele___luserna_san_giovanni_44.8090_7.2442,Cele | Luserna San Giovanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/cele_luserna_san_giovanni_44.8090_7.2442.json,custom
44.813140,7.250550,ov_blondenoir_caffetteria_44.8131_7.2505,BlondeNoir Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/blondenoir_caffetteria_44.8131_7.2505.json,custom
44.811400,7.266440,ov_256_street_bar_44.8114_7.2664,256 Street Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/256_street_bar_44.8114_7.2664.json,custom
44.814470,7.244335,osm_bar_tea_room_44.8145_7.2443,Bar Tea Room,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/bar_tea_room_44.8145_7.2443.json,custom
44.813322,7.249208,osm_lisi_bar_44.8133_7.2492,Lisi Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/lisi_bar_44.8133_7.2492.json,custom
44.813188,7.250554,osm_blond___noir_44.8132_7.2506,Blond & Noir,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/blond_noir_44.8132_7.2506.json,custom
44.809119,7.243427,osm_l_atzeco_44.8091_7.2434,L'Atzeco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/latzeco_44.8091_7.2434.json,custom
44.814403,7.245152,osm_le_tre_galline_44.8144_7.2452,Le tre galline,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/le_tre_galline_44.8144_7.2452.json,custom
44.815242,7.224565,osm_blancio_pub_pizza_grill_44.8152_7.2246,Blancio pub pizza grill,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/blancio_pub_pizza_grill_44.8152_7.2246.json,custom
44.812173,7.243230,ov_due_valli_libertas_piscina_44.8122_7.2432,Due Valli Libertas Piscina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/due_valli_libertas_piscina_44.8122_7.2432.json,custom
44.812755,7.244026,ov_usd_luserna_calcio_44.8128_7.2440,USD Luserna Calcio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/usd_luserna_calcio_44.8128_7.2440.json,custom
44.813630,7.244894,ov_associazione_3s_libertas_luserna_44.8136_7.2449,Associazione 3S Libertas Luserna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/associazione_3s_libertas_luserna_44.8136_7.2449.json,custom
44.808544,7.242220,ov_dojo_idogawua_44.8085_7.2422,Dojo Idogawua,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/dojo_idogawua_44.8085_7.2422.json,custom
44.812519,7.249990,ov_asd_gynnik_44.8125_7.2500,ASD Gynnik,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/asd_gynnik_44.8125_7.2500.json,custom
44.812207,7.250969,ov_dojo_della_valle_44.8122_7.2510,Dojo della Valle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/dojo_della_valle_44.8122_7.2510.json,custom
44.808377,7.243885,ov_museo_del_gioco_e_del_giocattolo_giovann_44.8084_7.2439,Museo del Gioco e del Giocattolo Giovanni Peyrot,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/museo_del_gioco_e_del_giocattolo_giovann_44.8084_7.2439.json,custom
44.813477,7.247246,osm_poste_italiane_44.8135_7.2472,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/poste_italiane_44.8135_7.2472.json,custom
44.814759,7.245881,ov_biblioteca_comunale_di_luserna_san_giova_44.8148_7.2459,Biblioteca Comunale di Luserna San Giovanni,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/luserna_san_giovanni/pages/biblioteca_comunale_di_luserna_san_giova_44.8148_7.2459.json,custom
