# lat,lng,id,name,building_type,type,url,page_type
# San Giorgio Jonico -- Tutti
40.459869,17.373980,ov_terapia_del_dolore_san_giorgio_jonico____40.4599_17.3740,Terapia del Dolore San Giorgio Jonico - Taranto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/terapia_del_dolore_san_giorgio_jonico_-__40.4599_17.3740.json,custom
40.454455,17.375603,ov_la_taverna_del_coccodrillo_40.4545_17.3756,La Taverna del Coccodrillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/la_taverna_del_coccodrillo_40.4545_17.3756.json,custom
40.459350,17.371517,ov_pub_shamrock_beer_e_grill_40.4593_17.3715,Pub SHAMROCK Beer e Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/pub_shamrock_beer_e_grill_40.4593_17.3715.json,custom
40.459457,17.371595,ov_carpe_diem_40.4595_17.3716,Carpe Diem,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/carpe_diem_40.4595_17.3716.json,custom
40.443338,17.302726,ov_jib__disco_40.4433_17.3027,Jibó Disco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/jib_disco_40.4433_17.3027.json,custom
40.454339,17.389533,ov_fritto_si_40.4543_17.3895,Fritto Si,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/fritto_si_40.4543_17.3895.json,custom
40.460716,17.388019,ov_kebabberia_sabri_40.4607_17.3880,Kebabberia Sabri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/kebabberia_sabri_40.4607_17.3880.json,custom
40.460880,17.377687,ov_tulipano_40.4609_17.3777,Tulipano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/tulipano_40.4609_17.3777.json,custom
40.461811,17.379833,ov_cocoa_bar_40.4618_17.3798,cocoa bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/cocoa_bar_40.4618_17.3798.json,custom
40.462049,17.380585,ov_torrefazione_salento___caff__artigianali_40.4620_17.3806,Torrefazione Salento - caffè artigianali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/torrefazione_salento_-_caff_artigianali_40.4620_17.3806.json,custom
40.460626,17.385813,ov_la_movida_40.4606_17.3858,La Movida,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/la_movida_40.4606_17.3858.json,custom
40.460521,17.386906,ov_kalua_lounge_cafe_40.4605_17.3869,Kalua Lounge Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/kalua_lounge_cafe_40.4605_17.3869.json,custom
40.459806,17.377786,ov_vintage_dreams_40.4598_17.3778,Vintage Dreams,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/vintage_dreams_40.4598_17.3778.json,custom
40.459142,17.373111,ov_bar_romantica_40.4591_17.3731,Bar Romantica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/bar_romantica_40.4591_17.3731.json,custom
40.457275,17.379694,ov_barbapapa_40.4573_17.3797,Barbapapa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/barbapapa_40.4573_17.3797.json,custom
40.455670,17.382720,ov_cocoa_cafe__2_0_40.4557_17.3827,Cocoa cafe' 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/cocoa_cafe_20_40.4557_17.3827.json,custom
40.457180,17.386303,ov_familia_cafe_40.4572_17.3863,Familia Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/familia_cafe_40.4572_17.3863.json,custom
40.455852,17.387842,ov_bar_capri_40.4559_17.3878,Bar Capri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/bar_capri_40.4559_17.3878.json,custom
40.454481,17.384241,ov_isola_verde___food_drink___events_40.4545_17.3842,Isola Verde - Food Drink & Events,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/isola_verde_-_food_drink_events_40.4545_17.3842.json,custom
40.454794,17.384521,ov_al_chiosco_caffetteria_40.4548_17.3845,Al Chiosco Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/al_chiosco_caffetteria_40.4548_17.3845.json,custom
40.453171,17.386540,ov_birrificio_artigianale_fabbiano_40.4532_17.3865,Birrificio Artigianale Fabbiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/birrificio_artigianale_fabbiano_40.4532_17.3865.json,custom
40.452625,17.386956,ov_cocoa_cafe_40.4526_17.3870,Cocoa Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/cocoa_cafe_40.4526_17.3870.json,custom
40.459955,17.371931,ov_l_enoteca_di_fabiana_40.4600_17.3719,L'Enoteca di Fabiana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/lenoteca_di_fabiana_40.4600_17.3719.json,custom
40.460396,17.365745,ov_caffe_ninfole_40.4604_17.3657,Caffe ninfole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/caffe_ninfole_40.4604_17.3657.json,custom
40.460931,17.378454,ov_dancing_my_life_40.4609_17.3785,Dancing my life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/dancing_my_life_40.4609_17.3785.json,custom
40.461419,17.383940,ov_vibe_art_studio_asd_40.4614_17.3839,Vibe Art Studio ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/vibe_art_studio_asd_40.4614_17.3839.json,custom
40.459856,17.378312,ov_gym_and_style_40.4599_17.3783,Gym And Style,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/gym_and_style_40.4599_17.3783.json,custom
40.459077,17.373032,ov_asd_fabbiano_boxing_40.4591_17.3730,Asd Fabbiano Boxing,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/asd_fabbiano_boxing_40.4591_17.3730.json,custom
40.456870,17.374250,ov_dojo_oyama_san_giorgio_jonico_40.4569_17.3742,Dojo Oyama San Giorgio Jonico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/dojo_oyama_san_giorgio_jonico_40.4569_17.3742.json,custom
40.455276,17.374648,ov_gdm_italiana_bambini___sez__san_giorgio__40.4553_17.3746,GDM Italiana Bambini - Sez. San Giorgio Ionico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/gdm_italiana_bambini_-_sez_san_giorgio_i_40.4553_17.3746.json,custom
40.455274,17.387691,ov_a__s__d__fitness_exellence_40.4553_17.3877,A. S. D. Fitness Exellence,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/a_s_d_fitness_exellence_40.4553_17.3877.json,custom
40.453003,17.385683,ov_scuola_di_ballo_power_dance_40.4530_17.3857,Scuola di Ballo Power Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/scuola_di_ballo_power_dance_40.4530_17.3857.json,custom
40.458430,17.370520,ov_poligono_a_team_40.4584_17.3705,Poligono A-team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/poligono_a-team_40.4584_17.3705.json,custom
40.449205,17.370616,ov_circolo_ippico_horse_club_terra_jonica_40.4492_17.3706,Circolo Ippico Horse Club Terra Jonica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/circolo_ippico_horse_club_terra_jonica_40.4492_17.3706.json,custom
40.454583,17.388398,ov_l_etoile_forum_40.4546_17.3884,L'Etoile Forum,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/letoile_forum_40.4546_17.3884.json,custom
40.455802,17.375430,ov_museo_dei_mestieri_in_bicicletta_40.4558_17.3754,Museo dei Mestieri in Bicicletta,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/museo_dei_mestieri_in_bicicletta_40.4558_17.3754.json,custom
40.457320,17.379130,ov_biblioteca_comunale_g__monteleone_di_san_40.4573_17.3791,Biblioteca Comunale G. Monteleone di San Giorgio Jonico - AC,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_giorgio_jonico/pages/biblioteca_comunale_g_monteleone_di_san__40.4573_17.3791.json,custom
