# lat,lng,id,name,building_type,type,url,page_type
# Inveruno -- Tutti
45.514290,8.856906,ov_clinica_san_siro_45.5143_8.8569,Clinica San Siro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/clinica_san_siro_45.5143_8.8569.json,custom
45.514108,8.856527,ov_pizzak_45.5141_8.8565,PizZak,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/pizzak_45.5141_8.8565.json,custom
45.514175,8.856478,ov_i_doni_d_italia_45.5142_8.8565,I Doni d'Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/i_doni_ditalia_45.5142_8.8565.json,custom
45.514207,8.856551,ov_urban_mix_45.5142_8.8566,Urban Mix,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/urban_mix_45.5142_8.8566.json,custom
45.514482,8.880170,ov_piatto_d_oro_45.5145_8.8802,Piatto d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/piatto_doro_45.5145_8.8802.json,custom
45.515108,8.881124,ov_il_baretto_di_furato_45.5151_8.8811,Il baretto di furato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/il_baretto_di_furato_45.5151_8.8811.json,custom
45.510138,8.868325,ov_birrificio_di_legnano_factory_45.5101_8.8683,Birrificio di Legnano Factory,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/birrificio_di_legnano_factory_45.5101_8.8683.json,custom
45.521450,8.856880,ov_baryle_45.5215_8.8569,Baryle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/baryle_45.5215_8.8569.json,custom
45.522590,8.855951,ov_la_baracca_frutta_e_verdura_45.5226_8.8560,La baracca frutta e verdura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/la_baracca_frutta_e_verdura_45.5226_8.8560.json,custom
45.513828,8.853380,ov_openshop24_inveruno_45.5138_8.8534,Openshop24 Inveruno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/openshop24_inveruno_45.5138_8.8534.json,custom
45.514182,8.852207,ov_bar_centrale___partner_elfbar_lost_mary_45.5142_8.8522,Bar Centrale - Partner Elfbar Lost Mary,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/bar_centrale_-_partner_elfbar_lost_mary_45.5142_8.8522.json,custom
45.511807,8.850203,ov_magret_bar_45.5118_8.8502,MaGret Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/magret_bar_45.5118_8.8502.json,custom
45.512794,8.847959,ov_c_era_una_volta_di_wang_xiaofang_45.5128_8.8480,C'era Una Volta Di Wang Xiaofang,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/cera_una_volta_di_wang_xiaofang_45.5128_8.8480.json,custom
45.513406,8.852090,ov_degustami_45.5134_8.8521,Degustami,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/degustami_45.5134_8.8521.json,custom
45.513578,8.852131,ov_the_mood_cafe_45.5136_8.8521,The Mood Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/the_mood_cafe_45.5136_8.8521.json,custom
45.521417,8.856688,ov_star_and_simon_school_45.5214_8.8567,Star and Simon School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/star_and_simon_school_45.5214_8.8567.json,custom
45.522237,8.856294,ov_mmlab_functional_training_studio_ssd_a_r_45.5222_8.8563,MMlab functional training studio ssd a rl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/mmlab_functional_training_studio_ssd_a_r_45.5222_8.8563.json,custom
45.511292,8.841276,ov_il_rifugio_di_luce_45.5113_8.8413,Il Rifugio di Luce,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/il_rifugio_di_luce_45.5113_8.8413.json,custom
45.513490,8.848730,ov_t___side___asd_45.5135_8.8487,T - Side   Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/t_-_side_asd_45.5135_8.8487.json,custom
45.513650,8.852209,ov_unione_sportiva_inveruno_45.5136_8.8522,Unione Sportiva Inveruno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/unione_sportiva_inveruno_45.5136_8.8522.json,custom
45.513155,8.859162,ov_palestra_marcora_45.5132_8.8592,Palestra Marcora,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/palestra_marcora_45.5132_8.8592.json,custom
45.514816,8.883886,ov_campus_estivo_furato___coop_stripes_onlu_45.5148_8.8839,Campus Estivo Furato - Coop Stripes ONLUS,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/campus_estivo_furato_-_coop_stripes_onlu_45.5148_8.8839.json,custom
45.512654,8.852644,ov_biblioteca_comunale_di_inveruno_45.5127_8.8526,Biblioteca Comunale di Inveruno,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inveruno/pages/biblioteca_comunale_di_inveruno_45.5127_8.8526.json,custom
