# lat,lng,id,name,building_type,type,url,page_type
# Sant'Agnello -- Tutti
40.632019,14.398335,ov_asl_59_40.6320_14.3983,Asl 59,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/asl_59_40.6320_14.3983.json,custom
40.634363,14.392903,ov_ristorante_moonlight_40.6344_14.3929,Ristorante Moonlight,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ristorante_moonlight_40.6344_14.3929.json,custom
40.634387,14.395437,ov_ristorante_pizzeria_il_pendolo_40.6344_14.3954,Ristorante Pizzeria Il Pendolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ristorante_pizzeria_il_pendolo_40.6344_14.3954.json,custom
40.633718,14.397518,ov_nonna_gianna_sapori_mediterranei_40.6337_14.3975,Nonna Gianna Sapori Mediterranei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/nonna_gianna_sapori_mediterranei_40.6337_14.3975.json,custom
40.630853,14.399320,ov_ristorante_pizzeria_da_peppino_40.6309_14.3993,Ristorante Pizzeria da Peppino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ristorante_pizzeria_da_peppino_40.6309_14.3993.json,custom
40.630471,14.398248,ov_mi_ami_40.6305_14.3982,Mi Ami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/mi_ami_40.6305_14.3982.json,custom
40.630163,14.397288,ov_pescheria_da_tonino_40.6302_14.3973,Pescheria da Tonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/pescheria_da_tonino_40.6302_14.3973.json,custom
40.630633,14.398037,ov_la_campania_in_tavola_40.6306_14.3980,La Campania in tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_campania_in_tavola_40.6306_14.3980.json,custom
40.629940,14.395818,ov_ittica_grecale_40.6299_14.3958,Ittica Grecale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ittica_grecale_40.6299_14.3958.json,custom
40.626897,14.399381,ov_la_pasta_con_amore_40.6269_14.3994,La Pasta con Amore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_pasta_con_amore_40.6269_14.3994.json,custom
40.626910,14.399397,ov_la_pasta_di_sofia_40.6269_14.3994,La Pasta di Sofia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_pasta_di_sofia_40.6269_14.3994.json,custom
40.631353,14.394744,ov_alfred_trattoria_moderna_40.6314_14.3947,Alfred Trattoria Moderna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/alfred_trattoria_moderna_40.6314_14.3947.json,custom
40.632445,14.392286,ov_maj_blu_bar_40.6324_14.3923,Maj Blu Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/maj_blu_bar_40.6324_14.3923.json,custom
40.632760,14.391420,ov_ristorante_ciao_tot__40.6328_14.3914,Ristorante Ciao Totò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ristorante_ciao_tot_40.6328_14.3914.json,custom
40.632523,14.390176,ov_la_scintilla_40.6325_14.3902,la scintilla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_scintilla_40.6325_14.3902.json,custom
40.631524,14.389649,ov_la_bella_ida_40.6315_14.3896,La Bella Ida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_bella_ida_40.6315_14.3896.json,custom
40.612759,14.407910,ov_la_perla_40.6128_14.4079,La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_perla_40.6128_14.4079.json,custom
40.612619,14.407824,ov_ristorante_stelluccia_40.6126_14.4078,Ristorante Stelluccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ristorante_stelluccia_40.6126_14.4078.json,custom
40.612824,14.407736,ov_mezzaluna_da_gigino_40.6128_14.4077,Mezzaluna da Gigino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/mezzaluna_da_gigino_40.6128_14.4077.json,custom
40.612072,14.406752,ov_il_panorama_40.6121_14.4068,Il Panorama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/il_panorama_40.6121_14.4068.json,custom
40.610608,14.404779,ov_ciao_bella_mbriana_40.6106_14.4048,Ciao Bella Mbriana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ciao_bella_mbriana_40.6106_14.4048.json,custom
40.614330,14.402620,ov_agriturismo_nonno_antonino_40.6143_14.4026,Agriturismo Nonno Antonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/agriturismo_nonno_antonino_40.6143_14.4026.json,custom
40.618115,14.402779,ov_anima_e_pizza_40.6181_14.4028,Anima e Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/anima_e_pizza_40.6181_14.4028.json,custom
40.618037,14.403302,ov_casale_guarracino_40.6180_14.4033,Casale Guarracino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/casale_guarracino_40.6180_14.4033.json,custom
40.625400,14.401388,ov_l_archetto_pizzeria_40.6254_14.4014,L'Archetto Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/larchetto_pizzeria_40.6254_14.4014.json,custom
40.629972,14.400562,ov_ristorante_pizzeria_calise_40.6300_14.4006,Ristorante Pizzeria Calise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ristorante_pizzeria_calise_40.6300_14.4006.json,custom
40.629994,14.400376,ov_forni_aversa_40.6300_14.4004,Forni Aversa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/forni_aversa_40.6300_14.4004.json,custom
40.630032,14.401321,ov_la_gustoteca_40.6300_14.4013,La Gustoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_gustoteca_40.6300_14.4013.json,custom
40.630092,14.401026,ov_netto_srl_40.6301_14.4010,Netto Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/netto_srl_40.6301_14.4010.json,custom
40.632192,14.407771,ov_mc_cainat_40.6322_14.4078,Mc Cainat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/mc_cainat_40.6322_14.4078.json,custom
40.631223,14.407871,ov_pizzeria_da_zi_pepp_40.6312_14.4079,Pizzeria Da Zi Pepp,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/pizzeria_da_zi_pepp_40.6312_14.4079.json,custom
40.619222,14.408940,ov_ortiga_restaurant_private_dining___event_40.6192_14.4089,Ortiga Restaurant Private Dining & Events,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ortiga_restaurant_private_dining_events_40.6192_14.4089.json,custom
40.635079,14.390071,osm_la_terrazza_40.6351_14.3901,La Terrazza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_terrazza_40.6351_14.3901.json,custom
40.635074,14.390961,osm_il_capanno_40.6351_14.3910,Il Capanno,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/il_capanno_40.6351_14.3910.json,custom
40.618188,14.402689,osm_fermento_40.6182_14.4027,Fermento,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/fermento_40.6182_14.4027.json,custom
40.612764,14.407545,osm_mezzaluna_pizzeria_40.6128_14.4075,Mezzaluna Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/mezzaluna_pizzeria_40.6128_14.4075.json,custom
40.629919,14.401348,osm_forneria_de_palmo_40.6299_14.4013,Forneria De Palmo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/forneria_de_palmo_40.6299_14.4013.json,custom
40.614939,14.399645,osm_ristorante_santa_croce_al_picco_40.6149_14.3996,Ristorante Santa Croce al Picco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ristorante_santa_croce_al_picco_40.6149_14.3996.json,custom
40.635051,14.389257,ov_lido_la_marinella_a_sant_agnello_sorrent_40.6351_14.3893,Lido La Marinella A Sant'agnello.sorrento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/lido_la_marinella_a_santagnellosorrento_40.6351_14.3893.json,custom
40.634365,14.390091,ov_coku___robata_grill___cocktail_bar_40.6344_14.3901,Coku - Robata Grill & Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/coku_-_robata_grill_cocktail_bar_40.6344_14.3901.json,custom
40.633485,14.390972,ov_sea_bar_40.6335_14.3910,Sea bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/sea_bar_40.6335_14.3910.json,custom
40.634687,14.390661,ov_vista_sky_bar_sorrento_40.6347_14.3907,Vista Sky Bar Sorrento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/vista_sky_bar_sorrento_40.6347_14.3907.json,custom
40.634850,14.391432,ov_l_incontro_garden_bar_40.6348_14.3914,L'Incontro Garden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/lincontro_garden_bar_40.6348_14.3914.json,custom
40.634282,14.397935,ov_vip_s_bar_40.6343_14.3979,Vip's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/vips_bar_40.6343_14.3979.json,custom
40.630820,14.398409,ov_ebrius_40.6308_14.3984,Ebrius,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/ebrius_40.6308_14.3984.json,custom
40.629733,14.397323,ov_oasi_bar_40.6297_14.3973,Oasi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/oasi_bar_40.6297_14.3973.json,custom
40.630712,14.398221,ov_bar_jolly_40.6307_14.3982,Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/bar_jolly_40.6307_14.3982.json,custom
40.631710,14.398217,ov_bar_de_maio_40.6317_14.3982,Bar De Maio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/bar_de_maio_40.6317_14.3982.json,custom
40.629616,14.395527,ov_il_buon_boccone_40.6296_14.3955,Il Buon Boccone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/il_buon_boccone_40.6296_14.3955.json,custom
40.629574,14.395510,ov_bottiglieria_sant_agnello_40.6296_14.3955,Bottiglieria Sant'Agnello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/bottiglieria_santagnello_40.6296_14.3955.json,custom
40.629652,14.395346,ov_tony_s_bar_sorrento_40.6297_14.3953,Tony's bar Sorrento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/tonys_bar_sorrento_40.6297_14.3953.json,custom
40.630000,14.396720,ov_la_tana_del_vino_2_40.6300_14.3967,La Tana del Vino 2,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/la_tana_del_vino_2_40.6300_14.3967.json,custom
40.629621,14.394634,ov_jolly_blu_40.6296_14.3946,Jolly Blu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/jolly_blu_40.6296_14.3946.json,custom
40.629528,14.394726,ov_tourist_bar_restaurant_40.6295_14.3947,Tourist Bar Restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/tourist_bar_restaurant_40.6295_14.3947.json,custom
40.631613,14.393446,ov_dry_martini_sorrento_40.6316_14.3934,Dry Martini Sorrento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/dry_martini_sorrento_40.6316_14.3934.json,custom
40.632774,14.390887,ov_bar_capriccio_40.6328_14.3909,Bar Capriccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/bar_capriccio_40.6328_14.3909.json,custom
40.612765,14.407917,ov_trattoria_la_perla_sant_agnello_40.6128_14.4079,Trattoria La Perla Sant'Agnello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/trattoria_la_perla_santagnello_40.6128_14.4079.json,custom
40.630253,14.399694,ov_bar_pasticceria_pina_40.6303_14.3997,Bar Pasticceria Pina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/bar_pasticceria_pina_40.6303_14.3997.json,custom
40.631781,14.405247,ov_il_caffe_del_tappezziere_40.6318_14.4052,Il Caffe del Tappezziere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/il_caffe_del_tappezziere_40.6318_14.4052.json,custom
40.631959,14.406683,ov_cheri_40.6320_14.4067,Cheri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/cheri_40.6320_14.4067.json,custom
40.630986,14.406981,ov_bar_la_siesta_40.6310_14.4070,Bar La Siesta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/bar_la_siesta_40.6310_14.4070.json,custom
40.631662,14.407481,ov_i_due_pini_40.6317_14.4075,I Due Pini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/i_due_pini_40.6317_14.4075.json,custom
40.631110,14.407840,ov_bar_sessa_40.6311_14.4078,Bar Sessa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/bar_sessa_40.6311_14.4078.json,custom
40.631593,14.407515,osm_i_due_pini_40.6316_14.4075,I Due Pini,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/i_due_pini_40.6316_14.4075.json,custom
40.633740,14.390780,ov_anime_danzanti_40.6337_14.3908,Anime Danzanti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/anime_danzanti_40.6337_14.3908.json,custom
40.631936,14.399003,ov_therapyfit_mindfulness_40.6319_14.3990,THERAPYFIT-Mindfulness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/therapyfit-mindfulness_40.6319_14.3990.json,custom
40.630577,14.397840,ov_tendenze_latine_academia_de_baile_40.6306_14.3978,Tendenze Latine Academia De Baile,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/tendenze_latine_academia_de_baile_40.6306_14.3978.json,custom
40.630129,14.397732,ov_therapyfit___functional_training_40.6301_14.3977,THERAPYFIT - Functional Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/therapyfit_-_functional_training_40.6301_14.3977.json,custom
40.630014,14.396720,ov_box_173_studio_40.6300_14.3967,Box 173 Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/box_173_studio_40.6300_14.3967.json,custom
40.626800,14.398681,ov_danzarte_sant_agnello_40.6268_14.3987,Danzarte Sant'agnello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/danzarte_santagnello_40.6268_14.3987.json,custom
40.629720,14.394713,ov_gli_amici_del_pilates_40.6297_14.3947,Gli Amici del Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/gli_amici_del_pilates_40.6297_14.3947.json,custom
40.629173,14.392435,ov_meraki___centro_olistico_40.6292_14.3924,Meraki - Centro Olistico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/meraki_-_centro_olistico_40.6292_14.3924.json,custom
40.629232,14.392395,ov_asd_accademia_di_raja_yoga_satcitananda_40.6292_14.3924,ASD Accademia di Raja Yoga Satcitananda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/asd_accademia_di_raja_yoga_satcitananda_40.6292_14.3924.json,custom
40.630018,14.401142,ov_elite_performance_40.6300_14.4011,Elite Performance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/elite_performance_40.6300_14.4011.json,custom
40.630104,14.401113,ov_selene_studio_dance_40.6301_14.4011,Selene Studio Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/selene_studio_dance_40.6301_14.4011.json,custom
40.630086,14.400972,ov_movelab_di_antonio_fornabaio_40.6301_14.4010,MoveLab di Antonio Fornabaio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/movelab_di_antonio_fornabaio_40.6301_14.4010.json,custom
40.630431,14.398577,ov_piazza_giacomo_matteotti_40.6304_14.3986,Piazza Giacomo Matteotti,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santagnello/pages/piazza_giacomo_matteotti_40.6304_14.3986.json,custom
