# lat,lng,id,name,building_type,type,url,page_type
# San Giuliano Terme -- Tutti
43.762440,10.436548,ov_studio_fisioterapico_ferrara_43.7624_10.4365,Studio Fisioterapico Ferrara,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/studio_fisioterapico_ferrara_43.7624_10.4365.json,custom
43.714747,10.443743,ov_sostaevia_cafe_43.7147_10.4437,SostaeVia Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/sostaevia_cafe_43.7147_10.4437.json,custom
43.711338,10.478589,ov_l_erba_voglio_di_fabrocini_barbara_43.7113_10.4786,L'erba Voglio di Fabrocini Barbara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/lerba_voglio_di_fabrocini_barbara_43.7113_10.4786.json,custom
43.722098,10.469186,ov_bar_mauri_43.7221_10.4692,Bar Mauri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/bar_mauri_43.7221_10.4692.json,custom
43.723120,10.471034,ov_alfea_distribuzione_bevande_43.7231_10.4710,Alfea Distribuzione Bevande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/alfea_distribuzione_bevande_43.7231_10.4710.json,custom
43.724339,10.463833,ov_pasticceria_zaccagnini_snc_43.7243_10.4638,Pasticceria Zaccagnini Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/pasticceria_zaccagnini_snc_43.7243_10.4638.json,custom
43.747170,10.464274,ov_iqos_reseller___spidy_bar__s__giuliano_t_43.7472_10.4643,"IQOS RESELLER - Spidy bar, S. Giuliano Terme",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/iqos_reseller_-_spidy_bar_s_giuliano_ter_43.7472_10.4643.json,custom
43.749709,10.468505,ov_circolo_arci_casa_del_popolo_asciano_43.7497_10.4685,Circolo Arci Casa Del Popolo Asciano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/circolo_arci_casa_del_popolo_asciano_43.7497_10.4685.json,custom
43.776260,10.401144,ov_bar_ristoro_la_delizia_a_pontasserchio_p_43.7763_10.4011,Bar ristoro La Delizia a Pontasserchio Pisa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/bar_ristoro_la_delizia_a_pontasserchio_p_43.7763_10.4011.json,custom
43.772826,10.368774,ov_ristorante_la_botte_43.7728_10.3688,Ristorante La Botte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ristorante_la_botte_43.7728_10.3688.json,custom
43.772564,10.369174,ov_circolo_arci_giovani_43.7726_10.3692,Circolo ARCI Giovani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/circolo_arci_giovani_43.7726_10.3692.json,custom
43.769830,10.374210,ov_piccolo_forno_metato_43.7698_10.3742,Piccolo Forno Metato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/piccolo_forno_metato_43.7698_10.3742.json,custom
43.763996,10.410749,ov_zakuska_43.7640_10.4107,Zakuska,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/zakuska_43.7640_10.4107.json,custom
43.763070,10.441143,ov_bar_shelley_43.7631_10.4411,Bar Shelley,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/bar_shelley_43.7631_10.4411.json,custom
43.762499,10.440934,ov_al_fosso_del_mulino_43.7625_10.4409,Al Fosso del Mulino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/al_fosso_del_mulino_43.7625_10.4409.json,custom
43.762778,10.441117,ov_bar_gelateria_salsedo_43.7628_10.4411,Bar Gelateria Salsedo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/bar_gelateria_salsedo_43.7628_10.4411.json,custom
43.756969,10.430484,ov_biffy_bar_43.7570_10.4305,Biffy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/biffy_bar_43.7570_10.4305.json,custom
43.751268,10.359025,ov_gatto_rosso_43.7513_10.3590,Gatto Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/gatto_rosso_43.7513_10.3590.json,custom
43.714726,10.443682,osm_sosta_e_via_43.7147_10.4437,Sosta e Via,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/sosta_e_via_43.7147_10.4437.json,custom
43.740969,10.377376,ov_centro_mito_yoga___pilates_43.7410_10.3774,Centro MiTo Yoga & Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/centro_mito_yoga_pilates_43.7410_10.3774.json,custom
43.742584,10.402003,ov_palestra_zodiaco_sport_club_pisa_43.7426_10.4020,Palestra Zodiaco Sport Club Pisa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/palestra_zodiaco_sport_club_pisa_43.7426_10.4020.json,custom
43.734578,10.425278,ov_climbo_43.7346_10.4253,ClimbO,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/climbo_43.7346_10.4253.json,custom
43.729026,10.423379,ov_polevolution_xl_pisa_43.7290_10.4234,Polevolution XL Pisa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/polevolution_xl_pisa_43.7290_10.4234.json,custom
43.726590,10.419269,ov_etoile_ssd_scuola_di_danza_43.7266_10.4193,Etoile SSD Scuola di Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/etoile_ssd_scuola_di_danza_43.7266_10.4193.json,custom
43.726390,10.420130,ov_s3_strength___shape__in_synergy_43.7264_10.4201,"S3 Strength & Shape, in Synergy",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/s3_strength_shape_in_synergy_43.7264_10.4201.json,custom
43.726390,10.420130,ov_harmony_studio_43.7264_10.4201,Harmony Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/harmony_studio_43.7264_10.4201.json,custom
43.726390,10.420130,ov_salsashaker_scuola_di_salsa_e_bachata_43.7264_10.4201,Salsashaker scuola di Salsa e Bachata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/salsashaker_scuola_di_salsa_e_bachata_43.7264_10.4201.json,custom
43.726710,10.421830,ov_skyfall_bartending_course_43.7267_10.4218,Skyfall Bartending Course,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/skyfall_bartending_course_43.7267_10.4218.json,custom
43.727599,10.420276,ov_newpoint_plus_43.7276_10.4203,Newpoint Plus,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/newpoint_plus_43.7276_10.4203.json,custom
43.727952,10.422768,ov_gaddidanza_43.7280_10.4228,Gaddidanza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/gaddidanza_43.7280_10.4228.json,custom
43.724700,10.444370,ov_ghezzani_group_43.7247_10.4444,Ghezzani Group,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ghezzani_group_43.7247_10.4444.json,custom
