# lat,lng,id,name,building_type,type,url,page_type
# bova_marina -- Tutti
39.909736,16.171875,ov_biblioped_a_39.9097_16.1719,Bibliopedìa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/bibliopeda_39.9097_16.1719.json,custom
37.937269,15.956412,ov_agriturismo_del_pozzo_37.9373_15.9564,Agriturismo del Pozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/agriturismo_del_pozzo_37.9373_15.9564.json,custom
37.958690,15.920722,ov_di_petru_i__ntoni_37.9587_15.9207,Di Petru i ‘Ntoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/di_petru_i_ntoni_37.9587_15.9207.json,custom
37.928315,15.900295,ov_vittoria_bar_37.9283_15.9003,Vittoria Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/vittoria_bar_37.9283_15.9003.json,custom
37.929451,15.929822,ov_notting_hill_bova_marina_37.9295_15.9298,Notting Hill Bova Marina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/notting_hill_bova_marina_37.9295_15.9298.json,custom
37.930411,15.917003,ov_new_bar_mokambo_37.9304_15.9170,New Bar Mokambo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/new_bar_mokambo_37.9304_15.9170.json,custom
37.930378,15.918024,ov_bar_ficara_37.9304_15.9180,Bar Ficara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/bar_ficara_37.9304_15.9180.json,custom
37.930550,15.922355,ov_dolce_vita_bova_37.9305_15.9224,Dolce Vita Bova,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/dolce_vita_bova_37.9305_15.9224.json,custom
37.930680,15.920980,ov_notting_hill_pub_pizzeria_37.9307_15.9210,Notting Hill Pub Pizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/notting_hill_pub_pizzeria_37.9307_15.9210.json,custom
37.931244,15.921054,ov_extra_bar_bova_marina_37.9312_15.9211,Extra Bar Bova Marina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/extra_bar_bova_marina_37.9312_15.9211.json,custom
37.929761,15.924817,ov_bocciofila_bovese_campo_da_bocce_37.9298_15.9248,Bocciofila Bovese Campo da bocce,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/bocciofila_bovese_campo_da_bocce_37.9298_15.9248.json,custom
37.931033,15.919728,ov_total_fitness_bova_marina_37.9310_15.9197,Total Fitness Bova Marina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/total_fitness_bova_marina_37.9310_15.9197.json,custom
37.931480,15.921043,ov_interno_uno_studio_danza_di_silvia_legat_37.9315_15.9210,Interno Uno_Studio Danza di Silvia Legato,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/interno_unostudio_danza_di_silvia_legato_37.9315_15.9210.json,custom
37.931372,15.917440,ov_oratorio_salesiano_don_bosco_37.9314_15.9174,Oratorio Salesiano Don Bosco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/oratorio_salesiano_don_bosco_37.9314_15.9174.json,custom
37.924790,15.945150,ov_museo_e_parco_archeologico_di_bova_marin_37.9248_15.9451,Museo e Parco archeologico di Bova Marina - DR Musei Calabri,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/museo_e_parco_archeologico_di_bova_marin_37.9248_15.9451.json,custom
37.924126,15.951161,ov_area_archeologica_archeoderi___bova_mari_37.9241_15.9512,"Area Archeologica Archeoderi - Bova Marina, RC - Coop. Cleve",MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/area_archeologica_archeoderi_-_bova_mari_37.9241_15.9512.json,custom
37.931115,15.921552,ov_museo_agro_pastorale_dell_area_ellenofon_37.9311_15.9216,Museo Agro-Pastorale dell'Area Ellenofona,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/museo_agro-pastorale_dellarea_ellenofona_37.9311_15.9216.json,custom
