# lat,lng,id,name,building_type,type,url,page_type
# Cernobbio -- Tutti
45.837342,9.067890,ov_azienda_ospedaliera_ospedale_s__anna_45.8373_9.0679,Azienda Ospedaliera Ospedale S. Anna,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/azienda_ospedaliera_ospedale_s_anna_45.8373_9.0679.json,custom
45.841432,9.077227,ov_osteria_del_beuc_45.8414_9.0772,Osteria del Beuc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/osteria_del_beuc_45.8414_9.0772.json,custom
45.841508,9.076814,ov_osteria_cantinafrasca_45.8415_9.0768,Osteria Cantinafrasca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/osteria_cantinafrasca_45.8415_9.0768.json,custom
45.840733,9.077678,ov_harry_s_bar_45.8407_9.0777,Harry's Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/harrys_bar_45.8407_9.0777.json,custom
45.840595,9.077173,ov_trattoria_del_vapore_45.8406_9.0772,Trattoria del Vapore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/trattoria_del_vapore_45.8406_9.0772.json,custom
45.839675,9.077857,ov_lagodicernobbio_45.8397_9.0779,Lagodicernobbio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/lagodicernobbio_45.8397_9.0779.json,custom
45.839587,9.077697,ov_onda_cernobbio_i_ristorante_e_cocktail_b_45.8396_9.0777,Onda Cernobbio I Ristorante e Cocktail bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/onda_cernobbio_i_ristorante_e_cocktail_b_45.8396_9.0777.json,custom
45.839140,9.078020,ov_mg_cavour___cernobbio_45.8391_9.0780,MG-Cavour - Cernobbio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/mg-cavour_-_cernobbio_45.8391_9.0780.json,custom
45.837214,9.072994,ov_piccole_stelle_garden_bistrot_45.8372_9.0730,Piccole Stelle Garden Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/piccole_stelle_garden_bistrot_45.8372_9.0730.json,custom
45.837039,9.069900,ov_trattoria_osteria_vineria_nisciolano_45.8370_9.0699,Trattoria Osteria Vineria Nisciolano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/trattoria_osteria_vineria_nisciolano_45.8370_9.0699.json,custom
45.840643,9.075210,osm_cernobbio_meat_45.8406_9.0752,Cernobbio Meat,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/cernobbio_meat_45.8406_9.0752.json,custom
45.843925,9.075287,osm_trattoria_albergo_la_vignetta_45.8439_9.0753,Trattoria Albergo la Vignetta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/trattoria_albergo_la_vignetta_45.8439_9.0753.json,custom
45.840601,9.075574,osm_trattoria_laghee_45.8406_9.0756,Trattoria Laghee,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/trattoria_laghee_45.8406_9.0756.json,custom
45.838525,9.061824,osm_valverde_45.8385_9.0618,Valverde,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/valverde_45.8385_9.0618.json,custom
45.841951,9.068307,osm_trattoria_del_glicine_45.8420_9.0683,Trattoria del Glicine,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/trattoria_del_glicine_45.8420_9.0683.json,custom
45.840956,9.056358,ov_bar_la_guantanamera_45.8410_9.0564,BAR La Guantanamera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/bar_la_guantanamera_45.8410_9.0564.json,custom
45.844781,9.079886,ov_bar_canova_45.8448_9.0799,Bar Canova,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/bar_canova_45.8448_9.0799.json,custom
45.842455,9.077494,ov_olde_england_cernobbio_45.8425_9.0775,Olde England Cernobbio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/olde_england_cernobbio_45.8425_9.0775.json,custom
45.838723,9.074199,ov_iqos_premium_partner_cernobbio___bar_spo_45.8387_9.0742,IQOS PREMIUM PARTNER CERNOBBIO - Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/iqos_premium_partner_cernobbio_-_bar_spo_45.8387_9.0742.json,custom
45.839076,9.073856,ov_sisso_45.8391_9.0739,Sisso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/sisso_45.8391_9.0739.json,custom
45.839124,9.073745,ov_bar_visconti_45.8391_9.0737,Bar Visconti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/bar_visconti_45.8391_9.0737.json,custom
45.840508,9.075416,ov_vincenzo_dascanio_cafe_45.8405_9.0754,Vincenzo Dascanio Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/vincenzo_dascanio_cafe_45.8405_9.0754.json,custom
45.840797,9.074741,ov_house_of_people_45.8408_9.0747,House of People,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/house_of_people_45.8408_9.0747.json,custom
45.840280,9.075351,ov_castiglioni_wine_cernobbio_45.8403_9.0754,Castiglioni Wine Cernobbio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/castiglioni_wine_cernobbio_45.8403_9.0754.json,custom
45.837289,9.072760,ov_anagramma_45.8373_9.0728,Anagramma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/anagramma_45.8373_9.0728.json,custom
45.840028,9.077668,osm_inriva_45.8400_9.0777,InRiva,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/inriva_45.8400_9.0777.json,custom
45.840241,9.075388,osm_olde_england_45.8402_9.0754,Olde England,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/olde_england_45.8402_9.0754.json,custom
45.837350,9.072689,osm_spazio_anagramma_45.8374_9.0727,Spazio Anagramma,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/spazio_anagramma_45.8374_9.0727.json,custom
45.850890,9.082567,ov_invincible_diving_45.8509_9.0826,Invincible Diving,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/invincible_diving_45.8509_9.0826.json,custom
45.837315,9.071886,ov_palazzetto_dello_sport_45.8373_9.0719,Palazzetto dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/palazzetto_dello_sport_45.8373_9.0719.json,custom
45.837528,9.073104,ov_villa_bernasconi_45.8375_9.0731,Villa Bernasconi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/villa_bernasconi_45.8375_9.0731.json,custom
45.840534,9.074888,osm_poste_italiane_45.8405_9.0749,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/poste_italiane_45.8405_9.0749.json,custom
45.839362,9.073993,ov_biblioteca_comunale_di_cernobbio_45.8394_9.0740,Biblioteca Comunale di Cernobbio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/biblioteca_comunale_di_cernobbio_45.8394_9.0740.json,custom
