# lat,lng,id,name,building_type,type,url,page_type
# Montecchio Emilia -- Tutti
44.706217,10.449738,ov_ospedale_franchini_44.7062_10.4497,Ospedale Franchini,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/ospedale_franchini_44.7062_10.4497.json,custom
44.700699,10.449602,ov_mille10_44.7007_10.4496,Mille10,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/mille10_44.7007_10.4496.json,custom
44.703224,10.449826,ov_kebab_buonissimo_montecchio_44.7032_10.4498,Kebab Buonissimo Montecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/kebab_buonissimo_montecchio_44.7032_10.4498.json,custom
44.702900,10.449125,ov_pizzeria_ambrosia_44.7029_10.4491,Pizzeria Ambrosia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/pizzeria_ambrosia_44.7029_10.4491.json,custom
44.710659,10.453083,ov_ramos_piadineria_44.7107_10.4531,Ramos Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/ramos_piadineria_44.7107_10.4531.json,custom
44.708223,10.452179,ov_trattoria_pizzeria_il_torchio_44.7082_10.4522,Trattoria Pizzeria Il Torchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/trattoria_pizzeria_il_torchio_44.7082_10.4522.json,custom
44.708280,10.452245,ov_pizzeria_zio_pasquale_44.7083_10.4522,Pizzeria Zio Pasquale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/pizzeria_zio_pasquale_44.7083_10.4522.json,custom
44.706818,10.454211,ov_pizzeria_24d_44.7068_10.4542,Pizzeria 24D,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/pizzeria_24d_44.7068_10.4542.json,custom
44.707390,10.450974,ov_pizzeria_val_d_enza_44.7074_10.4510,Pizzeria Val D'Enza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/pizzeria_val_denza_44.7074_10.4510.json,custom
44.710608,10.460011,ov_ristorante_millefiori_montecchio_emilia_44.7106_10.4600,Ristorante Millefiori Montecchio Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/ristorante_millefiori_montecchio_emilia_44.7106_10.4600.json,custom
44.711496,10.460657,ov_renato_zoe_44.7115_10.4607,Renato Zoe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/renato_zoe_44.7115_10.4607.json,custom
44.680388,10.434789,ov_agriturismo_corte_braglia_44.6804_10.4348,Agriturismo Corte Braglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/agriturismo_corte_braglia_44.6804_10.4348.json,custom
44.699823,10.444362,osm_encuentro_montecchio___tex_mex___cocktai_44.6998_10.4444,Encuentro Montecchio - Tex Mex & Cocktail Bar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/encuentro_montecchio_-_tex_mex_cocktail__44.6998_10.4444.json,custom
44.699610,10.462000,ov_dolce_desiderio_44.6996_10.4620,Dolce Desiderio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/dolce_desiderio_44.6996_10.4620.json,custom
44.696898,10.472921,ov_dieci_official_44.6969_10.4729,Dieci Official,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/dieci_official_44.6969_10.4729.json,custom
44.695971,10.458811,ov_monny_bar_44.6960_10.4588,Monny Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/monny_bar_44.6960_10.4588.json,custom
44.696408,10.444166,ov_la_greppia_44.6964_10.4442,La Greppia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/la_greppia_44.6964_10.4442.json,custom
44.699880,10.441420,ov_smash_bar_montecchio_emilia_44.6999_10.4414,Smash Bar Montecchio Emilia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/smash_bar_montecchio_emilia_44.6999_10.4414.json,custom
44.698357,10.442612,ov_bar_tabaccheria_crystal_cafe_44.6984_10.4426,Bar Tabaccheria Crystal Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/bar_tabaccheria_crystal_cafe_44.6984_10.4426.json,custom
44.698704,10.450406,ov_circolo_marab__44.6987_10.4504,CIRCOLO Marabù,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/circolo_marab_44.6987_10.4504.json,custom
44.699810,10.446631,ov_la_nuova_lifferia_44.6998_10.4466,La Nuova Lifferia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/la_nuova_lifferia_44.6998_10.4466.json,custom
44.699767,10.447532,ov_different_cafe_44.6998_10.4475,Different cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/different_cafe_44.6998_10.4475.json,custom
44.698537,10.447835,ov_pasticceria_caffetteria_caramelia_44.6985_10.4478,Pasticceria Caffetteria Caramelia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/pasticceria_caffetteria_caramelia_44.6985_10.4478.json,custom
44.700803,10.449587,ov_redipane_bakery___caf____italy__montecch_44.7008_10.4496,"REDIPANE bakery - cafè | Italy, Montecchio Emilia",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/redipane_bakery_-_caf_italy_montecchio_e_44.7008_10.4496.json,custom
44.703115,10.449623,ov_tribeca_ristocafe_44.7031_10.4496,Tribeca Ristocafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/tribeca_ristocafe_44.7031_10.4496.json,custom
44.710856,10.452449,ov_bar_zona_33_44.7109_10.4524,Bar Zona 33,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/bar_zona_33_44.7109_10.4524.json,custom
44.709609,10.455193,ov_bar_tabaccheria_zona_trentatr__44.7096_10.4552,Bar Tabaccheria Zona Trentatrè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/bar_tabaccheria_zona_trentatr_44.7096_10.4552.json,custom
44.708357,10.452169,ov_gioia_caffe_44.7084_10.4522,Gioia Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/gioia_caffe_44.7084_10.4522.json,custom
44.704051,10.448002,ov_bar_fantasy_44.7041_10.4480,Bar Fantasy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/bar_fantasy_44.7041_10.4480.json,custom
44.700780,10.449589,osm_mille10___tasty_break_44.7008_10.4496,mille10 - tasty break,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/mille10_-_tasty_break_44.7008_10.4496.json,custom
44.697030,10.467570,ov_centro_studi_danza_accademiadanzaedintor_44.6970_10.4676,Centro Studi Danza Accademiadanzaedintorni asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/centro_studi_danza_accademiadanzaedintor_44.6970_10.4676.json,custom
44.696954,10.469237,ov_dynamica_fitness_44.6970_10.4692,Dynamica Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/dynamica_fitness_44.6970_10.4692.json,custom
44.698695,10.443240,ov_jjt_arena_montecchio_emilia_44.6987_10.4432,JJT ARENA Montecchio Emilia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/jjt_arena_montecchio_emilia_44.6987_10.4432.json,custom
44.705981,10.445798,ov_corpus_fitness_center_44.7060_10.4458,Corpus Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/corpus_fitness_center_44.7060_10.4458.json,custom
44.734134,10.448255,ov_acetaia_medici__museo_del_vino_44.7341_10.4483,Acetaia Medici- Museo del Vino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/acetaia_medici-_museo_del_vino_44.7341_10.4483.json,custom
44.720809,10.478492,ov_museo_storico_del_parmigiano_reggiano_44.7208_10.4785,Museo Storico del Parmigiano Reggiano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/museo_storico_del_parmigiano_reggiano_44.7208_10.4785.json,custom
44.700248,10.446071,ov_sala_della_rocca___montecchio_emilia_44.7002_10.4461,Sala Della Rocca - Montecchio Emilia,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/sala_della_rocca_-_montecchio_emilia_44.7002_10.4461.json,custom
44.700425,10.446068,ov_castello_estense_di_montecchio_emilia_44.7004_10.4461,Castello Estense di Montecchio Emilia,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/castello_estense_di_montecchio_emilia_44.7004_10.4461.json,custom
44.700214,10.444265,ov_biblioteca_di_montecchio_emilia_44.7002_10.4443,Biblioteca di Montecchio Emilia,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/biblioteca_di_montecchio_emilia_44.7002_10.4443.json,custom
