# lat,lng,id,name,building_type,type,url,page_type
# Pradamano -- Tutti
46.036558,13.295708,ov_veins___leg_center_46.0366_13.2957,Veins & Leg Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/veins_leg_center_46.0366_13.2957.json,custom
46.019115,13.293082,ov_burger_king_italia_46.0191_13.2931,Burger King Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/burger_king_italia_46.0191_13.2931.json,custom
46.019210,13.295005,ov_ye_s_wok_restaurant_46.0192_13.2950,Ye's Wok Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/yes_wok_restaurant_46.0192_13.2950.json,custom
46.030843,13.298361,ov_trattoria_bar_sport_46.0308_13.2984,Trattoria Bar Sport,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/trattoria_bar_sport_46.0308_13.2984.json,custom
46.033132,13.306447,ov_parco_pizza_pradamano_46.0331_13.3064,Parco Pizza Pradamano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/parco_pizza_pradamano_46.0331_13.3064.json,custom
46.032213,13.304601,ov_pizzeria_nord_e_sud_46.0322_13.3046,Pizzeria Nord e Sud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/pizzeria_nord_e_sud_46.0322_13.3046.json,custom
46.032246,13.304271,ov_trattoria_la_di_missin_46.0322_13.3043,Trattoria La Di Missin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/trattoria_la_di_missin_46.0322_13.3043.json,custom
46.085804,13.380007,ov_burger_king_46.0858_13.3800,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/burger_king_46.0858_13.3800.json,custom
46.032344,13.303113,osm_patagonia_ristorante_46.0323_13.3031,Patagonia Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/patagonia_ristorante_46.0323_13.3031.json,custom
46.033113,13.306513,osm_parco_pizza_46.0331_13.3065,Parco Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/parco_pizza_46.0331_13.3065.json,custom
46.032181,13.304611,osm_pizzeria_nord_sud_46.0322_13.3046,Pizzeria Nord&Sud,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/pizzeria_nordsud_46.0322_13.3046.json,custom
46.018922,13.296263,ov_sol_bistrot_46.0189_13.2963,Sol Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/sol_bistrot_46.0189_13.2963.json,custom
46.030997,13.298822,ov_bar_rapsodia_46.0310_13.2988,Bar Rapsodia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/bar_rapsodia_46.0310_13.2988.json,custom
46.033398,13.306400,osm_pasticceria_galli_galli_snc_di_alessio_e_46.0334_13.3064,Pasticceria Galli Galli Snc di Alessio e Sofia Galli & C,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/pasticceria_galli_galli_snc_di_alessio_e_46.0334_13.3064.json,custom
46.022946,13.274169,osm_dutbon_46.0229_13.2742,Dutbon,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/dutbon_46.0229_13.2742.json,custom
46.022418,13.283452,osm_yardie_46.0224_13.2835,Yardie,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/yardie_46.0224_13.2835.json,custom
46.020755,13.286760,ov_webfit_46.0208_13.2868,WebFit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/webfit_46.0208_13.2868.json,custom
46.019549,13.291662,ov_corpo_46.0195_13.2917,Corpo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/corpo_46.0195_13.2917.json,custom
46.019424,13.292324,ov_biliardo_di_mimmo_e_fam__planet_games_46.0194_13.2923,Biliardo di Mimmo e fam. Planet GAMES,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/biliardo_di_mimmo_e_fam_planet_games_46.0194_13.2923.json,custom
46.040710,13.294840,ov_il_cavallino___centro_equestre_q_46.0407_13.2948,Il Cavallino - Centro Equestre Q,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/il_cavallino_-_centro_equestre_q_46.0407_13.2948.json,custom
46.049896,13.288781,ov_pradamano_dream_horse_center_46.0499_13.2888,Pradamano Dream Horse Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/pradamano_dream_horse_center_46.0499_13.2888.json,custom
46.032590,13.300732,ov_a__s__d__victoria_danze_46.0326_13.3007,A. S. D. Victoria Danze,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/a_s_d_victoria_danze_46.0326_13.3007.json,custom
