# lat,lng,id,name,building_type,type,url,page_type
# Fiesso d'Artico -- Tutti
45.419695,12.062310,ov_le_mammole_del_reparto_maternit__ospedal_45.4197_12.0623,Le Mammole del Reparto Maternità Ospedale di Dolo - VE,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/le_mammole_del_reparto_maternit_ospedale_45.4197_12.0623.json,custom
45.416997,12.028756,ov_osteria_da_ciano_45.4170_12.0288,Osteria da Ciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/osteria_da_ciano_45.4170_12.0288.json,custom
45.416965,12.027438,ov_ma_e_ma_la_pizza_45.4170_12.0274,Ma e Ma La Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/ma_e_ma_la_pizza_45.4170_12.0274.json,custom
45.417824,12.016901,ov_la_casaccia_da_bacco_45.4178_12.0169,La Casaccia da Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/la_casaccia_da_bacco_45.4178_12.0169.json,custom
45.422790,12.036220,ov_tajmahal_45.4228_12.0362,Tajmahal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/tajmahal_45.4228_12.0362.json,custom
45.420155,12.040197,ov_poste_italiane_45.4202_12.0402,Poste Italiane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/poste_italiane_45.4202_12.0402.json,custom
45.418472,12.056136,ov_ristobar_da_zoe_45.4185_12.0561,Ristobar da Zoe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/ristobar_da_zoe_45.4185_12.0561.json,custom
45.414833,12.017260,ov_soft_bar_dolce_vita_45.4148_12.0173,Soft Bar Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/soft_bar_dolce_vita_45.4148_12.0173.json,custom
45.416550,12.030018,ov_ci_voleva_45.4165_12.0300,Ci Voleva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/ci_voleva_45.4165_12.0300.json,custom
45.416810,12.036532,ov_enoteca_ai_gemelli_45.4168_12.0365,Enoteca Ai Gemelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/enoteca_ai_gemelli_45.4168_12.0365.json,custom
45.417464,12.052029,ov_open_gate_45.4175_12.0520,Open Gate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/open_gate_45.4175_12.0520.json,custom
45.417343,12.038963,ov_enoteca_il_bos____del_vino_45.4173_12.0390,Enoteca Il Bos... del Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/enoteca_il_bos_del_vino_45.4173_12.0390.json,custom
45.417037,12.027480,ov_angi_bistrot_e_caffetteria_45.4170_12.0275,AnGi Bistrot e Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/angi_bistrot_e_caffetteria_45.4170_12.0275.json,custom
45.423170,12.013830,ov_dachecco_snackbar_45.4232_12.0138,dachecco_snackbar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/dacheccosnackbar_45.4232_12.0138.json,custom
45.423366,12.013967,ov_trattoria_da_martignon_45.4234_12.0140,Trattoria da Martignon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/trattoria_da_martignon_45.4234_12.0140.json,custom
45.417964,12.048332,ov_il_posto_45.4180_12.0483,Il Posto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/il_posto_45.4180_12.0483.json,custom
45.411308,12.013051,ov_yoga_e_danza_studio_45.4113_12.0131,YOGA E DANZA Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/yoga_e_danza_studio_45.4113_12.0131.json,custom
45.422683,12.015302,ov_you___motion_45.4227_12.0153,You & Motion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/you_motion_45.4227_12.0153.json,custom
45.421565,12.017554,ov_centro_studi_danza_riviera_del_brenta_45.4216_12.0176,Centro Studi Danza Riviera del Brenta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/centro_studi_danza_riviera_del_brenta_45.4216_12.0176.json,custom
45.418804,12.030475,ov_ensamble_dance_studio_45.4188_12.0305,Ensamble Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/ensamble_dance_studio_45.4188_12.0305.json,custom
45.418849,12.030518,ov_v_dance_academy_45.4188_12.0305,V Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/v_dance_academy_45.4188_12.0305.json,custom
45.419386,12.057824,ov_active_for_active_people_45.4194_12.0578,Active for active people,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/active_for_active_people_45.4194_12.0578.json,custom
45.416758,12.027871,osm_poste_italiane_45.4168_12.0279,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/poste_italiane_45.4168_12.0279.json,custom
45.420298,12.030903,ov_biblioteca_comunale_primo_maggio_45.4203_12.0309,Biblioteca Comunale Primo Maggio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/biblioteca_comunale_primo_maggio_45.4203_12.0309.json,custom
