# lat,lng,id,name,building_type,type,url,page_type
# Lastra a Signa -- Tutti
43.770692,11.099447,ov_azienda_usl_toscana_centro___distretto_l_43.7707_11.0994,Azienda USL Toscana Centro - Distretto Lastra a Signa Alfa C,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/azienda_usl_toscana_centro_-_distretto_l_43.7707_11.0994.json,custom
43.732324,11.069820,ov_ristorante_osteria__pizzeria_fagiolari_43.7323_11.0698,Ristorante Osteria -pizzeria Fagiolari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_osteria_-pizzeria_fagiolari_43.7323_11.0698.json,custom
43.729045,11.081243,ov_ristorante_terramare_43.7290_11.0812,Ristorante Terramare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_terramare_43.7290_11.0812.json,custom
43.718883,11.070924,ov_ristorante_l_eremita_43.7189_11.0709,Ristorante L'Eremita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_leremita_43.7189_11.0709.json,custom
43.719725,11.040273,ov_ristorante_vecchio_convento_43.7197_11.0403,Ristorante Vecchio Convento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_vecchio_convento_43.7197_11.0403.json,custom
43.735463,11.105774,ov_chef_express_43.7355_11.1058,Chef Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/chef_express_43.7355_11.1058.json,custom
43.756130,11.106196,ov_farm_villani_43.7561_11.1062,Farm Villani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/farm_villani_43.7561_11.1062.json,custom
43.760106,11.104631,ov_ristorante_edy_piu_43.7601_11.1046,Ristorante Edy Piu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_edy_piu_43.7601_11.1046.json,custom
43.766620,11.112176,ov_la_vecchia_guardiana_43.7666_11.1122,La Vecchia Guardiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/la_vecchia_guardiana_43.7666_11.1122.json,custom
43.763175,11.125553,ov_osteria_del_leone_43.7632_11.1256,Osteria Del Leone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/osteria_del_leone_43.7632_11.1256.json,custom
43.769338,11.121754,ov_l_officina_del_gusto_43.7693_11.1218,L'Officina del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/lofficina_del_gusto_43.7693_11.1218.json,custom
43.771240,11.116954,ov_tiva_gusto_e_creativita_43.7712_11.1170,TiVa Gusto e Creativita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/tiva_gusto_e_creativita_43.7712_11.1170.json,custom
43.771215,11.110484,ov_la_cayenna_43.7712_11.1105,La Cayenna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/la_cayenna_43.7712_11.1105.json,custom
43.771025,11.110263,ov_uzzoli_e_minuzzoli_43.7710_11.1103,Uzzoli e Minuzzoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/uzzoli_e_minuzzoli_43.7710_11.1103.json,custom
43.769981,11.113055,ov_fusion_68_43.7700_11.1131,Fusion 68,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/fusion_68_43.7700_11.1131.json,custom
43.769686,11.109629,ov_bacci_dal_1890_rosticceria_macelleria_43.7697_11.1096,Bacci dal 1890 Rosticceria Macelleria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/bacci_dal_1890_rosticceria_macelleria_43.7697_11.1096.json,custom
43.770118,11.113889,ov_casa_del_popolo_di_tripetetolo_43.7701_11.1139,Casa del Popolo di Tripetetolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/casa_del_popolo_di_tripetetolo_43.7701_11.1139.json,custom
43.767885,11.110305,ov_pizzeria_mangiaebevi_43.7679_11.1103,Pizzeria MangiaeBevi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/pizzeria_mangiaebevi_43.7679_11.1103.json,custom
43.769030,11.110822,ov_ristorante_pizzeria_lo_scoglio_43.7690_11.1108,Ristorante Pizzeria Lo Scoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_pizzeria_lo_scoglio_43.7690_11.1108.json,custom
43.768629,11.106527,ov_ristorante_sottomarino_43.7686_11.1065,Ristorante Sottomarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_sottomarino_43.7686_11.1065.json,custom
43.769509,11.105523,ov_studenti_chicken_hot_43.7695_11.1055,Studenti chicken hot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/studenti_chicken_hot_43.7695_11.1055.json,custom
43.769894,11.106320,ov_pizzeria_primavera_43.7699_11.1063,Pizzeria Primavera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/pizzeria_primavera_43.7699_11.1063.json,custom
43.770940,11.108858,ov_da_bertone_pizzeria_ristorante_43.7709_11.1089,Da Bertone Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/da_bertone_pizzeria_ristorante_43.7709_11.1089.json,custom
43.770763,11.106503,ov_antica_trattoria_sanesi_43.7708_11.1065,Antica Trattoria Sanesi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/antica_trattoria_sanesi_43.7708_11.1065.json,custom
43.771116,11.105683,ov_circolo_arci_le_cascine_43.7711_11.1057,Circolo Arci Le Cascine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/circolo_arci_le_cascine_43.7711_11.1057.json,custom
43.771481,11.116651,ov_il_gatto_e_la_volpe_43.7715_11.1167,Il Gatto e la Volpe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/il_gatto_e_la_volpe_43.7715_11.1167.json,custom
43.775463,11.119149,ov_parco_fluviale_di_l__d_arno_43.7755_11.1191,Parco Fluviale Di là d'Arno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/parco_fluviale_di_l_darno_43.7755_11.1191.json,custom
43.774875,11.119528,ov_locanda_del_parco_fluviale_43.7749_11.1195,Locanda Del Parco Fluviale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/locanda_del_parco_fluviale_43.7749_11.1195.json,custom
43.772572,11.121197,ov_kestoria_43.7726_11.1212,Kestoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/kestoria_43.7726_11.1212.json,custom
43.771876,11.123083,ov_pescheria_i_ganugi_43.7719_11.1231,Pescheria i Ganugi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/pescheria_i_ganugi_43.7719_11.1231.json,custom
43.771980,11.123410,ov_club_ezmeralda_43.7720_11.1234,Club ezmeralda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/club_ezmeralda_43.7720_11.1234.json,custom
43.778911,11.079242,osm_il_rifugio_dei_golosi_43.7789_11.0792,Il Rifugio dei Golosi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/il_rifugio_dei_golosi_43.7789_11.0792.json,custom
43.772461,11.091333,osm_lastra_a_vigna___vinosteria_43.7725_11.0913,Lastra a Vigna - VinOsteria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/lastra_a_vigna_-_vinosteria_43.7725_11.0913.json,custom
43.769432,11.105494,osm_studenti_chicken_hot_43.7694_11.1055,Studenti Chicken Hot,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/studenti_chicken_hot_43.7694_11.1055.json,custom
43.760119,11.104664,osm_edy_pi__43.7601_11.1047,Edy più,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/edy_pi_43.7601_11.1047.json,custom
43.769928,11.097780,osm_circolo_mcl_aurora_di_san_martino_a_gang_43.7699_11.0978,Circolo MCL Aurora di San Martino a Gangalandi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/circolo_mcl_aurora_di_san_martino_a_gang_43.7699_11.0978.json,custom
43.709153,11.070595,ov_carmen_social_bar_43.7092_11.0706,Carmen Social Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/carmen_social_bar_43.7092_11.0706.json,custom
43.708697,11.072130,ov_bar_nuovo_look_43.7087_11.0721,Bar Nuovo Look,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/bar_nuovo_look_43.7087_11.0721.json,custom
43.778416,11.080367,ov_bar_masi_43.7784_11.0804,Bar Masi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/bar_masi_43.7784_11.0804.json,custom
43.772201,11.093786,ov_bar_21_43.7722_11.0938,Bar 21,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/bar_21_43.7722_11.0938.json,custom
43.772267,11.092934,ov_caffetteria_del_ponte_43.7723_11.0929,Caffetteria del Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/caffetteria_del_ponte_43.7723_11.0929.json,custom
43.765839,11.099912,ov_circolo_sms_santa_lucia_43.7658_11.0999,Circolo SMS Santa Lucia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/circolo_sms_santa_lucia_43.7658_11.0999.json,custom
43.746280,11.068581,ov_la_sportiva_mcl_43.7463_11.0686,La Sportiva Mcl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/la_sportiva_mcl_43.7463_11.0686.json,custom
43.745670,11.068587,ov_la_musica_43.7457_11.0686,La Musica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/la_musica_43.7457_11.0686.json,custom
43.713074,11.077286,ov_circolo_arci_carcheri_43.7131_11.0773,Circolo Arci Carcheri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/circolo_arci_carcheri_43.7131_11.0773.json,custom
43.770303,11.112930,ov_blondie_di_vanessa_baldini_43.7703_11.1129,BLONDIE di Vanessa Baldini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/blondie_di_vanessa_baldini_43.7703_11.1129.json,custom
43.770018,11.112991,ov_pausa_caff____lastra_a_signa_43.7700_11.1130,Pausa Caffè - Lastra a Signa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/pausa_caff_-_lastra_a_signa_43.7700_11.1130.json,custom
43.769538,11.109906,ov_bar_il_bivio_43.7695_11.1099,Bar il Bivio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/bar_il_bivio_43.7695_11.1099.json,custom
43.770039,11.113316,ov_capsule_house_43.7700_11.1133,Capsule House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/capsule_house_43.7700_11.1133.json,custom
43.769228,11.116966,ov_caffe_anna_43.7692_11.1170,Caffe Anna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/caffe_anna_43.7692_11.1170.json,custom
43.768972,11.111163,ov_circolo_l_incontro_43.7690_11.1112,Circolo L incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/circolo_l_incontro_43.7690_11.1112.json,custom
43.768251,11.106925,ov_caffe_della_paglia_43.7683_11.1069,Caffe della Paglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/caffe_della_paglia_43.7683_11.1069.json,custom
43.768479,11.109016,ov_bar_la_lanterna_43.7685_11.1090,Bar La Lanterna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/bar_la_lanterna_43.7685_11.1090.json,custom
43.769080,11.105398,ov_i_vini_bellini_43.7691_11.1054,I Vini Bellini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/i_vini_bellini_43.7691_11.1054.json,custom
43.769579,11.102367,ov_domi_e_margot_43.7696_11.1024,Domi'e Margot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/domie_margot_43.7696_11.1024.json,custom
43.771070,11.106140,ov_bar_le_nuove_cascine_lastra_a_signa_43.7711_11.1061,Bar Le Nuove Cascine Lastra A Signa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/bar_le_nuove_cascine_lastra_a_signa_43.7711_11.1061.json,custom
43.769262,11.116955,osm_caff__anna_43.7693_11.1170,Caffè Anna,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/caff_anna_43.7693_11.1170.json,custom
43.764648,11.082583,ov_centro_ippico_bellosguardo_43.7646_11.0826,Centro Ippico Bellosguardo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/centro_ippico_bellosguardo_43.7646_11.0826.json,custom
43.738896,11.069790,ov_penzolina_ranch_43.7389_11.0698,Penzolina Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/penzolina_ranch_43.7389_11.0698.json,custom
43.731710,11.097629,ov_compagnia_arcieri_del_convivio_43.7317_11.0976,Compagnia Arcieri del Convivio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/compagnia_arcieri_del_convivio_43.7317_11.0976.json,custom
43.720061,11.042314,ov_a_colpi_di_paintball_a_s_d__43.7201_11.0423,A Colpi Di Paintball a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/a_colpi_di_paintball_asd_43.7201_11.0423.json,custom
43.714208,11.077871,ov_flower_ranch_43.7142_11.0779,Flower Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/flower_ranch_43.7142_11.0779.json,custom
43.767986,11.121694,ov_palestra_c_o_ipercoop_43.7680_11.1217,Palestra c/o Ipercoop,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/palestra_co_ipercoop_43.7680_11.1217.json,custom
43.770850,11.110895,ov_jala_yoga_studio_43.7708_11.1109,Jala Yoga Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/jala_yoga_studio_43.7708_11.1109.json,custom
43.768871,11.115561,ov_luv_lastra_43.7689_11.1156,LUV Lastra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/luv_lastra_43.7689_11.1156.json,custom
43.768550,11.106586,ov_dimafit_43.7686_11.1066,Dimafit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/dimafit_43.7686_11.1066.json,custom
43.772702,11.119797,ov_asd_just_dance_43.7727_11.1198,Asd Just Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/asd_just_dance_43.7727_11.1198.json,custom
43.771539,11.122108,ov_wellness_health_43.7715_11.1221,Wellness Health,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/wellness_health_43.7715_11.1221.json,custom
43.767853,11.081049,ov_villa_caruso_di_bellosguardo_e_museo_enr_43.7679_11.0810,Villa Caruso di Bellosguardo e Museo Enrico Caruso,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/villa_caruso_di_bellosguardo_e_museo_enr_43.7679_11.0810.json,custom
43.766229,11.082234,ov_botanica_43.7662_11.0822,Botanica,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/botanica_43.7662_11.0822.json,custom
43.769004,11.115762,ov_biblioteca_comunale_di_lastra_a_signa_43.7690_11.1158,Biblioteca Comunale di Lastra a Signa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/biblioteca_comunale_di_lastra_a_signa_43.7690_11.1158.json,custom
