# lat,lng,id,name,building_type,type
# Diamante -- Tutti
39.683032,15.816656,ov_ospedale_di_belvedere_39.6830_15.8167,Ospedale Di Belvedere,HOSPITAL,hospital
39.677869,15.815345,ov_ristorante_l_approdo_39.6779_15.8153,Ristorante L'Approdo,RESTAURANT,ristorante
39.678223,15.816012,ov_dal_capitano_39.6782_15.8160,Dal Capitano,RESTAURANT,ristorante
39.678266,15.816078,ov_ristorante_panta_rei_39.6783_15.8161,Ristorante Panta Rei,RESTAURANT,ristorante
39.678504,15.816797,ov_ristorante_il_diverso_39.6785_15.8168,Ristorante Il Diverso,RESTAURANT,ristorante
39.671121,15.827980,ov_itacare_diamante_39.6711_15.8280,Itacare Diamante,RESTAURANT,ristorante
39.671547,15.827584,ov_la_guardiola_39.6715_15.8276,La Guardiola,RESTAURANT,ristorante
39.676435,15.820023,ov_pizzeria_da_francesco_2_0_39.6764_15.8200,Pizzeria da Francesco 2.0,RESTAURANT,ristorante
39.675881,15.821004,ov_maramia_39.6759_15.8210,Maramia,RESTAURANT,ristorante
39.675737,15.822157,ov_pizzeria_pub_the_black_horse_39.6757_15.8222,Pizzeria Pub The Black Horse,RESTAURANT,ristorante
39.675612,15.821774,ov_voglia_di_pizza_39.6756_15.8218,Voglia di Pizza,RESTAURANT,ristorante
39.677773,15.821473,ov_la_buongustaia_39.6778_15.8215,La Buongustaia,RESTAURANT,ristorante
39.677724,15.821543,ov_burger_bomb_39.6777_15.8215,Burger Bomb,RESTAURANT,ristorante
39.676970,15.823524,ov_o__scugnizzo_39.6770_15.8235,O' Scugnizzo,RESTAURANT,ristorante
39.676562,15.820141,ov_il_capriccio_pub_39.6766_15.8201,Il Capriccio Pub,RESTAURANT,ristorante
39.677649,15.819327,ov_sweet_way_39.6776_15.8193,Sweet Way,RESTAURANT,ristorante
39.679092,15.819664,ov_ristorante_pizzeria_il_giardino_39.6791_15.8197,Ristorante Pizzeria Il Giardino,RESTAURANT,ristorante
39.676731,15.823752,ov_il_fornaio_39.6767_15.8238,Il Fornaio,RESTAURANT,ristorante
39.674160,15.825374,ov_lido_u__caricaturu_39.6742_15.8254,Lido u' Caricaturu,RESTAURANT,ristorante
39.670415,15.830018,ov_la_pagoda_39.6704_15.8300,La Pagoda,RESTAURANT,ristorante
39.681922,15.843247,ov_ristorante_il_vecchio_frantoio_39.6819_15.8432,Ristorante Il Vecchio Frantoio,RESTAURANT,ristorante
39.711382,15.809662,ov_las_vegas_cirella_39.7114_15.8097,Las Vegas Cirella,RESTAURANT,bar_cafe
39.717131,15.810550,ov_antica_dolce_sicilia_bar__pasticceria_ge_39.7171_15.8105,Antica Dolce Sicilia bar  pasticceria gelateria rosticceria,RESTAURANT,bar_cafe
39.700682,15.811315,ov_sottosopra_beach_39.7007_15.8113,SottoSopra Beach,RESTAURANT,bar_cafe
39.699527,15.811729,ov_abagnomaria_39.6995_15.8117,Abagnomaria,RESTAURANT,bar_cafe
39.701688,15.810851,ov_lido_sara_39.7017_15.8109,Lido Sara,RESTAURANT,bar_cafe
39.708307,15.810794,ov_boa_bar_beach_39.7083_15.8108,Boa Bar Beach,RESTAURANT,bar_cafe
39.692927,15.815060,ov_lido_delle_sirene_39.6929_15.8151,Lido Delle Sirene,RESTAURANT,bar_cafe
39.679883,15.816813,ov_bar_ketty_39.6799_15.8168,Bar Ketty,RESTAURANT,bar_cafe
39.678458,15.816982,ov_enoteca_borgo_antico_diamante_39.6785_15.8170,Enoteca Borgo Antico Diamante,RESTAURANT,bar_cafe
39.678082,15.817299,ov_vitamara_39.6781_15.8173,Vitamara,RESTAURANT,bar_cafe
39.678262,15.817216,ov_why_not_39.6783_15.8172,Why Not,RESTAURANT,bar_cafe
39.677115,15.818586,ov_uno_tira_l_altro_39.6771_15.8186,Uno Tira L’altro,RESTAURANT,bar_cafe
39.677273,15.818344,ov_bar_spinelli_39.6773_15.8183,Bar Spinelli,RESTAURANT,bar_cafe
39.677739,15.818050,ov_caffe_diamante_39.6777_15.8180,Caffe Diamante,RESTAURANT,bar_cafe
39.678031,15.818346,ov_ade_39.6780_15.8183,ADE,RESTAURANT,bar_cafe
39.677659,15.816616,ov_caff__nini_39.6777_15.8166,Caffè Nini,RESTAURANT,bar_cafe
39.677905,15.816013,ov_borgo_dei_marinari_39.6779_15.8160,Borgo dei Marinari,RESTAURANT,bar_cafe
39.678680,15.816037,ov_lo_squalo___bite_the_night_39.6787_15.8160,Lo Squalo - bite the night,RESTAURANT,bar_cafe
39.678498,15.816629,ov_knock_out_39.6785_15.8166,Knock Out,RESTAURANT,bar_cafe
39.678512,15.816699,ov_akra_wine_bar_39.6785_15.8167,Akra Wine Bar,RESTAURANT,bar_cafe
39.678770,15.816436,ov_caletta_del_porto_39.6788_15.8164,Caletta del Porto,RESTAURANT,bar_cafe
39.676049,15.821318,ov_lidoperla_39.6760_15.8213,Lidoperla,RESTAURANT,bar_cafe
39.676548,15.823323,ov_bar_giusy_39.6765_15.8233,Bar Giusy,RESTAURANT,bar_cafe
39.676830,15.819211,ov_bar_gelateria_pierino_39.6768_15.8192,Bar Gelateria Pierino,RESTAURANT,bar_cafe
39.711364,15.809650,osm_las_vegas_39.7114_15.8096,Las Vegas,bar_cafe,bar_cafe
39.676793,15.820752,ov_plaza_fitness___wellness_39.6768_15.8208,Plaza Fitness & Wellness,GYM,palestra
39.676648,15.820432,ov_zen_garden_39.6766_15.8204,Zen Garden,GYM,palestra
39.755270,15.877630,ov_asd_circolo_ippico_i_ruderi_39.7553_15.8776,Asd Circolo Ippico I Ruderi,GYM,palestra
