# lat,lng,id,name,building_type,type,url,page_type
# Porto Potenza Picena -- Tutti
43.370763,13.692900,osm_istituto_santo_stefano_43.3708_13.6929,Istituto Santo Stefano,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/istituto_santo_stefano_43.3708_13.6929.json,custom
43.360305,13.698467,osm_solero_beach_43.3603_13.6985,Solero Beach,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/solero_beach_43.3603_13.6985.json,custom
43.361003,13.698194,osm_blu_di_lollo_43.3610_13.6982,Blu di Lollo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/blu_di_lollo_43.3610_13.6982.json,custom
43.362600,13.697427,osm_l_ancora_43.3626_13.6974,L'Ancora,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/lancora_43.3626_13.6974.json,custom
43.365421,13.696039,osm_san_diego_beach_43.3654_13.6960,San Diego Beach,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/san_diego_beach_43.3654_13.6960.json,custom
43.366896,13.695305,osm_tarifa_chalet_43.3669_13.6953,Tarifa Chalet,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/tarifa_chalet_43.3669_13.6953.json,custom
43.367354,13.695058,osm_lo_scoglio_43.3674_13.6951,Lo Scoglio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/lo_scoglio_43.3674_13.6951.json,custom
43.374577,13.691882,osm_beach_boys_43.3746_13.6919,Beach Boys,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/beach_boys_43.3746_13.6919.json,custom
43.357326,13.699627,osm_mosquito_beach_43.3573_13.6996,Mosquito Beach,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/mosquito_beach_43.3573_13.6996.json,custom
43.360335,13.698499,osm_da_monstas_pub_43.3603_13.6985,Da Monstas Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/da_monstas_pub_43.3603_13.6985.json,custom
43.363309,13.696928,osm_concessione_17_43.3633_13.6969,Concessione 17,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/concessione_17_43.3633_13.6969.json,custom
43.364860,13.696293,osm_il_faro_43.3649_13.6963,Il Faro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/il_faro_43.3649_13.6963.json,custom
43.353160,13.698479,osm_bar_del_palazzetto_43.3532_13.6985,Bar del Palazzetto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/bar_del_palazzetto_43.3532_13.6985.json,custom
43.360789,13.696173,osm_bully_bar_43.3608_13.6962,Bully Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/bully_bar_43.3608_13.6962.json,custom
43.349838,13.703014,osm_boca_chica_playa_restaurant_43.3498_13.7030,Boca Chica Playa Restaurant,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/boca_chica_playa_restaurant_43.3498_13.7030.json,custom
43.353189,13.701231,osm_l_approdo_43.3532_13.7012,L'Approdo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/lapprodo_43.3532_13.7012.json,custom
43.366122,13.691349,osm_bee_bar_43.3661_13.6913,Bee Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/bee_bar_43.3661_13.6913.json,custom
43.364326,13.691203,osm_feel_good_personal_trainer_43.3643_13.6912,Feel Good Personal Trainer,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/feel_good_personal_trainer_43.3643_13.6912.json,custom
