# lat,lng,id,name,building_type,type,url,page_type
# longiano -- Tutti
44.072296,12.327637,ov_rsa_castello_44.0723_12.3276,Rsa Castello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/rsa_castello_44.0723_12.3276.json,custom
44.099605,12.335876,ov_ristorante_borgonovo_budrio_di_longiano_44.0996_12.3359,ristorante Borgonovo Budrio di Longiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/ristorante_borgonovo_budrio_di_longiano_44.0996_12.3359.json,custom
44.058481,12.364334,ov_le_felloniche___longiano_44.0585_12.3643,Le Felloniche - Longiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/le_felloniche_-_longiano_44.0585_12.3643.json,custom
44.057488,12.361117,ov_agriturismo_26_punto_80_44.0575_12.3611,Agriturismo 26 Punto 80,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/agriturismo_26_punto_80_44.0575_12.3611.json,custom
44.062710,12.348894,ov_ristorante_degli_ulivi_44.0627_12.3489,Ristorante Degli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/ristorante_degli_ulivi_44.0627_12.3489.json,custom
44.071384,12.324604,ov_ristorante_dei_cantoni_44.0714_12.3246,Ristorante Dei Cantoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/ristorante_dei_cantoni_44.0714_12.3246.json,custom
44.072453,12.324605,ov_falegnameria_vini_44.0725_12.3246,Falegnameria Vini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/falegnameria_vini_44.0725_12.3246.json,custom
44.074794,12.326697,ov_caff__del_teatro_44.0748_12.3267,Caffè del Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/caff_del_teatro_44.0748_12.3267.json,custom
44.073280,12.325716,ov_aspasso_44.0733_12.3257,ASPASSO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/aspasso_44.0733_12.3257.json,custom
44.073392,12.325769,ov_la_sgranocchiosa_44.0734_12.3258,La Sgranocchiosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/la_sgranocchiosa_44.0734_12.3258.json,custom
44.073841,12.327151,ov_gradisca_piadineria_44.0738_12.3272,Gradisca Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/gradisca_piadineria_44.0738_12.3272.json,custom
44.073541,12.332322,ov_antica_fonte_agriturismo_la_cannella_44.0735_12.3323,Antica Fonte Agriturismo La Cannella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/antica_fonte_agriturismo_la_cannella_44.0735_12.3323.json,custom
44.075010,12.335603,ov_pizzeria_ristorante_le_4_stagioni_44.0750_12.3356,Pizzeria Ristorante Le 4 Stagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/pizzeria_ristorante_le_4_stagioni_44.0750_12.3356.json,custom
44.074926,12.335725,ov_la_tramonteria_44.0749_12.3357,La Tramonteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/la_tramonteria_44.0749_12.3357.json,custom
44.074941,12.335413,ov_osteria_la_capannina_44.0749_12.3354,Osteria La Capannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/osteria_la_capannina_44.0749_12.3354.json,custom
44.072922,12.350611,ov_il_sambuco_44.0729_12.3506,Il Sambuco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/il_sambuco_44.0729_12.3506.json,custom
44.072729,12.349637,ov_magnolia_ristorante_44.0727_12.3496,Magnolia Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/magnolia_ristorante_44.0727_12.3496.json,custom
44.069909,12.333723,ov_setaccio_44.0699_12.3337,Setaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/setaccio_44.0699_12.3337.json,custom
44.109785,12.318437,ov_casa_due_44.1098_12.3184,Casa Due,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/casa_due_44.1098_12.3184.json,custom
44.106329,12.330446,ov_enoteca_burioli_44.1063_12.3304,Enoteca Burioli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/enoteca_burioli_44.1063_12.3304.json,custom
44.081650,12.324470,ov_caf__nero_44.0817_12.3245,Cafè Nero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/caf_nero_44.0817_12.3245.json,custom
44.086610,12.322710,ov_caf__nero_badia_44.0866_12.3227,CafÈ Nero Badia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/caf_nero_badia_44.0866_12.3227.json,custom
44.089904,12.337302,ov_circolo_arci_balignano_44.0899_12.3373,Circolo Arci Balignano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/circolo_arci_balignano_44.0899_12.3373.json,custom
44.092437,12.316972,ov_cafe_nero_44.0924_12.3170,Cafe Nero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/cafe_nero_44.0924_12.3170.json,custom
44.098443,12.327804,ov_bar_smile_44.0984_12.3278,Bar Smile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/bar_smile_44.0984_12.3278.json,custom
44.098190,12.356237,ov_resina_drink_labs_44.0982_12.3562,Resina Drink Labs,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/resina_drink_labs_44.0982_12.3562.json,custom
44.104477,12.333034,ov_il_circolino_44.1045_12.3330,Il Circolino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/il_circolino_44.1045_12.3330.json,custom
44.101159,12.341664,ov_trilly_cafe_44.1012_12.3417,Trilly Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/trilly_cafe_44.1012_12.3417.json,custom
44.073950,12.326551,ov_kiosko_44.0740_12.3266,Kiosko,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/kiosko_44.0740_12.3266.json,custom
44.073694,12.325975,ov_borgo_caffe_44.0737_12.3260,Borgo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/borgo_caffe_44.0737_12.3260.json,custom
44.099992,12.343645,osm_bar_mercury_44.1000_12.3436,Bar Mercury,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/bar_mercury_44.1000_12.3436.json,custom
44.108343,12.317994,osm_caff__del_viale_44.1083_12.3180,Caffè del Viale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/caff_del_viale_44.1083_12.3180.json,custom
44.098546,12.327815,osm_smile_44.0985_12.3278,Smile,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/smile_44.0985_12.3278.json,custom
44.092382,12.317123,osm_caff__nero_44.0924_12.3171,Caffè Nero,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/caff_nero_44.0924_12.3171.json,custom
44.098685,12.331020,ov_gym_tonic_44.0987_12.3310,Gym Tonic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/gym_tonic_44.0987_12.3310.json,custom
44.098685,12.331029,ov_golden_power_fitness_club_44.0987_12.3310,Golden Power Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/golden_power_fitness_club_44.0987_12.3310.json,custom
44.075949,12.327604,ov_trifit_longiano_44.0759_12.3276,TRIFIT Longiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/trifit_longiano_44.0759_12.3276.json,custom
44.073520,12.328179,ov_palestra_delle_scuole_44.0735_12.3282,Palestra delle scuole,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/palestra_delle_scuole_44.0735_12.3282.json,custom
44.097271,12.351938,ov_fondazione_neri___museo_italiano_della_g_44.0973_12.3519,Fondazione Neri - Museo Italiano della Ghisa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/fondazione_neri_-_museo_italiano_della_g_44.0973_12.3519.json,custom
44.072533,12.324685,ov_castello_malatestiano_di_longiano_44.0725_12.3247,Castello Malatestiano di Longiano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/castello_malatestiano_di_longiano_44.0725_12.3247.json,custom
44.074328,12.326763,ov_longiano_dei_presepi_44.0743_12.3268,Longiano Dei Presepi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/longiano_dei_presepi_44.0743_12.3268.json,custom
44.073947,12.326575,ov_museo_del_territorio_longiano_44.0739_12.3266,Museo Del Territorio Longiano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/museo_del_territorio_longiano_44.0739_12.3266.json,custom
44.073510,12.325902,ov_museo_d_arte_sacra__longiano__44.0735_12.3259,Museo d'arte sacra (Longiano),MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/museo_darte_sacra_longiano_44.0735_12.3259.json,custom
44.072390,12.324650,ov_biblioteca_itinerante_anna_e_tito_balest_44.0724_12.3247,Biblioteca itinerante Anna e Tito Balestra,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/biblioteca_itinerante_anna_e_tito_balest_44.0724_12.3247.json,custom
44.074842,12.326587,ov_biblioteca_storica_lelio_pasolini_44.0748_12.3266,Biblioteca Storica Lelio Pasolini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/biblioteca_storica_lelio_pasolini_44.0748_12.3266.json,custom
