# lat,lng,id,name,building_type,type,url,page_type
# Bressanone -- Tutti
46.724356,11.647837,ov_krankenhaus_brixen_46.7244_11.6478,Krankenhaus Brixen,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/krankenhaus_brixen_46.7244_11.6478.json,custom
46.696459,11.642229,ov_wirt_an_der_mahr_46.6965_11.6422,Wirt an der Mahr,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/wirt_an_der_mahr_46.6965_11.6422.json,custom
46.706573,11.638857,ov_dining___living_alpenrose_46.7066_11.6389,Dining & Living Alpenrose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/dining_living_alpenrose_46.7066_11.6389.json,custom
46.707269,11.646232,ov_gummererhof_46.7073_11.6462,Gummererhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/gummererhof_46.7073_11.6462.json,custom
46.709300,11.651703,ov_mosi_express_46.7093_11.6517,Mosi Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/mosi_express_46.7093_11.6517.json,custom
46.709078,11.651914,ov_restaurant_dolomiten_46.7091_11.6519,Restaurant Dolomiten,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/restaurant_dolomiten_46.7091_11.6519.json,custom
46.709524,11.651926,ov_pizza_kebab_route_66_46.7095_11.6519,Pizza Kebab Route 66,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/pizza_kebab_route_66_46.7095_11.6519.json,custom
46.706918,11.654340,ov_brix_0_1_46.7069_11.6543,Brix 0.1,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/brix_01_46.7069_11.6543.json,custom
46.709121,11.661487,ov_pizzaexpress_milland_46.7091_11.6615,Pizzaexpress Milland,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/pizzaexpress_milland_46.7091_11.6615.json,custom
46.709231,11.661430,ov_pizza_express_46.7092_11.6614,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/pizza_express_46.7092_11.6614.json,custom
46.707723,11.661311,ov_trametsch_46.7077_11.6613,Trametsch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/trametsch_46.7077_11.6613.json,custom
46.706455,11.661339,ov_pizzeria___restaurant_valentina_46.7065_11.6613,Pizzeria & Restaurant Valentina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/pizzeria_restaurant_valentina_46.7065_11.6613.json,custom
46.707196,11.661797,ov_fortuna_fu_xing_di_ye_jing_46.7072_11.6618,Fortuna Fu.xing di Ye Jing,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/fortuna_fuxing_di_ye_jing_46.7072_11.6618.json,custom
46.706421,11.661437,ov_echo_brixen_46.7064_11.6614,ecHo Brixen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/echo_brixen_46.7064_11.6614.json,custom
46.715389,11.656775,ov_millennium_46.7154_11.6568,Millennium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/millennium_46.7154_11.6568.json,custom
46.715833,11.656220,ov_restaurant_finsterwirt___oste_scuro_46.7158_11.6562,Restaurant Finsterwirt - Oste Scuro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/restaurant_finsterwirt_-_oste_scuro_46.7158_11.6562.json,custom
46.715410,11.655897,ov_kutscherhof_46.7154_11.6559,Kutscherhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/kutscherhof_46.7154_11.6559.json,custom
46.715937,11.655343,ov_traubenwirt_46.7159_11.6553,Traubenwirt,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/traubenwirt_46.7159_11.6553.json,custom
46.716376,11.655218,ov_fink_restaurant_46.7164_11.6552,Fink Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/fink_restaurant_46.7164_11.6552.json,custom
46.716893,11.655403,ov_depoke_brixen_46.7169_11.6554,Depoke Brixen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/depoke_brixen_46.7169_11.6554.json,custom
46.716630,11.655570,ov_grillage_restaurant_46.7166_11.6556,Grillage Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/grillage_restaurant_46.7166_11.6556.json,custom
46.716924,11.655596,ov_la_pizzetta_46.7169_11.6556,La Pizzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/la_pizzetta_46.7169_11.6556.json,custom
46.719026,11.655623,ov_restaurant_sushi_shan_brixen_46.7190_11.6556,Restaurant Sushi Shan Brixen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/restaurant_sushi_shan_brixen_46.7190_11.6556.json,custom
46.718464,11.656503,ov_byblos_bressanone_46.7185_11.6565,Byblos Bressanone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/byblos_bressanone_46.7185_11.6565.json,custom
46.719361,11.656438,ov_soley_restaurant_46.7194_11.6564,Soley Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/soley_restaurant_46.7194_11.6564.json,custom
46.717322,11.657161,ov_gasser_46.7173_11.6572,Gasser,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/gasser_46.7173_11.6572.json,custom
46.717797,11.656730,ov_dai_romani_46.7178_11.6567,Dai Romani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/dai_romani_46.7178_11.6567.json,custom
46.716618,11.656245,ov_la_habana_46.7166_11.6562,La Habana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/la_habana_46.7166_11.6562.json,custom
46.716947,11.658247,ov_ristorante_torre_bianca_46.7169_11.6582,Ristorante Torre Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/ristorante_torre_bianca_46.7169_11.6582.json,custom
46.716809,11.658675,ov_k2_pizza_kebab___fast_food_46.7168_11.6587,K2 Pizza Kebab & Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/k2_pizza_kebab_fast_food_46.7168_11.6587.json,custom
46.716640,11.658560,ov_chefclaudiosantini30_0_46.7166_11.6586,Chefclaudiosantini30.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/chefclaudiosantini300_46.7166_11.6586.json,custom
46.715643,11.657298,ov_la_piazza_46.7156_11.6573,La Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/la_piazza_46.7156_11.6573.json,custom
46.714107,11.659152,ov_la_stua_46.7141_11.6592,La stua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/la_stua_46.7141_11.6592.json,custom
46.720699,11.656137,ov_joe_s_passion_46.7207_11.6561,Joe's Passion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/joes_passion_46.7207_11.6561.json,custom
46.726051,11.657252,ov_pizzeria_hirscherstube_46.7261_11.6573,Pizzeria Hirscherstube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/pizzeria_hirscherstube_46.7261_11.6573.json,custom
46.731212,11.657612,ov_sunnegg_46.7312_11.6576,Sunnegg,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/sunnegg_46.7312_11.6576.json,custom
46.697789,11.682471,ov_st_bele_46.6978_11.6825,Stübele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/stbele_46.6978_11.6825.json,custom
46.697472,11.682594,ov_ristorante_bar_plose___stodlrestaurant_b_46.6975_11.6826,Ristorante Bar Plose - Stodlrestaurant Bar Plose - Stodl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/ristorante_bar_plose_-_stodlrestaurant_b_46.6975_11.6826.json,custom
46.696206,11.685385,ov_ban_rutzner_46.6962_11.6854,Ban Rutzner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/ban_rutzner_46.6962_11.6854.json,custom
46.685463,11.709978,ov_plose_restaurant_la_finestra_46.6855_11.7100,Plose Restaurant La Finestra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/plose_restaurant_la_finestra_46.6855_11.7100.json,custom
46.718882,11.691098,ov_hofschank_aichnerhof_46.7189_11.6911,Hofschank Aichnerhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/hofschank_aichnerhof_46.7189_11.6911.json,custom
46.695006,11.732519,ov_rifugio_cai_46.6950_11.7325,Rifugio CAI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/rifugio_cai_46.6950_11.7325.json,custom
46.675936,11.713095,ov_vallazza_apreskibar_46.6759_11.7131,Vallazza Apreskibar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/vallazza_apreskibar_46.6759_11.7131.json,custom
46.721859,11.652532,ov_konditorei_klemens_46.7219_11.6525,Konditorei Klemens,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/konditorei_klemens_46.7219_11.6525.json,custom
46.719932,11.652762,ov_weingalerie_46.7199_11.6528,Weingalerie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/weingalerie_46.7199_11.6528.json,custom
46.715797,11.654758,ov_bottega_del_dersut_46.7158_11.6548,Bottega del Dersut,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/bottega_del_dersut_46.7158_11.6548.json,custom
46.716670,11.653090,ov_bar_sole_46.7167_11.6531,BAR SOLE,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/bar_sole_46.7167_11.6531.json,custom
46.697712,11.645526,ov_waage_pub_46.6977_11.6455,Waage Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/waage_pub_46.6977_11.6455.json,custom
46.705847,11.651670,ov_overtime_46.7058_11.6517,Overtime,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/overtime_46.7058_11.6517.json,custom
46.710186,11.651797,ov_bar_eden_46.7102_11.6518,Bar Eden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/bar_eden_46.7102_11.6518.json,custom
46.712551,11.652034,ov_bar_centrale_brixen_46.7126_11.6520,Bar Centrale Brixen,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/bar_centrale_brixen_46.7126_11.6520.json,custom
46.709327,11.661572,ov_konditorei_t_heiss_46.7093_11.6616,Konditorei T.Heiss,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/konditorei_theiss_46.7093_11.6616.json,custom
46.710046,11.657131,ov_bar_fatebenefratelli_pluri_46.7100_11.6571,Bar Fatebenefratelli Pluri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/bar_fatebenefratelli_pluri_46.7100_11.6571.json,custom
46.711020,11.655878,ov_bar_villa_berta_46.7110_11.6559,Bar Villa Berta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/bar_villa_berta_46.7110_11.6559.json,custom
46.715475,11.656740,ov_agor__46.7155_11.6567,Agorà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/agor_46.7155_11.6567.json,custom
46.715842,11.656054,ov_vinothek_vitis_enoteca_46.7158_11.6561,Vinothek Vitis Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/vinothek_vitis_enoteca_46.7158_11.6561.json,custom
46.716151,11.656028,ov_iris_bianco_46.7162_11.6560,Iris Bianco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/iris_bianco_46.7162_11.6560.json,custom
46.716353,11.655975,ov_3fiori_cafe___craft_beer_bar_46.7164_11.6560,3Fiori Cafe & Craft Beer Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/3fiori_cafe_craft_beer_bar_46.7164_11.6560.json,custom
46.718962,11.656259,ov_bar_thaler_46.7190_11.6563,bar thaler,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/bar_thaler_46.7190_11.6563.json,custom
46.718849,11.657191,ov_cafe_konditorei_almatosa_46.7188_11.6572,Cafe Konditorei Almatosa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/cafe_konditorei_almatosa_46.7188_11.6572.json,custom
46.716581,11.657487,ov_dom_cafe_46.7166_11.6575,Dom Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/dom_cafe_46.7166_11.6575.json,custom
46.717475,11.657501,ov_vinus_46.7175_11.6575,Vinus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/vinus_46.7175_11.6575.json,custom
46.717131,11.657287,ov_platzl_46.7171_11.6573,Platzl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/platzl_46.7171_11.6573.json,custom
46.715748,11.658573,ov_cafe_am_gries_46.7157_11.6586,Cafe Am Gries,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/cafe_am_gries_46.7157_11.6586.json,custom
46.690151,11.642422,ov_get_fit_46.6902_11.6424,Get Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/get_fit_46.6902_11.6424.json,custom
46.695461,11.645200,ov_fitness_brasil_46.6955_11.6452,Fitness Brasil,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/fitness_brasil_46.6955_11.6452.json,custom
46.705963,11.651649,ov_palaghiaccio_bressanone_46.7060_11.6516,Palaghiaccio Bressanone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/palaghiaccio_bressanone_46.7060_11.6516.json,custom
46.709154,11.653893,ov_garage_training_46.7092_11.6539,Garage Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/garage_training_46.7092_11.6539.json,custom
46.706971,11.662364,ov_myup_studio_46.7070_11.6624,myup Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/myup_studio_46.7070_11.6624.json,custom
46.718456,11.656607,ov_yoga_sati_bressanone__corsi_e_seminari_s_46.7185_11.6566,Yoga Sati Bressanone- corsi e seminari sulle Dolomiti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/yoga_sati_bressanone-_corsi_e_seminari_s_46.7185_11.6566.json,custom
46.713903,11.659812,ov_dance_with_me___social_club___school_46.7139_11.6598,DANCE WITH ME - Social club & school,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/dance_with_me_-_social_club_school_46.7139_11.6598.json,custom
46.720217,11.656746,ov_vertikale_46.7202_11.6567,Vertikale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/vertikale_46.7202_11.6567.json,custom
46.697932,11.682367,ov_ski_school_plose_46.6979_11.6824,Ski School Plose,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/ski_school_plose_46.6979_11.6824.json,custom
46.714939,11.655788,ov_hofburg_brixen_bressanone_46.7149_11.6558,Hofburg Brixen Bressanone,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/hofburg_brixen_bressanone_46.7149_11.6558.json,custom
46.716645,11.658437,ov_pharmaziemuseum_brixen_46.7166_11.6584,Pharmaziemuseum Brixen,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/pharmaziemuseum_brixen_46.7166_11.6584.json,custom
46.716224,11.656774,ov_stadtbibliothek_brixen___biblioteca_civi_46.7162_11.6568,Stadtbibliothek Brixen - Biblioteca Civica Bressanone,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/stadtbibliothek_brixen_-_biblioteca_civi_46.7162_11.6568.json,custom
