# lat,lng,id,name,building_type,type,url,page_type
# cesate -- Tutti
45.599821,9.074865,ov_azienda_ospedaliera_g__salvini_45.5998_9.0749,Azienda Ospedaliera G. Salvini,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/azienda_ospedaliera_g_salvini_45.5998_9.0749.json,custom
45.596601,9.097258,ov_fabbrica_di_pedavena_cesate_45.5966_9.0973,Fabbrica di Pedavena Cesate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/fabbrica_di_pedavena_cesate_45.5966_9.0973.json,custom
45.597050,9.077190,ov_tra_le_righe_caf__cesate_45.5970_9.0772,Tra le righe Cafè Cesate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/tra_le_righe_caf_cesate_45.5970_9.0772.json,custom
45.597165,9.076982,ov_caffe_voltaire_45.5972_9.0770,Caffe Voltaire,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/caffe_voltaire_45.5972_9.0770.json,custom
45.595151,9.078305,ov_beerstro_45.5952_9.0783,Beerstro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/beerstro_45.5952_9.0783.json,custom
45.600984,9.071562,ov_birrificio_sensolibero_45.6010_9.0716,Birrificio Sensolibero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/birrificio_sensolibero_45.6010_9.0716.json,custom
45.587562,9.074609,ov_vesuvio_45.5876_9.0746,Vesuvio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/vesuvio_45.5876_9.0746.json,custom
45.597123,9.077374,osm_tra_le_righe_caf__45.5971_9.0774,Tra le righe Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/tra_le_righe_caf_45.5971_9.0774.json,custom
45.588894,9.072486,osm_lucky_bar_45.5889_9.0725,Lucky bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/lucky_bar_45.5889_9.0725.json,custom
45.597174,9.078268,osm_bar_caff__alba_45.5972_9.0783,Bar caffè Alba,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/bar_caff_alba_45.5972_9.0783.json,custom
45.595170,9.095483,osm_bar_tabacchi_pineta_45.5952_9.0955,Bar Tabacchi Pineta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/bar_tabacchi_pineta_45.5952_9.0955.json,custom
45.595996,9.086352,ov_yoga_cesate_45.5960_9.0864,Yoga Cesate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/yoga_cesate_45.5960_9.0864.json,custom
45.597049,9.078070,ov_reformer___pilates_studio_cesate_45.5970_9.0781,Reformer - Pilates Studio Cesate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/reformer_-_pilates_studio_cesate_45.5970_9.0781.json,custom
45.596708,9.074246,ov_ayni_movement_studio_45.5967_9.0742,Ayni Movement Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/ayni_movement_studio_45.5967_9.0742.json,custom
45.600314,9.070819,ov_a_s_d_gold_academy_boxing_team_45.6003_9.0708,A.S.D Gold Academy Boxing Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/asd_gold_academy_boxing_team_45.6003_9.0708.json,custom
45.596106,9.076646,osm_poste_italiane_45.5961_9.0766,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/poste_italiane_45.5961_9.0766.json,custom
45.597132,9.076955,osm_biblioteca_civica_giacinto_di_leo_45.5971_9.0770,Biblioteca civica Giacinto Di Leo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/biblioteca_civica_giacinto_di_leo_45.5971_9.0770.json,custom
