# lat,lng,id,name,building_type,type,url,page_type
# Colognola ai Colli -- Tutti
45.417060,11.166890,ov_poliambulatorio_galeno_45.4171_11.1669,Poliambulatorio Galeno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/poliambulatorio_galeno_45.4171_11.1669.json,custom
45.431945,11.177413,ov_la_casa_della_pizza_45.4319_11.1774,La Casa Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/la_casa_della_pizza_45.4319_11.1774.json,custom
45.425117,11.175100,ov_trattoria_al_galo_45.4251_11.1751,Trattoria Al Galo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/trattoria_al_galo_45.4251_11.1751.json,custom
45.422543,11.178683,ov_ristorante_pizzeria_al_villaggio_45.4225_11.1787,Ristorante Pizzeria Al Villaggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/ristorante_pizzeria_al_villaggio_45.4225_11.1787.json,custom
45.418911,11.187075,ov_ristorante_da_massimo_45.4189_11.1871,Ristorante Da Massimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/ristorante_da_massimo_45.4189_11.1871.json,custom
45.418694,11.150599,ov_casta_friends_45.4187_11.1506,Casta&friends,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/castafriends_45.4187_11.1506.json,custom
45.417279,11.167325,osm_posta_vecia_45.4173_11.1673,Posta Vecia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/posta_vecia_45.4173_11.1673.json,custom
45.446690,10.973070,ov_bar_route_66_di_antonella_zangara_45.4467_10.9731,Bar Route 66 di Antonella Zangara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/bar_route_66_di_antonella_zangara_45.4467_10.9731.json,custom
45.417150,11.174870,ov_veronica_cofee_45.4171_11.1749,Veronica Cofee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/veronica_cofee_45.4171_11.1749.json,custom
45.417150,11.174870,ov_bar_la_fenice_45.4171_11.1749,Bar La Fenice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/bar_la_fenice_45.4171_11.1749.json,custom
45.414591,11.184148,ov_bar_5000_45.4146_11.1841,BAR 5000,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/bar_5000_45.4146_11.1841.json,custom
45.414714,11.185237,ov_bar_osteria_fantasmino_45.4147_11.1852,Bar Osteria Fantasmino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/bar_osteria_fantasmino_45.4147_11.1852.json,custom
45.409318,11.219061,ov_garden_caff__45.4093_11.2191,Garden Caffé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/garden_caff_45.4093_11.2191.json,custom
45.409780,11.216100,ov_bar__mamachola_45.4098_11.2161,Bar  Mamachola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/bar_mamachola_45.4098_11.2161.json,custom
45.409917,11.214132,ov_frisbee_45.4099_11.2141,Frisbee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/frisbee_45.4099_11.2141.json,custom
45.431014,11.177523,ov_bar_la_decima_45.4310_11.1775,Bar La Decima,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/bar_la_decima_45.4310_11.1775.json,custom
45.418273,11.153655,ov_bar_da_amedeo_45.4183_11.1537,Bar da Amedeo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/bar_da_amedeo_45.4183_11.1537.json,custom
45.422639,11.157728,ov_zale_caffe_45.4226_11.1577,Zale Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/zale_caffe_45.4226_11.1577.json,custom
45.416268,11.172442,ov_gdm_str__di_colognola_ai_colli_45.4163_11.1724,GDM Strà di Colognola ai Colli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/gdm_str_di_colognola_ai_colli_45.4163_11.1724.json,custom
45.410052,11.212374,ov_the_circle_of_dance_45.4101_11.2124,The Circle of Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/the_circle_of_dance_45.4101_11.2124.json,custom
45.423037,11.157778,ov_crossfit_37030_45.4230_11.1578,CrossFit 37030,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/crossfit_37030_45.4230_11.1578.json,custom
45.413500,11.179503,ov_banca_del_ricordo_di_caldiero_45.4135_11.1795,Banca del Ricordo di Caldiero,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/banca_del_ricordo_di_caldiero_45.4135_11.1795.json,custom
45.429342,11.179588,ov_biblioteca_comunale_di_colognola_ai_coll_45.4293_11.1796,Biblioteca Comunale di Colognola ai Colli,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/biblioteca_comunale_di_colognola_ai_coll_45.4293_11.1796.json,custom
45.429342,11.179588,osm_biblioteca_comunale_gino_sandri_45.4293_11.1796,Biblioteca Comunale Gino Sandri,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/biblioteca_comunale_gino_sandri_45.4293_11.1796.json,custom
