# lat,lng,id,name,building_type,type,url,page_type
# Mezzolombardo -- Tutti
46.217535,11.097845,osm_ristorante_pozze_46.2175_11.0978,Ristorante Pozze,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/ristorante_pozze_46.2175_11.0978.json,custom
46.217453,11.095377,osm_lo_stuzzicatilly_46.2175_11.0954,Lo Stuzzicatilly,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/lo_stuzzicatilly_46.2175_11.0954.json,custom
46.208929,11.102679,ov_l_insolito_46.2089_11.1027,L'insolito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/linsolito_46.2089_11.1027.json,custom
46.207332,11.100016,ov_bar_caffe_pascucci_46.2073_11.1000,Bar Caffe Pascucci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_caffe_pascucci_46.2073_11.1000.json,custom
46.213460,11.093475,ov_bar_giulia_mezzolombardo_46.2135_11.0935,Bar Giulia Mezzolombardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_giulia_mezzolombardo_46.2135_11.0935.json,custom
46.212942,11.092598,ov_bar_mirtillo_mezzolombardo_46.2129_11.0926,Bar Mirtillo Mezzolombardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_mirtillo_mezzolombardo_46.2129_11.0926.json,custom
46.214360,11.091580,ov_bar_al_64_dolci_emozioni_46.2144_11.0916,Bar al 64 dolci emozioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_al_64_dolci_emozioni_46.2144_11.0916.json,custom
46.213130,11.089513,ov_alcorsobistrot_46.2131_11.0895,Alcorsobistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/alcorsobistrot_46.2131_11.0895.json,custom
46.213383,11.088866,ov_bar_centrale_46.2134_11.0889,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_centrale_46.2134_11.0889.json,custom
46.212009,11.089808,ov_caf__liston_da_fede_46.2120_11.0898,Café Liston Da Fede,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/caf_liston_da_fede_46.2120_11.0898.json,custom
