# lat,lng,id,name,building_type,type,url,page_type
# Norcia -- Tutti
42.789757,13.097333,ov_ospedale_di_norcia_42.7898_13.0973,Ospedale di Norcia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ospedale_di_norcia_42.7898_13.0973.json,custom
42.793340,13.092945,ov_locanda_del_teatro_42.7933_13.0929,Locanda del Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/locanda_del_teatro_42.7933_13.0929.json,custom
42.794135,13.092213,ov_osteria_sienti_n_puo_42.7941_13.0922,Osteria Sienti'n puo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/osteria_sientin_puo_42.7941_13.0922.json,custom
42.802210,13.093370,ov_agriturismo_casale_nel_parco_dei_monti_s_42.8022_13.0934,Agriturismo Casale nel Parco dei Monti Sibillini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/agriturismo_casale_nel_parco_dei_monti_s_42.8022_13.0934.json,custom
42.816863,13.061677,ov_agriturismo_le_sorgenti_42.8169_13.0617,Agriturismo Le Sorgenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/agriturismo_le_sorgenti_42.8169_13.0617.json,custom
42.833300,13.100000,ov_trattoria_da_damiano_42.8333_13.1000,Trattoria da Damiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/trattoria_da_damiano_42.8333_13.1000.json,custom
42.797648,13.120360,ov_agriturismo_il_casale_degli_amici_42.7976_13.1204,Agriturismo Il Casale degli Amici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/agriturismo_il_casale_degli_amici_42.7976_13.1204.json,custom
42.794513,13.118880,ov_restaurant_la_tana_dei_lupi_42.7945_13.1189,Restaurant La Tana dei Lupi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/restaurant_la_tana_dei_lupi_42.7945_13.1189.json,custom
42.828891,13.214336,ov_osteria_del_vettore_a_castelluccio_di_no_42.8289_13.2143,Osteria del Vettore a Castelluccio di Norcia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/osteria_del_vettore_a_castelluccio_di_no_42.8289_13.2143.json,custom
42.829130,13.214256,ov_ristobar_l_altopiano_42.8291_13.2143,Ristobar L'Altopiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ristobar_laltopiano_42.8291_13.2143.json,custom
42.828877,13.213282,ov_agriturismo_il_sentiero_delle_fate_42.8289_13.2133,Agriturismo Il Sentiero delle Fate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/agriturismo_il_sentiero_delle_fate_42.8289_13.2133.json,custom
42.828857,13.214000,ov_cima_del_redentore_42.8289_13.2140,Cima Del Redentore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/cima_del_redentore_42.8289_13.2140.json,custom
42.828711,13.214022,ov_taverna_castelluccio_42.8287_13.2140,Taverna Castelluccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/taverna_castelluccio_42.8287_13.2140.json,custom
42.828501,13.214155,ov_agriturismo_il_guerrin_meschino_42.8285_13.2142,Agriturismo Il Guerrin Meschino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/agriturismo_il_guerrin_meschino_42.8285_13.2142.json,custom
42.828035,13.207061,ov_la_montagnola_42.8280_13.2071,La Montagnola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/la_montagnola_42.8280_13.2071.json,custom
42.829486,13.205723,ov_la_volpe_oro_42.8295_13.2057,La Volpe Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/la_volpe_oro_42.8295_13.2057.json,custom
42.828701,13.205799,ov_il_chioschetto_del_pian_grande_42.8287_13.2058,Il chioschetto del Pian Grande,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/il_chioschetto_del_pian_grande_42.8287_13.2058.json,custom
42.839135,13.102525,osm_valle_del_sole_42.8391_13.1025,Valle del sole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/valle_del_sole_42.8391_13.1025.json,custom
42.794116,13.092205,osm_osteria_senti__n_pu__42.7941_13.0922,Osteria Senti 'n Puó,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/osteria_senti_n_pu_42.7941_13.0922.json,custom
42.793319,13.092403,osm_pinko_panino_42.7933_13.0924,Pinko Panino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/pinko_panino_42.7933_13.0924.json,custom
42.794610,13.119356,osm_agriturismo_la_tana_dei_lupi_42.7946_13.1194,Agriturismo La Tana Dei Lupi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/agriturismo_la_tana_dei_lupi_42.7946_13.1194.json,custom
42.791799,13.094387,osm_pane_e_pizza_san_benedetto_42.7918_13.0944,Pane e Pizza San Benedetto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/pane_e_pizza_san_benedetto_42.7918_13.0944.json,custom
42.829589,13.205117,osm_villa_tardioli_42.8296_13.2051,Villa Tardioli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/villa_tardioli_42.8296_13.2051.json,custom
42.805240,13.195427,osm_il_chioschetto_del_pian_grande_42.8052_13.1954,Il Chioschetto del Pian Grande,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/il_chioschetto_del_pian_grande_42.8052_13.1954.json,custom
42.746700,13.146790,ov_paninoteca_serena_42.7467_13.1468,Paninoteca Serena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/paninoteca_serena_42.7467_13.1468.json,custom
42.791849,13.092226,ov_digipass_norcia_42.7918_13.0922,DigiPASS Norcia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/digipass_norcia_42.7918_13.0922.json,custom
42.791110,13.095300,ov_stazione_di_servizio_esso_42.7911_13.0953,Stazione di servizio Esso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/stazione_di_servizio_esso_42.7911_13.0953.json,custom
42.781380,13.097330,ov_birra_artigianale_con_lenticchia_di_cast_42.7814_13.0973,Birra Artigianale con Lenticchia di Castelluccio di Norcia I,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/birra_artigianale_con_lenticchia_di_cast_42.7814_13.0973.json,custom
42.783172,13.097795,ov_polipo_bar_42.7832_13.0978,Polipo BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/polipo_bar_42.7832_13.0978.json,custom
42.783354,13.097411,ov_bar_roma_42.7834_13.0974,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/bar_roma_42.7834_13.0974.json,custom
42.794956,13.091703,ov_chiosco_bar_42.7950_13.0917,Chiosco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/chiosco_bar_42.7950_13.0917.json,custom
42.794489,13.092091,ov_bar_delizia_42.7945_13.0921,Bar delizia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/bar_delizia_42.7945_13.0921.json,custom
42.793149,13.092514,ov_salsiccia_bar_42.7931_13.0925,Salsiccia Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/salsiccia_bar_42.7931_13.0925.json,custom
42.828868,13.214064,ov_bar_sibilla_42.8289_13.2141,Bar Sibilla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/bar_sibilla_42.8289_13.2141.json,custom
42.828643,13.214234,ov_lu_soccio_42.8286_13.2142,Lu Soccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/lu_soccio_42.8286_13.2142.json,custom
42.829089,13.206762,ov_taverna_castelluccio_42.8291_13.2068,Taverna Castelluccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/taverna_castelluccio_42.8291_13.2068.json,custom
42.829166,13.205590,ov_bar_la_campagnola_42.8292_13.2056,Bar La Campagnola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/bar_la_campagnola_42.8292_13.2056.json,custom
42.828502,13.206205,ov_bar_del_capitano_42.8285_13.2062,Bar Del Capitano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/bar_del_capitano_42.8285_13.2062.json,custom
42.791376,13.092187,osm_caff__parigi_42.7914_13.0922,Caffè Parigi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/caff_parigi_42.7914_13.0922.json,custom
42.793590,13.092496,osm_dolcezze_42.7936_13.0925,Dolcezze,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/dolcezze_42.7936_13.0925.json,custom
42.850537,13.093242,osm_il_bar_di_campi_42.8505_13.0932,Il Bar di Campi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/il_bar_di_campi_42.8505_13.0932.json,custom
42.790700,13.095210,ov_centro_sportivo_hotel_europa_42.7907_13.0952,Centro Sportivo Hotel Europa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/centro_sportivo_hotel_europa_42.7907_13.0952.json,custom
42.778039,13.099796,ov_nemo_wellness_center_42.7780_13.0998,Nemo Wellness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/nemo_wellness_center_42.7780_13.0998.json,custom
42.796144,13.091342,ov_norcia_outdoor_village_42.7961_13.0913,NORCIA OUTDOOR Village,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/norcia_outdoor_village_42.7961_13.0913.json,custom
42.795460,13.091830,ov_centro_estivo__il_monello__di_norcia_42.7955_13.0918,Centro Estivo 'Il Monello' di Norcia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/centro_estivo_il_monello_di_norcia_42.7955_13.0918.json,custom
42.792217,13.092569,ov_museum_of_castellina_42.7922_13.0926,Museum of Castellina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/museum_of_castellina_42.7922_13.0926.json,custom
42.794818,13.092223,osm_ufficio_postale_norcia_42.7948_13.0922,Ufficio postale Norcia,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ufficio_postale_norcia_42.7948_13.0922.json,custom
