# lat,lng,id,name,building_type,type,url,page_type
# Cerea -- Tutti
45.190758,11.223134,osm_distretto_sanitario_3_di_cerea_45.1908_11.2231,Distretto Sanitario 3 di Cerea,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/distretto_sanitario_3_di_cerea_45.1908_11.2231.json,custom
45.165491,11.252834,ov_da_aldo_45.1655_11.2528,Da Aldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/da_aldo_45.1655_11.2528.json,custom
45.165703,11.253222,ov_ristorante__pizzeria_da_pio_45.1657_11.2532,"Ristorante, pizzeria da Pio",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/ristorante_pizzeria_da_pio_45.1657_11.2532.json,custom
45.191987,11.214408,ov_all_insolita_45.1920_11.2144,All'Insolita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/allinsolita_45.1920_11.2144.json,custom
45.191138,11.213703,ov_bottega_e_carega_45.1911_11.2137,Bottega e Carega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/bottega_e_carega_45.1911_11.2137.json,custom
45.192910,11.209765,ov_koi_ristorante_sushi_45.1929_11.2098,KOI Ristorante Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/koi_ristorante_sushi_45.1929_11.2098.json,custom
45.193379,11.210931,ov_buffoosteria_45.1934_11.2109,BuffoOsteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/buffoosteria_45.1934_11.2109.json,custom
45.193443,11.211953,ov_krea_poke_45.1934_11.2120,Krea Poke,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/krea_poke_45.1934_11.2120.json,custom
45.194722,11.213484,ov_shape_cocktail_bar_45.1947_11.2135,Shape Cocktail Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/shape_cocktail_bar_45.1947_11.2135.json,custom
45.194795,11.214469,ov_la_rustica_cerea_45.1948_11.2145,La Rustica Cerea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/la_rustica_cerea_45.1948_11.2145.json,custom
45.192675,11.208894,ov_pizzeria_la_botte_due_45.1927_11.2089,Pizzeria La Botte Due,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/pizzeria_la_botte_due_45.1927_11.2089.json,custom
45.191485,11.199708,ov_fiamma_rossa_45.1915_11.1997,Fiamma rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/fiamma_rossa_45.1915_11.1997.json,custom
45.195728,11.209428,ov_pizza_al_taglio_carpe_diem_45.1957_11.2094,Pizza al Taglio Carpe Diem,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/pizza_al_taglio_carpe_diem_45.1957_11.2094.json,custom
45.196273,11.209324,ov_pizzeria_5_stagioni_cerea_45.1963_11.2093,Pizzeria 5 Stagioni Cerea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/pizzeria_5_stagioni_cerea_45.1963_11.2093.json,custom
45.196270,11.209345,ov_osteria_della_vecchia_modena_di_vergnani_45.1963_11.2093,Osteria Della Vecchia Modena di Vergnanini Ronny - Osteria &,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/osteria_della_vecchia_modena_di_vergnani_45.1963_11.2093.json,custom
45.196373,11.209227,ov_vinsanto_caf____cerea_45.1964_11.2092,Vinsanto Café - Cerea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/vinsanto_caf_-_cerea_45.1964_11.2092.json,custom
45.196321,11.209294,ov_pizza_express_45.1963_11.2093,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/pizza_express_45.1963_11.2093.json,custom
45.197884,11.197441,ov_locanda_divinis_45.1979_11.1974,Locanda Divinis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/locanda_divinis_45.1979_11.1974.json,custom
45.204697,11.202913,ov_paglia___fieno_45.2047_11.2029,Paglia & Fieno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/paglia_fieno_45.2047_11.2029.json,custom
45.206669,11.200890,ov_bar_trattoria_da_carlo_45.2067_11.2009,Bar Trattoria Da Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/bar_trattoria_da_carlo_45.2067_11.2009.json,custom
45.218122,11.205946,ov_laghetto_rosa_45.2181_11.2059,Laghetto Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/laghetto_rosa_45.2181_11.2059.json,custom
45.220428,11.238200,ov_al_borgo_45.2204_11.2382,Al Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/al_borgo_45.2204_11.2382.json,custom
45.228191,11.234789,ov_pizzeria_la_palesella_grande_lel_0442305_45.2282_11.2348,Pizzeria La Palesella Grande lel.044230542,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/pizzeria_la_palesella_grande_lel04423054_45.2282_11.2348.json,custom
45.224738,11.174047,ov_vecchio_sole_45.2247_11.1740,Vecchio Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/vecchio_sole_45.2247_11.1740.json,custom
45.216880,11.175031,ov_da_gioia_trattoria_e____45.2169_11.1750,da Gioia Trattoria e...,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/da_gioia_trattoria_e_45.2169_11.1750.json,custom
45.216689,11.175161,ov_ristorantino_belle_arti_45.2167_11.1752,Ristorantino Belle Arti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/ristorantino_belle_arti_45.2167_11.1752.json,custom
45.230190,11.157830,ov_puro_pellet_energia_rinnovabile_45.2302_11.1578,Puro Pellet energia rinnovabile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/puro_pellet_energia_rinnovabile_45.2302_11.1578.json,custom
45.231832,11.179630,ov_ristorante_vior_45.2318_11.1796,Ristorante VIOR,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/ristorante_vior_45.2318_11.1796.json,custom
45.231897,11.179599,ov_zer_a_45.2319_11.1796,Zerèa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/zera_45.2319_11.1796.json,custom
45.231978,11.179488,ov_villa_ormaneto_45.2320_11.1795,Villa Ormaneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/villa_ormaneto_45.2320_11.1795.json,custom
45.245828,11.184726,ov_vecchio_sole_ristorante_pizzeria_45.2458_11.1847,Vecchio Sole ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/vecchio_sole_ristorante_pizzeria_45.2458_11.1847.json,custom
45.204687,11.202977,osm_paglia_e_fieno_45.2047_11.2030,Paglia e Fieno,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/paglia_e_fieno_45.2047_11.2030.json,custom
45.189379,11.201550,ov_rumbling_pub_foodball_music_and_beer_45.1894_11.2016,Rumbling pub foodball music and beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/rumbling_pub_foodball_music_and_beer_45.1894_11.2016.json,custom
45.190173,11.208608,ov_bet_bar_45.1902_11.2086,Bet Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/bet_bar_45.1902_11.2086.json,custom
45.189754,11.212758,ov_art_cafe_45.1898_11.2128,Art Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/art_cafe_45.1898_11.2128.json,custom
45.188717,11.217290,ov_tarifa_cafe_45.1887_11.2173,Tarifa Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/tarifa_cafe_45.1887_11.2173.json,custom
45.187745,11.222088,ov_albergo_romagnolo_45.1877_11.2221,Albergo Romagnolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/albergo_romagnolo_45.1877_11.2221.json,custom
45.173859,11.238841,ov_d_g_bar_45.1739_11.2388,D&G Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/dg_bar_45.1739_11.2388.json,custom
45.190687,11.214497,ov_caffetteria_mary_45.1907_11.2145,Caffetteria Mary,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/caffetteria_mary_45.1907_11.2145.json,custom
45.191644,11.212235,ov_parco_giochi_di_cerea_45.1916_11.2122,Parco Giochi di Cerea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/parco_giochi_di_cerea_45.1916_11.2122.json,custom
45.191794,11.212630,ov_il_chiosco_45.1918_11.2126,Il Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/il_chiosco_45.1918_11.2126.json,custom
45.192680,11.212590,ov_portici_40_45.1927_11.2126,Portici 40,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/portici_40_45.1927_11.2126.json,custom
45.193649,11.211642,ov_beer_banti_45.1936_11.2116,Beer-Banti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/beer-banti_45.1936_11.2116.json,custom
45.193223,11.212357,ov_birradrome_45.1932_11.2124,Birradrome,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/birradrome_45.1932_11.2124.json,custom
45.193480,11.211542,ov_la_piazzetta_45.1935_11.2115,La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/la_piazzetta_45.1935_11.2115.json,custom
45.193029,11.212486,ov_mokka_caffe_45.1930_11.2125,Mokka Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/mokka_caffe_45.1930_11.2125.json,custom
45.194490,11.214145,ov_roses_bar_american_bar_45.1945_11.2141,Roses Bar American Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/roses_bar_american_bar_45.1945_11.2141.json,custom
45.195168,11.212077,ov_cerea_45.1952_11.2121,Cerea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/cerea_45.1952_11.2121.json,custom
45.194266,11.210643,ov_bar_zewdi_cafe_45.1943_11.2106,Bar Zewdi Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/bar_zewdi_cafe_45.1943_11.2106.json,custom
45.192780,11.209150,ov_king_wine_bar_45.1928_11.2091,King Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/king_wine_bar_45.1928_11.2091.json,custom
45.193920,11.198836,ov_bar_la_bussola_45.1939_11.1988,Bar La Bussola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/bar_la_bussola_45.1939_11.1988.json,custom
45.185349,11.195694,ov_next_bar_45.1853_11.1957,Next Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/next_bar_45.1853_11.1957.json,custom
45.187175,11.199700,ov_officina_del_movimento_45.1872_11.1997,Officina del Movimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/officina_del_movimento_45.1872_11.1997.json,custom
45.187360,11.199757,ov_denise_torres_el_toque_cubano_a_s_d_45.1874_11.1998,Denise Torres El Toque Cubano a.s.d,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/denise_torres_el_toque_cubano_asd_45.1874_11.1998.json,custom
45.189283,11.201258,ov_pole_fly_studio_a_s_d_45.1893_11.2013,Pole Fly Studio A.S.D,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/pole_fly_studio_asd_45.1893_11.2013.json,custom
45.187453,11.228128,ov_my_personal_gym_45.1875_11.2281,My Personal Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/my_personal_gym_45.1875_11.2281.json,custom
45.190114,11.223158,ov_balla_snella_cerea_45.1901_11.2232,Balla&Snella_Cerea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/ballasnellacerea_45.1901_11.2232.json,custom
45.186714,11.240483,ov_firstfit_cerea_45.1867_11.2405,FirstFit Cerea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/firstfit_cerea_45.1867_11.2405.json,custom
45.193014,11.209913,ov_bbyoga_45.1930_11.2099,Bbyoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/bbyoga_45.1930_11.2099.json,custom
45.192685,11.202914,ov_palasanvito_45.1927_11.2029,Palasanvito,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/palasanvito_45.1927_11.2029.json,custom
45.193748,11.194487,ov_flik_ballet_45.1937_11.1945,Flik Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/flik_ballet_45.1937_11.1945.json,custom
45.186420,11.194975,ov_centro_estetico_linea_in__di_fragnan_fed_45.1864_11.1950,Centro Estetico Linea In' di Fragnan Federica Elisa & C. SNC,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/centro_estetico_linea_in_di_fragnan_fede_45.1864_11.1950.json,custom
45.185165,11.195225,ov_yokai_gym_cerea_a_s_d_45.1852_11.1952,Yokai Gym Cerea A.S.D,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/yokai_gym_cerea_asd_45.1852_11.1952.json,custom
45.203379,11.285917,ov_maam___museo_delle_arti_applicate_nel_mo_45.2034_11.2859,"MAAM - Museo delle Arti Applicate nel Mobile, Villa Dionisi",MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/maam_-_museo_delle_arti_applicate_nel_mo_45.2034_11.2859.json,custom
45.199380,11.211190,ov_l_anima_e_il_volto___fonderia_munaretti_45.1994_11.2112,L'anima e il Volto - Fonderia Munaretti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/lanima_e_il_volto_-_fonderia_munaretti_45.1994_11.2112.json,custom
45.198510,11.211726,ov_giudice_di_pace_di_legnago_45.1985_11.2117,Giudice di Pace di Legnago,GOVERNMENT,ufficio_pubblico,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/giudice_di_pace_di_legnago_45.1985_11.2117.json,custom
45.195280,11.213250,ov_biblioteca_comunale_bruno_bresciani___ce_45.1953_11.2133,Biblioteca comunale Bruno Bresciani - Cerea,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/biblioteca_comunale_bruno_bresciani_-_ce_45.1953_11.2133.json,custom
45.196610,11.209320,ov_biblioteca_del_legno_e_del_design_45.1966_11.2093,Biblioteca del legno e del design,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/biblioteca_del_legno_e_del_design_45.1966_11.2093.json,custom
