# lat,lng,id,name,building_type,type,url,page_type
# Rosà -- Tutti
45.725030,11.762890,ov_centro_di_neuroscienze_di_ros____dr__pie_45.7250_11.7629,Centro di Neuroscienze di Rosà - Dr. Piergiorgio Miottello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/centro_di_neuroscienze_di_ros_-_dr_pierg_45.7250_11.7629.json,custom
45.722292,11.772410,ov_special_pub_45.7223_11.7724,Special PUB,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/special_pub_45.7223_11.7724.json,custom
45.710028,11.784415,ov_bar_bolero_da_walter_45.7100_11.7844,Bar Bolero da Walter,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/bar_bolero_da_walter_45.7100_11.7844.json,custom
45.694862,11.736787,ov_nuova_biliardi_montegrappa_di_donadini_v_45.6949_11.7368,Nuova Biliardi Montegrappa di Donadini Vittorio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/nuova_biliardi_montegrappa_di_donadini_v_45.6949_11.7368.json,custom
45.721254,11.727716,ov_fitup_ros__45.7213_11.7277,FitUP Rosà,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/fitup_ros_45.7213_11.7277.json,custom
45.717738,11.764601,ov_matrika_yoga_e_natura_45.7177_11.7646,Matrika Yoga e Natura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/matrika_yoga_e_natura_45.7177_11.7646.json,custom
45.717170,11.765259,ov_da_beat_45.7172_11.7653,Da Beat,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/da_beat_45.7172_11.7653.json,custom
45.716965,11.765319,ov_palestra_freelife_45.7170_11.7653,Palestra Freelife,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/palestra_freelife_45.7170_11.7653.json,custom
45.727166,11.762526,ov_iron_gym_45.7272_11.7625,Iron Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/iron_gym_45.7272_11.7625.json,custom
45.724347,11.761412,ov_percorso_benessere_45.7243_11.7614,Percorso Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/percorso_benessere_45.7243_11.7614.json,custom
45.728219,11.758492,ov_stadio_comunale_rosa__vi_45.7282_11.7585,Stadio Comunale Rosa' VI,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/stadio_comunale_rosa_vi_45.7282_11.7585.json,custom
45.734001,11.759964,ov_h3om_company_45.7340_11.7600,H3Om Company,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/h3om_company_45.7340_11.7600.json,custom
45.729466,11.769534,ov_gabrielli_racing_team_45.7295_11.7695,Gabrielli Racing Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/gabrielli_racing_team_45.7295_11.7695.json,custom
45.724029,11.774158,ov_kasadanza___danzare___per_sentirsi_infin_45.7240_11.7742,Kasadanza - Danzare...per sentirsi infiniti!,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/kasadanza_-_danzareper_sentirsi_infiniti_45.7240_11.7742.json,custom
45.724200,11.762077,ov_biblioteca_civica_45.7242_11.7621,Biblioteca Civica,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/biblioteca_civica_45.7242_11.7621.json,custom
45.724289,11.762249,osm_palazzo_casale_dolfin_45.7243_11.7622,Palazzo Casale Dolfin,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/palazzo_casale_dolfin_45.7243_11.7622.json,custom
45.724070,11.761977,osm_aula_studio_ros__45.7241_11.7620,Aula Studio Rosà,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/aula_studio_ros_45.7241_11.7620.json,custom
