# lat,lng,id,name,building_type,type,url,page_type
# Cardano al Campo -- Tutti
45.643804,8.771625,ov_studio_odontoiatrico_dentalow_45.6438_8.7716,Studio Odontoiatrico Dentalow,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/studio_odontoiatrico_dentalow_45.6438_8.7716.json,custom
45.637910,8.782290,ov_break_bar_45.6379_8.7823,Break Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/break_bar_45.6379_8.7823.json,custom
45.637752,8.780011,ov_eli_sana_alimentazione_45.6378_8.7800,Eli Sana Alimentazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/eli_sana_alimentazione_45.6378_8.7800.json,custom
45.637313,8.768705,ov_pizzeria_la_favola_45.6373_8.7687,Pizzeria La Favola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/pizzeria_la_favola_45.6373_8.7687.json,custom
45.636394,8.766886,ov_arte___pizza_45.6364_8.7669,Arte & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/arte_pizza_45.6364_8.7669.json,custom
45.635670,8.765454,ov_edo___patrizia_home_restaurant_45.6357_8.7655,Edo & Patrizia Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/edo_patrizia_home_restaurant_45.6357_8.7655.json,custom
45.634294,8.764909,ov_ristorante_pinseria_il_ghiottone_45.6343_8.7649,Ristorante Pinseria Il Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/ristorante_pinseria_il_ghiottone_45.6343_8.7649.json,custom
45.650700,8.746999,osm_ristorante_tiro_a_volo_45.6507_8.7470,Ristorante tiro a volo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/ristorante_tiro_a_volo_45.6507_8.7470.json,custom
45.652979,8.763423,osm_la_scogliera_45.6530_8.7634,La Scogliera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/la_scogliera_45.6530_8.7634.json,custom
45.655827,8.774714,ov_botega_caffe_cacao_cardano_45.6558_8.7747,Botega Caffe Cacao Cardano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/botega_caffe_cacao_cardano_45.6558_8.7747.json,custom
45.654066,8.772735,ov_bar_cuoricino_45.6541_8.7727,Bar Cuoricino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/bar_cuoricino_45.6541_8.7727.json,custom
45.653255,8.765424,ov_bar_pasticceria_time_out_45.6533_8.7654,Bar Pasticceria Time Out,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/bar_pasticceria_time_out_45.6533_8.7654.json,custom
45.648582,8.768299,ov_bar_il_caffe_di_luigi_45.6486_8.7683,Bar Il Caffe Di Luigi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/bar_il_caffe_di_luigi_45.6486_8.7683.json,custom
45.648127,8.772934,ov_bar_distraction_45.6481_8.7729,Bar Distraction,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/bar_distraction_45.6481_8.7729.json,custom
45.646574,8.773382,osm_circolo_quarto_stato_45.6466_8.7734,Circolo Quarto Stato,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/circolo_quarto_stato_45.6466_8.7734.json,custom
45.645818,8.749178,osm_dino_s_bar_45.6458_8.7492,Dino's Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/dinos_bar_45.6458_8.7492.json,custom
45.654563,8.759804,osm_barflix_45.6546_8.7598,Barflix,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/barflix_45.6546_8.7598.json,custom
45.658933,8.763374,ov_equilibrio_ranch_45.6589_8.7634,Equilibrio Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/equilibrio_ranch_45.6589_8.7634.json,custom
45.658830,8.763640,ov_international_horseman_academy_45.6588_8.7636,International Horseman Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/international_horseman_academy_45.6588_8.7636.json,custom
45.658119,8.767401,ov_bodhe_45.6581_8.7674,bodhe,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/bodhe_45.6581_8.7674.json,custom
45.656960,8.757281,ov_a_s_d__scuderie_bel_sit_45.6570_8.7573,A.S.D. Scuderie Bel Sit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/asd_scuderie_bel_sit_45.6570_8.7573.json,custom
45.652483,8.770500,ov_palestra_scuole_manzoni_45.6525_8.7705,Palestra Scuole Manzoni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/palestra_scuole_manzoni_45.6525_8.7705.json,custom
45.652096,8.773582,ov_zaniifit_studio_45.6521_8.7736,Zaniifit Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/zaniifit_studio_45.6521_8.7736.json,custom
45.647910,8.768390,ov_laura_bernacchi_chinesiologa___personal__45.6479_8.7684,Laura Bernacchi Chinesiologa - Personal Trainer,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/laura_bernacchi_chinesiologa_-_personal__45.6479_8.7684.json,custom
45.646511,8.772880,ov_palestra_time_out_club_45.6465_8.7729,Palestra Time Out Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/palestra_time_out_club_45.6465_8.7729.json,custom
45.644678,8.771612,ov_balance_academy_45.6447_8.7716,Balance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/balance_academy_45.6447_8.7716.json,custom
45.644235,8.769501,ov_football_center_asd_45.6442_8.7695,Football Center Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/football_center_asd_45.6442_8.7695.json,custom
45.643529,8.760271,ov_mxp_rooms___gym_45.6435_8.7603,MXP Rooms - Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/mxp_rooms_-_gym_45.6435_8.7603.json,custom
45.638760,8.770630,ov_gdmi_cardano_al_campo_45.6388_8.7706,Gdmi Cardano al Campo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/gdmi_cardano_al_campo_45.6388_8.7706.json,custom
45.638211,8.782374,ov_empathy_dance_school_45.6382_8.7824,Empathy dance school,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/empathy_dance_school_45.6382_8.7824.json,custom
45.637787,8.780029,ov_ad_oriente_45.6378_8.7800,Ad Oriente,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/ad_oriente_45.6378_8.7800.json,custom
45.634788,8.762850,ov_scuola_di_ballo_45.6348_8.7628,scuola di ballo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/scuola_di_ballo_45.6348_8.7628.json,custom
45.634699,8.762785,ov_daste_dance_45.6347_8.7628,Daste Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/daste_dance_45.6347_8.7628.json,custom
45.643784,8.769742,osm_cardano_al_campo_45.6438_8.7697,Cardano al Campo,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/cardano_al_campo_45.6438_8.7697.json,custom
