# lat,lng,id,name,building_type,type,url,page_type
# asola -- Tutti
45.223903,10.412131,ov_ospedale_carlo_poma_45.2239_10.4121,Ospedale Carlo Poma,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ospedale_carlo_poma_45.2239_10.4121.json,custom
45.223326,10.414983,ov_antico_rustico_asola_45.2233_10.4150,Antico Rustico Asola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/antico_rustico_asola_45.2233_10.4150.json,custom
45.222042,10.410152,ov_pescheria_da_emi_45.2220_10.4102,Pescheria da Emi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/pescheria_da_emi_45.2220_10.4102.json,custom
45.227079,10.428776,ov_gold_carne_45.2271_10.4288,Gold Carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/gold_carne_45.2271_10.4288.json,custom
45.227231,10.426507,ov_origami_japanese_restaurant_45.2272_10.4265,Origami Japanese Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/origami_japanese_restaurant_45.2272_10.4265.json,custom
45.235470,10.416686,ov_la_sosta_45.2355_10.4167,La SOSTA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/la_sosta_45.2355_10.4167.json,custom
45.229580,10.362684,ov_trattoria_pizzeria_le_due_rose_di_p__dav_45.2296_10.3627,Trattoria Pizzeria Le Due Rose di Pé Davide e Pé Vittoria E ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/trattoria_pizzeria_le_due_rose_di_p_davi_45.2296_10.3627.json,custom
45.230455,10.375156,ov_albergo_ristorante_le_seriole_45.2305_10.3752,Albergo Ristorante Le Seriole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/albergo_ristorante_le_seriole_45.2305_10.3752.json,custom
45.201563,10.387781,ov_ristorante_gastaldo_45.2016_10.3878,Ristorante Gastaldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ristorante_gastaldo_45.2016_10.3878.json,custom
45.206762,10.414153,ov_ristorante_la_chiusa_45.2068_10.4142,Ristorante La Chiusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ristorante_la_chiusa_45.2068_10.4142.json,custom
45.219801,10.406390,osm_la_filanda_45.2198_10.4064,La Filanda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/la_filanda_45.2198_10.4064.json,custom
45.217614,10.421016,osm_ristorante_pizzeria_4_strade_45.2176_10.4210,Ristorante Pizzeria 4 Strade,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ristorante_pizzeria_4_strade_45.2176_10.4210.json,custom
45.229323,10.432171,ov_bar_costa_smeralda_45.2293_10.4322,Bar Costa Smeralda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/bar_costa_smeralda_45.2293_10.4322.json,custom
45.222757,10.421080,ov_sisters_cafe_45.2228_10.4211,Sisters Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/sisters_cafe_45.2228_10.4211.json,custom
45.220892,10.420147,ov_al_terzo_tempo_45.2209_10.4201,Al Terzo Tempo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/al_terzo_tempo_45.2209_10.4201.json,custom
45.219886,10.420070,ov_bar_io_e_lei_45.2199_10.4201,Bar Io e Lei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/bar_io_e_lei_45.2199_10.4201.json,custom
45.218268,10.420930,ov_bar_sport___45.2183_10.4209,Bar Sport 🩷,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/bar_sport__45.2183_10.4209.json,custom
45.220741,10.409600,ov_roxy_bar_asola_45.2207_10.4096,Roxy bar asola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/roxy_bar_asola_45.2207_10.4096.json,custom
45.220709,10.410917,ov_bitter0512_45.2207_10.4109,Bitter0512,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/bitter0512_45.2207_10.4109.json,custom
45.220779,10.417682,ov_gocce_di_vite_45.2208_10.4177,Gocce di Vite,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/gocce_di_vite_45.2208_10.4177.json,custom
45.220851,10.416799,ov_birreria_valhalla_45.2209_10.4168,Birreria Valhalla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/birreria_valhalla_45.2209_10.4168.json,custom
45.220440,10.415890,ov_sunshine_caf__asola_45.2204_10.4159,Sunshine Cafè Asola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/sunshine_caf_asola_45.2204_10.4159.json,custom
45.220799,10.413066,ov_gran_caff__liberty_45.2208_10.4131,Gran Caffè Liberty,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/gran_caff_liberty_45.2208_10.4131.json,custom
45.220713,10.412761,ov_alto_fermento___beerstrot_45.2207_10.4128,Alto Fermento - Beerstrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/alto_fermento_-_beerstrot_45.2207_10.4128.json,custom
45.221074,10.412583,ov_roma_bar_45.2211_10.4126,Roma Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/roma_bar_45.2211_10.4126.json,custom
45.221125,10.413129,ov_caf__nazionale_45.2211_10.4131,Café Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/caf_nazionale_45.2211_10.4131.json,custom
45.221854,10.412501,ov_ascari_caf__45.2219_10.4125,Ascari Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ascari_caf_45.2219_10.4125.json,custom
45.221203,10.413853,ov_bar_caffetteria_45.2212_10.4139,Bar caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/bar_caffetteria_45.2212_10.4139.json,custom
45.223228,10.412227,ov_bar_red_glamour_45.2232_10.4122,Bar Red Glamour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/bar_red_glamour_45.2232_10.4122.json,custom
45.221534,10.410434,ov_caffe_della_piazza_45.2215_10.4104,Caffe Della Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/caffe_della_piazza_45.2215_10.4104.json,custom
45.232905,10.417711,ov_bar_ristorante_blue_moon_45.2329_10.4177,Bar ristorante Blue Moon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/bar_ristorante_blue_moon_45.2329_10.4177.json,custom
45.232777,10.417778,ov_civico_108_food___drink_45.2328_10.4178,Civico 108 Food & Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/civico_108_food_drink_45.2328_10.4178.json,custom
45.220371,10.405106,ov_bar_pasticceria_eden_45.2204_10.4051,Bar Pasticceria Eden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/bar_pasticceria_eden_45.2204_10.4051.json,custom
45.177743,10.397029,ov_centro_ippico_le_campagne_45.1777_10.3970,Centro Ippico Le Campagne,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/centro_ippico_le_campagne_45.1777_10.3970.json,custom
45.248856,10.459082,ov_smirnov_acrobatic_academy_45.2489_10.4591,Smirnov Acrobatic Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/smirnov_acrobatic_academy_45.2489_10.4591.json,custom
45.241297,10.426222,ov_circolo_ippico_quarter_horses_alle_colom_45.2413_10.4262,Circolo Ippico Quarter Horses Alle Colombare,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/circolo_ippico_quarter_horses_alle_colom_45.2413_10.4262.json,custom
45.219838,10.420070,ov_wellness_project_45.2198_10.4201,Wellness Project,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/wellness_project_45.2198_10.4201.json,custom
45.218031,10.420719,ov_palestra_enjoy_asola_45.2180_10.4207,Palestra Enjoy Asola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/palestra_enjoy_asola_45.2180_10.4207.json,custom
45.227252,10.426247,ov_skill_5_0_45.2273_10.4262,Skill 5.0,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/skill_50_45.2273_10.4262.json,custom
45.227205,10.426303,ov_crossfit_asola_golden_eagles_45.2272_10.4263,CrossFit Asola Golden Eagles,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/crossfit_asola_golden_eagles_45.2272_10.4263.json,custom
45.216180,10.397155,ov_millennium_gym_srl_45.2162_10.3972,Millennium Gym Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/millennium_gym_srl_45.2162_10.3972.json,custom
45.221560,10.412420,ov_il_cibo_dipinto_45.2216_10.4124,Il cibo dipinto,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/il_cibo_dipinto_45.2216_10.4124.json,custom
45.221377,10.412499,ov_museo_civico_goffredo_bellini_45.2214_10.4125,Museo civico Goffredo Bellini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/museo_civico_goffredo_bellini_45.2214_10.4125.json,custom
45.222403,10.410855,ov_municipal_library_andrea_torresano_45.2224_10.4109,Municipal Library Andrea Torresano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/municipal_library_andrea_torresano_45.2224_10.4109.json,custom
