# lat,lng,id,name,building_type,type,url,page_type
# cornate_dadda -- Tutti
45.648120,9.465130,ov_ambulatorio_medico_dentistico_belvedere_45.6481_9.4651,Ambulatorio Medico Dentistico Belvedere,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/ambulatorio_medico_dentistico_belvedere_45.6481_9.4651.json,custom
45.625434,9.464656,ov_nespresso_45.6254_9.4647,Nespresso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/nespresso_45.6254_9.4647.json,custom
45.639881,9.469576,ov_fantasy_45.6399_9.4696,Fantasy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/fantasy_45.6399_9.4696.json,custom
45.641177,9.467906,ov_campus_2_0_45.6412_9.4679,Campus 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/campus_20_45.6412_9.4679.json,custom
45.638636,9.470101,ov_fabbrica_libera_cornate_d_adda_45.6386_9.4701,Fabbrica Libera Cornate d'Adda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/fabbrica_libera_cornate_dadda_45.6386_9.4701.json,custom
45.648464,9.463258,ov_bar_sabbia_45.6485_9.4633,Bar Sabbia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/bar_sabbia_45.6485_9.4633.json,custom
45.650898,9.463838,ov_zero_cafe_45.6509_9.4638,Zero Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/zero_cafe_45.6509_9.4638.json,custom
45.631821,9.470577,osm_bar_pegaso_45.6318_9.4706,Bar Pegaso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/bar_pegaso_45.6318_9.4706.json,custom
45.647285,9.463972,osm_caff__valentino_45.6473_9.4640,Caffè Valentino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/caff_valentino_45.6473_9.4640.json,custom
45.627100,9.467430,ov_circolo_himalaya_45.6271_9.4674,Circolo Himalaya,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/circolo_himalaya_45.6271_9.4674.json,custom
45.630666,9.492683,ov_sei_a_ca_45.6307_9.4927,Sei a Ca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/sei_a_ca_45.6307_9.4927.json,custom
45.639828,9.469198,ov_body_center_palestrs_45.6398_9.4692,Body Center Palestrs,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/body_center_palestrs_45.6398_9.4692.json,custom
45.640973,9.468194,ov_centro_sportivo_cornate_d_adda_45.6410_9.4682,Centro Sportivo Cornate D'Adda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/centro_sportivo_cornate_dadda_45.6410_9.4682.json,custom
45.641430,9.467656,ov_pattinaggio_cornate_d_adda_45.6414_9.4677,Pattinaggio Cornate d'Adda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/pattinaggio_cornate_dadda_45.6414_9.4677.json,custom
45.646047,9.489937,ov_villa_paradiso_golf_club_45.6460_9.4899,Villa Paradiso Golf Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/villa_paradiso_golf_club_45.6460_9.4899.json,custom
45.654325,9.480438,ov_az__agr__il_turchese_45.6543_9.4804,Az. Agr. Il Turchese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/az_agr_il_turchese_45.6543_9.4804.json,custom
45.656148,9.506050,ov_fitup_suisio_45.6561_9.5061,FitUP Suisio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/fitup_suisio_45.6561_9.5061.json,custom
45.632004,9.471942,ov_biblioteca_civica_di_cornate_d_adda_45.6320_9.4719,Biblioteca Civica di Cornate d'Adda,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/biblioteca_civica_di_cornate_dadda_45.6320_9.4719.json,custom
