# lat,lng,id,name,building_type,type,url,page_type
# terricciola -- Tutti
43.541083,10.701770,ov_asl___distretto_terricciola__5_43.5411_10.7018,Asl - Distretto Terricciola -5,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/asl_-_distretto_terricciola_-5_43.5411_10.7018.json,custom
43.524817,10.677117,ov_bar_rib__43.5248_10.6771,Bar Ribè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/bar_rib_43.5248_10.6771.json,custom
43.524696,10.677038,ov_caff__del_borgo_43.5247_10.6770,Caffè Del Borgo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/caff_del_borgo_43.5247_10.6770.json,custom
43.560184,10.692572,ov_baldini_orlandini_paolo_43.5602_10.6926,Baldini Orlandini Paolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/baldini_orlandini_paolo_43.5602_10.6926.json,custom
43.552660,10.646970,ov_la_rana_matta_caffetteria_43.5527_10.6470,La Rana Matta Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/la_rana_matta_caffetteria_43.5527_10.6470.json,custom
43.569250,10.686670,ov_la_rosa_dei_venti_ristorante_bar_caffe__43.5692_10.6867,La Rosa Dei Venti Ristorante Bar Caffe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/la_rosa_dei_venti_ristorante_bar_caffe_43.5692_10.6867.json,custom
43.527580,10.674430,ov_arcieri_terricciolesi_43.5276_10.6744,Arcieri terricciolesi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/arcieri_terricciolesi_43.5276_10.6744.json,custom
43.542516,10.706071,ov_mm_international_motor_sport_43.5425_10.7061,MM International Motor Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/mm_international_motor_sport_43.5425_10.7061.json,custom
43.524780,10.680120,ov_palestra_uisp_terricciola_43.5248_10.6801,Palestra UISP Terricciola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/palestra_uisp_terricciola_43.5248_10.6801.json,custom
43.514960,10.713970,ov_oasi_il_mulino_43.5150_10.7140,Oasi il Mulino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/oasi_il_mulino_43.5150_10.7140.json,custom
43.552520,10.649310,ov_asd_perignano_43.5525_10.6493,ASD Perignano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/asd_perignano_43.5525_10.6493.json,custom
43.577358,10.755266,ov_tempio_di_minerva__montefoscoli_43.5774_10.7553,"Tempio Di Minerva, Montefoscoli",MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/tempio_di_minerva_montefoscoli_43.5774_10.7553.json,custom
43.532100,10.660930,ov_biblioteca_di_terricciola_43.5321_10.6609,Biblioteca di Terricciola,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/biblioteca_di_terricciola_43.5321_10.6609.json,custom
43.532267,10.661199,osm_biblioteca_comunale_43.5323_10.6612,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/biblioteca_comunale_43.5323_10.6612.json,custom
43.498786,10.721803,ov_ristorante_bar_albergo_da_pasquino_43.4988_10.7218,Ristorante Bar Albergo Da Pasquino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terricciola/pages/ristorante_bar_albergo_da_pasquino_43.4988_10.7218.json,custom
