# lat,lng,id,name,building_type,type,url,page_type
# Bellizzi -- Tutti
40.637159,14.970161,ov_clinica_villa_del_sole___salerno_40.6372_14.9702,Clinica Villa Del Sole - Salerno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/clinica_villa_del_sole_-_salerno_40.6372_14.9702.json,custom
40.620230,14.947285,ov_mordo_bene_40.6202_14.9473,Mordo Bene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/mordo_bene_40.6202_14.9473.json,custom
40.627972,14.959719,ov_naturale_ristorante_40.6280_14.9597,Naturale Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/naturale_ristorante_40.6280_14.9597.json,custom
40.630742,14.958459,ov_toro_rosso___braceria_longo_40.6307_14.9585,Toro Rosso - Braceria Longo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/toro_rosso_-_braceria_longo_40.6307_14.9585.json,custom
40.621403,14.949560,osm_o__povero_pesce___ristopescheria_40.6214_14.9496,O' Povero Pesce - ristopescheria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/o_povero_pesce_-_ristopescheria_40.6214_14.9496.json,custom
40.623665,14.929267,ov_fantasy_bar_40.6237_14.9293,Fantasy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/fantasy_bar_40.6237_14.9293.json,custom
40.621932,14.937636,ov_zeppoleria_nonna_papera_40.6219_14.9376,Zeppoleria Nonna Papera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/zeppoleria_nonna_papera_40.6219_14.9376.json,custom
40.620670,14.945605,ov_il_boccale_2_0_40.6207_14.9456,Il Boccale 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/il_boccale_20_40.6207_14.9456.json,custom
40.620496,14.946158,ov_bar_del_corso_40.6205_14.9462,Bar del corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/bar_del_corso_40.6205_14.9462.json,custom
40.620444,14.945706,ov_mondrian_bellizzi_40.6204_14.9457,Mondrian Bellizzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/mondrian_bellizzi_40.6204_14.9457.json,custom
40.620941,14.944452,ov_l_onyd_caffe_40.6209_14.9445,L'Onyd Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/lonyd_caffe_40.6209_14.9445.json,custom
40.620753,14.944525,ov_manhattan_caf__40.6208_14.9445,Manhattan Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/manhattan_caf_40.6208_14.9445.json,custom
40.620361,14.944331,ov_bar_i_due_fratello_40.6204_14.9443,Bar I Due Fratello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/bar_i_due_fratello_40.6204_14.9443.json,custom
40.621274,14.940707,ov_easy_bar_s_n_c__40.6213_14.9407,Easy Bar s.n.c.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/easy_bar_snc_40.6213_14.9407.json,custom
40.620521,14.942546,ov_bar_liliana_snc_40.6205_14.9425,Bar Liliana Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/bar_liliana_snc_40.6205_14.9425.json,custom
40.621249,14.949387,ov_cafe_bibanke_40.6212_14.9494,Cafe Bibanke,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/cafe_bibanke_40.6212_14.9494.json,custom
40.619761,14.948897,ov_love_s_bar_40.6198_14.9489,Love's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/loves_bar_40.6198_14.9489.json,custom
40.620630,14.948716,ov_dulcis_in_fundo_bellizzi_40.6206_14.9487,Dulcis in fundo Bellizzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/dulcis_in_fundo_bellizzi_40.6206_14.9487.json,custom
40.623665,14.946941,ov_bellizzi_40.6237_14.9469,Bellizzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/bellizzi_40.6237_14.9469.json,custom
40.632407,14.959233,ov_birra_d_amalfi_40.6324_14.9592,Birra D'Amalfi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/birra_damalfi_40.6324_14.9592.json,custom
40.625340,14.958070,ov_gli_specialisti_del_comodato_40.6253_14.9581,Gli specialisti del comodato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/gli_specialisti_del_comodato_40.6253_14.9581.json,custom
40.629243,14.958125,ov_caff__degli_affari_40.6292_14.9581,Caffè Degli Affari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/caff_degli_affari_40.6292_14.9581.json,custom
40.618252,14.954562,ov_black_white_cafe_40.6183_14.9546,Black White Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/black_white_cafe_40.6183_14.9546.json,custom
40.624656,14.956284,ov_el_paso_braceria_pub_40.6247_14.9563,El Paso braceria pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/el_paso_braceria_pub_40.6247_14.9563.json,custom
40.621949,14.956419,ov_caffetteria_dolce_amaro_40.6219_14.9564,Caffetteria Dolce Amaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/caffetteria_dolce_amaro_40.6219_14.9564.json,custom
40.620826,14.907503,ov_paracadutismo_lanci_tandem_campania_40.6208_14.9075,Paracadutismo Lanci Tandem Campania,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/paracadutismo_lanci_tandem_campania_40.6208_14.9075.json,custom
40.623942,14.928799,ov_dance_academy___fit_asd_40.6239_14.9288,Dance Academy & Fit asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/dance_academy_fit_asd_40.6239_14.9288.json,custom
40.619947,14.925173,ov_centro_sportivo_dm_40.6199_14.9252,Centro sportivo DM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/centro_sportivo_dm_40.6199_14.9252.json,custom
40.622310,14.938265,ov_balla_snella_bellizzi_40.6223_14.9383,Balla&Snella Bellizzi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/ballasnella_bellizzi_40.6223_14.9383.json,custom
40.622320,14.938270,ov_new_generation_2_0_40.6223_14.9383,New Generation 2.0,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/new_generation_20_40.6223_14.9383.json,custom
40.618136,14.946317,ov_centro_sportivo_associazione_sportiva_di_40.6181_14.9463,Centro Sportivo Associazione Sportiva Dilettantistica  new G,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/centro_sportivo_associazione_sportiva_di_40.6181_14.9463.json,custom
40.622128,14.941061,ov_asd_centro_studi_arte_danza_40.6221_14.9411,Asd centro studi arte danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/asd_centro_studi_arte_danza_40.6221_14.9411.json,custom
40.620042,14.950742,ov_asd_bull_gym_domenico_40.6200_14.9507,asd Bull Gym domenico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/asd_bull_gym_domenico_40.6200_14.9507.json,custom
40.619943,14.950719,ov_personal_trainer_roberta_stromillo_e_dan_40.6199_14.9507,Personal Trainer Roberta Stromillo e Daniel Viscido,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/personal_trainer_roberta_stromillo_e_dan_40.6199_14.9507.json,custom
40.620221,14.950177,ov_asd_step_up_di_lucia_barletta_40.6202_14.9502,Asd Step up di Lucia Barletta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/asd_step_up_di_lucia_barletta_40.6202_14.9502.json,custom
40.619971,14.952435,ov_palestra_special_one_40.6200_14.9524,Palestra Special One,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/palestra_special_one_40.6200_14.9524.json,custom
40.621037,14.952455,ov_shall_we_dance_di_sarah_pierri_40.6210_14.9525,Shall We Dance Di Sarah Pierri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/shall_we_dance_di_sarah_pierri_40.6210_14.9525.json,custom
40.627826,14.958864,ov_gioyoga_40.6278_14.9589,Gioyoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/gioyoga_40.6278_14.9589.json,custom
40.625197,14.953659,ov_up_level_40.6252_14.9537,Up Level,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/up_level_40.6252_14.9537.json,custom
40.621760,14.946482,osm_poste_italiane_40.6218_14.9465,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/poste_italiane_40.6218_14.9465.json,custom
