# lat,lng,id,name,building_type,type,url,page_type
# Cornedo Vicentino -- Tutti
45.604490,11.352540,ov_rehability___diagnostic_center_poliambul_45.6045_11.3525,Rehability & Diagnostic Center poliambulatorio Cornedo Vicen,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/rehability_diagnostic_center_poliambulat_45.6045_11.3525.json,custom
45.622339,11.334023,osm_da_dario_45.6223_11.3340,da Dario,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/da_dario_45.6223_11.3340.json,custom
45.595040,11.369880,ov_locanda_perinella_45.5950_11.3699,Locanda Perinella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/locanda_perinella_45.5950_11.3699.json,custom
45.598277,11.367337,ov_bar_alla_melonara_45.5983_11.3673,Bar Alla Melonara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/bar_alla_melonara_45.5983_11.3673.json,custom
45.599006,11.366106,ov_roxy_caff__e_cucina_45.5990_11.3661,Roxy Caffè e Cucina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/roxy_caff_e_cucina_45.5990_11.3661.json,custom
45.628884,11.310672,ov_bar_veneto_di_crestani_fiorella_45.6289_11.3107,Bar Veneto di Crestani Fiorella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/bar_veneto_di_crestani_fiorella_45.6289_11.3107.json,custom
45.605331,11.355281,ov_yard____45.6053_11.3553,Yard ₇₃,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/yard__45.6053_11.3553.json,custom
45.606462,11.350454,ov_billo_bar_45.6065_11.3505,Billo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/billo_bar_45.6065_11.3505.json,custom
45.610804,11.343995,ov_italiana_caff__45.6108_11.3440,Italiana Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/italiana_caff_45.6108_11.3440.json,custom
45.611024,11.343504,ov_civico_23_bar_tabaccheria_edicola_corned_45.6110_11.3435,Civico 23 Bar Tabaccheria Edicola Cornedo Vicentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/civico_23_bar_tabaccheria_edicola_corned_45.6110_11.3435.json,custom
45.618394,11.324610,ov_sampdoria_vini_45.6184_11.3246,Sampdoria Vini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/sampdoria_vini_45.6184_11.3246.json,custom
45.622095,11.318205,ov_bar_italia_45.6221_11.3182,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/bar_italia_45.6221_11.3182.json,custom
45.623341,11.316950,ov_eni_cafe__45.6233_11.3169,ENI CAFE',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/eni_cafe_45.6233_11.3169.json,custom
45.620270,11.323240,ov_bar_noi_associazione_spagnago_45.6203_11.3232,Bar Noi Associazione Spagnago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/bar_noi_associazione_spagnago_45.6203_11.3232.json,custom
45.612649,11.343378,ov_la_corte_45.6126_11.3434,La Corte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/la_corte_45.6126_11.3434.json,custom
45.613716,11.344831,ov_caffe_antico_45.6137_11.3448,Caffe Antico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/caffe_antico_45.6137_11.3448.json,custom
45.613684,11.344580,ov_caffe_unione_45.6137_11.3446,Caffe Unione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/caffe_unione_45.6137_11.3446.json,custom
45.613662,11.344005,ov_happy_bar_2_45.6137_11.3440,Happy Bar 2,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/happy_bar_2_45.6137_11.3440.json,custom
45.615280,11.381231,ov_hangar_n__10_45.6153_11.3812,Hangar n. 10,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/hangar_n_10_45.6153_11.3812.json,custom
45.598904,11.366085,osm_roxy_caff__45.5989_11.3661,Roxy Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/roxy_caff_45.5989_11.3661.json,custom
45.629820,11.311602,ov_fisika_fitness___sport_45.6298_11.3116,Fisika Fitness & Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/fisika_fitness_sport_45.6298_11.3116.json,custom
45.602156,11.341358,ov_angel_s_ranch_45.6022_11.3414,Angel's Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/angels_ranch_45.6022_11.3414.json,custom
45.607590,11.348717,ov_disciplina_dedizione_45.6076_11.3487,DISCIPLINA DEDIZIONE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/disciplina_dedizione_45.6076_11.3487.json,custom
45.616788,11.323339,ov_accademia_asd_45.6168_11.3233,Accademia asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/accademia_asd_45.6168_11.3233.json,custom
45.622427,11.317985,ov_movingcenter_benessere_e_salute_45.6224_11.3180,MovingCenter benessere e salute,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/movingcenter_benessere_e_salute_45.6224_11.3180.json,custom
45.622382,11.318009,ov_crossfit_brahma_45.6224_11.3180,CrossFit Brahma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/crossfit_brahma_45.6224_11.3180.json,custom
45.624051,11.316765,ov_hobby_dance_scuola_di_ballo_45.6241_11.3168,Hobby Dance Scuola Di Ballo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/hobby_dance_scuola_di_ballo_45.6241_11.3168.json,custom
45.624339,11.322687,ov_berica_nordic_walking_asd_45.6243_11.3227,Berica Nordic Walking ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/berica_nordic_walking_asd_45.6243_11.3227.json,custom
45.620823,11.316774,ov_vidya_yoga_45.6208_11.3168,Vidya Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/vidya_yoga_45.6208_11.3168.json,custom
45.615391,11.341815,ov_pgs_ardor_cornedo_45.6154_11.3418,PGS ARDOR Cornedo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/pgs_ardor_cornedo_45.6154_11.3418.json,custom
45.614389,11.343226,ov_biblioteca_comunale_45.6144_11.3432,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/biblioteca_comunale_45.6144_11.3432.json,custom
