# lat,lng,id,name,building_type,type,url,page_type
# Bondeno -- Tutti
44.880579,11.414155,ov_ospedale_fratelli_borselli_44.8806_11.4142,Ospedale Fratelli Borselli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/ospedale_fratelli_borselli_44.8806_11.4142.json,custom
44.885897,11.418563,osm_da_mimmo_44.8859_11.4186,Da Mimmo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/da_mimmo_44.8859_11.4186.json,custom
44.923827,11.390292,osm_osteria_degli_amici_miei_44.9238_11.3903,Osteria degli amici miei,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/osteria_degli_amici_miei_44.9238_11.3903.json,custom
44.886370,11.405580,ov_muttley_beer___grill_44.8864_11.4056,Muttley Beer & Grill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/muttley_beer_grill_44.8864_11.4056.json,custom
44.887247,11.413562,ov_al_cantinaz_44.8872_11.4136,Al Cantinaz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/al_cantinaz_44.8872_11.4136.json,custom
44.888228,11.410687,ov_bar_cristal_44.8882_11.4107,Bar Cristal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/bar_cristal_44.8882_11.4107.json,custom
44.888077,11.404835,ov_peter_pan_44.8881_11.4048,Peter Pan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/peter_pan_44.8881_11.4048.json,custom
44.882987,11.329628,ov_dal_mister_pub_44.8830_11.3296,Dal Mister Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/dal_mister_pub_44.8830_11.3296.json,custom
44.901542,11.411046,ov_bar_pit_stop_44.9015_11.4110,Bar Pit Stop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/bar_pit_stop_44.9015_11.4110.json,custom
44.949062,11.285732,ov_l_oliva_sgarbata_44.9491_11.2857,L'Oliva Sgarbata,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/loliva_sgarbata_44.9491_11.2857.json,custom
44.887063,11.414576,ov_bar_castello_44.8871_11.4146,Bar Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/bar_castello_44.8871_11.4146.json,custom
44.886516,11.418715,ov_mosquito_el_vi_44.8865_11.4187,Mosquito EL.VI,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/mosquito_elvi_44.8865_11.4187.json,custom
44.886552,11.417405,ov_bar_pasticceria_pirani_di_pirani_manzali_44.8866_11.4174,Bar Pasticceria Pirani di Pirani Manzali Mattia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/bar_pasticceria_pirani_di_pirani_manzali_44.8866_11.4174.json,custom
44.886293,11.415687,ov_officina_design_cafe_44.8863_11.4157,Officina Design Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/officina_design_cafe_44.8863_11.4157.json,custom
44.885673,11.416129,ov_dream_bar_44.8857_11.4161,Dream Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/dream_bar_44.8857_11.4161.json,custom
44.885142,11.416647,ov_blob_kafe_44.8851_11.4166,Blob Kafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/blob_kafe_44.8851_11.4166.json,custom
44.881306,11.428017,ov_baracco_vice_44.8813_11.4280,Baracco Vice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/baracco_vice_44.8813_11.4280.json,custom
44.865772,11.451007,ov_la_taverna_del_cinghiale_44.8658_11.4510,La Taverna del Cinghiale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/la_taverna_del_cinghiale_44.8658_11.4510.json,custom
44.907041,11.326106,ov_la_prospera_centro_equestre_44.9070_11.3261,La Prospera Centro Equestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/la_prospera_centro_equestre_44.9070_11.3261.json,custom
44.948302,11.285955,ov_asd_polisportiva_pilastri_44.9483_11.2860,ASD Polisportiva Pilastri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/asd_polisportiva_pilastri_44.9483_11.2860.json,custom
44.926351,11.345220,ov_mybody_studio_di_bonfatti_cinzia_44.9264_11.3452,MyBody Studio di Bonfatti Cinzia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/mybody_studio_di_bonfatti_cinzia_44.9264_11.3452.json,custom
44.927215,11.436667,ov_oasi_53_44.9272_11.4367,Oasi 53,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/oasi_53_44.9272_11.4367.json,custom
44.886994,11.419779,ov_le_palestre_44.8870_11.4198,Le Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/le_palestre_44.8870_11.4198.json,custom
44.886390,11.419620,ov_wild_eagles_dance_country_school_44.8864_11.4196,Wild Eagles Dance Country School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/wild_eagles_dance_country_school_44.8864_11.4196.json,custom
44.865716,11.451406,ov_bar_palacinghiale_44.8657_11.4514,Bar Palacinghiale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/bar_palacinghiale_44.8657_11.4514.json,custom
44.948156,11.422327,ov_stellata_amate_44.9482_11.4223,Stellata AmaTe,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/stellata_amate_44.9482_11.4223.json,custom
44.948172,11.422455,ov_museo_archeologico_di_stellata_44.9482_11.4225,Museo Archeologico di Stellata,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/museo_archeologico_di_stellata_44.9482_11.4225.json,custom
44.874016,11.437255,ov_casa_museo_archivio_carlo_tassi_44.8740_11.4373,Casa Museo Archivio Carlo Tassi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/casa_museo_archivio_carlo_tassi_44.8740_11.4373.json,custom
44.885466,11.414093,osm_bondeno_44.8855_11.4141,Bondeno,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/bondeno_44.8855_11.4141.json,custom
44.887370,11.412929,ov_biblioteca_comunale_di_bondeno_lorenza_m_44.8874_11.4129,Biblioteca Comunale di Bondeno Lorenza Meletti,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/biblioteca_comunale_di_bondeno_lorenza_m_44.8874_11.4129.json,custom
