# lat,lng,id,name,building_type,type,url,page_type
# Lumezzane -- Tutti
45.652051,10.251593,ov_istituto_maugeri_irccs_lumezzane_45.6521_10.2516,Istituto Maugeri IRCCS Lumezzane,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/istituto_maugeri_irccs_lumezzane_45.6521_10.2516.json,custom
45.655165,10.269601,ov_ristorante_cascina_costa_45.6552_10.2696,Ristorante Cascina Costa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_cascina_costa_45.6552_10.2696.json,custom
45.657647,10.230190,osm_trattoria_mario_e_maria_45.6576_10.2302,Trattoria Mario e Maria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/trattoria_mario_e_maria_45.6576_10.2302.json,custom
45.644645,10.286459,osm_ristorante_la_perla_del_monte_45.6446_10.2865,Ristorante La Perla del Monte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_la_perla_del_monte_45.6446_10.2865.json,custom
45.650190,10.250959,osm_ristorante_pizzeria_sampei_45.6502_10.2510,Ristorante Pizzeria Sampei,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_pizzeria_sampei_45.6502_10.2510.json,custom
45.655089,10.269130,osm_ristorante_cascina_costa_45.6551_10.2691,Ristorante Cascina Costa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_cascina_costa_45.6551_10.2691.json,custom
45.653277,10.286500,ov_il_caff__del_pompiere_45.6533_10.2865,Il Caffè del Pompiere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/il_caff_del_pompiere_45.6533_10.2865.json,custom
45.651790,10.280072,ov_bar_gran_caffe_45.6518_10.2801,Bar Gran Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/bar_gran_caffe_45.6518_10.2801.json,custom
45.651385,10.278956,ov_oratorio_di_lumezzane_s_appllonio_45.6514_10.2790,Oratorio Di Lumezzane S.appllonio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/oratorio_di_lumezzane_sappllonio_45.6514_10.2790.json,custom
45.651724,10.278329,ov_caffe_portegaia_45.6517_10.2783,Caffe Portegaia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/caffe_portegaia_45.6517_10.2783.json,custom
45.651130,10.276340,ov_pasticceria_dell_asino___lumezzane_45.6511_10.2763,Pasticceria dell'Asino - Lumezzane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/pasticceria_dellasino_-_lumezzane_45.6511_10.2763.json,custom
45.650028,10.278847,ov_bar_centrale_45.6500_10.2788,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/bar_centrale_45.6500_10.2788.json,custom
45.650030,10.278708,ov_ghidini_alessandra_45.6500_10.2787,Ghidini Alessandra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ghidini_alessandra_45.6500_10.2787.json,custom
45.649764,10.275278,ov_vezzola_45.6498_10.2753,Vezzola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/vezzola_45.6498_10.2753.json,custom
45.648659,10.273105,ov_locandina_caf__45.6487_10.2731,Locandina Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/locandina_caf_45.6487_10.2731.json,custom
45.648373,10.268841,ov_bar_piccolo_45.6484_10.2688,BAR Piccolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/bar_piccolo_45.6484_10.2688.json,custom
45.650281,10.250751,ov_pepita_cafe_45.6503_10.2508,Pepita Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/pepita_cafe_45.6503_10.2508.json,custom
45.650777,10.258741,ov_associazione_musicale_all_unisono_45.6508_10.2587,Associazione Musicale All'Unisono,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/associazione_musicale_allunisono_45.6508_10.2587.json,custom
45.650089,10.259962,ov_bar_sport_rossobl__45.6501_10.2600,Bar Sport RossoBlú,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/bar_sport_rossobl_45.6501_10.2600.json,custom
45.649851,10.265475,ov_caf_patronato_lumezzane_45.6499_10.2655,Caf Patronato Lumezzane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/caf_patronato_lumezzane_45.6499_10.2655.json,custom
45.649490,10.269090,ov_pasticceria_caffetteria_le_tentazioni_45.6495_10.2691,Pasticceria Caffetteria Le Tentazioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/pasticceria_caffetteria_le_tentazioni_45.6495_10.2691.json,custom
45.649935,10.274345,ov_fashion_cafe_45.6499_10.2743,Fashion Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/fashion_cafe_45.6499_10.2743.json,custom
45.651619,10.269759,ov_glamour_bar_45.6516_10.2698,Glamour Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/glamour_bar_45.6516_10.2698.json,custom
45.653290,10.252018,ov_elegant_cafe_lumezzane_45.6533_10.2520,Elegant Cafe Lumezzane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/elegant_cafe_lumezzane_45.6533_10.2520.json,custom
45.654569,10.237785,ov_bar_piscine_lumezzane_45.6546_10.2378,Bar piscine Lumezzane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/bar_piscine_lumezzane_45.6546_10.2378.json,custom
45.651020,10.239870,ov_civico95_45.6510_10.2399,Civico95,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/civico95_45.6510_10.2399.json,custom
45.651488,10.240454,ov_circolo_arci_45.6515_10.2405,Circolo Arci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/circolo_arci_45.6515_10.2405.json,custom
45.653211,10.228873,ov_befed_lumezzane_45.6532_10.2289,BEFED Lumezzane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/befed_lumezzane_45.6532_10.2289.json,custom
45.656831,10.235456,ov_v_m_18_45.6568_10.2355,V.M-18,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/vm-18_45.6568_10.2355.json,custom
45.654685,10.234890,ov_enoteca_gusto_e_sapori_srls_45.6547_10.2349,Enoteca gusto e sapori srls,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/enoteca_gusto_e_sapori_srls_45.6547_10.2349.json,custom
45.655957,10.244273,ov_portico_cafe_45.6560_10.2443,Portico Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/portico_cafe_45.6560_10.2443.json,custom
45.658620,10.239242,ov_caf_unsic_lumezzane_45.6586_10.2392,Caf Unsic Lumezzane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/caf_unsic_lumezzane_45.6586_10.2392.json,custom
45.658372,10.240990,ov_barcadia_45.6584_10.2410,Barcadia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/barcadia_45.6584_10.2410.json,custom
45.658242,10.242378,ov_bar_paquito_di_zani_michele_45.6582_10.2424,Bar Paquito di Zani Michele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/bar_paquito_di_zani_michele_45.6582_10.2424.json,custom
45.658056,10.241428,ov_dama_caf__45.6581_10.2414,Dama Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/dama_caf_45.6581_10.2414.json,custom
45.658941,10.241238,ov_bar_dal_menga_45.6589_10.2412,Bar Dal Menga,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/bar_dal_menga_45.6589_10.2412.json,custom
45.629045,10.256568,osm_fashion_chalet_45.6290_10.2566,Fashion Chalet,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/fashion_chalet_45.6290_10.2566.json,custom
45.658355,10.240701,osm_bar_dama_45.6584_10.2407,Bar Dama,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/bar_dama_45.6584_10.2407.json,custom
45.638289,10.268966,ov_palafiera_45.6383_10.2690,Palafiera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/palafiera_45.6383_10.2690.json,custom
45.648801,10.278433,ov_palestra_dynamic_45.6488_10.2784,Palestra Dynamic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/palestra_dynamic_45.6488_10.2784.json,custom
45.650350,10.262170,ov_lo_spazio_45.6504_10.2622,Lo Spazio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/lo_spazio_45.6504_10.2622.json,custom
45.654583,10.235065,ov_fc_lumezzane_45.6546_10.2351,FC Lumezzane,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/fc_lumezzane_45.6546_10.2351.json,custom
45.658118,10.240095,ov_dream_fitness_45.6581_10.2401,Dream Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/dream_fitness_45.6581_10.2401.json,custom
45.657981,10.241337,ov_a_s_d__kamala_45.6580_10.2413,A.S.D. Kamala,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/asd_kamala_45.6580_10.2413.json,custom
45.658005,10.240355,ov_centro_danza_lumezzane_45.6580_10.2404,Centro Danza Lumezzane,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/centro_danza_lumezzane_45.6580_10.2404.json,custom
45.650407,10.263422,ov_biblioteca_comunale_felice_saleri_45.6504_10.2634,Biblioteca Comunale Felice Saleri,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/biblioteca_comunale_felice_saleri_45.6504_10.2634.json,custom
45.645905,10.261621,osm_biblioteca_civica_felice_saleri_45.6459_10.2616,Biblioteca Civica Felice Saleri,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/biblioteca_civica_felice_saleri_45.6459_10.2616.json,custom
