# lat,lng,id,name,building_type,type,url,page_type
# Novi di Modena -- Tutti
44.844600,10.952970,ov_geriatria_44.8446_10.9530,Geriatria,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/geriatria_44.8446_10.9530.json,custom
44.841630,10.953380,ov_vesuvio2_0_rovereto_44.8416_10.9534,Vesuvio2.0 rovereto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/vesuvio20_rovereto_44.8416_10.9534.json,custom
44.842006,10.955841,ov_il_giglio___rovereto_s_s__44.8420_10.9558,Il Giglio - Rovereto S.S.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/il_giglio_-_rovereto_ss_44.8420_10.9558.json,custom
44.840153,10.955045,ov_gusto_autentica_pizzeria_44.8402_10.9550,Gusto Autentica Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/gusto_autentica_pizzeria_44.8402_10.9550.json,custom
44.834715,10.928965,ov_laghi_paradiso_44.8347_10.9290,Laghi Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/laghi_paradiso_44.8347_10.9290.json,custom
44.838450,10.950467,ov_pizzeria_la_diamo_calda_2_44.8385_10.9505,Pizzeria La Diamo Calda 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/pizzeria_la_diamo_calda_2_44.8385_10.9505.json,custom
44.822188,10.947061,ov_valle_dell_eden_44.8222_10.9471,Valle Dell'Eden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/valle_delleden_44.8222_10.9471.json,custom
44.822186,10.947221,ov_ristorante_don_giovanni_44.8222_10.9472,Ristorante Don Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/ristorante_don_giovanni_44.8222_10.9472.json,custom
44.821947,10.957613,ov_la_lambruschina_44.8219_10.9576,La Lambruschina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/la_lambruschina_44.8219_10.9576.json,custom
44.861408,10.932941,osm_vivre_planet_risto_bar_44.8614_10.9329,Vivre Planet Risto/Bar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/vivre_planet_ristobar_44.8614_10.9329.json,custom
44.891530,10.899528,ov_bar_gelateria_commercio_44.8915_10.8995,Bar Gelateria Commercio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/bar_gelateria_commercio_44.8915_10.8995.json,custom
44.891571,10.901025,ov_la_bottiglieria___trafficanti_di_vini_44.8916_10.9010,La Bottiglieria - Trafficanti di Vini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/la_bottiglieria_-_trafficanti_di_vini_44.8916_10.9010.json,custom
44.893080,10.901903,ov_costa_rita_tabaccheria_n_2_44.8931_10.9019,Costa Rita Tabaccheria N.2,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/costa_rita_tabaccheria_n2_44.8931_10.9019.json,custom
44.892918,10.900808,ov_pub_la_banca_44.8929_10.9008,Pub La Banca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/pub_la_banca_44.8929_10.9008.json,custom
44.892050,10.898020,ov_bar_angel_44.8920_10.8980,Bar Angel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/bar_angel_44.8920_10.8980.json,custom
44.894379,10.901697,ov_altrove_caf__44.8944_10.9017,Altrove cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/altrove_caf_44.8944_10.9017.json,custom
44.879490,10.894070,ov_lady_bar_44.8795_10.8941,LADY BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/lady_bar_44.8795_10.8941.json,custom
44.861313,10.932640,ov_lago_corallo_44.8613_10.9326,Lago Corallo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/lago_corallo_44.8613_10.9326.json,custom
44.864960,10.950263,ov_stonehenge_pub_44.8650_10.9503,Stonehenge Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/stonehenge_pub_44.8650_10.9503.json,custom
44.841648,10.955956,ov_cafe_noir_44.8416_10.9560,Cafe Noir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/cafe_noir_44.8416_10.9560.json,custom
44.823174,10.946335,ov_bar_l_angolo_44.8232_10.9463,Bar L'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/bar_langolo_44.8232_10.9463.json,custom
44.824370,10.950550,ov_wine_bar_eden_44.8244_10.9505,Wine bar eden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/wine_bar_eden_44.8244_10.9505.json,custom
44.891898,10.903644,ov_palestra_comunale_novi_di_modena_44.8919_10.9036,Palestra Comunale Novi Di Modena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/palestra_comunale_novi_di_modena_44.8919_10.9036.json,custom
44.893095,10.900212,ov_space_dance_fitness_44.8931_10.9002,Space Dance Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/space_dance_fitness_44.8931_10.9002.json,custom
44.888476,10.898825,ov_passione_fitness___novi_di_modena_44.8885_10.8988,Passione Fitness • Novi di Modena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/passione_fitness_novi_di_modena_44.8885_10.8988.json,custom
44.902121,10.943616,ov_cavo_lama_centrale_44.9021_10.9436,Cavo Lama Centrale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/cavo_lama_centrale_44.9021_10.9436.json,custom
44.863696,10.949410,ov_bocciofila_la_torre_44.8637_10.9494,Bocciofila La Torre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/bocciofila_la_torre_44.8637_10.9494.json,custom
44.841771,10.949219,ov_centro_sportivo_rovereto_sul_secchia_44.8418_10.9492,Centro Sportivo Rovereto sul Secchia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/centro_sportivo_rovereto_sul_secchia_44.8418_10.9492.json,custom
44.892612,10.903351,osm_biblioteca_comunale_vittorio_lugli_44.8926_10.9034,Biblioteca comunale Vittorio Lugli,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/biblioteca_comunale_vittorio_lugli_44.8926_10.9034.json,custom
