# lat,lng,id,name,building_type,type,url,page_type
# Noventa Padovana -- Tutti
45.420612,11.947937,ov_ospedale_rovigo_45.4206_11.9479,Ospedale Rovigo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/ospedale_rovigo_45.4206_11.9479.json,custom
45.410472,11.985649,ov_il_giardino_di_mim____homerestaurant_45.4105_11.9856,Il Giardino di Mimì - HomeRestaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/il_giardino_di_mim_-_homerestaurant_45.4105_11.9856.json,custom
45.410810,11.988861,ov_japan_house_45.4108_11.9889,Japan House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/japan_house_45.4108_11.9889.json,custom
45.410810,11.988861,ov_japanhouse_noventapadovana_45.4108_11.9889,Japanhouse.noventapadovana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/japanhousenoventapadovana_45.4108_11.9889.json,custom
45.411753,12.002846,ov_mirale_di_veshi_ermira_45.4118_12.0028,Mirale Di Veshi Ermira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/mirale_di_veshi_ermira_45.4118_12.0028.json,custom
45.413833,11.957533,ov_pepe_nero_ristorante_e_locanda_45.4138_11.9575,Pepe Nero Ristorante e Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/pepe_nero_ristorante_e_locanda_45.4138_11.9575.json,custom
45.414545,11.995783,ov_niente_di_buono_45.4145_11.9958,Niente di Buono,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/niente_di_buono_45.4145_11.9958.json,custom
45.414451,11.951023,ov_osteria_nonna_pina_45.4145_11.9510,Osteria Nonna Pina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/osteria_nonna_pina_45.4145_11.9510.json,custom
45.414473,11.946003,ov_melograno_45.4145_11.9460,Melograno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/melograno_45.4145_11.9460.json,custom
45.418778,11.950181,ov_pizzalonga_away_noventa_padovana_45.4188_11.9502,Pizzalonga Away Noventa Padovana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/pizzalonga_away_noventa_padovana_45.4188_11.9502.json,custom
45.420288,11.946830,ov_180_grammi_45.4203_11.9468,180 Grammi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/180_grammi_45.4203_11.9468.json,custom
45.420417,11.944775,ov_al_tizzone_ardente_45.4204_11.9448,Al Tizzone Ardente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/al_tizzone_ardente_45.4204_11.9448.json,custom
45.421654,11.944836,ov_pi__trentanove_45.4217_11.9448,Più Trentanove,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/pi_trentanove_45.4217_11.9448.json,custom
45.422920,11.945787,ov_boccadoro_45.4229_11.9458,Boccadoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/boccadoro_45.4229_11.9458.json,custom
45.412117,11.949855,osm_opificio_45.4121_11.9499,Opificio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/opificio_45.4121_11.9499.json,custom
45.415025,11.946208,osm_pizza_house_45.4150_11.9462,Pizza House,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/pizza_house_45.4150_11.9462.json,custom
45.404679,11.937494,ov_blu_bistrot_45.4047_11.9375,Blu Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/blu_bistrot_45.4047_11.9375.json,custom
45.412639,11.948486,ov_library_caf__45.4126_11.9485,Library Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/library_caf_45.4126_11.9485.json,custom
45.412120,11.949735,ov_100trent_1_45.4121_11.9497,100Trent'1,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/100trent1_45.4121_11.9497.json,custom
45.412259,11.947992,ov_nachtcafe__disco_bar_45.4123_11.9480,NACHTCAFE' Disco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/nachtcafe_disco_bar_45.4123_11.9480.json,custom
45.411905,11.937533,ov_bar_industria_45.4119_11.9375,Bar Industria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/bar_industria_45.4119_11.9375.json,custom
45.410779,11.949237,ov_salus_caff__45.4108_11.9492,Salus Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/salus_caff_45.4108_11.9492.json,custom
45.410606,11.980822,ov_kaffelizia_45.4106_11.9808,Kaffelizia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/kaffelizia_45.4106_11.9808.json,custom
45.411872,12.003385,ov_imperial_club_45.4119_12.0034,Imperial Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/imperial_club_45.4119_12.0034.json,custom
45.415218,11.952108,ov_el_bacareto_45.4152_11.9521,El Bacareto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/el_bacareto_45.4152_11.9521.json,custom
45.414270,11.945897,ov_powy_45.4143_11.9459,Powy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/powy_45.4143_11.9459.json,custom
45.418802,11.948640,ov_il_bianco_e_il_nero_45.4188_11.9486,Il Bianco e il Nero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/il_bianco_e_il_nero_45.4188_11.9486.json,custom
45.420525,11.944419,ov_inchiostro_bar_45.4205_11.9444,InChiostro Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/inchiostro_bar_45.4205_11.9444.json,custom
45.410799,11.949926,osm_dolce_gelato_45.4108_11.9499,Dolce Gelato,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/dolce_gelato_45.4108_11.9499.json,custom
45.412277,11.947686,osm_nacht_bar_45.4123_11.9477,Nacht bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/nacht_bar_45.4123_11.9477.json,custom
45.418833,11.948820,osm_room_49_drink___food_45.4188_11.9488,Room 49 Drink & Food,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/room_49_drink_food_45.4188_11.9488.json,custom
45.410882,11.949258,osm_mordi_e_fuggi_45.4109_11.9493,Mordi e Fuggi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/mordi_e_fuggi_45.4109_11.9493.json,custom
45.413905,11.950813,osm_grazia_45.4139_11.9508,Grazia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/grazia_45.4139_11.9508.json,custom
45.408715,11.934404,osm_la_nuvola_blu_45.4087_11.9344,La Nuvola Blu,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/la_nuvola_blu_45.4087_11.9344.json,custom
45.410449,11.988179,osm_hashtag222_45.4104_11.9882,HASHTAG222,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/hashtag222_45.4104_11.9882.json,custom
45.412367,11.943335,ov_new_wellness_noventa_asd_45.4124_11.9433,New Wellness Noventa Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/new_wellness_noventa_asd_45.4124_11.9433.json,custom
45.411391,11.950935,ov_campo_sportivo_noventa_calcio_45.4114_11.9509,Campo Sportivo Noventa Calcio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/campo_sportivo_noventa_calcio_45.4114_11.9509.json,custom
45.410358,11.941765,ov_i_frogs_noventa_asd_45.4104_11.9418,I Frogs Noventa ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/i_frogs_noventa_asd_45.4104_11.9418.json,custom
45.409210,12.000290,ov_evolution_plus___palestra_45.4092_12.0003,Evolution Plus - Palestra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/evolution_plus_-_palestra_45.4092_12.0003.json,custom
45.411815,11.992277,ov_palestra_plusfit_noventana_45.4118_11.9923,Palestra PLUSFIT Noventana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/palestra_plusfit_noventana_45.4118_11.9923.json,custom
45.412080,11.992279,ov_sportville_srl_45.4121_11.9923,Sportville SRL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/sportville_srl_45.4121_11.9923.json,custom
45.414080,11.994897,ov_palestra_agora_45.4141_11.9949,Palestra Agora,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/palestra_agora_45.4141_11.9949.json,custom
45.416280,11.940820,ov_rdm_company_45.4163_11.9408,RDM Company,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/rdm_company_45.4163_11.9408.json,custom
45.416250,11.940695,ov_accademia_ballet_studio_asd_45.4163_11.9407,Accademia Ballet Studio Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/accademia_ballet_studio_asd_45.4163_11.9407.json,custom
45.415809,11.951548,ov_palestra_massimo_mazzetto_45.4158_11.9515,Palestra Massimo Mazzetto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/palestra_massimo_mazzetto_45.4158_11.9515.json,custom
45.420674,11.944746,ov_palestra_rock_gym_padova_45.4207_11.9447,Palestra Rock Gym Padova,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/palestra_rock_gym_padova_45.4207_11.9447.json,custom
45.412469,11.942872,osm_new_wellness_45.4125_11.9429,New Wellness,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/new_wellness_45.4125_11.9429.json,custom
45.415313,11.951766,ov_biblioteca_comunale_45.4153_11.9518,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_padovana/pages/biblioteca_comunale_45.4153_11.9518.json,custom
