# lat,lng,id,name,building_type,type,url,page_type
# Loreto -- Tutti
43.436148,13.606579,ov_ospedale_di_comunit__loreto_43.4361_13.6066,Ospedale di comunità Loreto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ospedale_di_comunit_loreto_43.4361_13.6066.json,custom
43.439954,13.606884,ov_piadineria_artigianale_magritte_43.4400_13.6069,Piadineria Artigianale Magritte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/piadineria_artigianale_magritte_43.4400_13.6069.json,custom
43.441122,13.607227,ov_ristorante_pizzeria_euthymia_43.4411_13.6072,Ristorante Pizzeria Euthymia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_pizzeria_euthymia_43.4411_13.6072.json,custom
43.440635,13.607540,ov_v__n_hoa_h_nh_m__i___c_u_th__ng_th_ng_43.4406_13.6075,Vườn Hoa Hạnh Mười - Cầu Thường Thắng,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/vn_hoa_hnh_mi_-_cu_thng_thng_43.4406_13.6075.json,custom
43.440909,13.608510,ov_trattoria_norma_43.4409_13.6085,Trattoria Norma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/trattoria_norma_43.4409_13.6085.json,custom
43.440733,13.608796,ov_ristorante_pizzeria_re_ghiottone_43.4407_13.6088,Ristorante Pizzeria Re Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_pizzeria_re_ghiottone_43.4407_13.6088.json,custom
43.440679,13.609527,ov_osteria_lauretana_43.4407_13.6095,Osteria Lauretana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/osteria_lauretana_43.4407_13.6095.json,custom
43.439924,13.609238,ov_trattoria_4_archi_43.4399_13.6092,Trattoria 4 Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/trattoria_4_archi_43.4399_13.6092.json,custom
43.440493,13.608560,ov_ristorante_pizzeria_degli_angeli_43.4405_13.6086,Ristorante Pizzeria Degli Angeli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_pizzeria_degli_angeli_43.4405_13.6086.json,custom
43.440530,13.608408,ov_d__fusion___pizzeria_rosticceria_43.4405_13.6084,D. Fusion - Pizzeria Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/d_fusion_-_pizzeria_rosticceria_43.4405_13.6084.json,custom
43.438196,13.607948,ov_pizzeria_bar_fiore_di_pizza_43.4382_13.6079,Pizzeria Bar Fiore di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pizzeria_bar_fiore_di_pizza_43.4382_13.6079.json,custom
43.437935,13.613072,ov_pizzeria_da_roberto_43.4379_13.6131,Pizzeria da Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pizzeria_da_roberto_43.4379_13.6131.json,custom
43.441207,13.612255,ov_crema___cioccolato_loreto_43.4412_13.6123,Crema & Cioccolato Loreto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/crema_cioccolato_loreto_43.4412_13.6123.json,custom
43.435396,13.615680,ov_ristorante_pizzeria_in_piscina_43.4354_13.6157,Ristorante Pizzeria in Piscina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_pizzeria_in_piscina_43.4354_13.6157.json,custom
43.435184,13.614843,ov_chalet_mauro_43.4352_13.6148,Chalet Mauro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/chalet_mauro_43.4352_13.6148.json,custom
43.436737,13.617723,ov_fior_di_grano_43.4367_13.6177,Fior Di Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/fior_di_grano_43.4367_13.6177.json,custom
43.440370,13.620756,ov_ristorante_andreina_43.4404_13.6208,Ristorante Andreina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_andreina_43.4404_13.6208.json,custom
43.444142,13.618259,ov_la_lanterna_43.4441_13.6183,la lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/la_lanterna_43.4441_13.6183.json,custom
43.444426,13.617963,ov_ristorante_jovia_loreto_43.4444_13.6180,Ristorante Jovia Loreto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_jovia_loreto_43.4444_13.6180.json,custom
43.446720,13.617577,ov_pasticceria_picchio_43.4467_13.6176,Pasticceria Picchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pasticceria_picchio_43.4467_13.6176.json,custom
43.448110,13.619341,ov_barabani_pasta_e_rag__43.4481_13.6193,Barabani Pasta e Ragù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/barabani_pasta_e_rag_43.4481_13.6193.json,custom
43.447722,13.620702,ov_ristorante_mare_e_monti_43.4477_13.6207,Ristorante Mare E Monti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_mare_e_monti_43.4477_13.6207.json,custom
43.447558,13.619536,ov_casa_bruscoli_43.4476_13.6195,Casa Bruscoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/casa_bruscoli_43.4476_13.6195.json,custom
43.448146,13.620002,ov_bar_buffet_43.4481_13.6200,Bar Buffet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/bar_buffet_43.4481_13.6200.json,custom
43.447520,13.604540,ov_casa_bruscoli_43.4475_13.6045,Casa Bruscoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/casa_bruscoli_43.4475_13.6045.json,custom
43.447203,13.605874,ov_da_alvaro_43.4472_13.6059,Da Alvaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/da_alvaro_43.4472_13.6059.json,custom
43.447280,13.606702,ov_ristorante_vecchia_fattoria_43.4473_13.6067,Ristorante Vecchia Fattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_vecchia_fattoria_43.4473_13.6067.json,custom
43.444550,13.599240,ov_qualit____amore_43.4445_13.5992,Qualità è Amore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/qualit_amore_43.4445_13.5992.json,custom
43.443902,13.599251,ov_maison_des_delices_43.4439_13.5993,Maison des Delices,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/maison_des_delices_43.4439_13.5993.json,custom
43.444035,13.599393,ov_mexico_de_mi_corazon_43.4440_13.5994,Mexico De Mi Corazon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/mexico_de_mi_corazon_43.4440_13.5994.json,custom
43.444794,13.600369,ov_rosticceria_da_ivano_43.4448_13.6004,Rosticceria da Ivano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/rosticceria_da_ivano_43.4448_13.6004.json,custom
43.443759,13.601398,ov_c_e__pizza_per_te_43.4438_13.6014,C'E' Pizza Per Te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ce_pizza_per_te_43.4438_13.6014.json,custom
43.447234,13.605784,osm_ristorante_da_alvaro_43.4472_13.6058,Ristorante da Alvaro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_da_alvaro_43.4472_13.6058.json,custom
43.440334,13.620769,osm_ristorante_da_andreina_43.4403_13.6208,Ristorante da Andreina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_da_andreina_43.4403_13.6208.json,custom
43.442828,13.634188,osm_z__nene_43.4428_13.6342,Zì Nene,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/z_nene_43.4428_13.6342.json,custom
43.435942,13.657639,osm_trattoria_z_43.4359_13.6576,Trattoria Z,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/trattoria_z_43.4359_13.6576.json,custom
43.438228,13.608048,osm_fiore_di_pizza_43.4382_13.6080,Fiore di Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/fiore_di_pizza_43.4382_13.6080.json,custom
43.438341,13.614607,osm_pizzeria_europa_43.4383_13.6146,Pizzeria Europa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pizzeria_europa_43.4383_13.6146.json,custom
43.429586,13.609432,osm_la_collina_hotel_ristorante_43.4296_13.6094,La Collina Hotel Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/la_collina_hotel_ristorante_43.4296_13.6094.json,custom
43.447708,13.620123,osm_la_bettola_dello_stregatto_43.4477_13.6201,La Bettola dello Stregatto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/la_bettola_dello_stregatto_43.4477_13.6201.json,custom
43.447547,13.619498,osm_casa_bruscoli_43.4475_13.6195,Casa Bruscoli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/casa_bruscoli_43.4475_13.6195.json,custom
43.438504,13.606334,osm_cantina_del_moro_43.4385_13.6063,Cantina del Moro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/cantina_del_moro_43.4385_13.6063.json,custom
43.440694,13.608795,osm_re_ghiottone_43.4407_13.6088,Re Ghiottone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/re_ghiottone_43.4407_13.6088.json,custom
43.433936,13.658598,ov_birreria_delle_grotte_43.4339_13.6586,Birreria delle grotte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/birreria_delle_grotte_43.4339_13.6586.json,custom
43.435981,13.654409,ov_bar_senza_numero_civico_43.4360_13.6544,BAR Senza Numero Civico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/bar_senza_numero_civico_43.4360_13.6544.json,custom
43.436566,13.605370,ov_bar_tabacchi_edicola_manzotti_giovanni_43.4366_13.6054,Bar Tabacchi Edicola Manzotti Giovanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/bar_tabacchi_edicola_manzotti_giovanni_43.4366_13.6054.json,custom
43.438094,13.605627,ov_pretty_bar_43.4381_13.6056,Pretty Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pretty_bar_43.4381_13.6056.json,custom
43.439243,13.606441,ov_bar_miccio_by_noemi_43.4392_13.6064,Bar Miccio by Noemi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/bar_miccio_by_noemi_43.4392_13.6064.json,custom
43.440729,13.609152,ov_caffe_salerni_43.4407_13.6092,Caffe Salerni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/caffe_salerni_43.4407_13.6092.json,custom
43.439827,13.607250,ov_bar___bistrot_km_325_43.4398_13.6073,Bar • Bistrot Km 325,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/bar_bistrot_km_325_43.4398_13.6073.json,custom
43.439827,13.607248,ov_bar_giardino_loreto_43.4398_13.6072,Bar Giardino Loreto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/bar_giardino_loreto_43.4398_13.6072.json,custom
43.439858,13.607454,ov_caff__centrale_43.4399_13.6075,Caffè Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/caff_centrale_43.4399_13.6075.json,custom
43.439861,13.607503,ov_piccolo_bistrot_43.4399_13.6075,Piccolo Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/piccolo_bistrot_43.4399_13.6075.json,custom
43.441542,13.611530,ov_bar_giardino_43.4415_13.6115,Bar Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/bar_giardino_43.4415_13.6115.json,custom
43.438360,13.614643,ov_pizzeria_rosticceria_bar_europa_43.4384_13.6146,Pizzeria Rosticceria Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pizzeria_rosticceria_bar_europa_43.4384_13.6146.json,custom
43.440513,13.626817,ov_voglia_di_43.4405_13.6268,Voglia Di,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/voglia_di_43.4405_13.6268.json,custom
43.437698,13.617805,ov_le_delizie_di_grazia_43.4377_13.6178,Le Delizie Di Grazia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/le_delizie_di_grazia_43.4377_13.6178.json,custom
43.446747,13.608557,ov_vecchia_fattoria_43.4467_13.6086,Vecchia Fattoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/vecchia_fattoria_43.4467_13.6086.json,custom
43.444188,13.600119,ov_bar_tabaccheria__punto_4_43.4442_13.6001,Bar Tabaccheria  PUNTO 4,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/bar_tabaccheria_punto_4_43.4442_13.6001.json,custom
43.444140,13.600259,ov_punto_srl_43.4441_13.6003,Punto SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/punto_srl_43.4441_13.6003.json,custom
43.443360,13.599705,ov_reset_bar_43.4434_13.5997,Reset bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/reset_bar_43.4434_13.5997.json,custom
43.443391,13.598827,ov_l_amaretto_43.4434_13.5988,L'Amaretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/lamaretto_43.4434_13.5988.json,custom
43.433929,13.658567,osm_birreria_grotte_43.4339_13.6586,Birreria Grotte,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/birreria_grotte_43.4339_13.6586.json,custom
43.435936,13.657094,osm_g_planet_43.4359_13.6571,G Planet,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/g_planet_43.4359_13.6571.json,custom
43.435295,13.609169,osm_la_locanda_del_viale_43.4353_13.6092,La Locanda del Viale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/la_locanda_del_viale_43.4353_13.6092.json,custom
43.491601,13.570129,ov_tiro_a_volo_castelfidardo_43.4916_13.5701,Tiro a Volo Castelfidardo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/tiro_a_volo_castelfidardo_43.4916_13.5701.json,custom
43.438920,13.641030,ov_doublefit_43.4389_13.6410,DoubleFit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/doublefit_43.4389_13.6410.json,custom
43.438951,13.641351,ov_pi__blu_fitness_43.4390_13.6414,Più Blu Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pi_blu_fitness_43.4390_13.6414.json,custom
43.438630,13.641910,ov_walking_program_43.4386_13.6419,Walking Program,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/walking_program_43.4386_13.6419.json,custom
43.424399,13.611710,ov_acli_costabianca_43.4244_13.6117,ACLI Costabianca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/acli_costabianca_43.4244_13.6117.json,custom
43.433967,13.612745,ov_asd_boxing_accademy_loreto_43.4340_13.6127,ASD Boxing Accademy Loreto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/asd_boxing_accademy_loreto_43.4340_13.6127.json,custom
43.439315,13.624160,ov_fit_losophy_43.4393_13.6242,Fit-losophy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/fit-losophy_43.4393_13.6242.json,custom
43.441960,13.622900,ov_circolo_acli_villa_costantina_43.4420_13.6229,Circolo Acli Villa Costantina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/circolo_acli_villa_costantina_43.4420_13.6229.json,custom
43.445050,13.617370,ov_united_loreto_43.4451_13.6174,United Loreto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/united_loreto_43.4451_13.6174.json,custom
43.448029,13.619939,ov_ar_bike_studio_43.4480_13.6199,AR Bike Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ar_bike_studio_43.4480_13.6199.json,custom
43.449228,13.616303,ov_hobby_dance_43.4492_13.6163,Hobby Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/hobby_dance_43.4492_13.6163.json,custom
43.443392,13.598380,ov_scuola_espressione_arte_danza_43.4434_13.5984,Scuola Espressione Arte Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/scuola_espressione_arte_danza_43.4434_13.5984.json,custom
43.438914,13.641433,osm_pi__blu_43.4389_13.6414,Più Blu,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pi_blu_43.4389_13.6414.json,custom
43.441231,13.609047,ov_museo_pontificio_santa_casa_43.4412_13.6090,Museo Pontificio Santa Casa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/museo_pontificio_santa_casa_43.4412_13.6090.json,custom
43.441056,13.609413,ov_piazza_della_madonna_43.4411_13.6094,Piazza della Madonna,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/piazza_della_madonna_43.4411_13.6094.json,custom
43.440391,13.607640,ov_museo_storico_aeronautico_43.4404_13.6076,Museo Storico Aeronautico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/museo_storico_aeronautico_43.4404_13.6076.json,custom
43.446731,13.619236,osm_loreto_stazione_43.4467_13.6192,Loreto Stazione,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/loreto_stazione_43.4467_13.6192.json,custom
43.438710,13.606240,ov_biblioteca_brugiamolini_loreto_43.4387_13.6062,Biblioteca Brugiamolini Loreto,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/biblioteca_brugiamolini_loreto_43.4387_13.6062.json,custom
43.441379,13.610200,ov_archivio_storico_della_santa_casa_di_lor_43.4414_13.6102,Archivio Storico della Santa Casa di Loreto Palazzo Apostoli,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/archivio_storico_della_santa_casa_di_lor_43.4414_13.6102.json,custom
