# lat,lng,id,name,building_type,type,url,page_type
# Racconigi -- Tutti
44.766534,7.678355,osm_poliambulatorio_e_ospedale_civile_44.7665_7.6784,Poliambulatorio e Ospedale civile,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/poliambulatorio_e_ospedale_civile_44.7665_7.6784.json,custom
44.792050,7.650300,ov_la_serra___tenuta_berroni_44.7921_7.6503,La serra - Tenuta Berroni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/la_serra_-_tenuta_berroni_44.7921_7.6503.json,custom
44.791307,7.649579,ov_l_arancera_ristorante_44.7913_7.6496,L'Arancera Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/larancera_ristorante_44.7913_7.6496.json,custom
44.761660,7.910412,ov_trattoria_su_nuraghe_44.7617_7.9104,Trattoria su Nuraghe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/trattoria_su_nuraghe_44.7617_7.9104.json,custom
44.767837,7.675173,osm_el_quartin_44.7678_7.6752,El Quartin,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/el_quartin_44.7678_7.6752.json,custom
44.766662,7.675505,osm_ristorante_da_mos__44.7667_7.6755,Ristorante Da Mosè,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/ristorante_da_mos_44.7667_7.6755.json,custom
44.768694,7.676939,osm_morosini_7_44.7687_7.6769,Morosini 7,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/morosini_7_44.7687_7.6769.json,custom
44.769920,7.678857,osm_pizzeria_il_faraone_44.7699_7.6789,Pizzeria Il Faraone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/pizzeria_il_faraone_44.7699_7.6789.json,custom
44.761559,7.677291,ov_bar_margy_44.7616_7.6773,Bar Margy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/bar_margy_44.7616_7.6773.json,custom
44.770488,7.679951,ov_birrificio_racconigi_madness_point_44.7705_7.6800,Birrificio Racconigi Madness Point,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/birrificio_racconigi_madness_point_44.7705_7.6800.json,custom
44.768485,7.678748,ov_dream_bar_44.7685_7.6787,Dream Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/dream_bar_44.7685_7.6787.json,custom
44.768290,7.674956,ov_plaza_cafe_44.7683_7.6750,Plaza Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/plaza_cafe_44.7683_7.6750.json,custom
44.768124,7.675026,ov_la_belle_epoque_racconigi_44.7681_7.6750,La Belle Epoque Racconigi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/la_belle_epoque_racconigi_44.7681_7.6750.json,custom
44.768159,7.676123,ov_caffe_carlo_alberto_44.7682_7.6761,Caffe Carlo Alberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/caffe_carlo_alberto_44.7682_7.6761.json,custom
44.767973,7.676380,ov_caffetteria_enoteca_scudiero_44.7680_7.6764,Caffetteria Enoteca Scudiero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/caffetteria_enoteca_scudiero_44.7680_7.6764.json,custom
44.768174,7.677088,ov_bar_centrale_chillout_caf__44.7682_7.6771,Bar Centrale chillout café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/bar_centrale_chillout_caf_44.7682_7.6771.json,custom
44.767495,7.677385,ov_new_bar_44.7675_7.6774,New Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/new_bar_44.7675_7.6774.json,custom
44.766303,7.677457,ov_caffetteria_pizzeria_via_vai_44.7663_7.6775,Caffetteria Pizzeria Via Vai,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/caffetteria_pizzeria_via_vai_44.7663_7.6775.json,custom
44.766889,7.680344,ov_la_caffetteria_da_enzo_44.7669_7.6803,La caffetteria da enzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/la_caffetteria_da_enzo_44.7669_7.6803.json,custom
44.771237,7.682633,ov_la_ciaburna_2_0_44.7712_7.6826,La Ciaburna 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/la_ciaburna_20_44.7712_7.6826.json,custom
44.768250,7.674920,osm_plaza_caf__44.7682_7.6749,Plaza Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/plaza_caf_44.7682_7.6749.json,custom
44.770275,7.680653,osm_coffee_break_44.7703_7.6807,Coffee Break,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/coffee_break_44.7703_7.6807.json,custom
44.767502,7.677343,osm_new_bar_44.7675_7.6773,NEW BAR,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/new_bar_44.7675_7.6773.json,custom
44.768527,7.678743,osm_dream_bar_44.7685_7.6787,Dream Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/dream_bar_44.7685_7.6787.json,custom
44.760790,7.693030,ov_tav_racconigi_44.7608_7.6930,Tav Racconigi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/tav_racconigi_44.7608_7.6930.json,custom
44.761748,7.676908,ov_tania_dance_44.7617_7.6769,Tania Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/tania_dance_44.7617_7.6769.json,custom
44.769347,7.679786,ov_e_fit_racconigi_44.7693_7.6798,E-Fit Racconigi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/e-fit_racconigi_44.7693_7.6798.json,custom
44.768282,7.677175,ov_studio_yoga_racconigi___ashtanga_yoga_ra_44.7683_7.6772,Studio Yoga Racconigi - Ashtanga Yoga Racconigi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/studio_yoga_racconigi_-_ashtanga_yoga_ra_44.7683_7.6772.json,custom
44.765374,7.672848,ov_rembukan_karate_racconigi_44.7654_7.6728,Rembukan Karate Racconigi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/rembukan_karate_racconigi_44.7654_7.6728.json,custom
44.770198,7.680980,ov_palestra_gold_s_gym_44.7702_7.6810,Palestra Gold's Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/palestra_golds_gym_44.7702_7.6810.json,custom
44.768226,7.678928,ov_museo_della_seta_racconigi_44.7682_7.6789,Museo Della Seta Racconigi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/museo_della_seta_racconigi_44.7682_7.6789.json,custom
44.768804,7.677074,ov_castello_di_racconigi_44.7688_7.6771,Castello di Racconigi,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/castello_di_racconigi_44.7688_7.6771.json,custom
44.768422,7.677196,ov_pinacoteca_civica_levis_sismonda_44.7684_7.6772,Pinacoteca Civica Levis Sismonda,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/pinacoteca_civica_levis_sismonda_44.7684_7.6772.json,custom
44.768352,7.673531,osm_poste_italiane_44.7684_7.6735,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/poste_italiane_44.7684_7.6735.json,custom
44.767891,7.678759,ov_le_clarisse___racconigi_44.7679_7.6788,Le Clarisse · Racconigi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/le_clarisse_racconigi_44.7679_7.6788.json,custom
