# lat,lng,id,name,building_type,type,url,page_type
# Castelfranco di Sotto -- Tutti
43.698771,10.746024,ov_studi_medici_misericordia_castelfranco_d_43.6988_10.7460,Studi Medici Misericordia Castelfranco di Sotto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/studi_medici_misericordia_castelfranco_d_43.6988_10.7460.json,custom
43.779010,10.663314,ov_pizzeria_50_special_43.7790_10.6633,Pizzeria 50 Special,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/pizzeria_50_special_43.7790_10.6633.json,custom
43.779180,10.660640,ov_da_benito_43.7792_10.6606,Da Benito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/da_benito_43.7792_10.6606.json,custom
43.788975,10.688238,ov_kapuziner_bierst_ble_43.7890_10.6882,Kapuziner Bierstüble,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/kapuziner_bierstble_43.7890_10.6882.json,custom
43.792510,10.687410,ov_da_carlo_e_anca_43.7925_10.6874,Da Carlo e Anca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/da_carlo_e_anca_43.7925_10.6874.json,custom
43.793798,10.694372,ov_il_papiro_ristorante__pizzeria__braceria_43.7938_10.6944,Il Papiro Ristorante- Pizzeria- Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/il_papiro_ristorante-_pizzeria-_braceria_43.7938_10.6944.json,custom
43.757626,10.724572,ov_valle_azzurra_43.7576_10.7246,Valle Azzurra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/valle_azzurra_43.7576_10.7246.json,custom
43.713289,10.737439,ov_ristorante_mamma_maria_43.7133_10.7374,Ristorante Mamma Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/ristorante_mamma_maria_43.7133_10.7374.json,custom
43.697057,10.744010,ov_bar_italia_43.6971_10.7440,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/bar_italia_43.6971_10.7440.json,custom
43.697032,10.743937,ov_bar_caffetteria_princess_43.6970_10.7439,Bar Caffetteria Princess,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/bar_caffetteria_princess_43.6970_10.7439.json,custom
43.695548,10.748786,ov_monnalisa_pub_43.6955_10.7488,Monnalisa Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/monnalisa_pub_43.6955_10.7488.json,custom
43.700489,10.742150,ov_bar_sport_43.7005_10.7422,Bar sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/bar_sport_43.7005_10.7422.json,custom
43.699070,10.740600,ov_pasticceria_andreoni_43.6991_10.7406,Pasticceria Andreoni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/pasticceria_andreoni_43.6991_10.7406.json,custom
43.699240,10.741880,ov_arci_castelfranco_di_sotto__bar_43.6992_10.7419,Arci Castelfranco di Sotto -Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/arci_castelfranco_di_sotto_-bar_43.6992_10.7419.json,custom
43.699267,10.745270,ov_bar_gini_43.6993_10.7453,Bar Gini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/bar_gini_43.6993_10.7453.json,custom
43.699185,10.743942,ov_bar_ciurli_43.6992_10.7439,Bar Ciurli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/bar_ciurli_43.6992_10.7439.json,custom
43.700663,10.747134,ov_caf__art_43.7007_10.7471,Café Art,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/caf_art_43.7007_10.7471.json,custom
43.702034,10.759620,ov_ngh__bar_43.7020_10.7596,Ngh. Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/ngh_bar_43.7020_10.7596.json,custom
43.792216,10.688141,ov_bar_c_era_una_volta_43.7922_10.6881,Bar C'era una Volta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/bar_cera_una_volta_43.7922_10.6881.json,custom
43.721606,10.745213,ov_da_leo_bar_e_ristorante_43.7216_10.7452,Da Leo bar e ristorante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/da_leo_bar_e_ristorante_43.7216_10.7452.json,custom
43.697877,10.738387,ov_palabagagli_43.6979_10.7384,PalaBagagli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/palabagagli_43.6979_10.7384.json,custom
43.697804,10.738551,ov_palazzetto_dello_sport_castelfranco_43.6978_10.7386,Palazzetto Dello Sport Castelfranco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/palazzetto_dello_sport_castelfranco_43.6978_10.7386.json,custom
43.698566,10.730989,ov_greenfit_asd_43.6986_10.7310,Greenfit ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/greenfit_asd_43.6986_10.7310.json,custom
43.700714,10.742853,ov_a__s__d__noi_sport_43.7007_10.7429,A. S. D. Noi sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/a_s_d_noi_sport_43.7007_10.7429.json,custom
43.699096,10.741015,ov_danza_da_perla_43.6991_10.7410,Danza da Perla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/danza_da_perla_43.6991_10.7410.json,custom
43.702502,10.740805,ov_power_gym_ssd_a_r_l__43.7025_10.7408,Power Gym Ssd A.r.l.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/power_gym_ssd_arl_43.7025_10.7408.json,custom
43.800457,10.670171,ov_centro_ippico_i_gelsi_asd_43.8005_10.6702,Centro ippico I gelsi asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/centro_ippico_i_gelsi_asd_43.8005_10.6702.json,custom
43.709555,10.756735,ov_movida_centro_fitness_43.7096_10.7567,Movida Centro Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/movida_centro_fitness_43.7096_10.7567.json,custom
43.699513,10.745291,ov_valdarno_musei_43.6995_10.7453,Valdarno Musei,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/valdarno_musei_43.6995_10.7453.json,custom
43.778790,10.662685,ov_musei_archeologici_castelfranco_di_sotto_43.7788_10.6627,Musei Archeologici Castelfranco di Sotto e Orentano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/musei_archeologici_castelfranco_di_sotto_43.7788_10.6627.json,custom
43.698879,10.744403,ov_biblioteca_comunale_43.6989_10.7444,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/biblioteca_comunale_43.6989_10.7444.json,custom
43.698812,10.744264,osm_biblioteca_comunale_castelfranco_di_sott_43.6988_10.7443,Biblioteca comunale Castelfranco di Sotto,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/biblioteca_comunale_castelfranco_di_sott_43.6988_10.7443.json,custom
43.778738,10.662333,osm_biblioteca_di_orentano_43.7787_10.6623,Biblioteca di Orentano,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/biblioteca_di_orentano_43.7787_10.6623.json,custom
