# lat,lng,id,name,building_type,type,url,page_type
# Piovene Rocchette -- Tutti
45.762295,11.431762,osm_distretto_sanitario_45.7623_11.4318,Distretto sanitario,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/distretto_sanitario_45.7623_11.4318.json,custom
45.773633,11.412818,ov_casello_6_45.7736_11.4128,Casello 6,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/casello_6_45.7736_11.4128.json,custom
45.752492,11.429434,ov_il_bivio_del_gusto_45.7525_11.4294,il bivio del gusto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/il_bivio_del_gusto_45.7525_11.4294.json,custom
45.752493,11.429333,ov_bar_al_bivio_45.7525_11.4293,Bar Al Bivio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/bar_al_bivio_45.7525_11.4293.json,custom
45.751036,11.429066,ov_pantarei_wine_bar_45.7510_11.4291,Pantarei Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/pantarei_wine_bar_45.7510_11.4291.json,custom
45.758608,11.435899,ov_ambro_caf__45.7586_11.4359,Ambro Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/ambro_caf_45.7586_11.4359.json,custom
45.758972,11.441026,ov_morgana_caffe_45.7590_11.4410,Morgana Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/morgana_caffe_45.7590_11.4410.json,custom
45.759300,11.438440,ov_blu_bar_45.7593_11.4384,BLU BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/blu_bar_45.7593_11.4384.json,custom
45.762608,11.436037,ov_coffee_time_45.7626_11.4360,Coffee Time,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/coffee_time_45.7626_11.4360.json,custom
45.764568,11.432089,ov_r11_caffe_45.7646_11.4321,R11 Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/r11_caffe_45.7646_11.4321.json,custom
45.763491,11.431691,ov_bar_trattoria_flo_s_45.7635_11.4317,Bar Trattoria Flo's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/bar_trattoria_flos_45.7635_11.4317.json,custom
45.762387,11.430980,ov_caffe_giardini_45.7624_11.4310,Caffe Giardini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/caffe_giardini_45.7624_11.4310.json,custom
45.766211,11.431202,ov_bar_kaneva_45.7662_11.4312,Bar kaneva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/bar_kaneva_45.7662_11.4312.json,custom
45.767289,11.430164,ov_l_allegrotta_45.7673_11.4302,L'Allegrotta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/lallegrotta_45.7673_11.4302.json,custom
45.743021,11.418773,osm_al_confine_45.7430_11.4188,Al confine,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/al_confine_45.7430_11.4188.json,custom
45.761844,11.433593,ov_new_body_fitness_45.7618_11.4336,New Body Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/new_body_fitness_45.7618_11.4336.json,custom
45.762390,11.433400,ov_biblioteca_comunale_di_piovene_rocchette_45.7624_11.4334,Biblioteca comunale di Piovene Rocchette,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/biblioteca_comunale_di_piovene_rocchette_45.7624_11.4334.json,custom
45.762427,11.433539,osm_biblioteca_comunale_45.7624_11.4335,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/piovene_rocchette/pages/biblioteca_comunale_45.7624_11.4335.json,custom
