# lat,lng,id,name,building_type,type,url,page_type
# Crosia -- Tutti
39.601776,16.784462,ov_poliambulatorio_san_francesco_39.6018_16.7845,Poliambulatorio San Francesco,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/poliambulatorio_san_francesco_39.6018_16.7845.json,custom
39.605756,16.770782,ov_i_fratelli_gulluscio_39.6058_16.7708,I Fratelli Gulluscio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/i_fratelli_gulluscio_39.6058_16.7708.json,custom
39.604743,16.770432,ov_fantasy_pizza_39.6047_16.7704,Fantasy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/fantasy_pizza_39.6047_16.7704.json,custom
39.604320,16.770976,ov_pizzeria_da_mario_39.6043_16.7710,Pizzeria da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/pizzeria_da_mario_39.6043_16.7710.json,custom
39.603668,16.768901,ov_perbacco_bistrot_39.6037_16.7689,PerBacco bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/perbacco_bistrot_39.6037_16.7689.json,custom
39.604169,16.767022,ov_pizzeria_la_strada_39.6042_16.7670,Pizzeria La strada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/pizzeria_la_strada_39.6042_16.7670.json,custom
39.614721,16.774251,ov_ristorante_pizzeria_elisir_39.6147_16.7743,Ristorante Pizzeria Elisir,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/ristorante_pizzeria_elisir_39.6147_16.7743.json,custom
39.615421,16.777616,ov_savana_pizzeria_39.6154_16.7776,Savana Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/savana_pizzeria_39.6154_16.7776.json,custom
39.608267,16.778851,ov_ristorante_pizzeria_bellini_39.6083_16.7789,Ristorante Pizzeria Bellini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/ristorante_pizzeria_bellini_39.6083_16.7789.json,custom
39.609634,16.781472,ov_blackout_39.6096_16.7815,Blackout,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/blackout_39.6096_16.7815.json,custom
39.603703,16.789459,ov_ristorante_pizzeria_da_giacomino_39.6037_16.7895,Ristorante Pizzeria Da Giacomino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/ristorante_pizzeria_da_giacomino_39.6037_16.7895.json,custom
39.607527,16.778996,ov_ristorante_cento_fontane_39.6075_16.7790,Ristorante Cento Fontane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/ristorante_cento_fontane_39.6075_16.7790.json,custom
39.603341,16.783194,ov_la_casa_dei_pescatori_39.6033_16.7832,La casa dei pescatori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/la_casa_dei_pescatori_39.6033_16.7832.json,custom
39.603310,16.779722,ov_the_kebab_house_39.6033_16.7797,The Kebab House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/the_kebab_house_39.6033_16.7797.json,custom
39.590720,16.808367,ov_al_rustico_39.5907_16.8084,Al Rustico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/al_rustico_39.5907_16.8084.json,custom
39.582263,16.817474,ov_pub_remivi_39.5823_16.8175,Pub Remivi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/pub_remivi_39.5823_16.8175.json,custom
39.592417,16.766106,ov_bar_sorrento_39.5924_16.7661,Bar Sorrento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/bar_sorrento_39.5924_16.7661.json,custom
39.603727,16.771627,ov_bar_europa_39.6037_16.7716,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/bar_europa_39.6037_16.7716.json,custom
39.603757,16.772255,ov_sunshine_srls_39.6038_16.7723,Sunshine Srls,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/sunshine_srls_39.6038_16.7723.json,custom
39.604249,16.776187,ov_cosmic_yogurteria_39.6042_16.7762,Cosmic Yogurteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/cosmic_yogurteria_39.6042_16.7762.json,custom
39.604340,16.776185,ov_happy_hour_39.6043_16.7762,Happy Hour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/happy_hour_39.6043_16.7762.json,custom
39.604323,16.777450,ov_dante_caffe_39.6043_16.7775,Dante Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/dante_caffe_39.6043_16.7775.json,custom
39.604439,16.776750,ov_bar_lady_39.6044_16.7767,Bar Lady,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/bar_lady_39.6044_16.7767.json,custom
39.604877,16.770267,ov_bar_pasticceria_i_golosoni_di_pometti____39.6049_16.7703,Bar pasticceria I Golosoni di Pometti & Romano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/bar_pasticceria_i_golosoni_di_pometti_ro_39.6049_16.7703.json,custom
39.604180,16.790298,ov_sky_blue_39.6042_16.7903,Sky Blue,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/sky_blue_39.6042_16.7903.json,custom
39.607548,16.786757,ov_la_cucina_del_brigante_39.6075_16.7868,La Cucina del Brigante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/la_cucina_del_brigante_39.6075_16.7868.json,custom
39.607509,16.786607,ov_bagdad_caf__39.6075_16.7866,Bagdad Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/bagdad_caf_39.6075_16.7866.json,custom
39.607150,16.778712,ov_la_plaza_di_pidd__39.6071_16.7787,la plaza-di piddè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/la_plaza-di_pidd_39.6071_16.7787.json,custom
39.605012,16.780941,ov_il_muretto_39.6050_16.7809,IL Muretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/il_muretto_39.6050_16.7809.json,custom
39.604150,16.778924,ov_moulin_lounge_bar_caf__39.6041_16.7789,Moulin Lounge bar-cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/moulin_lounge_bar-caf_39.6041_16.7789.json,custom
39.604059,16.778601,ov_chocolat_39.6041_16.7786,Chocolat,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/chocolat_39.6041_16.7786.json,custom
39.602913,16.792933,ov_lido_le_dune_39.6029_16.7929,Lido Le Dune,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/lido_le_dune_39.6029_16.7929.json,custom
39.602820,16.768910,ov_ballet_school_di_katia_ferraro_39.6028_16.7689,Ballet School di Katia Ferraro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/ballet_school_di_katia_ferraro_39.6028_16.7689.json,custom
39.604380,16.774950,ov_international_dance_m__filippelli_39.6044_16.7750,International Dance M. Filippelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/international_dance_m_filippelli_39.6044_16.7750.json,custom
39.602490,16.781311,ov_international_dance_academy_m__filippell_39.6025_16.7813,International Dance Academy M. Filippelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/international_dance_academy_m_filippelli_39.6025_16.7813.json,custom
39.601399,16.784361,ov_planet_gym_39.6014_16.7844,Planet Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/planet_gym_39.6014_16.7844.json,custom
39.601906,16.785949,ov_asd_fitness_club_39.6019_16.7859,ASD Fitness CLUB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/asd_fitness_club_39.6019_16.7859.json,custom
