# lat,lng,id,name,building_type,type,url,page_type
# cingoli -- Tutti
43.371729,13.217508,ov_ospedale_di_cingoli_43.3717_13.2175,Ospedale di Cingoli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/ospedale_di_cingoli_43.3717_13.2175.json,custom
43.402101,13.204034,ov_nero_cafe_43.4021_13.2040,Nero Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/nero_cafe_43.4021_13.2040.json,custom
43.393990,13.213894,ov_olimpiadi_dei_bar___villa_strada_di_cing_43.3940_13.2139,OLIMPIADI DEI BAR - Villa Strada di Cingoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/olimpiadi_dei_bar_-_villa_strada_di_cing_43.3940_13.2139.json,custom
43.398412,13.210349,ov_bar_pizzeria_il_sogno_43.3984_13.2103,Bar Pizzeria Il Sogno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/bar_pizzeria_il_sogno_43.3984_13.2103.json,custom
43.397153,13.219030,ov_circolo_nuova_italia_43.3972_13.2190,Circolo Nuova Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/circolo_nuova_italia_43.3972_13.2190.json,custom
43.388630,13.271490,ov_carpe_diem_caffe_birreria_sala_slot_sala_43.3886_13.2715,Carpe Diem Caffe Birreria Sala Slot Sala Giochi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/carpe_diem_caffe_birreria_sala_slot_sala_43.3886_13.2715.json,custom
43.364410,13.136170,ov_arcobaleno_beach_da_angy_43.3644_13.1362,Arcobaleno beach da Angy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/arcobaleno_beach_da_angy_43.3644_13.1362.json,custom
43.373663,13.153467,ov_casticcione_43.3737_13.1535,Casticcione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/casticcione_43.3737_13.1535.json,custom
43.373693,13.153527,ov_la_baia_di_popeye_43.3737_13.1535,La Baia di Popeye,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/la_baia_di_popeye_43.3737_13.1535.json,custom
43.376518,13.154739,ov_bar_chiosco_da_rosanna_43.3765_13.1547,Bar Chiosco Da Rosanna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/bar_chiosco_da_rosanna_43.3765_13.1547.json,custom
43.375395,13.215428,ov_circolo_cittadino_43.3754_13.2154,Circolo Cittadino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/circolo_cittadino_43.3754_13.2154.json,custom
43.373858,13.216128,ov_caffetteria_del_duomo_43.3739_13.2161,Caffetteria Del Duomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/caffetteria_del_duomo_43.3739_13.2161.json,custom
43.375795,13.216845,ov_gibson_cafe_43.3758_13.2168,Gibson Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/gibson_cafe_43.3758_13.2168.json,custom
43.377119,13.213685,ov_caffe_della_porta_43.3771_13.2137,Caffe della Porta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/caffe_della_porta_43.3771_13.2137.json,custom
43.377190,13.213820,ov_the_small_batch_project_43.3772_13.2138,The Small Batch Project,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/the_small_batch_project_43.3772_13.2138.json,custom
43.377015,13.214965,ov_brillo_parlante_43.3770_13.2150,Brillo Parlante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/brillo_parlante_43.3770_13.2150.json,custom
43.376815,13.213138,ov_caffe_dei_tigli_43.3768_13.2131,Caffe dei Tigli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/caffe_dei_tigli_43.3768_13.2131.json,custom
43.343914,13.274967,ov_bar_la_sosta_43.3439_13.2750,Bar La Sosta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/bar_la_sosta_43.3439_13.2750.json,custom
43.374209,13.215767,osm_tappo_matto_43.3742_13.2158,Tappo Matto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/tappo_matto_43.3742_13.2158.json,custom
43.375725,13.216773,osm_gibson_caf__43.3757_13.2168,Gibson Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/gibson_caf_43.3757_13.2168.json,custom
43.375559,13.215231,osm_rock_abbey_43.3756_13.2152,Rock Abbey,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/rock_abbey_43.3756_13.2152.json,custom
43.373672,13.153373,osm_la_baia_di_popeye_43.3737_13.1534,La Baia di Popeye,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/la_baia_di_popeye_43.3737_13.1534.json,custom
43.436710,13.264980,ov_il_colle_circolo_ippico_asd_43.4367_13.2650,IL COLLE Circolo Ippico asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/il_colle_circolo_ippico_asd_43.4367_13.2650.json,custom
43.395487,13.301911,ov_victory_fitness_club_43.3955_13.3019,Victory Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/victory_fitness_club_43.3955_13.3019.json,custom
43.375752,13.193955,ov_tiro_a_segno_nazionale_43.3758_13.1940,Tiro A Segno Nazionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/tiro_a_segno_nazionale_43.3758_13.1940.json,custom
43.376865,13.200688,ov_kilo_s_gym_43.3769_13.2007,Kilo’s Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/kilos_gym_43.3769_13.2007.json,custom
43.350600,13.278510,ov_golf_cingoli_43.3506_13.2785,Golf Cingoli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/golf_cingoli_43.3506_13.2785.json,custom
43.364471,13.136160,ov_museo_del_sidecar_43.3645_13.1362,Museo del Sidecar,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/museo_del_sidecar_43.3645_13.1362.json,custom
43.375573,13.214503,ov_carosello_dell_ultimo_sole_43.3756_13.2145,Carosello dell'ultimo Sole,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/carosello_dellultimo_sole_43.3756_13.2145.json,custom
43.374124,13.216435,ov_museo_archeologico_statale_43.3741_13.2164,Museo Archeologico Statale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/museo_archeologico_statale_43.3741_13.2164.json,custom
43.342841,13.237798,ov_cristo_delle_marche_43.3428_13.2378,Cristo delle Marche,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cingoli/pages/cristo_delle_marche_43.3428_13.2378.json,custom
