# lat,lng,id,name,name_it,name_en,building_type,type,street,housenumber,city,postcode,phone,email,website,hours,description,wikipedia_url,osm_id,wikidata_id,geoname_id,overture_id,provenance
41.252014,16.476009,osm_node_283571517_41.2520_16.4760,Hobart,Hobart,Hobart,RESTAURANT,bar_cafe,,,,,,,,,,,node/283571517,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.919399,15.799622,osm_node_288232094_41.9194_15.7996,,,,RESTAURANT,bar_cafe,,,,,,,,,,,node/288232094,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.914724,15.674254,osm_node_288233827_41.9147_15.6743,,,,RESTAURANT,bar_cafe,,,,,,,,,,,node/288233827,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.918177,15.798118,osm_node_288234059_41.9182_15.7981,Le due ancore,Le due ancore,Le due ancore,RESTAURANT,restaurant,,,,,,,,,,,node/288234059,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.722094,16.090920,osm_node_289143741_41.7221_16.0909,Belvedere,Belvedere,Belvedere,RESTAURANT,restaurant,,,,,,,,,,,node/289143741,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.884026,16.176514,osm_node_289267350_41.8840_16.1765,Skipper,Skipper,Skipper,RESTAURANT,restaurant,,,,,,,,,,,node/289267350,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.883471,16.176758,osm_node_289267351_41.8835_16.1768,Box 19,Box 19,Box 19,RESTAURANT,restaurant,,,,,,,,,,,node/289267351,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.226170,16.298760,osm_node_289577534_41.2262_16.2988,Banca Intesa,Banca Intesa,Intesa Bank,BANK,bank,,,,,,,,,,,node/289577534,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.752687,16.027584,osm_node_289641776_41.7527_16.0276,Agriturismo Monte Sacro,Agriturismo Monte Sacro,Agriturismo Monte Sacro,RESTAURANT,restaurant,,,,,,,,,,,node/289641776,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.226626,16.298314,osm_node_289787239_41.2266_16.2983,Banca Popolare di Milano,Banca Popolare di Milano,Popular Bank of Milan,BANK,bank,,,,,,,,,,,node/289787239,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.265865,15.906793,osm_node_289917659_41.2659_15.9068,,,,POST_OFFICE,post_office,,,,,,,,,,,node/289917659,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.266075,15.906702,osm_node_289917858_41.2661_15.9067,Di Muzio,Di Muzio,Di Muzio,RESTAURANT,restaurant,,,,,,,,,,,node/289917858,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.265399,15.890073,osm_node_289922509_41.2654_15.8901,,,,POST_OFFICE,post_office,,,,,,,,,,,node/289922509,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.017053,15.374336,osm_node_290536446_41.0171_15.3743,Al Grillo d'Oro,Al Grillo d'Oro,Al Grillo d'Oro,RESTAURANT,restaurant,,,,,,,,,,,node/290536446,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
40.927307,15.179791,osm_node_291312710_40.9273_15.1798,Banco San Paolo,Banco San Paolo,Banco San Paolo,BANK,bank,,,,,,,,,,,node/291312710,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
