# lat,lng,id,name,building_type,type,url,page_type
# Campi Bisenzio -- Tutti
43.820153,11.142858,osm_azienda_usl_toscana_centro___distretto_c_43.8202_11.1429,Azienda USL Toscana centro - distretto Campi Bisenzio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/azienda_usl_toscana_centro_-_distretto_c_43.8202_11.1429.json,custom
43.793900,11.149242,ov_trattoria_angiolino_san_donnino_43.7939_11.1492,trattoria angiolino San Donnino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/trattoria_angiolino_san_donnino_43.7939_11.1492.json,custom
43.793694,11.147140,ov_la_tana_dei_puma_43.7937_11.1471,La Tana dei Puma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/la_tana_dei_puma_43.7937_11.1471.json,custom
43.790461,11.144035,ov_pizzeria_spazio_reale_43.7905_11.1440,Pizzeria Spazio Reale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/pizzeria_spazio_reale_43.7905_11.1440.json,custom
43.786012,11.142576,ov_trattoria_angiolino_43.7860_11.1426,Trattoria Angiolino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/trattoria_angiolino_43.7860_11.1426.json,custom
43.845496,11.143906,ov_ristorante_liberta__43.8455_11.1439,Ristorante liberta',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_liberta_43.8455_11.1439.json,custom
43.842021,11.140474,ov_biancospino_trattoria_di_pesce_43.8420_11.1405,Biancospino Trattoria di Pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/biancospino_trattoria_di_pesce_43.8420_11.1405.json,custom
43.831084,11.159744,ov_ristorante_il_magazzino_piazza_della_pas_43.8311_11.1597,Ristorante Il Magazzino Piazza Della Passera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_il_magazzino_piazza_della_pas_43.8311_11.1597.json,custom
43.819496,11.145290,ov_l_angolo_della_pizza_43.8195_11.1453,L'Angolo della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/langolo_della_pizza_43.8195_11.1453.json,custom
43.818027,11.144184,ov_pasticceria_i_goloso_43.8180_11.1442,Pasticceria I'Goloso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/pasticceria_igoloso_43.8180_11.1442.json,custom
43.814159,11.143109,ov_momi_43.8142_11.1431,Momi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/momi_43.8142_11.1431.json,custom
43.817066,11.142845,ov_rosticceria_cinese_43.8171_11.1428,Rosticceria Cinese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/rosticceria_cinese_43.8171_11.1428.json,custom
43.820533,11.139240,ov_easy_pizza_43.8205_11.1392,Easy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/easy_pizza_43.8205_11.1392.json,custom
43.821202,11.137210,ov_la_tana_dei_ghiotti_43.8212_11.1372,La Tana dei Ghiotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/la_tana_dei_ghiotti_43.8212_11.1372.json,custom
43.820417,11.136936,ov_mitica_maria_43.8204_11.1369,Mitica Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/mitica_maria_43.8204_11.1369.json,custom
43.820508,11.136130,ov_gold__ristorante_firenze_43.8205_11.1361,Gold- Ristorante Firenze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/gold-_ristorante_firenze_43.8205_11.1361.json,custom
43.820269,11.135338,ov_ristorante_pizzeria_meryanna_43.8203_11.1353,Ristorante Pizzeria Meryanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_pizzeria_meryanna_43.8203_11.1353.json,custom
43.821841,11.135008,ov_piazza_fra_ristoro__campi_bisenzio_43.8218_11.1350,"Piazza Fra Ristoro, Campi Bisenzio",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/piazza_fra_ristoro_campi_bisenzio_43.8218_11.1350.json,custom
43.823439,11.133198,ov_fammesap__pizza_a_taglio_napoletana_43.8234_11.1332,Fammesapé Pizza a taglio napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/fammesap_pizza_a_taglio_napoletana_43.8234_11.1332.json,custom
43.822180,11.137311,ov_i_ciccioli_43.8222_11.1373,I Ciccioli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/i_ciccioli_43.8222_11.1373.json,custom
43.821932,11.140337,ov_da_que_grulli_sempre_piu_grulli_43.8219_11.1403,Da Que Grulli Sempre Piu Grulli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/da_que_grulli_sempre_piu_grulli_43.8219_11.1403.json,custom
43.822052,11.146466,ov_circolo_gni_gni_43.8221_11.1465,Circolo Gni-Gni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/circolo_gni-gni_43.8221_11.1465.json,custom
43.826508,11.132320,ov_sapori_della_rocca_sas_43.8265_11.1323,Sapori della Rocca Sas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/sapori_della_rocca_sas_43.8265_11.1323.json,custom
43.826814,11.131538,ov_ristorante_chahrazad_43.8268_11.1315,Ristorante Chahrazad,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_chahrazad_43.8268_11.1315.json,custom
43.825399,11.127759,ov_carnam_ciccia_club_43.8254_11.1278,Carnam Ciccia Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/carnam_ciccia_club_43.8254_11.1278.json,custom
43.826382,11.125072,ov_la_forchetta_43.8264_11.1251,La Forchetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/la_forchetta_43.8264_11.1251.json,custom
43.827194,11.123068,ov_ristorante_cinese_piu_gusto_43.8272_11.1231,Ristorante Cinese Piu Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_cinese_piu_gusto_43.8272_11.1231.json,custom
43.827212,11.123484,ov_ristorante_pizzeria_bella_vita_43.8272_11.1235,Ristorante Pizzeria Bella Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_pizzeria_bella_vita_43.8272_11.1235.json,custom
43.826912,11.124010,ov_bellavita_43.8269_11.1240,Bellavita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bellavita_43.8269_11.1240.json,custom
43.827074,11.123626,ov_gasoline_monkey_pub_grill_43.8271_11.1236,Gasoline Monkey Pub&Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/gasoline_monkey_pubgrill_43.8271_11.1236.json,custom
43.822781,11.121556,ov_okaeri_43.8228_11.1216,Okaeri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/okaeri_43.8228_11.1216.json,custom
43.821255,11.122952,ov_bar_pantagruel_43.8213_11.1230,Bar Pantagruel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_pantagruel_43.8213_11.1230.json,custom
43.824101,11.125065,ov_borderline_campi_bisenzio_43.8241_11.1251,Borderline Campi Bisenzio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/borderline_campi_bisenzio_43.8241_11.1251.json,custom
43.818119,11.125124,ov_cucina_bonoma_43.8181_11.1251,Cucina Bonoma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/cucina_bonoma_43.8181_11.1251.json,custom
43.817667,11.121795,ov_ristorante_pizzeria_acquamatta_43.8177_11.1218,Ristorante Pizzeria Acquamatta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_pizzeria_acquamatta_43.8177_11.1218.json,custom
43.817897,11.121875,ov_mcdonald_s_43.8179_11.1219,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/mcdonalds_43.8179_11.1219.json,custom
43.820358,11.121138,ov_pizzatime_43.8204_11.1211,Pizzatime,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/pizzatime_43.8204_11.1211.json,custom
43.820359,11.120824,ov_sempre_piu_grulli_43.8204_11.1208,Sempre piu Grulli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/sempre_piu_grulli_43.8204_11.1208.json,custom
43.831327,11.131755,ov_pizzeria_i_giglio_43.8313_11.1318,Pizzeria I Giglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/pizzeria_i_giglio_43.8313_11.1318.json,custom
43.836520,11.131904,ov_al_solito_posto_43.8365_11.1319,Al Solito Posto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/al_solito_posto_43.8365_11.1319.json,custom
43.838933,11.129929,ov_osteria_la_tartaruga_43.8389_11.1299,Osteria La Tartaruga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/osteria_la_tartaruga_43.8389_11.1299.json,custom
43.839126,11.128938,ov_yum_sushi_43.8391_11.1289,YUM Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/yum_sushi_43.8391_11.1289.json,custom
43.838737,11.129283,ov_ristorante_libeccio_43.8387_11.1293,Ristorante Libeccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_libeccio_43.8387_11.1293.json,custom
43.842780,11.126124,ov_la_bottega_di_gio_43.8428_11.1261,La Bottega di Gio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/la_bottega_di_gio_43.8428_11.1261.json,custom
43.849420,11.121386,ov_caff__tre_ville_43.8494_11.1214,Caffè tre ville,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/caff_tre_ville_43.8494_11.1214.json,custom
43.847681,11.124400,ov_da_i__motoso_43.8477_11.1244,Da I' Motoso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/da_i_motoso_43.8477_11.1244.json,custom
43.845885,11.126108,ov_scampi_43.8459_11.1261,Scampi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/scampi_43.8459_11.1261.json,custom
43.848144,11.144177,ov_il_lupo_43.8481_11.1442,Il lupo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/il_lupo_43.8481_11.1442.json,custom
43.848064,11.143716,ov_fratelli_la_bufala_43.8481_11.1437,Fratelli La Bufala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/fratelli_la_bufala_43.8481_11.1437.json,custom
43.848332,11.143549,ov_mcdonald_s_43.8483_11.1435,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/mcdonalds_43.8483_11.1435.json,custom
43.848343,11.143512,ov_kfc_43.8483_11.1435,KFC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/kfc_43.8483_11.1435.json,custom
43.848095,11.143271,ov_five_guys_43.8481_11.1433,Five guys,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/five_guys_43.8481_11.1433.json,custom
43.848067,11.143350,ov_arabian_kebab_43.8481_11.1433,Arabian Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/arabian_kebab_43.8481_11.1433.json,custom
43.846089,11.140130,ov_roadhouse_restaurant_firenze_43.8461_11.1401,Roadhouse Restaurant Firenze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/roadhouse_restaurant_firenze_43.8461_11.1401.json,custom
43.845920,11.142273,ov_calavera_restaurant___campi_bisenzio_43.8459_11.1423,Calavera Restaurant - Campi Bisenzio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/calavera_restaurant_-_campi_bisenzio_43.8459_11.1423.json,custom
43.845995,11.142473,ov_america_graffiti___firenze_campi_bisenzi_43.8460_11.1425,America Graffiti - Firenze Campi Bisenzio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/america_graffiti_-_firenze_campi_bisenzi_43.8460_11.1425.json,custom
43.846094,11.142512,ov_smashie___firenze_cc_i_gigli_43.8461_11.1425,Smashie - Firenze cc I Gigli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/smashie_-_firenze_cc_i_gigli_43.8461_11.1425.json,custom
43.846192,11.142409,ov_kalamaro_piadinaro_43.8462_11.1424,Kalamaro Piadinaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/kalamaro_piadinaro_43.8462_11.1424.json,custom
43.846293,11.141915,ov_mr_wu_43.8463_11.1419,Mr Wu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/mr_wu_43.8463_11.1419.json,custom
43.846757,11.142787,ov_flower_burger_43.8468_11.1428,Flower Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/flower_burger_43.8468_11.1428.json,custom
43.846201,11.142930,ov_il_mulino_del_lupo_43.8462_11.1429,Il Mulino Del Lupo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/il_mulino_del_lupo_43.8462_11.1429.json,custom
43.846849,11.143657,ov_la_piadineria_43.8468_11.1437,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/la_piadineria_43.8468_11.1437.json,custom
43.846925,11.143598,ov_umi_sushi_restaurant_43.8469_11.1436,Umi Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/umi_sushi_restaurant_43.8469_11.1436.json,custom
43.847479,11.143762,ov_dispensa_emilia_43.8475_11.1438,Dispensa Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/dispensa_emilia_43.8475_11.1438.json,custom
43.847452,11.143844,ov_old_wild_west_43.8475_11.1438,Old Wild West,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/old_wild_west_43.8475_11.1438.json,custom
43.847855,11.143588,ov_ai_banchi_del_mercato_centrale_43.8479_11.1436,ai Banchi del Mercato Centrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ai_banchi_del_mercato_centrale_43.8479_11.1436.json,custom
43.850856,11.148100,ov_i_4_venti___ristorante_43.8509_11.1481,I 4 Venti - Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/i_4_venti_-_ristorante_43.8509_11.1481.json,custom
43.851296,11.148481,ov_ristorante_pizzeria_zero3_43.8513_11.1485,Ristorante Pizzeria Zero3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/ristorante_pizzeria_zero3_43.8513_11.1485.json,custom
43.851276,11.148323,ov_opificio_fiorentino_43.8513_11.1483,Opificio Fiorentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/opificio_fiorentino_43.8513_11.1483.json,custom
43.851587,11.148044,ov_restaurant_romanesc_tipico_43.8516_11.1480,Restaurant Romanesc Tipico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/restaurant_romanesc_tipico_43.8516_11.1480.json,custom
43.845999,11.140329,osm_roadhouse_43.8460_11.1403,Roadhouse,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/roadhouse_43.8460_11.1403.json,custom
43.850806,11.148198,osm_i_4_venti_43.8508_11.1482,I 4 venti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/i_4_venti_43.8508_11.1482.json,custom
43.851510,11.147969,osm_mamma_che_fame_43.8515_11.1480,Mamma che fame,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/mamma_che_fame_43.8515_11.1480.json,custom
43.821537,11.136416,osm_spizzichi___bocconi_43.8215_11.1364,Spizzichi & Bocconi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/spizzichi_bocconi_43.8215_11.1364.json,custom
43.822824,11.121476,osm_okaeri_43.8228_11.1215,Okaeri,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/okaeri_43.8228_11.1215.json,custom
43.824114,11.125091,osm_border_line_campi_bisenzio_43.8241_11.1251,Border Line Campi BIsenzio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/border_line_campi_bisenzio_43.8241_11.1251.json,custom
43.805747,11.119104,osm_nappi_s_43.8057_11.1191,Nappi's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/nappis_43.8057_11.1191.json,custom
43.847615,11.143887,osm_dispensa_emilia_43.8476_11.1439,Dispensa Emilia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/dispensa_emilia_43.8476_11.1439.json,custom
43.848229,11.143531,osm_la_piadineria_43.8482_11.1435,La Piadineria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/la_piadineria_43.8482_11.1435.json,custom
43.847971,11.143505,osm_five_guys_43.8480_11.1435,Five Guys,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/five_guys_43.8480_11.1435.json,custom
43.808976,11.118148,ov_hangar_caf__43.8090_11.1181,Hangar Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/hangar_caf_43.8090_11.1181.json,custom
43.798087,11.144690,ov_officina_niccolai_43.7981_11.1447,Officina Niccolai,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/officina_niccolai_43.7981_11.1447.json,custom
43.802753,11.133227,ov_bar_tre_ponti_43.8028_11.1332,Bar Tre Ponti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_tre_ponti_43.8028_11.1332.json,custom
43.804021,11.134148,ov_bar_cavalieri_43.8040_11.1341,Bar Cavalieri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_cavalieri_43.8040_11.1341.json,custom
43.809251,11.138833,ov_circolo_il_racchio_43.8093_11.1388,Circolo il racchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/circolo_il_racchio_43.8093_11.1388.json,custom
43.793865,11.153951,ov_caff__del_mercato_43.7939_11.1540,Caffè del Mercato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/caff_del_mercato_43.7939_11.1540.json,custom
43.795357,11.150797,ov_zanzibar_cafe_43.7954_11.1508,Zanzibar Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/zanzibar_cafe_43.7954_11.1508.json,custom
43.795274,11.150181,ov_zanzibar_pasticceria_43.7953_11.1502,Zanzibar pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/zanzibar_pasticceria_43.7953_11.1502.json,custom
43.840328,11.149983,ov_bar_gianno_43.8403_11.1500,Bar Gianno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_gianno_43.8403_11.1500.json,custom
