# lat,lng,id,name,building_type,type,url,page_type
# salemi -- Tutti
37.829100,12.803223,ov_ospedale_vittorio_emanuele_iii_di_salemi_37.8291_12.8032,Ospedale Vittorio Emanuele III di Salemi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/ospedale_vittorio_emanuele_iii_di_salemi_37.8291_12.8032.json,custom
37.827570,12.780704,ov_bar_edera_37.8276_12.7807,Bar Edera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/bar_edera_37.8276_12.7807.json,custom
37.827417,12.805608,ov_fashion_bar_37.8274_12.8056,Fashion Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/fashion_bar_37.8274_12.8056.json,custom
37.827791,12.805355,ov_kidda_37.8278_12.8054,Kidda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/kidda_37.8278_12.8054.json,custom
37.818135,12.799051,ov_encierro_training_lab_37.8181_12.7991,Encierro Training Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/encierro_training_lab_37.8181_12.7991.json,custom
37.815718,12.801393,ov_ciao_salemi_37.8157_12.8014,Ciao Salemi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/ciao_salemi_37.8157_12.8014.json,custom
37.824954,12.785113,ov_centro_sportivo_fontanabianca_37.8250_12.7851,Centro Sportivo Fontanabianca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/centro_sportivo_fontanabianca_37.8250_12.7851.json,custom
37.818171,12.800695,ov_castello_di_salemi_37.8182_12.8007,Castello di Salemi,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/castello_di_salemi_37.8182_12.8007.json,custom
37.817375,12.801284,ov_polo_museale_37.8174_12.8013,Polo Museale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/polo_museale_37.8174_12.8013.json,custom
37.817032,12.801279,ov_palazzo_dei_musei_37.8170_12.8013,Palazzo dei Musei,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/palazzo_dei_musei_37.8170_12.8013.json,custom
37.815754,12.801354,ov_ecomuseo_del_grano_e_del_pane_salemi_37.8158_12.8014,Ecomuseo del Grano e del Pane_Salemi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/ecomuseo_del_grano_e_del_panesalemi_37.8158_12.8014.json,custom
37.816704,12.800306,ov_laboratorio_artistico_di_lidia_angelo_37.8167_12.8003,Laboratorio Artistico di Lidia Angelo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/laboratorio_artistico_di_lidia_angelo_37.8167_12.8003.json,custom
37.816564,12.800987,ov_museo_del_pane_rituale_37.8166_12.8010,Museo del pane rituale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/museo_del_pane_rituale_37.8166_12.8010.json,custom
37.816860,12.801514,osm_biblioteca_comunale_simone_corleo_37.8169_12.8015,Biblioteca Comunale Simone Corleo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/biblioteca_comunale_simone_corleo_37.8169_12.8015.json,custom
37.818871,12.795260,osm_biblioteca_liceo_statale_francesco_d_agu_37.8189_12.7953,Biblioteca Liceo Statale Francesco D'Aguirre,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/biblioteca_liceo_statale_francesco_dagui_37.8189_12.7953.json,custom
37.823397,12.804007,osm_biblioteca_padre_maurizio_damiani_del_co_37.8234_12.8040,Biblioteca Padre Maurizio Damiani del Convento dei Padri Cap,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/biblioteca_padre_maurizio_damiani_del_co_37.8234_12.8040.json,custom
