# lat,lng,id,name,building_type,type,url,page_type
# Ciriè -- Tutti
45.225198,7.606163,ov_da_marco_ristorante_pizzeria_45.2252_7.6062,Da Marco ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/da_marco_ristorante_pizzeria_45.2252_7.6062.json,custom
45.224599,7.582244,ov_trattoria_tiziana_e_michele_45.2246_7.5822,Trattoria Tiziana e Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/trattoria_tiziana_e_michele_45.2246_7.5822.json,custom
45.223944,7.600194,ov_la_smorfia_45.2239_7.6002,La Smorfia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/la_smorfia_45.2239_7.6002.json,custom
45.214889,7.611297,ov_bogdana_45.2149_7.6113,Bogdana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bogdana_45.2149_7.6113.json,custom
45.213946,7.588829,ov_trattoria_san_peru_45.2139_7.5888,Trattoria San Peru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/trattoria_san_peru_45.2139_7.5888.json,custom
45.214027,7.591276,ov_societa_cooperativa_devesi_45.2140_7.5913,Societa Cooperativa Devesi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/societa_cooperativa_devesi_45.2140_7.5913.json,custom
45.212414,7.591951,ov_camperistorante_45.2124_7.5920,Camperistorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/camperistorante_45.2124_7.5920.json,custom
45.214593,7.589903,ov_ristorante_dolce_stil_novo_45.2146_7.5899,Ristorante Dolce Stil Novo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/ristorante_dolce_stil_novo_45.2146_7.5899.json,custom
45.205579,7.604671,ov_ristorante_faggiolina_45.2056_7.6047,Ristorante Faggiolina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/ristorante_faggiolina_45.2056_7.6047.json,custom
45.219853,7.599807,osm_the_joker_45.2199_7.5998,The Joker,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/the_joker_45.2199_7.5998.json,custom
45.238174,7.603933,osm_l_oasi_45.2382_7.6039,L'Oasi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/loasi_45.2382_7.6039.json,custom
45.236064,7.601018,osm_pesceria_san_martino_45.2361_7.6010,Pesceria San Martino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/pesceria_san_martino_45.2361_7.6010.json,custom
45.237762,7.592331,ov_bar_131_45.2378_7.5923,Bar 131,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bar_131_45.2378_7.5923.json,custom
45.237584,7.591960,ov_tuttocapsule_ciri__valli_di_lanzo_45.2376_7.5920,Tuttocapsule Ciriè Valli di Lanzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/tuttocapsule_ciri_valli_di_lanzo_45.2376_7.5920.json,custom
45.237300,7.604166,ov_13_flowers_coffee_and_drink_45.2373_7.6042,13 Flowers Coffee and Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/13_flowers_coffee_and_drink_45.2373_7.6042.json,custom
45.237218,7.604646,ov_caffetteria_roxy_bar_45.2372_7.6046,Caffetteria Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/caffetteria_roxy_bar_45.2372_7.6046.json,custom
45.236639,7.602425,ov_bar_anna_e_rosy_45.2366_7.6024,Bar Anna e Rosy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bar_anna_e_rosy_45.2366_7.6024.json,custom
45.235855,7.605511,ov_plaza_caff__di_thuegaz_brjan___c__sas_45.2359_7.6055,Plaza Caffè di Thuegaz Brjan & C. SAS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/plaza_caff_di_thuegaz_brjan_c_sas_45.2359_7.6055.json,custom
45.236517,7.590636,ov_unser_weinkeller_45.2365_7.5906,Unser Weinkeller,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/unser_weinkeller_45.2365_7.5906.json,custom
45.235544,7.602567,ov_saveryfrank_cafe_45.2355_7.6026,Saveryfrank Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/saveryfrank_cafe_45.2355_7.6026.json,custom
45.234951,7.604048,ov_sabl__bistrot_dolci___caff__45.2350_7.6040,Sablé Bistrot Dolci & Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/sabl_bistrot_dolci_caff_45.2350_7.6040.json,custom
45.234710,7.604550,ov_the_new_golden_bar_45.2347_7.6045,The new Golden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/the_new_golden_bar_45.2347_7.6045.json,custom
45.234713,7.604376,ov_civico_91_45.2347_7.6044,Civico 91,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/civico_91_45.2347_7.6044.json,custom
45.234595,7.605438,ov_osteria_social_45.2346_7.6054,Osteria Social,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/osteria_social_45.2346_7.6054.json,custom
45.234422,7.605223,ov_nuova_caffetteria_i_portici_45.2344_7.6052,Nuova Caffetteria I Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/nuova_caffetteria_i_portici_45.2344_7.6052.json,custom
45.234342,7.605944,ov_bar_caffetteria_alice_in_wonderland_45.2343_7.6059,Bar Caffetteria Alice in Wonderland,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bar_caffetteria_alice_in_wonderland_45.2343_7.6059.json,custom
45.234242,7.604967,ov_def_gintoneria_cocktail_bar_45.2342_7.6050,DEF Gintoneria Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/def_gintoneria_cocktail_bar_45.2342_7.6050.json,custom
45.234072,7.604709,ov_caff__provincia_45.2341_7.6047,Caffè Provincia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/caff_provincia_45.2341_7.6047.json,custom
45.234049,7.601552,ov_caf_cisal_ciri__45.2340_7.6016,Caf Cisal Ciriè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/caf_cisal_ciri_45.2340_7.6016.json,custom
45.233962,7.603365,ov_shot_cafe_45.2340_7.6034,Shot Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/shot_cafe_45.2340_7.6034.json,custom
45.232851,7.604198,ov_pasticceria_bar_reviglio_45.2329_7.6042,Pasticceria Bar Reviglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/pasticceria_bar_reviglio_45.2329_7.6042.json,custom
45.233047,7.599188,ov_orange_cafe_45.2330_7.5992,Orange Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/orange_cafe_45.2330_7.5992.json,custom
45.232498,7.601313,ov_guapo_cocktail_bar_45.2325_7.6013,Guapo Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/guapo_cocktail_bar_45.2325_7.6013.json,custom
45.231655,7.593439,ov_bluvacanze_cirie__45.2317_7.5934,Bluvacanze Cirie',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bluvacanze_cirie_45.2317_7.5934.json,custom
