# lat,lng,id,name,building_type,type,url,page_type
# Beaufort -- Tutti
45.717420,6.574880,ov_maison_de_sant__beaufort_73_45.7174_6.5749,Maison de santé Beaufort 73,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/maison_de_sant_beaufort_73_45.7174_6.5749.json,custom
45.717309,6.575567,ov_restaurant_al_a_45.7173_6.5756,Restaurant Aléa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/restaurant_ala_45.7173_6.5756.json,custom
45.717420,6.574880,ov_restaurant_la_pierra_menta_45.7174_6.5749,Restaurant la Pierra Menta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/restaurant_la_pierra_menta_45.7174_6.5749.json,custom
45.717199,6.574362,ov_hotel_restaurant_du_grand_mont_45.7172_6.5744,Hotel Restaurant du Grand-Mont,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/hotel_restaurant_du_grand-mont_45.7172_6.5744.json,custom
45.700547,6.644971,ov_bar_restaurant_les_lanches_45.7005_6.6450,Bar restaurant Les Lanches,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/bar_restaurant_les_lanches_45.7005_6.6450.json,custom
45.700297,6.650142,ov_etoile_des_neiges_45.7003_6.6501,Etoile des Neiges,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/etoile_des_neiges_45.7003_6.6501.json,custom
45.686939,6.567942,ov_l_accord___bar___vins___fromages_45.6869_6.5679,L'Accord - Bar à Vins & Fromages,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/laccord_-_bar_vins_fromages_45.6869_6.5679.json,custom
45.686190,6.568633,ov_chez_d_d____ar_ches_45.6862_6.5686,Chez dédé à Arêches,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/chez_dd_arches_45.6862_6.5686.json,custom
45.686010,6.569350,ov_la_birra_menta_45.6860_6.5694,La Birra Menta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/la_birra_menta_45.6860_6.5694.json,custom
45.672414,6.539860,ov_le_passenger_45.6724_6.5399,Le Passenger,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/le_passenger_45.6724_6.5399.json,custom
45.720943,6.548330,ov_la_guinguette_de_marcot_45.7209_6.5483,La Guinguette de Marcot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/la_guinguette_de_marcot_45.7209_6.5483.json,custom
45.686234,6.568993,ov_ecole_de_ski_45.6862_6.5690,Ecole de Ski,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/ecole_de_ski_45.6862_6.5690.json,custom
45.686131,6.568596,ov_gaspard_sports_45.6861_6.5686,Gaspard Sports,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/gaspard_sports_45.6861_6.5686.json,custom
45.683300,6.566670,ov_esf_areches_45.6833_6.5667,ESF Areches,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/esf_areches_45.6833_6.5667.json,custom
45.689260,6.557870,ov_l_art_contemporain_et_la_science__mus_e__45.6893_6.5579,"L'Art Contemporain et la Science, Musée d'Arêches-Beaufort",MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/lart_contemporain_et_la_science_muse_dar_45.6893_6.5579.json,custom
45.727351,6.561960,ov_ch_teau_de_beaufort_45.7274_6.5620,Château de Beaufort,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/chteau_de_beaufort_45.7274_6.5620.json,custom
45.718270,6.561010,ov_epoq_ski_espace_mus_al_des_pratiques_du__45.7183_6.5610,Epoq'ski Espace muséal des pratiques du ski et de la glisse ,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/epoqski_espace_musal_des_pratiques_du_sk_45.7183_6.5610.json,custom
45.717178,6.570489,ov_ch_teau_de_la_sallaz_45.7172_6.5705,Château de La Sallaz,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/chteau_de_la_sallaz_45.7172_6.5705.json,custom
45.717400,6.574860,ov_biblioth_ques_et_m_diath_que_beaufortain_45.7174_6.5749,Bibliothèques et Médiathèque Beaufortain,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/bibliothques_et_mdiathque_beaufortain_45.7174_6.5749.json,custom
45.714610,6.573830,ov_m_diath_que_de_beaufort___biblioth_que_d_45.7146_6.5738,Médiathèque de Beaufort - Bibliothèque d'Arêches,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/mdiathque_de_beaufort_-_bibliothque_darc_45.7146_6.5738.json,custom
