# lat,lng,id,name,building_type,type,url,page_type
# Marano Vicentino -- Tutti
45.691858,11.444991,ov_ospedale_di_santorso_45.6919_11.4450,Ospedale Di Santorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/ospedale_di_santorso_45.6919_11.4450.json,custom
45.693507,11.430319,ov_casa_del_giovane_45.6935_11.4303,Casa del Giovane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/casa_del_giovane_45.6935_11.4303.json,custom
45.692201,11.429459,ov_silva_caffe_45.6922_11.4295,Silva Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/silva_caffe_45.6922_11.4295.json,custom
45.699666,11.426307,ov_bar_vineria_parpagnacco_45.6997_11.4263,Bar Vineria Parpagnacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/bar_vineria_parpagnacco_45.6997_11.4263.json,custom
45.699100,11.426496,ov_trattoria_alla_fortuna_45.6991_11.4265,Trattoria alla Fortuna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/trattoria_alla_fortuna_45.6991_11.4265.json,custom
45.699846,11.430884,ov_backdoor_45.6998_11.4309,BackDoor,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/backdoor_45.6998_11.4309.json,custom
45.699754,11.434964,ov_gestione_2013_iris_sofi_bruschetteria_no_45.6998_11.4350,Gestione 2013 Iris Sofi Bruschetteria NonsoloBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/gestione_2013_iris_sofi_bruschetteria_no_45.6998_11.4350.json,custom
45.699408,11.441039,ov_poker_kapei_45.6994_11.4410,Poker Kapei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/poker_kapei_45.6994_11.4410.json,custom
45.693480,11.430069,osm_bar_casa_del_giovane_45.6935_11.4301,Bar Casa del giovane,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/bar_casa_del_giovane_45.6935_11.4301.json,custom
45.691363,11.418498,osm_cutty_sark_45.6914_11.4185,Cutty Sark,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/cutty_sark_45.6914_11.4185.json,custom
45.692187,11.429566,osm_silva_caff__45.6922_11.4296,Silva Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/silva_caff_45.6922_11.4296.json,custom
45.691951,11.426888,ov_tiger_club_asd_45.6920_11.4269,Tiger Club ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/tiger_club_asd_45.6920_11.4269.json,custom
45.694565,11.430633,ov_palestra_comunale_de_marchi_45.6946_11.4306,Palestra Comunale De Marchi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/palestra_comunale_de_marchi_45.6946_11.4306.json,custom
45.694955,11.445489,ov_dynami___la_boxe_thienese_45.6950_11.4455,Dynami - La Boxe Thienese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/dynami_-_la_boxe_thienese_45.6950_11.4455.json,custom
45.695790,11.429790,ov_biblioteca_marano_vicentino_45.6958_11.4298,Biblioteca Marano Vicentino,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/biblioteca_marano_vicentino_45.6958_11.4298.json,custom
45.694553,11.429983,osm_auditorium_e_biblioteca_civica_comunale_45.6946_11.4300,Auditorium e Biblioteca Civica Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/auditorium_e_biblioteca_civica_comunale_45.6946_11.4300.json,custom
