# lat,lng,id,name,building_type,type,url,page_type
# Viagrande -- Tutti
37.607141,15.107175,ov_istituto_oncologico_del_mediterraneo_37.6071_15.1072,Istituto Oncologico del Mediterraneo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/istituto_oncologico_del_mediterraneo_37.6071_15.1072.json,custom
37.610105,15.099346,ov_la_tegola_37.6101_15.0993,La Tegola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/la_tegola_37.6101_15.0993.json,custom
37.610682,15.105196,ov_u_conzu_s_a_s__37.6107_15.1052,U Conzu S.A.S.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/u_conzu_sas_37.6107_15.1052.json,custom
37.611015,15.098970,ov_giaca_ristorante_pizzeria_37.6110_15.0990,Giaca Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/giaca_ristorante_pizzeria_37.6110_15.0990.json,custom
37.612892,15.099069,ov_new_piccolo_mondo_ristorante_pizzeria_lo_37.6129_15.0991,New Piccolo Mondo Ristorante Pizzeria Lounge bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/new_piccolo_mondo_ristorante_pizzeria_lo_37.6129_15.0991.json,custom
37.615101,15.099940,ov_sapurusi_37.6151_15.0999,Sapurusi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/sapurusi_37.6151_15.0999.json,custom
37.615659,15.099663,ov_ipalici_37.6157_15.0997,iPalici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/ipalici_37.6157_15.0997.json,custom
37.622979,15.103584,ov_le_sciarelle_37.6230_15.1036,Le Sciarelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/le_sciarelle_37.6230_15.1036.json,custom
37.633385,15.095312,ov_agriturismo_blandano_37.6334_15.0953,Agriturismo Blandano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/agriturismo_blandano_37.6334_15.0953.json,custom
37.645623,15.091026,ov_la_reggia_37.6456_15.0910,La Reggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/la_reggia_37.6456_15.0910.json,custom
37.604437,15.095777,ov_bar_tres_joli_37.6044_15.0958,Bar Tres Joli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/bar_tres_joli_37.6044_15.0958.json,custom
37.609407,15.099283,ov_gran_caffe_urna_37.6094_15.0993,Gran Caffe Urna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/gran_caffe_urna_37.6094_15.0993.json,custom
37.610300,15.096994,ov_caff__valentino_37.6103_15.0970,Caffè Valentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/caff_valentino_37.6103_15.0970.json,custom
37.610777,15.098944,ov_giuffrida_viagrande_37.6108_15.0989,Giuffrida Viagrande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/giuffrida_viagrande_37.6108_15.0989.json,custom
37.610932,15.099017,ov_paladini_caff__37.6109_15.0990,Paladini Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/paladini_caff_37.6109_15.0990.json,custom
37.611820,15.094200,ov_birreria_carlo_s_37.6118_15.0942,Birreria Carlo’s,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/birreria_carlos_37.6118_15.0942.json,custom
37.516918,15.061103,ov_plaza_latina_37.5169_15.0611,Plaza Latina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/plaza_latina_37.5169_15.0611.json,custom
37.607134,15.104973,ov_asd_master_fitness_37.6071_15.1050,asd master fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/asd_master_fitness_37.6071_15.1050.json,custom
37.614260,15.093210,ov_pista_da_sci_monteserra_37.6143_15.0932,Pista da sci Monteserra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/pista_da_sci_monteserra_37.6143_15.0932.json,custom
37.615938,15.099910,ov_energy_fitness_a_s_d__37.6159_15.0999,Energy Fitness A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/energy_fitness_asd_37.6159_15.0999.json,custom
37.622142,15.100725,ov_hme_tai_chi_37.6221_15.1007,HME Tai Chi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/hme_tai_chi_37.6221_15.1007.json,custom
37.633120,15.100313,ov_asd_la_cuadra_37.6331_15.1003,ASD La Cuadra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/asd_la_cuadra_37.6331_15.1003.json,custom
37.605970,15.096520,ov_palazzo_dei_principi_turrisi_grifeo_di_p_37.6060_15.0965,Palazzo dei Principi Turrisi Grifeo di Partanna,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/palazzo_dei_principi_turrisi_grifeo_di_p_37.6060_15.0965.json,custom
37.622373,15.096160,ov_museo_dell_etna_37.6224_15.0962,Museo dell'Etna,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/museo_delletna_37.6224_15.0962.json,custom
