# lat,lng,id,name,building_type,type,url,page_type
# giardini_naxos -- Tutti
37.845272,15.279353,ov_casa_vacanza_giardini_naxos_c_o_taormina_37.8453_15.2794,Casa Vacanza Giardini Naxos c/o Taormina - Ospedale San Vinc,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/casa_vacanza_giardini_naxos_co_taormina__37.8453_15.2794.json,custom
37.819106,15.259304,ov_pizza_store_villa_recanati_37.8191_15.2593,Pizza Store Villa Recanati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pizza_store_villa_recanati_37.8191_15.2593.json,custom
37.818800,15.271019,ov_lido_pirata_beach_37.8188_15.2710,Lido Pirata Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/lido_pirata_beach_37.8188_15.2710.json,custom
37.816480,15.265387,ov_cafe_o_neil_37.8165_15.2654,Cafe O'Neil,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/cafe_oneil_37.8165_15.2654.json,custom
37.816417,15.265273,ov_da_lino_trattoria_sicilia_bedda_37.8164_15.2653,Da Lino Trattoria Sicilia Bedda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/da_lino_trattoria_sicilia_bedda_37.8164_15.2653.json,custom
37.816402,15.265104,ov_osteria_cotto_mangiato_37.8164_15.2651,Osteria Cotto&Mangiato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/osteria_cottomangiato_37.8164_15.2651.json,custom
37.817087,15.266139,ov_si_cily_by_marab____naxos_37.8171_15.2661,Si'cily by Marabù ‐ Naxos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/sicily_by_marab_naxos_37.8171_15.2661.json,custom
37.816958,15.267226,ov_ristorante_sea_sound_37.8170_15.2672,Ristorante Sea Sound,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_sea_sound_37.8170_15.2672.json,custom
37.832720,15.270316,ov_turning_goals_into_gains_37.8327_15.2703,Turning Goals into Gains,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/turning_goals_into_gains_37.8327_15.2703.json,custom
37.832554,15.270086,ov_ahoy_bistro_siciliano_37.8326_15.2701,Ahoy Bistro Siciliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ahoy_bistro_siciliano_37.8326_15.2701.json,custom
37.832520,15.270030,ov_vista_mare_ristorante_37.8325_15.2700,Vista Mare Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/vista_mare_ristorante_37.8325_15.2700.json,custom
37.832530,15.270029,ov_ristorante_opera_prima_37.8325_15.2700,Ristorante Opera Prima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_opera_prima_37.8325_15.2700.json,custom
37.831301,15.268524,ov_pianeta_pizza_37.8313_15.2685,Pianeta Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pianeta_pizza_37.8313_15.2685.json,custom
37.831890,15.269429,ov_pane_notturno_37.8319_15.2694,Pane Notturno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pane_notturno_37.8319_15.2694.json,custom
37.831678,15.269457,ov_garden_da_nino_37.8317_15.2695,Garden da Nino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/garden_da_nino_37.8317_15.2695.json,custom
37.830219,15.268878,ov_ristorante_gambrinus_37.8302_15.2689,Ristorante Gambrinus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_gambrinus_37.8302_15.2689.json,custom
37.830915,15.268891,ov_karthago_kebab_37.8309_15.2689,Karthago Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/karthago_kebab_37.8309_15.2689.json,custom
37.829160,15.268379,ov_cristalli_di_mare_37.8292_15.2684,Cristalli di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/cristalli_di_mare_37.8292_15.2684.json,custom
37.829136,15.267878,ov_rendez_vous_di_ferro_francesco_37.8291_15.2679,Rendez vous di Ferro Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/rendez_vous_di_ferro_francesco_37.8291_15.2679.json,custom
37.829497,15.268709,ov_ristorante_pizzeria_taverna_naxos_37.8295_15.2687,Ristorante Pizzeria Taverna Naxos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_pizzeria_taverna_naxos_37.8295_15.2687.json,custom
37.830010,15.268829,ov_kamurria_37.8300_15.2688,Kamurria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/kamurria_37.8300_15.2688.json,custom
37.829966,15.268751,ov_ristorante_pizzeria_la_vela_37.8300_15.2688,Ristorante Pizzeria La Vela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_pizzeria_la_vela_37.8300_15.2688.json,custom
37.829833,15.268692,ov_accuss__37.8298_15.2687,Accussì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/accuss_37.8298_15.2687.json,custom
37.829671,15.268720,ov_ristorante_pizzeria_capitano_uncino_37.8297_15.2687,Ristorante Pizzeria Capitano Uncino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_pizzeria_capitano_uncino_37.8297_15.2687.json,custom
37.826751,15.268864,ov_sapuri_siciliani_37.8268_15.2689,Sapuri Siciliani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/sapuri_siciliani_37.8268_15.2689.json,custom
37.826761,15.268854,ov_c_era_cu_c_era_37.8268_15.2689,C'era Cu C'era,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/cera_cu_cera_37.8268_15.2689.json,custom
37.826610,15.269048,ov_lido_la_romantica_37.8266_15.2690,Lido la Romantica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/lido_la_romantica_37.8266_15.2690.json,custom
37.826485,15.267165,ov_ristorante_pizzeria_spizzicannu_37.8265_15.2672,Ristorante Pizzeria Spizzicannu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_pizzeria_spizzicannu_37.8265_15.2672.json,custom
37.826510,15.268915,ov_il_calice_dei_nobili_37.8265_15.2689,Il Calice dei Nobili,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/il_calice_dei_nobili_37.8265_15.2689.json,custom
37.826449,15.268980,ov_ristorante_da_pippo_lupo_di_mare_37.8264_15.2690,Ristorante Da Pippo Lupo Di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_da_pippo_lupo_di_mare_37.8264_15.2690.json,custom
37.826351,15.267016,ov_la_pescheria_37.8264_15.2670,La Pescheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_pescheria_37.8264_15.2670.json,custom
37.826020,15.257510,ov_pizza_regina_37.8260_15.2575,Pizza Regina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pizza_regina_37.8260_15.2575.json,custom
37.825848,15.269311,ov_ristorante_pizzeria___materie_prime_37.8258_15.2693,ristorante pizzeria - Materie prime,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_pizzeria_-_materie_prime_37.8258_15.2693.json,custom
37.825833,15.268755,ov_la_bamba_food___drink_37.8258_15.2688,La Bamba Food & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_bamba_food_drink_37.8258_15.2688.json,custom
37.825825,15.266828,ov_aromi_e_sapori_37.8258_15.2668,Aromi e Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/aromi_e_sapori_37.8258_15.2668.json,custom
37.824806,15.269696,ov_rendez_vous_37.8248_15.2697,Rendez Vous,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/rendez_vous_37.8248_15.2697.json,custom
37.824820,15.269620,ov_che_bella_pinsata_37.8248_15.2696,Che Bella PinsaTa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/che_bella_pinsata_37.8248_15.2696.json,custom
37.825400,15.269290,ov_sottosopra_drink_37.8254_15.2693,SottoSopra Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/sottosopra_drink_37.8254_15.2693.json,custom
37.827286,15.268651,ov_ristorante_pizzeria_la_conchiglia_37.8273_15.2687,Ristorante pizzeria LA CONCHIGLIA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_pizzeria_la_conchiglia_37.8273_15.2687.json,custom
37.827210,15.268590,ov_primavera_37.8272_15.2686,Primavera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/primavera_37.8272_15.2686.json,custom
37.827674,15.264690,ov_l_arte_della_pizza_37.8277_15.2647,L'Arte della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/larte_della_pizza_37.8277_15.2647.json,custom
37.827610,15.268676,ov_ristorante_mister_fantasy_37.8276_15.2687,Ristorante Mister Fantasy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_mister_fantasy_37.8276_15.2687.json,custom
37.827511,15.268637,ov_arcobaleno_37.8275_15.2686,Arcobaleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/arcobaleno_37.8275_15.2686.json,custom
37.828380,15.268420,ov_la_capannina_di_rosselli_antonino_37.8284_15.2684,La capannina di Rosselli Antonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_capannina_di_rosselli_antonino_37.8284_15.2684.json,custom
37.828076,15.266520,ov_pulcinella_37.8281_15.2665,Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pulcinella_37.8281_15.2665.json,custom
37.827942,15.268427,ov_pasha_bistr__pizzeria_37.8279_15.2684,Pasha Bistrò Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pasha_bistr_pizzeria_37.8279_15.2684.json,custom
37.835210,15.272214,ov_lido_europa_37.8352_15.2722,Lido Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/lido_europa_37.8352_15.2722.json,custom
37.833968,15.271239,ov_trattoria_pizzeria_da_antonio_37.8340_15.2712,Trattoria pizzeria da Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/trattoria_pizzeria_da_antonio_37.8340_15.2712.json,custom
37.833825,15.270457,ov_l_acquario_37.8338_15.2705,L'Acquario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/lacquario_37.8338_15.2705.json,custom
37.833471,15.270332,ov_al_vicolo_dei_capricci_37.8335_15.2703,Al Vicolo Dei Capricci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/al_vicolo_dei_capricci_37.8335_15.2703.json,custom
37.833479,15.270823,ov_bombocrep_37.8335_15.2708,Bombocrep,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bombocrep_37.8335_15.2708.json,custom
37.833682,15.271063,ov_la_lampara_37.8337_15.2711,La Lampara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_lampara_37.8337_15.2711.json,custom
37.833728,15.271116,ov_giardini_naxos_ristorante_la_lambara_37.8337_15.2711,Giardini Naxos Ristorante La Lambara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/giardini_naxos_ristorante_la_lambara_37.8337_15.2711.json,custom
37.836374,15.273066,ov_a_putia_37.8364_15.2731,A Putia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/a_putia_37.8364_15.2731.json,custom
37.836055,15.272867,ov_mustaccun_by_calypso_37.8361_15.2729,Mustaccun By Calypso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/mustaccun_by_calypso_37.8361_15.2729.json,custom
37.836091,15.272880,ov_ristorante_calypso_37.8361_15.2729,Ristorante Calypso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_calypso_37.8361_15.2729.json,custom
37.835647,15.272592,ov_ristorante_pizzeria_dromedario_37.8356_15.2726,Ristorante Pizzeria Dromedario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_pizzeria_dromedario_37.8356_15.2726.json,custom
37.835720,15.272565,ov_lido_da_angelo_37.8357_15.2726,Lido Da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/lido_da_angelo_37.8357_15.2726.json,custom
37.839199,15.276488,ov_vinciguerra_roberto_37.8392_15.2765,Vinciguerra Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/vinciguerra_roberto_37.8392_15.2765.json,custom
37.839322,15.276587,ov_le_desir_piquant_37.8393_15.2766,Le Desir Piquant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/le_desir_piquant_37.8393_15.2766.json,custom
37.839713,15.277071,ov_ristorante_opera_prima_da_franky_37.8397_15.2771,Ristorante Opera Prima da Franky,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_opera_prima_da_franky_37.8397_15.2771.json,custom
37.838884,15.276327,ov_trattoria_i_limoni_37.8389_15.2763,Trattoria I Limoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/trattoria_i_limoni_37.8389_15.2763.json,custom
37.838601,15.276112,ov_a_quartara_bistrot_e_more_37.8386_15.2761,A’Quartara Bistrot e More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/aquartara_bistrot_e_more_37.8386_15.2761.json,custom
37.838018,15.275314,ov_ottospikki_37.8380_15.2753,Ottospikki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ottospikki_37.8380_15.2753.json,custom
37.841559,15.279471,ov_trattoria_il_porticciolo_37.8416_15.2795,Trattoria il porticciolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/trattoria_il_porticciolo_37.8416_15.2795.json,custom
37.840671,15.277443,ov_che_bella_pinsata_al_bar_italia_37.8407_15.2774,Che bella pinsata al bar Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/che_bella_pinsata_al_bar_italia_37.8407_15.2774.json,custom
37.840555,15.277651,ov_pura_vida_37.8406_15.2777,Pura Vida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pura_vida_37.8406_15.2777.json,custom
37.840552,15.277643,ov_ristorante_la_taverna_2_0_37.8406_15.2776,Ristorante La Taverna 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_la_taverna_20_37.8406_15.2776.json,custom
37.840535,15.277607,ov_gastronomia_l_ancora_37.8405_15.2776,Gastronomia L'ancora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/gastronomia_lancora_37.8405_15.2776.json,custom
37.842427,15.279913,ov_trattoria_rapisardi_37.8424_15.2799,Trattoria Rapisardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/trattoria_rapisardi_37.8424_15.2799.json,custom
37.842395,15.279928,ov_ristorante_don_diego_37.8424_15.2799,Ristorante Don Diego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_don_diego_37.8424_15.2799.json,custom
37.850860,15.283250,ov_la_taverna_del_marinaio_37.8509_15.2833,La Taverna Del Marinaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_taverna_del_marinaio_37.8509_15.2833.json,custom
37.820808,15.252153,ov_nbar_37.8208_15.2522,Nbar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/nbar_37.8208_15.2522.json,custom
